Date,Open,High,Low,Close,Volume,OpenInt
1997-09-22,100,100,100,100,0,0
1997-09-23,100.67,100.67,100.67,100.67,0,0
1997-09-24,99.94,99.94,99.94,99.94,0,0
1997-09-25,99.46,99.46,99.46,99.46,0,0
1997-09-26,98.87,98.87,98.87,98.87,0,0
1997-09-29,99.14,99.14,99.14,99.14,0,0
1997-09-30,100.16,100.16,100.16,100.16,0,0
1997-10-01,101.21,101.21,101.21,101.21,0,0
1997-10-02,105.8,105.8,105.8,105.8,0,0
1997-10-03,110.73,110.73,110.73,110.73,0,0
1997-10-06,115.03,115.03,115.03,115.03,0,0
1997-10-07,112.67,112.67,112.67,112.67,0,0
1997-10-08,112.22,112.22,112.22,112.22,0,0
1997-10-09,107.89,107.89,107.89,107.89,0,0
1997-10-10,106.56,106.56,106.56,106.56,0,0
1997-10-13,108.54,108.54,108.54,108.54,0,0
1997-10-14,111.44,111.44,111.44,111.44,0,0
1997-10-15,109.65,109.65,109.65,109.65,0,0
1997-10-16,109.68,109.68,109.68,109.68,0,0
1997-10-17,107.9,107.9,107.9,107.9,0,0
1997-10-20,107.46,107.46,107.46,107.46,0,0
1997-10-21,109.39,109.39,109.39,109.39,0,0
1997-10-22,111.19,111.19,111.19,111.19,0,0
1997-10-23,106.82,106.82,106.82,106.82,0,0
1997-10-24,105.33,105.33,105.33,105.33,0,0
1997-10-27,99.65,99.65,99.65,99.65,0,0
1997-10-28,78.91,78.91,78.91,78.91,0,0
1997-10-29,94.73,94.73,94.73,94.73,0,0
1997-10-30,85.27,85.27,85.27,85.27,0,0
1997-10-31,86.46,86.46,86.46,86.46,0,0
1997-11-03,89.34,89.34,89.34,89.34,0,0
1997-11-04,89.34,89.34,89.34,89.34,0,0
1997-11-05,88.85,88.85,88.85,88.85,0,0
1997-11-06,88.6,88.6,88.6,88.6,0,0
1997-11-10,81.77,81.77,81.77,81.77,0,0
1997-11-11,77.2,77.2,77.2,77.2,0,0
1997-11-12,71.19,71.19,71.19,71.19,0,0
1997-11-13,68.23,68.23,68.23,68.23,0,0
1997-11-14,67.42,67.42,67.42,67.42,0,0
1997-11-17,68.06,68.06,68.06,68.06,0,0
1997-11-18,72.18,72.18,72.18,72.18,0,0
1997-11-19,70.51,70.51,70.51,70.51,0,0
1997-11-20,72.58,72.58,72.58,72.58,0,0
1997-11-21,77.52,77.52,77.52,77.52,0,0
1997-11-24,74.01,74.01,74.01,74.01,0,0
1997-11-25,69.49,69.49,69.49,69.49,0,0
1997-11-26,72.65,72.65,72.65,72.65,0,0
1997-11-27,70.2,70.2,70.2,70.2,0,0
1997-11-28,67.94,67.94,67.94,67.94,0,0
1997-12-01,66.66,66.66,66.66,66.66,0,0
1997-12-02,66.7,66.7,66.7,66.7,0,0
1997-12-03,70.05,70.05,70.05,70.05,0,0
1997-12-04,74.84,74.84,74.84,74.84,0,0
1997-12-05,79.16,79.16,79.16,79.16,0,0
1997-12-08,80.27,80.27,80.27,80.27,0,0
1997-12-09,80.89,80.89,80.89,80.89,0,0
1997-12-10,76.88,76.88,76.88,76.88,0,0
1997-12-11,71.06,71.06,71.06,71.06,0,0
1997-12-15,76.13,76.13,76.13,76.13,0,0
1997-12-16,79.05,79.05,79.05,79.05,0,0
1997-12-17,81.59,81.59,81.59,81.59,0,0
1997-12-18,80.16,80.16,80.16,80.16,0,0
1997-12-19,76.39,76.39,76.39,76.39,0,0
1997-12-22,76.75,76.75,76.75,76.75,0,0
1997-12-23,79.47,79.47,79.47,79.47,0,0
1997-12-24,78.72,78.72,78.72,78.72,0,0
1997-12-25,79.91,79.91,79.91,79.91,0,0
1997-12-26,80.98,80.98,80.98,80.98,0,0
1997-12-29,83.2,83.2,83.2,83.2,0,0
1997-12-30,85.05,85.05,85.05,85.05,0,0
1998-01-06,88.97,88.97,88.97,88.97,0,0
1998-01-08,83.56,83.56,83.56,83.56,0,0
1998-01-09,81.26,81.26,81.26,81.26,0,0
1998-01-12,70.61,70.61,70.61,70.61,0,0
1998-01-13,73.34,73.34,73.34,73.34,0,0
1998-01-14,74.16,74.16,74.16,74.16,0,0
1998-01-15,70.62,70.62,70.62,70.62,0,0
1998-01-16,70.61,70.61,70.61,70.61,0,0
1998-01-19,73.4,73.4,73.4,73.4,0,0
1998-01-20,73.33,73.33,73.33,73.33,0,0
1998-01-21,71.7,71.7,71.7,71.7,0,0
1998-01-22,67.75,67.75,67.75,67.75,0,0
1998-01-23,65.98,65.98,65.98,65.98,0,0
1998-01-26,60.34,60.34,60.34,60.34,0,0
1998-01-27,62.99,62.99,62.99,62.99,0,0
1998-01-28,62.71,62.71,62.71,62.71,0,0
1998-01-29,57.95,57.95,57.95,57.95,0,0
1998-01-30,62.21,62.21,62.21,62.21,0,0
1998-02-02,67.39,67.39,67.39,67.39,0,0
1998-02-03,65.96,65.96,65.96,65.96,0,0
1998-02-04,64.1,64.1,64.1,64.1,0,0
1998-02-05,67.48,67.48,67.48,67.48,0,0
1998-02-06,70.4,70.4,70.4,70.4,0,0
1998-02-09,71.36,71.36,71.36,71.36,0,0
1998-02-10,69.71,69.71,69.71,69.71,0,0
1998-02-11,72.15,72.15,72.15,72.15,0,0
1998-02-12,70.63,70.63,70.63,70.63,0,0
1998-02-13,69.6,69.6,69.6,69.6,0,0
1998-02-16,70.32,70.32,70.32,70.32,0,0
1998-02-17,72.09,72.09,72.09,72.09,0,0
1998-02-18,71.44,71.44,71.44,71.44,0,0
1998-02-19,71.72,71.72,71.72,71.72,0,0
1998-02-20,71.78,71.78,71.78,71.78,0,0
1998-02-23,73.04,73.04,73.04,73.04,0,0
1998-02-24,72.6,72.6,72.6,72.6,0,0
1998-02-25,72.49,72.49,72.49,72.49,0,0
1998-02-26,73.76,73.76,73.76,73.76,0,0
1998-02-27,73.38,73.38,73.38,73.38,0,0
1998-03-02,75.16,75.16,75.16,75.16,0,0
1998-03-03,76.6,76.6,76.6,76.6,0,0
1998-03-04,77.21,77.21,77.21,77.21,0,0
1998-03-05,76.66,76.66,76.66,76.66,0,0
1998-03-06,77.85,77.85,77.85,77.85,0,0
1998-03-10,79.8,79.8,79.8,79.8,0,0
1998-03-11,82.91,82.91,82.91,82.91,0,0
1998-03-12,81.29,81.29,81.29,81.29,0,0
1998-03-13,80.95,80.95,80.95,80.95,0,0
1998-03-16,80.88,80.88,80.88,80.88,0,0
