Date,Open,High,Low,Close,Volume,OpenInt
2017-05-24,4.038,4.14,4.038,4.038,107792,0
2017-05-25,4.09,4.14,3.94,3.976,211984,0
2017-05-26,3.98,4.0297,3.7001,3.71,184016,0
2017-05-30,3.8,4.1,3.76,4.08,28797,0
2017-05-31,4.11,4.2,3.7101,4.07,74867,0
2017-06-01,4,4.099,4,4.08,16644,0
2017-06-02,3.99,4.1,3.98,4.06,47090,0
2017-06-05,4.25,4.25,3.93,4.08,29400,0
2017-06-06,4.2,4.3715,4.15,4.16,99576,0
2017-06-07,4.27,4.3194,4.0841,4.265,29742,0
2017-06-08,4.35,4.35,3.95,4,59755,0
2017-06-09,4.3,4.3,4,4.3,62707,0
2017-06-12,4.35,4.35,4.16,4.17,21453,0
2017-06-13,4.2,4.2,4.1595,4.17,10782,0
2017-06-14,4.15,4.1716,4.1,4.1,15704,0
2017-06-15,4.1,4.2,4.1,4.11,6665,0
2017-06-16,4.1,4.2,4.1,4.1,17033,0
2017-06-19,4.16,4.49,4.16,4.4,131729,0
2017-06-20,4.45,4.7439,4.45,4.601,164488,0
2017-06-21,4.6,4.78,4.351,4.78,87669,0
2017-06-22,4.78,4.78,4.6,4.65,36873,0
2017-06-23,4.54,4.62,4.4932,4.6,66631,0
2017-06-26,4.65,4.6997,4.57,4.59,18391,0
2017-06-27,4.57,4.57,4.39,4.46,54379,0
2017-06-28,4.47,4.5,4.35,4.36,44792,0
2017-06-29,4.41,4.41,4.25,4.35,46770,0
2017-06-30,4.35,4.35,4.25,4.25,16587,0
2017-07-03,4.3,4.37,4.21,4.24,18168,0
2017-07-05,4.24,4.24,4.1,4.16,32843,0
2017-07-06,4.19,4.43,4.14,4.15,75757,0
2017-07-07,4.1,4.185,4.1,4.1,14866,0
2017-07-10,4.1,4.13,4.1,4.1,7294,0
2017-07-11,4.13,4.21,4.11,4.21,8730,0
2017-07-12,4.21,4.21,4.11,4.13,8188,0
2017-07-13,4.16,4.23,4,4.1,60332,0
2017-07-14,4.14,4.2172,4.0889,4.19,9355,0
2017-07-17,4.22,4.22,4.1,4.11,17098,0
2017-07-18,4.2,4.2,3.88,4.08,99097,0
2017-07-19,4.05,4.0872,4.01,4.06,6003,0
2017-07-20,4.06,4.06,4,4.0276,4991,0
2017-07-21,4.05,4.05,3.85,3.96,39000,0
2017-07-24,3.96,3.964,3.62,3.62,87615,0
2017-07-25,3.65,3.7731,3.51,3.63,44465,0
2017-07-26,3.6357,3.71,3.42,3.71,142612,0
