Date,Open,High,Low,Close,Volume,OpenInt
2017-10-12,8.55,11.95,8.55,9.92,2818561,0
2017-10-13,9.93,10.1948,9.19,9.6,294724,0
2017-10-16,9.63,9.77,8.56,8.95,229924,0
2017-10-17,8.91,8.97,8.68,8.77,124236,0
2017-10-18,8.73,8.8237,6.98,7.01,220731,0
2017-10-19,7.05,7.149,6.52,6.61,448638,0
2017-10-20,6.73,7.77,6.73,6.96,251185,0
2017-10-23,7,7.44,7,7.21,123045,0
2017-10-24,7.24,7.64,7.1358,7.48,93434,0
2017-10-25,7.63,7.63,7.201,7.31,60590,0
2017-10-26,7.95,7.95,7.23,7.44,57782,0
2017-10-27,7.5,7.5,7.01,7.2,73908,0
2017-10-30,7.205,7.22,6.61,6.61,57525,0
2017-10-31,6.87,7.249,6.62,7.18,70189,0
2017-11-01,7.08,7.2959,6.93,7.11,37826,0
2017-11-02,7,7.15,6.7512,6.89,65478,0
2017-11-03,6.82,7.08,6.6,6.92,38230,0
2017-11-06,6.81,6.81,6.5,6.5,56341,0
2017-11-07,6.48,6.6,6.36,6.48,27459,0
2017-11-08,6.46,6.46,6.25,6.35,33213,0
2017-11-09,6.28,6.331,5.361,5.76,72376,0
2017-11-10,5.76,7.376,5.735,7.19,121815,0
2017-11-13,7.19,7.19,6.401,6.5,41727,0
2017-11-14,6.56,6.58,6.3,6.54,22927,0
2017-11-15,6.44,6.5,6.3,6.31,31622,0
2017-11-16,6.17,6.5,5.86,6.1,39732,0
2017-11-17,6,6.072,5.91,6,25213,0
2017-11-20,5.9,6.39,5.88,5.88,45907,0
2017-11-21,6.18,6.18,5.805,5.9,30548,0
2017-11-22,5.93,6,5.76,6,27227,0
2017-11-24,6,6,5.84,6,27094,0
2017-11-27,5.84,6.2,5.84,6.11,49408,0
2017-11-28,6.02,6.16,5.86,6.16,53629,0
2017-11-29,6,6.15,5.8,5.89,44902,0
2017-11-30,6,6.2,5.8701,6.05,37332,0
2017-12-01,6.06,6.23,5.89,6.18,52704,0
2017-12-04,6.25,6.325,6.03,6.1,22542,0
2017-12-05,6.04,6.6,6.04,6.31,49102,0
2017-12-06,6.31,6.41,5.96,6,33695,0
2017-12-07,6.05,6.3067,5.58,5.58,49050,0
2017-12-08,5.64,5.86,5.29,5.54,75831,0
2017-12-11,5.78,5.78,5.39,5.5,56121,0
2017-12-12,5.43,5.735,5.43,5.45,46241,0
2017-12-13,5.6,5.89,5.42,5.52,79149,0
2017-12-14,5.79,5.79,5.33,5.4,55744,0
2017-12-15,5.61,5.61,4.77,4.81,214762,0
2017-12-18,5.05,5.319,4.84,4.96,81987,0
2017-12-19,4.91,4.91,4.6937,4.73,63271,0
2017-12-20,4.76,4.84,4.54,4.57,47375,0
2017-12-21,4.8,4.8,4.54,4.63,50881,0
2017-12-22,4.57,4.69,4.2896,4.39,51282,0
2017-12-26,4.33,4.33,3.96,4.08,99655,0
2017-12-27,4.05,4.45,4.05,4.4,115260,0
2017-12-28,4.4,4.64,4.36,4.47,76821,0
2017-12-29,4.5636,4.9,4.49,4.6,93146,0
2018-01-02,4.6313,5,4.6313,4.94,51485,0
2018-01-03,4.98,5.23,4.75,4.9,98117,0
2018-01-04,4.87,5.25,4.86,5.16,166423,0
2018-01-05,5.13,5.4,5.02,5.11,106071,0
