Date,Open,High,Low,Close,Volume,OpenInt
2017-06-15,11.365,11.5,11.365,11.365,36556,0
2017-06-16,11.5,11.7,11,11,60462,0
2017-06-19,11.01,11.27,10.42,10.53,31754,0
2017-06-20,10.75,10.75,10.5,10.5,7267,0
2017-06-21,10.3999,10.48,10.2584,10.48,9167,0
2017-06-22,10.26,10.48,10.1397,10.47,10355,0
2017-06-23,10.37,10.5,10.37,10.4,4850,0
2017-06-26,9.98,9.98,9.3,9.4899,40677,0
2017-06-27,8.91,8.98,8.7,8.7,7604,0
2017-06-28,8.27,8.45,8.03,8.26,19293,0
2017-06-29,8.42,8.48,8.25,8.48,12640,0
2017-06-30,8.621,8.76,8.36,8.36,16223,0
2017-07-03,8.97,9.0599,8.96,9.0599,2171,0
2017-07-05,9.93,10.45,9.7,10.1,20624,0
2017-07-06,9.57,10.1,9.17,10,9595,0
2017-07-07,10.1,10.1,9.85,10.08,800,0
2017-07-10,9.79,9.9953,9.74,9.99,3449,0
2017-07-11,9.55,9.55,9.342,9.5,3373,0
2017-07-12,8.93,9.19,8.81,8.96,15124,0
2017-07-13,8.81,8.81,8.567,8.602,32617,0
2017-07-14,8.8,8.9599,8.7929,8.7929,4255,0
2017-07-17,9.07,9.07,8.9,9,4157,0
2017-07-18,8.79,9,8.7423,8.75,20197,0
2017-07-19,8.86,8.86,8.51,8.75,9520,0
2017-07-20,8.53,8.95,8.4601,8.6,10837,0
2017-07-21,8.81,8.81,8.55,8.55,1583,0
2017-07-24,8.45,8.45,8.42,8.42,3783,0
2017-07-25,8.41,8.42,8.38,8.4,5050,0
2017-07-26,8.02,8.19,7.72,8,21423,0
2017-07-27,7.7,7.9,7.7,7.7989,19850,0
2017-07-28,7.78,7.8,7.6,7.62,2761,0
2017-07-31,7.65,7.85,7.37,7.4,35364,0
2017-08-01,7.49,7.5,7.1999,7.38,16745,0
2017-08-02,7,7.1,6.93,6.99,37067,0
2017-08-03,6.5,6.8,6.4101,6.71,67430,0
2017-08-04,6.72,6.72,6.5,6.5,2456,0
2017-08-07,5.75,5.88,5.3501,5.64,69686,0
2017-08-08,5.22,5.22,5,5.09,61276,0
2017-08-09,4.39,4.45,4.2101,4.2875,75785,0
2017-08-10,4.47,4.6832,4.47,4.56,57766,0
2017-08-11,4.8,4.8,4.55,4.6,4497,0
2017-08-14,6.25,7.15,6.17,6.36,327150,0
2017-08-15,7.1,7.1,6.23,6.48,62399,0
2017-08-16,5.97,6.34,5.525,5.69,84007,0
2017-08-17,5.92,6.13,5.5906,5.98,66553,0
2017-08-18,6.064,6.064,5.75,5.88,38841,0
2017-08-21,5.91,6.57,5.73,6.09,59809,0
2017-08-22,5.59,5.6199,5.18,5.55,68891,0
2017-08-23,5.17,5.2045,5.02,5.1521,72009,0
2017-08-24,5.03,5.35,4.93,5.33,25866,0
2017-08-25,5.41,5.42,5.15,5.15,13602,0
2017-08-28,5.9999,6.02,5.7,5.83,54961,0
2017-08-29,5.8026,5.8026,5.496,5.725,7342,0
2017-08-30,5.64,5.922,5.62,5.84,7924,0
2017-08-31,5.55,6,5.5,5.6752,11067,0
2017-09-01,5.73,5.9,5.7,5.76,14749,0
2017-09-05,5.88,5.903,5.35,5.35,20465,0
