Date,Open,High,Low,Close,Volume,OpenInt
2017-11-16,13,14.6,12.48,14.11,690033,0
2017-11-17,14.29,14.5507,13.4385,13.93,81714,0
2017-11-20,13.85,14.77,13.51,14.46,50066,0
2017-11-21,14.49,16.5,14.03,15.5,40430,0
2017-11-22,15.49,16.792,15.4,16.16,40694,0
2017-11-24,16.47,16.75,16.4,16.57,11481,0
2017-11-27,17.15,19.726,16.71,17.27,29157,0
2017-11-28,17.99,19.35,17.7,18.48,39718,0
2017-11-29,18.84,18.99,16.21,16.93,28773,0
2017-11-30,16.5,17.67,16.5,16.88,26221,0
2017-12-01,16.7,17.5,16.5,16.64,11056,0
2017-12-04,16.65,17.0999,15.36,16.3,40726,0
2017-12-05,16.14,16.14,14.9957,15,32591,0
2017-12-06,14.85,15.4142,12.44,13.15,43838,0
2017-12-07,13.05,14.299,12.3301,13.5,44727,0
2017-12-08,13.85,14.2399,13.3675,13.97,23648,0
2017-12-11,13.52,13.72,12.21,12.22,125262,0
2017-12-12,12.2,12.78,12,12.12,83460,0
2017-12-13,12,12.44,10.87,10.87,32213,0
2017-12-14,10.9,12.27,10.4,11.63,116823,0
2017-12-15,11.56,11.87,11,11.2,39708,0
2017-12-18,11.5,12.6,11.5,12.47,47517,0
2017-12-19,12.41,12.8,12.1615,12.52,22609,0
2017-12-20,12.5601,12.75,12.03,12.44,37060,0
2017-12-21,12.32,12.96,12.0501,12.6,38041,0
2017-12-22,12.69,12.7,12.121,12.7,44509,0
2017-12-26,12.7,12.85,12.2901,12.65,20708,0
2017-12-27,12.8,13.48,12.22,13.2,70776,0
2017-12-28,13.48,13.48,12.88,13.19,16685,0
2017-12-29,13.2,13.72,12.76,12.76,31339,0
2018-01-02,12.76,13.0101,11.37,11.97,26986,0
2018-01-03,12.04,12.78,11.6132,12.73,27154,0
2018-01-04,12.83,12.83,12.47,12.75,33173,0
2018-01-05,12.85,13.65,12.5,13.65,16537,0
2018-01-08,13.73,14.99,13.36,14.99,25383,0
2018-01-09,15,15,12.781,14.355,38560,0
2018-01-10,13.3575,14.7,13.3575,14,15942,0
2018-01-11,13.67,15.1,13.4268,14.46,24382,0
2018-01-12,14.44,14.6,13.78,14.355,14358,0
2018-01-16,15.1,15.1,13.76,13.87,25390,0
2018-01-17,14,14.95,13.62,13.71,12259,0
2018-01-18,13.925,14.04,13.74,13.9275,1180,0
2018-01-19,14.03,14.2,13.55,13.63,26549,0
2018-01-22,13.55,14.09,13.55,13.98,11770,0
2018-01-23,13.5684,13.585,12.73,13.13,13745,0
2018-01-24,13.2,13.3757,12.75,13.05,5425,0
2018-01-25,13.31,13.31,12.6,13,44768,0
2018-01-26,13.06,13.39,12.5361,13.37,5819,0
2018-01-29,13.2182,13.47,13.2182,13.47,918,0
2018-01-30,13.41,14.0253,12.855,13.1,16263,0
2018-01-31,13.15,13.48,12.61,12.61,12289,0
2018-02-01,12.6,13.21,12.57,12.7,7231,0
2018-02-02,12.33,12.33,12.33,12.33,4452,0
2018-02-05,12.39,13.2,12.33,13.2,7518,0
2018-02-06,12.54,12.84,12.1999,12.83,9669,0
2018-02-07,12.36,13.06,12.36,12.69,16750,0
2018-02-08,12.96,13.28,12.54,12.91,8061,0
2018-02-09,12.65,12.66,12,12.02,11359,0
2018-02-12,12.3,13.5,12.3,13.22,4431,0
2018-02-13,12.62,13.06,12.51,12.78,4959,0
2018-02-14,12.61,13.42,12.3411,12.3411,2557,0
2018-02-15,12.69,13.24,12.69,13.24,2468,0
2018-02-16,13.77,13.77,13.77,13.77,4479,0
2018-02-20,13.5,14.95,13.5,14.5,17849,0
2018-02-21,13.745,14.19,13.745,14.19,1364,0
2018-02-22,14.12,14.5,13,14.49,5302,0
2018-02-23,14.5,14.75,14,14.5,3605,0
2018-02-26,14.5931,14.5931,14.05,14.49,2893,0
2018-02-27,14.6918,14.84,14,14,2708,0
2018-02-28,14.07,14.75,14.07,14.75,21160,0
2018-03-01,14.9999,17,14.9461,15.1,33377,0
2018-03-02,15.1,16.34,14.76,16,34926,0
2018-03-05,15.94,16.05,15.54,16.01,18763,0
2018-03-06,14.36,16.85,12.92,16.5,69634,0
2018-03-07,16.665,17.5,16.17,17.34,48026,0
2018-03-08,17.26,18.03,16.8,18,43498,0
2018-03-09,17.28,18.38,16.76,18,36417,0
2018-03-12,18.15,18.88,17.63,18.23,65712,0
2018-03-13,18.75,25.25,18.75,22.75,68376,0
2018-03-14,24.13,25.21,20.3376,24.11,107453,0
2018-03-15,24.45,28.6942,24.45,25.43,160410,0
2018-03-16,24.43,27,22.9113,24.06,553692,0
2018-03-19,24.42,24.73,22.51,23.8,63674,0
2018-03-20,25,26.5,25,26.03,24548,0
2018-03-21,26.3,26.935,25.24,25.53,62611,0
2018-03-22,26,26.56,24.61,25.46,51664,0
2018-03-23,25.42,25.63,23.87,24.5,58405,0
2018-03-26,24.47,25.74,20.915,21.97,46854,0
2018-03-27,21.86,22.543,20.12,21.71,32688,0
2018-03-28,21.47,24.22,21.47,23.52,39135,0
2018-03-29,23.17,23.29,21.55,22.89,15068,0
