Date,Open,High,Low,Close,Volume,OpenInt
2017-05-03,9.81,9.85,9.8,9.81,1352665,0
2017-05-04,9.87,9.9,9.81,9.85,72853,0
2017-05-05,9.85,9.8952,9.8398,9.88,34811,0
2017-05-08,9.9,9.97,9.87,9.97,57530,0
2017-05-09,9.96,9.96,9.8979,9.91,61174,0
2017-05-10,9.9,9.92,9.8932,9.9,39937,0
2017-05-11,9.9,9.92,9.88,9.9,118837,0
2017-05-12,9.92,9.93,9.9,9.9,27061,0
2017-05-15,9.94,9.94,9.9,9.92,147692,0
2017-05-16,9.9173,9.92,9.85,9.92,808611,0
2017-05-17,9.92,9.92,9.86,9.9,33888,0
2017-05-18,9.91,9.92,9.89,9.92,101336,0
2017-05-19,9.92,9.92,9.8939,9.91,15944,0
2017-05-22,9.9164,9.93,9.91,9.91,21912,0
2017-05-23,9.92,9.92,9.9001,9.91,17392,0
2017-05-24,9.916,9.92,9.86,9.86,19721,0
2017-05-25,9.88,9.91,9.88,9.91,16992,0
2017-05-26,9.88,9.93,9.88,9.9,20692,0
2017-05-30,9.92,9.97,9.92,9.95,23492,0
2017-05-31,9.9,9.94,9.8799,9.89,32970,0
2017-06-01,9.925,9.98,9.925,9.98,118102,0
2017-06-02,9.92,10.01,9.92,9.96,19692,0
2017-06-05,9.93,10,9.93,9.96,34392,0
2017-06-06,9.95,9.96,9.935,9.96,18804,0
2017-06-07,9.98,10,9.92,9.98,93937,0
2017-06-08,9.98,9.98,9.92,9.98,52266,0
2017-06-09,9.98,10,9.98,10,16092,0
2017-06-12,9.98,9.98,9.98,9.98,1212,0
2017-06-13,9.97,9.97,9.96,9.96,13846,0
2017-06-14,9.93,9.98,9.92,9.98,62867,0
2017-06-15,9.97,9.97,9.97,9.97,10141,0
2017-06-16,9.97,10,9.97,10,3150,0
2017-06-19,9.97,9.9836,9.95,9.9836,23850,0
2017-06-20,9.95,9.95,9.95,9.95,4500,0
2017-06-21,10,10.25,9.95,10.1,161995,0
2017-06-22,10.1119,10.25,10.1119,10.2262,419906,0
2017-06-23,10.2,10.28,10.2,10.28,128135,0
2017-06-26,10.23,10.24,10.2034,10.24,167970,0
2017-06-27,10.2,10.25,10.1,10.24,32837,0
2017-06-28,10.23,10.3,10.2299,10.25,16741,0
2017-06-29,10.19,10.35,10.15,10.3,26336,0
2017-06-30,10.24,10.3,10.13,10.13,4357,0
2017-07-03,10.1,10.13,10.09,10.09,5505,0
2017-07-05,10.15,10.3,10.11,10.14,13725,0
2017-07-06,10.107,10.2,10.107,10.15,2130,0
2017-07-07,10.1895,10.2,10.16,10.16,2043,0
2017-07-10,10.22,10.22,10.13,10.15,20700,0
2017-07-11,10.138,10.23,10.11,10.14,27482,0
2017-07-12,10.2,10.2,10.15,10.15,5400,0
2017-07-13,10.16,10.185,10.15,10.185,7200,0
2017-07-14,10.18,10.22,10.11,10.18,18300,0
2017-07-17,10.18,10.21,10.18,10.18,1250,0
2017-07-18,10.1387,10.18,10.12,10.16,32946,0
2017-07-19,10.1403,10.16,10.1264,10.15,700,0
2017-07-20,10.1699,10.17,10.11,10.11,11900,0
2017-07-21,10.11,10.11,10.11,10.11,100,0
2017-07-24,10.11,10.14,10.11,10.13,11790,0
2017-07-25,10.13,10.19,10.1,10.1,5873,0
2017-07-26,10.09,10.14,10.09,10.14,7800,0
2017-07-27,10.14,10.14,10.13,10.13,350,0
2017-07-28,10.1,10.13,10.0999,10.13,22731,0
2017-07-31,10.13,10.14,10.1,10.14,312195,0
2017-08-01,10.15,10.15,10.15,10.15,1433,0
2017-08-02,10.1,10.15,10.1,10.15,27570,0
2017-08-03,10.185,10.25,10.14,10.2,144702,0
2017-08-04,10.1501,10.18,10.15,10.18,7881,0
2017-08-07,10.24,10.24,10.24,10.24,100,0
2017-08-08,10.1764,10.23,10.1764,10.23,957,0
2017-08-09,10.2,10.24,10.1,10.19,484961,0
2017-08-10,10.103,10.19,10.1,10.19,8882,0
2017-08-11,10.19,10.19,10.09,10.15,272979,0
2017-08-14,10.09,10.2,10.09,10.2,25013,0
2017-08-15,10.2048,10.2048,10.17,10.18,57677,0
2017-08-16,10.16,10.19,10.16,10.19,6656,0
2017-08-17,10.35,10.38,10.1,10.2,7549067,0
2017-08-18,10.21,10.25,10.18,10.21,509026,0
2017-08-21,10.25,10.25,10.2,10.23,241083,0
