Date,Open,High,Low,Close,Volume,OpenInt
2017-06-27,7.6,8.58,7.57,8.25,580214,0
2017-06-28,8.1,8.37,7.81,7.92,135275,0
2017-06-29,7.9,7.978,7.71,7.88,43978,0
2017-06-30,7.9,8.15,7.72,7.95,20839,0
2017-07-03,8.27,8.27,7.81,8,16639,0
2017-07-05,8.15,8.15,7.8851,8,30425,0
2017-07-06,8.2,8.2,7.72,7.77,48061,0
2017-07-07,7.9,7.9,7.6,7.62,9309,0
2017-07-10,7.87,7.87,6.9401,7.41,48755,0
2017-07-11,7.4,7.55,6.95,7.15,22510,0
2017-07-12,7.05,7.69,7,7.69,60176,0
2017-07-13,7.61,7.626,7.45,7.5199,24679,0
2017-07-14,7.49,7.73,7.45,7.73,5625,0
2017-07-17,7.65,7.7,7.4,7.45,33877,0
2017-07-18,7.4,7.56,7.01,7.28,49597,0
2017-07-19,7.2,7.4,7.15,7.27,42241,0
2017-07-20,7.2,7.3999,7.2,7.34,27481,0
2017-07-21,7.2,7.3,7.19,7.19,18388,0
2017-07-24,7.18,7.24,7.18,7.18,30634,0
2017-07-25,7.2138,7.2138,6.83,7.01,42076,0
2017-07-26,6.95,7.05,6.85,7.04,28039,0
2017-07-27,7.0035,7.02,6.98,6.98,37670,0
2017-07-28,7.008,7.05,7,7.02,8034,0
2017-07-31,7,7.0385,6.68,6.68,17865,0
2017-08-01,6.75,6.9,6.6076,6.85,42882,0
2017-08-02,7.05,7.18,6.7101,6.77,46881,0
2017-08-03,6.75,6.98,5.9368,6.98,33041,0
2017-08-04,6.7,6.9,6.6,6.7,49907,0
2017-08-07,6.75,6.8889,6.7,6.74,15234,0
2017-08-08,6.86,6.8899,6.71,6.77,9149,0
2017-08-09,6.665,6.665,6.44,6.59,8404,0
2017-08-10,6.5,6.87,6.5,6.62,25978,0
2017-08-11,6.58,6.83,6.4896,6.83,8794,0
2017-08-14,6.76,6.85,6.69,6.77,7834,0
2017-08-15,6.77,6.77,6.28,6.29,4495,0
2017-08-16,6.31,6.77,6.25,6.77,5565,0
2017-08-17,6.65,6.84,6.5,6.82,21526,0
2017-08-18,6.7,6.7,6.47,6.55,15885,0
2017-08-21,6.5,6.5,6.3136,6.42,3775,0
2017-08-22,6.4,6.42,6.3,6.42,8268,0
2017-08-23,6.35,6.8,5.99,6.6,35664,0
2017-08-24,6.33,6.5,6.27,6.5,12015,0
2017-08-25,6.5,6.51,6.15,6.39,41257,0
2017-08-28,6.35,6.49,6.05,6.25,31862,0
2017-08-29,6.19,6.21,5.98,6,62479,0
2017-08-30,5.95,6.38,5.6717,6.25,20840,0
2017-08-31,6.1,6.1,5.7558,5.855,20894,0
2017-09-01,5.81,6.05,5.81,6,4170,0
2017-09-05,6,6.19,5.925,6,49827,0
