Date,Open,High,Low,Close,Volume,OpenInt
2017-07-21,14.5,15.89,14.5,14.92,125108,0
2017-07-24,14.93,17.29,14.93,15.5,4285,0
2017-07-25,18.36,18.36,15.5,15.5,5150,0
2017-07-26,15.6,15.8479,14.99,15.1484,30308,0
2017-07-27,15.2,15.24,15,15.07,58690,0
2017-07-28,15.04,15.09,15,15.045,3300,0
2017-07-31,15.09,15.55,15.0601,15.1,25425,0
2017-08-01,15.39,15.73,15.25,15.31,2500,0
2017-08-02,15.25,15.42,15,15.39,21200,0
2017-08-03,15.75,17.5,15.39,16,11325,0
2017-08-04,16.64,16.64,15.85,15.85,11104,0
2017-08-07,15.65,15.65,15.65,15.65,100,0
2017-08-08,15.76,15.76,15.34,15.42,7300,0
2017-08-09,15.85,15.85,15.25,15.85,11025,0
2017-08-10,15.85,15.99,15.75,15.75,7831,0
2017-08-11,15.6888,15.75,15.5448,15.75,7200,0
2017-08-14,15.75,15.75,15.5,15.5,8080,0
2017-08-15,15.5,15.76,15.4999,15.7,7113,0
2017-08-16,15.75,15.99,15.7375,15.99,11556,0
2017-08-17,15.99,16.11,15.75,16,12970,0
2017-08-18,16.07,16.1,16,16.02,3059,0
2017-08-21,15.75,16.1,15.7499,16.09,7337,0
2017-08-22,16.05,16.05,15.9,15.9,5004,0
2017-08-23,15.99,15.99,15.99,15.99,863,0
2017-08-24,16.0499,16.05,15.99,16.05,3091,0
2017-08-25,16.05,16.16,16,16,3582,0
2017-08-28,16.22,16.25,16.085,16.22,5478,0
2017-08-29,16.21,16.21,16.09,16.09,3799,0
2017-08-30,16.25,16.25,16.05,16.1,6391,0
2017-08-31,16.1387,16.1387,15.85,15.85,1108,0
2017-09-01,16.2247,16.2247,16,16.0775,4225,0
2017-09-05,16.229,16.229,15.9,15.9,15837,0
2017-09-06,16.25,16.25,16.2,16.24,5380,0
2017-09-07,16.25,16.5,16.195,16.48,5482,0
2017-09-08,16.48,16.5,16.294,16.5,8536,0
2017-09-11,16.5,17.44,16.5,17.25,6687,0
2017-09-12,17.25,17.25,16.7,17.25,4812,0
2017-09-13,17.5,19.57,17.35,17.82,10049,0
2017-09-14,18,18,16.8,16.8,8007,0
2017-09-15,17.01,17.52,15.54,15.71,24429,0
2017-09-18,16.18,17.1174,15.65,15.66,25540,0
2017-09-19,15.79,16.2999,15.75,15.75,5651,0
2017-09-20,15.8,15.9021,15.79,15.86,2493,0
2017-09-21,15.9164,15.9509,15.82,15.9,599,0
2017-09-22,15.92,15.92,15.53,15.57,6412,0
2017-09-25,15.943,15.943,15.61,15.71,2959,0
2017-09-26,15.6689,15.7,15.643,15.7,1139,0
2017-09-27,15.99,15.99,15.57,15.86,341,0
2017-09-28,15.83,15.8988,15.58,15.89,1529,0
2017-09-29,15.9,15.9,15.9,15.9,678,0
2017-10-02,15.8604,15.863,15.7422,15.84,1458,0
2017-10-03,15.86,15.89,15.85,15.89,2043,0
2017-10-04,15.8577,15.8577,15.8,15.85,1794,0
2017-10-05,15.85,15.85,15.6104,15.85,1728,0
2017-10-06,15.85,15.85,15.85,15.85,128,0
2017-10-09,15.85,15.9,15.85,15.9,1236,0
2017-10-10,15.752,15.9,15.752,15.9,903,0
2017-10-11,15.7999,15.9,15.6413,15.88,3130,0
2017-10-12,15.9,16,15.84,16,2212,0
2017-10-13,15.9376,16,15.9376,16,725,0
2017-10-16,16,16.49,15.9525,16.49,1597,0
2017-10-23,16.7199,16.7199,16.7199,16.7199,211,0
2017-10-24,15.83,16.74,15.83,16.74,2755,0
2017-10-25,16.341,16.62,15.9125,16.62,6007,0
2017-10-26,16.56,16.56,16.56,16.56,1016,0
2017-10-27,16.6104,16.979,16.608,16.81,2395,0
2017-10-30,16.98,16.98,16.5182,16.8135,679,0
2017-10-31,17.02,18,15.8201,17.802,4079,0
2017-11-01,17.75,17.75,17.1072,17.75,5812,0
2017-11-02,17.3,17.922,17.3,17.6655,2344,0
2017-11-03,17.68,18,17.68,17.81,2262,0
2017-11-06,18,18.5,18,18.32,1593,0
2017-11-07,18.46,18.46,17.96,17.96,997,0
2017-11-08,18.45,18.45,17.3,17.3,1889,0
2017-11-09,19.5,19.5,19.5,19.5,250,0
2017-11-13,19.0999,19.0999,18.5592,18.5592,208,0
2017-11-15,18.854,18.854,18,18,517,0
2017-11-17,18.56,18.56,18.473,18.473,852,0
2017-11-20,18.65,18.65,18.65,18.65,109,0
2017-11-22,18.6499,18.6499,17.49,17.49,353,0
2017-11-24,17.5,17.5,17.5,17.5,605,0
2017-11-27,17.99,17.99,16.5015,16.76,14652,0
2017-11-28,16.5,16.5,15.7501,15.98,9437,0
2017-11-29,16.4273,16.4273,16.4273,16.4273,154,0
2017-11-30,15.9,16,15.75,15.76,19403,0
2017-12-01,15.95,15.95,15.67,15.8,2630,0
2017-12-04,15.7803,15.88,15.72,15.75,11784,0
2017-12-06,15.72,15.8522,15.72,15.72,3954,0
2017-12-07,15.721,16.46,15.72,16.46,7236,0
2017-12-08,15.8205,16.28,15.72,15.72,14950,0
2017-12-11,15.76,16.398,15.72,15.76,16473,0
2017-12-12,15.837,16.244,15.67,15.75,28176,0
2017-12-13,15.7,15.84,15.7,15.84,6201,0
2017-12-14,15.82,15.924,15.77,15.82,9108,0
2017-12-15,15.77,15.95,15.77,15.95,1278,0
2017-12-18,15.81,15.915,15.81,15.81,1187,0
2017-12-19,15.77,15.935,15.72,15.73,6853,0
2017-12-20,15.67,15.83,15.67,15.83,780,0
2017-12-21,15.62,15.62,15.62,15.62,258,0
2017-12-22,15.651,15.7415,15.56,15.68,6149,0
2017-12-26,15.758,16.62,15.68,15.92,18032,0
