Date,Open,High,Low,Close,Volume,OpenInt
2017-10-25,17.85,23.66,17.75,22.51,2853827,0
2017-10-26,20.89,21.94,20.48,21.17,1042909,0
2017-10-27,20.67,20.98,20.11,20.51,675186,0
2017-10-30,20.28,20.52,20.14,20.29,209001,0
2017-10-31,20.21,20.99,20.16,20.8,694965,0
2017-11-01,20.73,21.175,20.61,21,772794,0
2017-11-02,20.76,21.17,20.5257,20.65,298308,0
2017-11-03,20.57,20.96,20.53,20.87,141633,0
2017-11-06,20.68,21.89,20.65,21.1,237531,0
2017-11-07,20.79,20.93,20.68,20.88,290480,0
2017-11-08,20.94,21.85,20.86,21.28,296332,0
2017-11-09,20.74,20.91,20.5,20.75,168638,0
2017-11-10,20.94,21.11,20.82,20.87,173993,0
2017-11-13,20.52,20.85,20.4108,20.75,142144,0
2017-11-14,20.96,21.15,20.88,21.06,122066,0
2017-11-15,20.56,20.86,20.37,20.59,176984,0
2017-11-16,20.44,21.12,20.3,20.66,228631,0
2017-11-17,20.62,21.63,20.59,21.14,206443,0
2017-11-20,22.38,23.24,22.25,23,414681,0
2017-11-21,22.79,23.56,22.75,23.52,585577,0
2017-11-22,23.46,23.63,23.35,23.54,201126,0
2017-11-24,23.1,23.15,22.6968,22.8,93072,0
2017-11-27,22.81,23.2,22.7,22.9,168592,0
2017-11-28,22.75,22.81,22.466,22.62,177203,0
2017-11-29,22.35,22.46,22.2,22.4,132020,0
2017-11-30,22.67,23.47,22.61,23.04,178131,0
2017-12-01,23.01,23.76,23.01,23.44,76625,0
2017-12-04,23.47,23.49,23.12,23.34,129227,0
2017-12-05,22.76,23.27,22.6695,22.96,128207,0
2017-12-06,22.63,22.77,22.431,22.61,93691,0
2017-12-07,22.73,23.55,22.73,23.55,133157,0
2017-12-08,23.64,24.16,23.59,23.92,216863,0
2017-12-11,24.16,24.25,23.88,23.93,289903,0
2017-12-12,23.73,24.1,23.67,23.98,99617,0
2017-12-13,24.1,24.17,23.9,23.97,61804,0
2017-12-14,24.19,24.2171,23.85,24.04,107309,0
2017-12-15,24.04,24.44,23.99,24.3,44103,0
2017-12-18,24.6,24.82,24.43,24.62,74378,0
2017-12-19,24.49,24.76,24.49,24.56,74101,0
2017-12-20,24.7,24.72,24.28,24.34,92094,0
2017-12-21,24.17,24.2756,23.96,23.96,42758,0
2017-12-22,24.14,24.18,23.33,23.72,76728,0
2017-12-26,23.66,23.79,23.421,23.61,56986,0
2017-12-27,24.19,24.27,24,24.08,228363,0
2017-12-28,24.39,24.83,24.13,24.29,122036,0
2017-12-29,24.71,25.07,24.57,24.99,105977,0
2018-01-02,24.44,24.7,24.32,24.5,83758,0
2018-01-03,24.67,24.76,24.24,24.4,80072,0
2018-01-04,24.64,25.18,24.64,25.06,289030,0
2018-01-05,25.2,26,25.2,25.91,147825,0
2018-01-08,36.64,39.32,36.37,38.62,1817901,0
2018-01-09,40.21,42.245,39.335,42.13,1743376,0
2018-01-10,42.37,42.57,41,41.55,1159180,0
2018-01-11,42.26,45.775,42.13,44.92,613505,0
2018-01-12,44.53,44.64,41.55,42.28,737382,0
2018-01-16,41.86,42.09,40.73,41.1,256976,0
2018-01-17,41.9,42.05,41.07,41.43,445008,0
2018-01-18,42.87,43.15,42.11,42.35,404380,0
2018-01-19,42.22,42.38,41.25,41.63,188136,0
2018-01-22,42.9,44.895,42.72,43.8,603345,0
2018-01-23,43.52,44.11,43.52,43.97,136341,0
2018-01-24,44.09,44.67,43.41,44.12,122731,0
2018-01-25,44.48,45.175,44.4418,44.74,82312,0
2018-01-26,46.4,47.92,45.905,47.65,378734,0
2018-01-29,54.33,54.54,53.015,53.65,3347567,0
2018-01-30,54.42,54.5,53.8,54,2302166,0
2018-01-31,54.49,54.64,54.3,54.45,2271248,0
2018-02-01,54.54,54.85,54.48,54.74,704226,0
2018-02-02,54.63,54.87,54.39,54.57,725306,0
2018-02-05,54.41,54.43,53.82,54.1,722736,0
2018-02-06,53.83,54.05,53.72,54.02,237455,0
2018-02-07,53.85,53.99,52.8903,53.25,342111,0
2018-02-08,53.42,53.47,52.85,52.9,398860,0
2018-02-09,53.2,53.28,52.8905,53.18,390713,0
2018-02-12,53.58,53.776,53.5,53.75,222430,0
2018-02-13,53.9,54.06,53.8201,53.99,52729,0
2018-02-14,53.84,54.32,53.72,54.25,146583,0
2018-02-15,54.52,54.72,54.41,54.62,160085,0
2018-02-16,54.45,54.58,54.21,54.28,34647,0
2018-02-20,54.13,54.305,53.98,53.98,98634,0
2018-02-21,54.09,54.17,53.83,53.89,68386,0
2018-02-22,54.09,54.185,53.9,53.94,51698,0
2018-02-23,53.92,54.13,53.85,53.95,62246,0
2018-02-26,54.06,54.06,53.75,53.84,180699,0
2018-02-27,53.88,53.89,53.25,53.3,70606,0
2018-02-28,53.46,53.55,53.07,53.07,164700,0
2018-03-01,53.5563,53.76,53.29,53.59,125437,0
2018-03-02,53.95,54.14,53.67,53.98,120461,0
2018-03-05,53.97,54.21,53.74,53.98,34775,0
2018-03-06,54.39,54.57,54.33,54.43,52765,0
2018-03-07,54.59,54.68,54.33,54.64,36669,0
2018-03-08,54.42,54.43,53.84,54.13,28498,0
2018-03-09,54,54.16,53.97,54.16,116353,0
2018-03-12,54.07,54.105,53.98,54.1,44997,0
2018-03-13,54.28,54.41,54.16,54.19,82076,0
2018-03-14,54.25,54.44,54,54.2,1134892,0
2018-03-15,54.12,54.18,53.81,54.03,276843,0
2018-03-16,53.96,54.09,53.74,54.04,29208,0
2018-03-19,54,54.155,53.89,54.15,31396,0
2018-03-20,53.81,53.91,53.68,53.87,26730,0
2018-03-21,53.85,54.21,53.7,54.2,33883,0
2018-03-22,54.01,54.09,53.4,53.72,40715,0
2018-03-23,54.12,54.2803,54.06,54.08,41508,0
2018-03-26,54.46,54.68,54.4,54.66,69791,0
2018-03-27,54.38,54.49,54.3,54.32,35636,0
2018-03-28,54.22,54.32,53.86,53.86,26517,0
2018-03-29,54.81,55.01,54.52,54.56,50928,0
