Date,Open,High,Low,Close,Volume,OpenInt
2017-08-02,18.25,18.95,16.05,16.35,5389708,0
2017-08-03,16.37,16.6326,15.63,16,618491,0
2017-08-04,16.01,16.2499,15.445,16.1,345150,0
2017-08-07,16,16.25,15.45,16,185348,0
2017-08-08,15.97,16.34,15.52,16.26,351498,0
2017-08-09,15.78,16.35,15.19,16.28,93381,0
2017-08-10,15.05,16.205,15.05,15.96,128007,0
2017-08-11,15.72,16.5,15.51,16.08,121477,0
2017-08-14,15.9,16.37,15.573,16,120021,0
2017-08-15,15.83,16.152,15.83,15.96,109577,0
2017-08-16,16.08,16.19,15.7689,16.06,51564,0
2017-08-17,15.65,16.18,15.65,15.75,47188,0
2017-08-18,15.73,16,15.185,15.71,169316,0
2017-08-21,16,16,15.54,15.89,84173,0
2017-08-22,15.99,16,15.4001,15.97,93231,0
2017-08-23,15.8696,15.92,15.56,15.65,67593,0
2017-08-24,15.55,16.01,15.45,15.89,32918,0
2017-08-25,15.85,16.4899,15.81,16.11,121219,0
2017-08-28,16.34,17.23,16.3,16.75,683122,0
2017-08-29,16.65,16.7818,16,16.1,233395,0
2017-08-30,16.25,16.44,15.79,16.01,137921,0
2017-08-31,16.6,16.7,16,16.33,94281,0
2017-09-01,16.54,17.24,15.88,17,132946,0
2017-09-05,17.12,17.33,16.67,17.06,67330,0
2017-09-06,17,17.22,16.16,16.55,176256,0
2017-09-07,16.45,16.455,15.91,16.05,75629,0
2017-09-08,16.13,16.29,15.76,15.99,141206,0
2017-09-11,16.21,16.25,15.88,16.05,64585,0
2017-09-12,15.98,17.09,15.92,17,71664,0
2017-09-13,16.83,17.1,16.18,16.29,68438,0
2017-09-14,16.19,16.36,15.865,16.18,161308,0
2017-09-15,16.03,16.565,15.8618,16.4,62493,0
2017-09-18,16.6542,16.73,16.1653,16.61,11441,0
2017-09-19,16.59,17.04,16.085,16.33,26873,0
2017-09-20,16.04,16.67,15.79,16.47,42579,0
2017-09-21,16.36,16.76,16.165,16.76,56109,0
2017-09-22,16.8,17.82,16.35,17.71,38327,0
2017-09-25,17.86,17.86,16,16.57,89118,0
2017-09-26,16.7,17.2,16.55,17.15,11036,0
2017-09-27,17.86,17.86,17.18,17.61,65413,0
2017-09-28,17.34,17.56,16.38,16.73,51985,0
2017-09-29,16.9,17.06,16.5,16.72,12806,0
2017-10-02,16.95,17.19,16.2,16.4,75690,0
2017-10-03,16.57,16.94,16.14,16.26,51806,0
2017-10-04,16.42,16.705,16.16,16.25,10257,0
2017-10-05,16.25,16.44,15.68,16.19,384221,0
2017-10-06,16.3,16.3,15.71,16,277985,0
2017-10-09,16.14,16.714,15.79,16.07,41697,0
2017-10-10,16.2,16.2,15.91,16.01,55888,0
2017-10-11,16.02,16.25,15.81,16.19,509419,0
2017-10-12,16.247,16.35,16,16.02,34355,0
2017-10-13,16,16.145,15.62,15.8,91497,0
2017-10-16,15.8,16.7577,15.62,16.03,194268,0
2017-10-17,15.91,16.28,15.65,16.17,112625,0
2017-10-18,16.04,16.4,15.85,16,13213,0
2017-10-19,16.25,16.357,15.7,16.06,50141,0
2017-10-20,16.2,16.4,15.8287,16.08,20470,0
2017-10-23,16.16,16.34,15.85,16,36746,0
2017-10-24,16.29,16.35,15.6924,16.34,35676,0
2017-10-25,16.1303,17.1644,16.05,16.15,34821,0
2017-10-26,16.09,16.2973,15.92,16,26419,0
2017-10-27,16.24,16.26,15.63,16.11,17010,0
2017-10-30,15.89,16.33,15.811,16.22,210199,0
2017-10-31,16.22,16.42,16.01,16.02,9923,0
2017-11-01,16.18,16.48,16.01,16.28,42016,0
2017-11-02,16.2,16.57,16.03,16.28,73831,0
2017-11-03,16.42,16.98,16.08,16.9,104372,0
2017-11-06,16.76,17.19,16.02,17.1,94198,0
2017-11-07,16.96,17.16,16.275,16.89,104747,0
2017-11-08,16.82,17.05,16.04,16.25,103225,0
2017-11-09,16.26,17.2,16.08,16.45,45366,0
2017-11-10,16.28,17,16.21,17,15524,0
2017-11-13,16.36,17,16.36,16.42,24653,0
2017-11-14,16.39,17.09,16.07,17.06,59726,0
2017-11-15,17.1,17.1,16.435,16.87,47502,0
2017-11-16,16.87,16.9167,16.14,16.5,75261,0
2017-11-17,16.35,16.65,16.1011,16.35,26198,0
2017-11-20,16.2,16.91,15.73,16.5,141873,0
2017-11-21,16.285,16.85,16.11,16.85,20282,0
2017-11-22,16.5,16.74,16.04,16.43,33895,0
2017-11-24,16.5,16.669,16.25,16.26,3955,0
2017-11-27,16.25,16.52,16.25,16.52,8208,0
2017-11-28,16.27,16.54,15.74,16.27,16288,0
