Date,Open,High,Low,Close,Volume,OpenInt
2003-07-01,125.54,125.54,125.54,125.54,1,0
2003-08-25,142.02,142.02,142.02,142.02,1,0
2003-09-12,198.98,198.98,198.98,198.98,1,0
2003-09-19,227.1421,243.58,227.1421,243.58,1,0
2003-09-22,251.6255,262.1099,233.6522,235.15,5,0
2003-09-23,236.8366,236.8366,185.8717,217.35,8,0
2003-09-24,216.5543,216.5543,201.6196,206.1,2,0
2003-09-25,201.225,205.73,192.2149,205.73,1,0
2003-09-29,191.5212,207.98,191.5212,207.98,1,0
2003-09-30,202.5527,210.0547,192.05,192.05,5,0
2003-10-01,196.3641,202.36,191.8673,202.36,3,0
2003-10-02,210.2284,214.7333,210.2284,211.73,2,0
2003-10-03,211.1551,211.1551,200.6722,208.16,1,0
2003-10-06,211.3549,212.8538,203.86,203.86,1,0
2003-10-08,205.1626,205.1626,200.67,200.67,1,0
2003-10-09,201.2455,201.2455,174.2125,196.74,7,0
2003-10-10,190.0072,201.9761,190.0072,200.48,1,0
2003-10-13,200.3004,203.29,195.8161,203.29,3,0
2003-10-15,192.603,197.0822,189.617,191.11,1,0
2003-10-16,198.2494,198.2494,183.2306,190.74,4,0
2003-10-22,189.5914,189.5914,183.62,183.62,1,0
2003-10-23,183.9832,183.9832,173.5126,178,3,0
2003-10-24,178.558,184.56,177.0576,184.56,5,0
2003-10-27,182.68,182.68,178.1879,182.68,2,0
2003-10-30,181.3742,187.37,181.3742,187.37,2,0
2003-10-31,187.3668,187.3668,182.87,182.87,2,0
2003-11-03,188.869,188.869,184.3721,187.37,1,0
2003-11-04,185.0907,185.0907,177.6273,179.12,1,0
2003-11-05,185.3111,188.3,179.3333,188.3,3,0
2003-11-06,205.0127,222.97,202.0198,222.97,8,0
2003-11-07,227.2655,228.7607,218.2945,222.78,1,0
2003-11-10,222.4214,223.9242,216.41,216.41,1,0
2003-11-11,216.9373,221.4257,200.48,200.48,1,0
2003-11-12,203.3247,224.2552,203.3247,216.78,1,0
2003-11-13,223.7245,223.7245,219.22,219.22,3,0
2003-11-14,223.1554,223.1554,218.6623,220.16,1,0
2003-11-17,221.4664,221.4664,215.4808,219.97,1,0
2003-11-18,216.97,219.9627,203.5029,216.97,1,0
2003-11-19,215.4574,215.4574,200.4951,206.48,1,0
2003-11-20,214.9352,217.9413,207.42,207.42,1,0
2003-11-24,206.6601,208.1577,200.67,200.67,1,0
2003-11-28,219.5961,222.5839,218.1023,221.09,1,0
2003-12-01,225.596,231.572,225.596,227.09,5,0
2003-12-02,234.2319,234.2319,222.22,222.22,3,0
2003-12-03,227.4593,228.9558,222.97,222.97,1,0
2003-12-04,224.8448,224.8448,206.8572,217.35,2,0
2003-12-05,224.4555,224.4555,210.9882,218.47,2,0
2003-12-15,208.1652,208.1652,193.1893,205.17,1,0
2003-12-16,204.436,205.9392,192.4104,196.92,1,0
2003-12-17,199.7249,204.23,199.7249,204.23,1,0
2003-12-18,207.0519,207.0519,192.0481,199.55,1,0
2003-12-19,203.113,213.5674,203.113,206.1,1,0
2003-12-22,207.5935,212.0739,206.1,206.1,1,0
2003-12-29,200.3004,203.29,198.8057,203.29,1,0
2003-12-30,198.6326,206.1,198.6326,206.1,2,0
2004-01-02,207.04,210.0406,204.0394,207.04,1,0
2004-01-05,208.91,210.4129,204.4012,208.91,1,0
2004-01-07,212.66,212.66,206.6696,212.66,1,0
2004-01-08,210.6308,218.1,210.6308,218.1,1,0
2004-01-09,225.2447,225.2447,211.73,211.73,1,0
2004-01-14,209.85,212.8479,203.8543,209.85,1,0
2004-01-15,208.3511,209.85,208.3511,209.85,1,0
2004-01-19,212.1269,221.09,207.6453,221.09,1,0
2004-01-20,223.8895,237.4131,223.8895,229.9,2,0
2004-01-21,234.371,253.9019,234.371,246.39,6,0
2004-01-22,253.6681,282.187,253.6681,271.68,16,0
2004-01-23,269.81,271.3089,256.3195,269.81,6,0
2004-01-26,263.4427,270.9268,260.449,269.43,1,0
2004-01-27,262.31,268.3057,260.8111,262.31,1,0
2004-01-28,266.6179,266.6179,259.1286,265.12,4,0
2004-01-29,263.4336,263.4336,252.9561,260.44,2,0
2004-02-04,252.5922,261.56,252.5922,261.56,1,0
2004-02-05,253.6824,267.1922,253.6824,264.19,1,0
2004-02-09,261.5912,270.56,261.5912,270.56,2,0
2004-02-10,271.679,277.683,271.679,273.18,1,0
2004-02-11,275.2482,284.2237,275.2482,278.24,2,0
2004-02-12,284.981,313.4791,277.4815,299.98,4,0
2004-02-13,308.4262,344.3594,305.4318,327.89,5,0
2004-02-16,328.2721,341.7627,325.2742,331.27,4,0
2004-02-17,331.6413,331.6413,313.6336,328.64,5,0
2004-02-18,321.5108,327.4924,318.52,318.52,3,0
2004-02-19,327.699,327.699,318.721,323.21,1,0
2004-02-20,326.1825,326.1825,308.2275,311.22,3,0
2004-02-23,313.8466,315.3483,307.84,307.84,1,0
2004-02-24,304.8806,304.8806,265.8319,288.36,4,0
2004-02-25,281.4231,285.9139,281.4231,282.92,1,0
2004-02-26,282.5697,299.0155,282.5697,288.55,3,0
2004-02-27,297.5844,321.5108,297.5844,318.52,5,0
2004-03-01,325.83,325.83,313.8178,325.83,4,0
2004-03-02,327.8917,327.8917,321.9028,323.4,3,0
2004-03-03,328.4598,328.4598,319.4609,326.96,1,0
2004-03-05,318.7051,318.7051,306.7349,312.72,2,0
2004-03-08,319.4606,323.96,319.4606,323.96,3,0
2004-03-09,324.6875,324.6875,314.2137,315.71,1,0
2004-03-10,317.9694,319.4693,311.97,311.97,1,0
2004-03-11,316.2785,316.2785,292.2953,299.79,1,0
2004-03-12,297.1538,310.6608,282.146,309.16,2,0
2004-03-15,309.1665,316.6705,286.6543,297.16,1,0
2004-03-16,282.7319,297.6912,276.7481,279.74,5,0
2004-03-17,290.7963,302.7879,290.7963,299.79,3,0
2004-03-18,299.0303,303.5158,293.0497,296.04,1,0
2004-03-19,299.9701,301.47,295.4706,301.47,1,0
2004-03-22,303.7122,305.2084,293.2394,300.72,3,0
2004-03-23,298.6726,300.1735,291.1683,294.17,1,0
2004-03-24,299.2042,299.2042,285.74,285.74,3,0
2004-03-25,286.1122,296.598,286.1122,295.1,2,0
2004-03-26,299.0204,299.0204,290.0498,293.04,1,0
2004-03-29,296.04,299.0303,291.5545,296.04,1,0
2004-03-31,293.2416,297.73,293.2416,297.73,1,0
2004-04-01,300.3571,300.3571,294.35,294.35,1,0
2004-04-02,297.6013,324.52,297.6013,324.52,7,0
2004-04-05,336.6855,342.671,320.2253,330.7,7,0
2004-04-06,336.8733,336.8733,317.4095,327.89,4,0
2004-04-07,326.3928,330.8844,321.9011,327.89,1,0
2004-04-08,324.15,336.1556,324.15,324.15,1,0
2004-04-13,324.8956,327.89,324.8956,327.89,3,0
2004-04-14,327.89,327.89,324.8956,327.89,1,0
2004-04-15,327.89,327.89,324.8956,327.89,3,0
2004-04-19,330.1394,331.64,319.6349,331.64,7,0
2004-04-20,331.8115,340.82,331.8115,340.82,3,0
2004-04-21,341.7574,352.25,331.2649,352.25,2,0
2004-04-22,356.3694,371.3429,350.38,350.38,3,0
2004-04-23,356.9397,356.9397,346.4415,355.44,1,0
2004-04-26,360.1195,366.1215,352.617,361.62,1,0
2004-04-27,361.6056,378.1104,361.6056,376.61,1,0
2004-04-28,382.9974,408.4308,374.0209,393.47,3,0
2004-04-29,391.0328,394.0293,359.5704,385.04,4,0
2004-04-30,373.2311,385.2224,365.7365,374.73,3,0
2004-05-03,368.7343,376.2289,365.7365,374.73,1,0
2004-05-04,374.9209,379.42,374.9209,379.42,1,0
2004-05-05,386.529,391.0236,377.54,377.54,1,0
2004-05-06,383.5355,389.5282,367.0554,371.55,1,0
2004-05-07,371.3463,371.3463,348.8858,357.87,3,0
2004-05-10,356.7468,359.7447,349.2521,352.25,1,0
2004-05-11,348.521,357.4958,347.0252,356,9,0
2004-05-12,360.3087,363.3113,352.8023,361.81,1,0
2004-05-13,359.9232,382.4184,359.9232,374.92,1,0
2004-05-14,382.5977,393.1004,382.5977,391.6,1,0
2004-05-17,393.4375,402.4132,365.0142,373.99,3,0
2004-05-18,373.2311,374.73,364.2376,374.73,1,0
2004-05-19,374.3574,383.342,371.3626,372.86,1,0
2004-05-21,375.8797,401.3376,374.3821,393.85,5,0
2004-05-24,401.9004,404.8996,392.9026,403.4,4,0
2004-05-25,406.0438,446.4983,406.0438,445,6,0
2004-05-26,449.1,474.549,423.651,434.13,7,0
2004-05-27,441.8434,477.79,440.3456,477.79,5,0
2004-05-28,480.7984,540.711,462.8246,500.27,9,0
2004-05-31,522.1469,586.6651,522.1469,568.66,4,0
2004-06-01,603.694,656.124,539.28,599.2,21,0
2004-06-02,597.3977,597.3977,498.58,498.58,17,0
2004-06-03,500.2566,500.2566,461.3145,477.79,25,0
2004-06-04,487.3329,547.3123,485.8334,524.82,15,0
2004-06-07,553.1064,589.0808,548.6096,562.1,13,0
2004-06-08,570.3197,577.8042,534.3941,550.86,5,0
2004-06-09,551.2406,572.2117,551.2406,566.22,7,0
2004-06-10,554.2382,561.7279,549.7444,560.23,3,0
2004-06-11,558.9094,560.4078,507.9633,539.43,6,0
2004-06-14,538.1211,544.1168,527.6284,539.62,1,0
2004-06-15,529.1207,529.1207,487.1507,502.14,6,0
2004-06-16,525.3921,535.87,516.411,535.87,3,0
2004-06-17,532.1211,533.62,523.1275,533.62,1,0
2004-06-18,531.552,531.552,518.076,527.06,3,0
2004-06-21,524.6294,524.6294,499.1474,509.64,2,0
2004-06-22,495.2106,498.2119,472.7011,493.71,4,0
2004-06-23,491.2831,500.27,483.794,500.27,5,0
2004-06-24,495.4498,529.8768,495.4498,528.38,5,0
2004-06-25,532.6519,579.1651,532.6519,561.16,6,0
2004-06-28,560.7894,577.2832,557.7906,559.29,3,0
2004-06-29,559.8414,559.8414,525.4127,550.86,3,0
2004-06-30,551.4247,570.9044,551.4247,555.92,2,0
2004-07-01,563.7866,563.7866,553.2906,554.79,1,0
2004-07-02,553.6714,564.1746,546.1691,549.17,1,0
2004-07-05,547.6695,553.6714,543.1681,549.17,1,0
2004-07-06,551.9802,557.98,544.4805,557.98,1,0
2004-07-07,561.909,564.9058,551.42,551.42,1,0
2004-07-08,552.1709,553.6714,546.1691,549.17,1,0
2004-07-09,543.5526,548.0448,537.563,545.05,1,0
2004-07-12,543.9284,543.9284,539.4331,542.43,1,0
2004-07-13,538.5105,543.0106,511.51,511.51,3,0
2004-07-14,511.8769,513.3736,489.4261,505.89,7,0
2004-07-15,505.1386,524.6246,502.1407,517.13,1,0
2004-07-16,523.6895,538.6949,522.1889,525.19,1,0
2004-07-19,533.8084,550.3025,529.31,529.31,1,0
2004-07-20,525.3863,529.8768,517.9022,528.38,1,0
2004-07-21,523.8859,543.3445,523.8859,531.37,2,0
2004-07-22,533.4336,533.4336,522.9448,527.44,1,0
2004-07-26,524.2536,530.2451,518.2621,519.76,1,0
2004-07-27,528.0101,528.0101,520.51,520.51,1,0
2004-07-28,523.8895,528.38,520.8959,528.38,1,0
2004-07-29,527.8105,533.8084,523.3122,529.31,3,0
2004-07-30,534.1785,538.68,525.1755,538.68,1,0
2004-08-02,536.2505,552.7274,528.7609,543.74,1,0
2004-08-03,555.7362,581.2012,552.7403,560.23,3,0
2004-08-04,569.601,608.5737,569.601,599.58,6,0
2004-08-05,599.7778,599.7778,559.2928,566.79,5,0
2004-08-06,576.3015,576.3015,537.3825,543.37,3,0
2004-08-09,548.2273,548.2273,489.8097,539.24,7,0
2004-08-10,544.822,544.822,505.9062,513.39,4,0
2004-08-11,531.5375,543.5158,500.0944,513.57,7,0
2004-08-12,506.2729,519.7535,506.2729,515.26,5,0
2004-08-13,507.9548,515.4468,507.9548,512.45,2,0
2004-08-16,516.0101,516.0101,508.5099,511.51,2,0
2004-08-17,508.5099,513.01,508.5099,511.51,1,0
2004-08-18,509.64,514.1368,509.64,509.64,1,0
2004-08-19,512.0773,515.0719,491.1151,510.58,3,0
2004-08-20,517.5,538.5,511.5,534,2,0
2004-08-23,549.3685,561.3438,547.8716,558.35,3,0
2004-08-24,566.2112,566.2112,552.73,552.73,3,0
2004-08-25,559.1068,560.6058,553.1111,554.61,1,0
2004-08-26,557.2341,560.23,525.7774,560.23,1,0
2004-08-27,559.6718,559.6718,552.1695,553.67,1,0
2004-08-30,558.3531,559.85,553.8623,559.85,1,0
2004-09-02,560.5989,560.5989,506.6375,517.13,3,0
2004-09-03,524.0815,542.05,518.092,542.05,1,0
2004-09-06,547.8607,547.8607,532.8918,543.37,1,0
2004-09-07,552.3513,552.3513,537.3825,543.37,1,0
2004-09-10,536.9902,545.99,529.4903,545.99,1,0
2004-09-13,545.6117,571.0936,545.6117,562.1,4,0
