Date,Open,High,Low,Close,Volume,OpenInt
2013-12-20,13.587,13.629,13.5,13.613,213335,0
2013-12-23,13.799,13.799,13.61,13.723,29827,0
2013-12-27,13.867,14.252,13.765,13.95,26612,0
2013-12-30,14.041,14.041,13.606,13.61,48566,0
2014-01-02,13.829,13.961,13.693,13.825,56550,0
2014-01-03,13.98,14.29,13.821,14.249,32821,0
2014-01-06,14.279,14.29,14.128,14.128,11199,0
2014-01-07,14.267,14.29,14.162,14.199,55551,0
2014-01-08,14.328,14.328,14.169,14.275,58435,0
2014-01-09,14.214,14.26,14.154,14.192,52780,0
2014-01-10,14.173,14.218,14.029,14.139,56882,0
2014-01-13,14.139,14.343,14.094,14.252,107888,0
2014-01-14,14.305,14.354,14.101,14.252,76176,0
2014-01-15,14.214,14.347,14.112,14.112,106225,0
2014-01-16,14.063,14.252,14.063,14.211,122746,0
2014-01-17,14.29,14.593,14.196,14.43,98463,0
2014-01-20,14.449,14.509,14.313,14.4,43909,0
2014-01-21,14.347,14.411,14.146,14.177,104007,0
2014-01-22,14.177,14.241,14.116,14.177,53112,0
2014-01-23,14.245,14.354,14.135,14.29,53334,0
2014-01-24,14.154,14.294,14.154,14.177,33154,0
2014-01-27,14.441,14.441,14.063,14.301,60540,0
2014-01-28,14.301,14.449,14.215,14.377,47346,0
2014-01-29,14.403,14.502,14.366,14.479,55108,0
2014-01-30,14.441,14.513,14.366,14.411,73515,0
2014-01-31,14.373,14.441,14.26,14.403,83715,0
2014-02-03,14.32,14.441,14.241,14.29,60320,0
2014-02-04,14.29,14.343,14.147,14.343,46348,0
2014-02-05,14.328,14.328,14.146,14.26,51781,0
2014-02-06,14.29,14.475,14.226,14.298,49120,0
2014-02-07,14.275,14.441,14.267,14.385,30825,0
2014-02-10,14.434,14.441,14.298,14.339,38587,0
2014-02-11,14.366,14.472,14.332,14.441,56439,0
2014-02-12,14.441,14.494,14.407,14.49,40028,0
2014-02-13,14.49,14.623,14.407,14.623,54110,0
2014-02-14,14.524,14.782,14.524,14.782,29827,0
2014-02-17,14.744,14.804,14.676,14.74,29938,0
2014-02-18,14.797,14.865,14.729,14.797,51781,0
2014-02-19,14.85,15.084,14.819,15.046,101012,0
2014-02-20,15.008,15.088,14.948,15.046,21954,0
2014-02-21,15.069,15.341,15.008,15.122,86266,0
2014-02-24,15.122,15.235,14.959,14.974,63867,0
2014-02-25,14.974,15.141,14.971,15.076,79280,0
2014-02-26,15.046,15.175,15.031,15.175,34706,0
2014-02-27,15.076,15.186,15.046,15.122,70077,0
2014-02-28,15.186,15.186,14.751,14.872,231410,0
2014-03-03,14.895,15.035,14.816,14.989,51227,0
2014-03-04,14.933,15.277,14.933,15.058,93029,0
2014-03-05,14.562,14.801,14.562,14.668,2404010,0
2014-03-06,14.744,14.865,14.729,14.759,304369,0
2014-03-07,14.744,14.838,14.623,14.744,377106,0
2014-03-10,14.706,15.114,14.706,14.819,440641,0
2014-03-11,14.929,14.993,14.766,14.918,143258,0
2014-03-12,14.933,14.933,14.695,14.695,248041,0
2014-03-13,14.729,14.982,14.706,14.706,149468,0
2014-03-14,14.672,14.729,14.449,14.577,158339,0
2014-03-17,14.483,15.167,14.483,15.167,201693,0
2014-03-18,15.02,15.126,14.929,15.008,139821,0
2014-03-19,15.061,15.209,14.944,15.194,235844,0
2014-03-20,15.084,15.235,15.031,15.137,357371,0
2014-03-21,15.16,15.182,14.971,14.971,1575620,0
2014-03-24,14.997,15.046,14.74,14.819,188942,0
2014-03-25,14.789,14.948,14.766,14.948,150799,0
2014-03-26,14.971,15.144,14.853,15.144,173641,0
2014-03-27,15.5,15.693,15.224,15.515,837373,0
2014-03-28,15.496,15.696,15.424,15.575,463484,0
2014-03-31,15.613,15.715,15.553,15.659,343733,0
2014-04-01,15.64,15.651,15.47,15.489,110437,0
2014-04-02,15.485,15.628,15.485,15.594,117867,0
2014-04-03,15.53,15.583,15.454,15.5,108886,0
2014-04-04,15.564,15.632,15.447,15.625,116314,0
2014-04-07,15.534,15.643,15.466,15.575,99683,0
2014-04-08,15.598,15.598,15.349,15.417,79834,0
2014-04-09,15.5,15.5,15.394,15.477,73736,0
2014-04-10,15.538,15.538,15.311,15.311,91477,0
2014-04-11,15.311,15.477,15.277,15.277,157230,0
