Date,Open,High,Low,Close,Volume,OpenInt
2000-01-14,9.05,9.15,8.85,9.05,2500,0
2000-01-17,9,12.22,9,11.44,34200,0
2000-01-18,11.41,13.74,11.1,12.1,46200,0
2000-01-19,12.45,18.04,12.3,17.5,66700,0
2000-01-20,17.71,32.5,17.71,29.9,315400,0
2000-01-21,30.1,30.5,22.3,22.5,118000,0
2000-01-24,22.8,23.8,18.8,18.8,43200,0
2000-01-25,17.7,18.1,16.5,17.5,31800,0
2000-01-26,18,23.8,18,22.6,36000,0
2000-01-27,22.22,31,22.22,25.6,53100,0
2000-01-28,25.41,27.3,21.2,21.95,23600,0
2000-01-31,21.78,25.59,21.7,23.8,13600,0
2000-02-01,24.79,26,24.5,25.15,15900,0
2000-02-02,25.9,25.9,23.05,24.25,6300,0
2000-02-03,24.05,25.5,23.1,25.49,15700,0
2000-02-04,23.75,24.99,22,23,12400,0
2000-02-07,23.4,23.4,20,21.4,8100,0
2000-02-08,21.4,21.49,20.5,21.2,5300,0
2000-02-09,21.05,22.51,18.5,18.9,22200,0
2000-02-10,18.8,20.8,17.06,20.8,15300,0
2000-02-11,20.9,21.1,19.6,20.55,14100,0
2000-02-14,20.95,21.49,20,20,15600,0
2000-02-15,20.1,20.4,19.9,19.99,3200,0
2000-02-16,20.1,21,20,20.35,3500,0
2000-02-17,20.1,20.37,18.71,20.1,5500,0
2000-02-18,20.1,20.28,18.85,18.85,4200,0
2000-02-21,18.7,18.7,16.56,17.5,6200,0
2000-02-22,18.2,20.01,17.5,19.3,6400,0
2000-02-23,21,21.48,19.72,19.72,8300,0
2000-02-24,19.6,21.99,19.6,20.3,9800,0
2000-02-25,20.05,21,18.5,19.2,4800,0
2000-02-28,19.2,19.95,18.51,19,4300,0
2000-02-29,19.02,19.6,18.5,19,1600,0
2000-03-01,18.85,18.98,18.25,18.8,1300,0
2000-03-02,18,18.71,17.75,18.15,4600,0
2000-03-03,18,18.65,18,18.1,1600,0
2000-03-06,18,19,18,18,6800,0
2000-03-07,18.05,18.82,18.05,18.7,2100,0
2000-03-08,18.2,18.2,17.41,17.45,4600,0
2000-03-09,17.5,17.5,17,17.45,1300,0
2000-03-10,17,17.1,16.16,16.45,5800,0
2000-03-14,14.61,17.99,14.61,17,13400,0
2000-03-15,16.31,17.57,15.92,17.1,7900,0
2000-03-16,17.41,20.5,17.41,19.6,18000,0
2000-03-17,19.43,20.5,17.24,17.24,13800,0
2000-03-20,18,19.8,18,18.56,3200,0
2000-03-21,18.7,18.9,17.6,17.6,2300,0
2000-03-22,17.55,18.2,17.55,18,400,0
2000-03-23,17.55,17.9,17.55,17.75,600,0
2000-03-24,17.88,17.88,16.78,16.91,4100,0
2000-03-27,16.98,16.98,16.21,16.21,1000,0
2000-03-28,16.5,16.5,16.2,16.35,1700,0
2000-03-29,16.25,16.25,15.9,16,3400,0
2000-03-30,15.8,16.53,15.7,16.25,3100,0
2000-03-31,15.4,15.85,14.52,15.8,1400,0
2000-04-03,15.3,16,14.52,14.52,3500,0
2000-04-04,14.5,14.5,12.9,12.9,6800,0
2000-04-05,13.3,13.89,12.4,12.84,4800,0
2000-04-06,12.6,13.5,12.5,13,15300,0
2000-04-07,13.7,14.2,12.7,13.25,7000,0
2000-04-10,13.7,13.7,13,13,1300,0
2000-04-11,12.9,12.9,12.39,12.39,3400,0
2000-04-12,12.22,12.5,12.17,12.17,2900,0
2000-04-13,12.12,12.12,10.89,11.6,8700,0
2000-04-14,11.3,11.6,11.2,11.2,100,0
2000-04-17,10.8,11,10.02,10.9,4400,0
2000-04-18,11.1,11.9,11.1,11.84,3300,0
2000-04-19,12,16.39,12,16,30500,0
2000-04-20,15.76,16.5,15,15,15200,0
2000-04-25,16.4,16.4,13.15,14,18800,0
2000-04-26,14.17,14.87,14,14.2,4100,0
2000-04-27,13.76,13.98,13,13.2,6200,0
2000-04-28,13.2,13.5,13.1,13.2,5600,0
2000-05-02,13.4,13.4,12.9,12.9,1400,0
2000-05-03,12.51,12.8,12,12,7000,0
2000-05-04,11.95,13.5,11.95,12.3,13200,0
2000-05-05,13,13.5,13,13.15,5600,0
2000-05-08,13.5,13.5,13,13.1,1000,0
2000-05-10,12.2,12.2,12.1,12.1,1200,0
2000-05-11,12,13,12,13,4300,0
2000-05-12,13.3,13.3,12.7,13.05,4200,0
2000-05-15,12.7,13,12.6,12.6,900,0
2000-05-16,12.6,12.6,12.25,12.3,1900,0
2000-05-17,12,12.48,12,12.48,1000,0
2000-05-18,12.4,12.5,12.06,12.1,800,0
2000-05-19,12.06,12.1,11.6,11.6,3400,0
2000-05-22,11.6,11.6,10.6,11,9300,0
2000-05-23,11,11,10.65,10.8,2200,0
2000-05-24,10,10.4,9.52,9.8,11500,0
2000-05-25,9.9,10.48,9.9,10.48,15600,0
2000-05-26,10.49,10.49,8.9,9.1,21200,0
2000-05-29,9.2,9.2,8.3,8.7,13700,0
2000-05-30,8.3,8.3,7.8,7.8,4400,0
2000-05-31,7.75,7.8,7.2,7.3,7500,0
2000-06-01,7.15,7.33,7.1,7.33,1200,0
2000-06-02,7.2,7.25,6.6,7.25,18600,0
2000-06-05,7.4,7.58,7.02,7.16,11100,0
2000-06-06,7.35,7.5,6.95,7.2,15200,0
2000-06-07,7.18,7.35,6.7,7,16200,0
2000-06-08,7,7.16,7,7.1,1500,0
2000-06-09,7.2,7.2,7,7,3500,0
2000-06-12,7.01,7.22,7,7.2,700,0
2000-06-13,7.16,7.2,6.9,6.9,5200,0
2000-06-14,7,7.24,6.94,7.24,6400,0
2000-06-15,7.15,8.52,7.12,8.52,40800,0
2000-06-16,8.4,9.8,8.2,8.28,31400,0
