Date,Open,High,Low,Close,Volume,OpenInt
2017-08-28,25.1,25.16,25.06,25.11,1301,0
2017-08-29,25.1413,25.1413,25.1413,25.1413,100,0
2017-08-30,25.266,25.266,25.266,25.266,673,0
2017-08-31,25.535,25.78,25.535,25.78,32460,0
2017-09-01,25.89,25.93,25.8575,25.8616,1100,0
2017-09-05,25.61,25.61,25.42,25.57,5700,0
2017-09-06,25.54,25.64,25.54,25.64,8609,0
2017-09-07,25.64,25.72,25.64,25.71,1519,0
2017-09-08,25.69,25.7,25.6537,25.6537,5663,0
2017-09-11,25.73,25.95,25.73,25.89,10125,0
2017-09-12,25.979,25.979,25.935,25.955,300,0
2017-09-13,26.0092,26.0239,26.0092,26.0239,300,0
2017-09-15,26.12,26.12,26.07,26.07,254,0
2017-09-18,26.29,26.31,26.2376,26.27,1002,0
2017-09-19,26.19,26.22,26.19,26.2076,492,0
2017-09-21,26.0464,26.06,26.0464,26.06,394,0
2017-09-22,26.0499,26.0587,26.0499,26.0587,475,0
2017-09-25,25.8628,25.8852,25.6999,25.6999,474,0
2017-09-26,25.7597,25.7597,25.7597,25.7597,100,0
2017-09-27,25.87,26.1,25.87,26.1,718,0
2017-09-28,26.06,26.14,26.06,26.104,1015,0
2017-09-29,26.37,26.37,26.37,26.37,200,0
2017-10-02,26.52,26.52,26.52,26.52,100,0
2017-10-03,26.6399,26.6399,26.6103,26.6103,200,0
2017-10-04,26.6672,26.6884,26.6672,26.6884,353,0
2017-10-05,26.98,26.98,26.7525,26.8999,1598,0
2017-10-09,27.015,27.04,27.015,27.04,200,0
2017-10-10,26.99,26.99,26.9377,26.9377,726,0
2017-10-11,27.05,27.0999,27.05,27.0999,422,0
2017-10-13,27.185,27.187,27.185,27.187,313,0
2017-10-16,27.2,27.2151,27.2,27.2151,200,0
2017-10-17,27.39,27.39,27.39,27.39,172,0
2017-10-18,27.3999,27.42,27.3832,27.42,1190,0
2017-10-19,27.21,27.21,27.13,27.18,6866,0
2017-10-20,27.39,27.39,27.3603,27.37,1561,0
2017-10-23,27.25,27.25,27.25,27.25,385,0
2017-10-24,27.29,27.42,27.29,27.38,716,0
2017-10-25,26.989,27.08,26.885,27.06,3742,0
2017-10-27,27.1747,27.25,27.1747,27.25,201,0
2017-10-30,27.2901,27.35,27.2901,27.3239,2166,0
2017-10-31,27.22,27.53,27.22,27.528,623,0
2017-11-02,27.27,27.299,27.218,27.299,2110,0
2017-11-03,27.419,27.6199,27.37,27.588,1001,0
2017-11-07,27.795,27.795,27.795,27.795,100,0
2017-11-08,27.9994,27.9994,27.9994,27.9994,100,0
2017-11-09,27.79,27.86,27.6399,27.72,5226,0
