Date,Open,High,Low,Close,Volume,OpenInt
2017-11-16,8.25,8.43,8,8.4,8539686,0
2017-11-17,8.22,8.28,7.15,7.2,2997956,0
2017-11-20,7.31,7.59,7.31,7.4,802529,0
2017-11-21,7.3,7.3,5.5,6.6,6019837,0
2017-11-22,6.35,6.41,5.57,5.75,1877792,0
2017-11-24,5.76,5.76,4.86,4.9,1915557,0
2017-11-27,5.08,5.2,4.75,5.04,1263769,0
2017-11-28,5.06,5.29,4.83,5.24,1379701,0
2017-11-29,5.3,5.312,4.8,5,732923,0
2017-11-30,5.08,5.3,4.855,5.22,604731,0
2017-12-01,4.85,5.18,4.85,5,612904,0
2017-12-04,5.1,5.3,4.89,5.15,660138,0
2017-12-05,5.1,5.16,4.9,4.91,449067,0
2017-12-06,4.98,4.98,4.82,4.86,240867,0
2017-12-07,4.97,5.65,4.93,5.61,407851,0
2017-12-08,5.63,6.14,5.34,6,1144608,0
2017-12-11,5.98,6.59,5.98,6.4,1082668,0
2017-12-12,6.29,6.85,6.21,6.7,732683,0
2017-12-13,6.59,8.12,6.58,8,2031657,0
2017-12-14,7.88,7.91,7.15,7.4,2009478,0
2017-12-15,7.39,7.5,7.17,7.5,1206141,0
2017-12-18,7.37,7.44,6.7,6.7,635439,0
2017-12-19,6.81,7.25,6.31,6.97,1160235,0
2017-12-20,7.05,7.05,6.75,6.8,422028,0
2017-12-21,6.7,6.89,6.6,6.7,406303,0
2017-12-22,6.73,6.77,6.59,6.67,268956,0
2017-12-26,6.67,6.67,6.45,6.51,435367,0
2017-12-27,6.45,6.57,6.42,6.54,313572,0
2017-12-28,6.66,6.7691,6.61,6.64,551968,0
2017-12-29,6.61,6.685,6.46,6.48,520578,0
2018-01-02,6.77,7.2,6.46,6.5,256961,0
2018-01-03,6.55,6.8558,6.5,6.58,222383,0
2018-01-04,6.73,6.73,6.33,6.37,378501,0
2018-01-05,6.41,6.86,6.41,6.8,273435,0
2018-01-08,7.04,7.48,6.96,7.45,622172,0
2018-01-09,7.52,7.85,7.42,7.65,901299,0
2018-01-10,7.57,7.7,7.22,7.49,517828,0
2018-01-11,7.48,7.68,7.38,7.49,479329,0
2018-01-12,7.49,7.49,6.85,7.03,637867,0
2018-01-16,7.01,7.17,6.907,7.02,233191,0
2018-01-17,7.01,7.09,6.87,7.03,197706,0
2018-01-18,7.11,7.65,7.1,7.35,419149,0
2018-01-19,7.31,7.7249,7.31,7.64,332848,0
2018-01-22,7.78,7.84,7.42,7.58,174643,0
2018-01-23,7.57,8,7.55,7.69,280696,0
2018-01-24,7.79,8.85,7.7,8.81,718601,0
2018-01-25,8.8,9.49,8.19,8.82,1027529,0
2018-01-26,8.82,8.82,8.23,8.38,461386,0
2018-01-29,8.38,8.3993,8.15,8.36,141733,0
2018-01-30,8.36,8.36,8.13,8.24,248330,0
2018-01-31,8.26,8.299,7.4,7.71,410765,0
2018-02-01,7.71,8.019,7.47,7.6,309238,0
2018-02-02,7.48,7.655,7.25,7.56,172195,0
2018-02-05,7.5,7.51,7.05,7.1,224315,0
2018-02-06,6.81,7.1,6.6,6.7,515853,0
2018-02-07,6.75,6.9795,6.61,6.78,224283,0
2018-02-08,6.77,6.91,6.6,6.65,126502,0
2018-02-09,6.64,6.7399,6.56,6.64,374604,0
2018-02-12,6.68,7,6.61,6.76,301481,0
2018-02-13,6.87,6.87,6.65,6.71,370065,0
2018-02-14,6.77,6.98,6.69,6.83,348161,0
2018-02-15,6.88,7.49,6.8,7.28,368859,0
2018-02-16,7.35,7.45,7.2,7.26,142277,0
2018-02-20,7.53,7.78,7.31,7.36,250507,0
2018-02-21,7.28,7.4621,7.2,7.4,156847,0
2018-02-22,7.35,7.65,7.25,7.46,225596,0
2018-02-23,7.47,7.61,7.27,7.43,176397,0
2018-02-26,7.5,7.5,7.2614,7.32,118926,0
2018-02-27,7.35,7.39,7.2,7.28,152254,0
2018-02-28,7.25,7.31,6.6,6.69,329784,0
2018-03-01,6.74,6.7558,6.5941,6.73,285389,0
2018-03-02,6.7,7.09,6.59,6.93,265025,0
2018-03-05,7.09,7.25,6.6,6.69,503780,0
2018-03-06,6.73,6.77,6.28,6.3,451851,0
2018-03-07,6.3,6.37,6.01,6.11,420967,0
2018-03-08,6.12,6.19,6,6.02,283646,0
2018-03-09,6,6.11,5.8901,6,732423,0
2018-03-12,6.07,6.37,5.99,6.31,454398,0
2018-03-13,6.34,6.46,6.05,6.24,266112,0
2018-03-14,6.24,6.34,6.24,6.3,203959,0
2018-03-15,6.31,6.3899,6.22,6.29,143850,0
2018-03-16,6.32,6.39,6.28,6.35,217249,0
2018-03-19,6.32,6.32,6.16,6.22,122927,0
2018-03-20,6.22,6.3,6.03,6.15,298437,0
2018-03-21,6.2,6.27,6.2,6.23,356636,0
2018-03-22,6.2,6.21,6.02,6.05,264154,0
2018-03-23,6.04,6.09,5.92,6.04,383320,0
2018-03-26,6.07,6.07,5.5301,5.67,458944,0
2018-03-27,5.65,5.85,5.55,5.81,283700,0
2018-03-28,5.82,5.82,5.51,5.54,148000,0
2018-03-29,5.54,5.6,5.29,5.53,1434830,0
