Date,Open,High,Low,Close,Volume,OpenInt
2018-02-12,24.17,24.17,24.1599,24.1599,1227,0
2018-02-13,24.1176,24.19,24.1176,24.19,5140,0
2018-02-14,24.2999,24.2999,24.2999,24.2999,141,0
2018-02-15,24.25,24.32,24.25,24.32,25521,0
2018-02-16,23.83,23.83,23.83,23.83,839,0
2018-02-20,23.56,23.639,23.55,23.57,4082,0
2018-02-21,23.69,23.709,23.5675,23.5675,1162,0
2018-02-22,23.475,23.499,23.475,23.4752,636,0
2018-02-23,24.17,24.17,23.78,23.8348,1826,0
2018-02-26,24.92,24.92,23.9105,23.98,31136,0
2018-02-27,23.91,23.91,23.676,23.676,9550,0
2018-02-28,23.63,23.63,23.54,23.54,1858,0
2018-03-01,23.35,23.35,23.31,23.31,627,0
2018-03-02,23.32,23.36,23.32,23.36,1145,0
2018-03-05,23.29,23.5,23.29,23.5,705,0
2018-03-06,23.41,23.41,23.2,23.2,200,0
2018-03-07,23.02,23.1002,23,23.1002,1492,0
2018-03-08,23.04,23.07,23.04,23.07,346,0
2018-03-09,23.08,23.08,23.08,23.08,400,0
2018-03-12,23.44,23.5,23.4318,23.4318,3507,0
2018-03-13,23.547,23.547,23.44,23.44,421,0
2018-03-14,23.72,23.77,23.44,23.44,3773,0
2018-03-15,23.349,23.349,23.29,23.29,538,0
2018-03-16,23.12,23.13,23.1,23.13,1983,0
2018-03-19,22.75,22.75,22.63,22.63,1078,0
2018-03-21,22.9864,23.0499,22.96,23.04,1123,0
2018-03-22,22.7745,22.7745,22.615,22.615,1686,0
2018-03-23,22.6198,22.63,22.5,22.5,492,0
2018-03-26,22.9542,22.9542,22.92,22.92,200,0
2018-03-27,23.0548,23.0602,22.9704,22.98,500,0
2018-03-28,22.82,22.82,22.82,22.82,138,0
2018-03-29,22.92,23.16,22.92,23.15,1586,0
