Date,Open,High,Low,Close,Volume,OpenInt
2010-06-30,55.6,55.6,55.6,55.6,0,0
2010-07-30,56.7,56.7,56.7,56.7,0,0
2010-08-31,55.1,55.1,55.1,55.1,0,0
2010-09-30,53.7,53.7,53.7,53.7,0,0
2010-10-29,54.6,54.6,54.6,54.6,0,0
2010-11-30,55.3,55.3,55.3,55.3,0,0
2010-12-31,57.1,57.1,57.1,57.1,0,0
2011-01-31,57.3,57.3,57.3,57.3,0,0
2011-02-28,59,59,59,59,0,0
2011-03-31,57.5,57.5,57.5,57.5,0,0
2011-04-29,58,58,58,58,0,0
2011-05-31,54.6,54.6,54.6,54.6,0,0
2011-06-30,52,52,52,52,0,0
2011-07-29,50.4,50.4,50.4,50.4,0,0
2011-08-31,48.4,48.4,48.4,48.4,0,0
2011-09-30,48.5,48.5,48.5,48.5,0,0
2011-10-31,47.1,47.1,47.1,47.1,0,0
2011-11-30,46.4,46.4,46.4,46.4,0,0
2011-12-30,46.9,46.9,46.9,46.9,0,0
2012-01-31,48.8,48.8,48.8,48.8,0,0
2012-02-29,49,49,49,49,0,0
2012-03-30,47.7,47.7,47.7,47.7,0,0
2012-04-30,45.9,45.9,45.9,45.9,0,0
2012-05-31,45.1,45.1,45.1,45.1,0,0
2012-06-29,45.1,45.1,45.1,45.1,0,0
2012-07-31,44,44,44,44,0,0
2012-08-31,45.1,45.1,45.1,45.1,0,0
2012-09-28,46.1,46.1,46.1,46.1,0,0
2012-10-31,45.4,45.4,45.4,45.4,0,0
2012-11-30,46.2,46.2,46.2,46.2,0,0
2012-12-31,46.1,46.1,46.1,46.1,0,0
2013-01-31,47.9,47.9,47.9,47.9,0,0
2013-02-28,47.9,47.9,47.9,47.9,0,0
2013-03-29,46.8,46.8,46.8,46.8,0,0
2013-04-30,46.7,46.7,46.7,46.7,0,0
2013-05-31,48.3,48.3,48.3,48.3,0,0
2013-06-28,48.8,48.8,48.8,48.8,0,0
2013-07-31,50.3,50.3,50.3,50.3,0,0
2013-08-30,51.4,51.4,51.4,51.4,0,0
2013-09-30,51.1,51.1,51.1,51.1,0,0
2013-10-31,51.3,51.3,51.3,51.3,0,0
2013-11-29,51.6,51.6,51.6,51.6,0,0
2013-12-31,52.7,52.7,52.7,52.7,0,0
2014-01-31,54,54,54,54,0,0
2014-02-28,53.2,53.2,53.2,53.2,0,0
2014-03-31,53.3,53.3,53.3,53.3,0,0
2014-04-30,53.4,53.4,53.4,53.4,0,0
2014-05-30,52.2,52.2,52.2,52.2,0,0
2014-06-30,51.8,51.8,51.8,51.8,0,0
2014-07-31,51.8,51.8,51.8,51.8,0,0
2014-08-29,50.7,50.7,50.7,50.7,0,0
2014-09-30,50.3,50.3,50.3,50.3,0,0
2014-10-31,50.4,50.4,50.4,50.4,0,0
2014-11-28,50.1,50.1,50.1,50.1,0,0
2014-12-31,50.6,50.6,50.6,50.6,0,0
2015-01-30,51,51,51,51,0,0
2015-02-27,51,51,51,51,0,0
2015-03-31,52.2,52.2,52.2,52.2,0,0
2015-04-30,52,52,52,52,0,0
2015-05-29,52.2,52.2,52.2,52.2,0,0
2015-06-30,52.5,52.5,52.5,52.5,0,0
2015-07-31,52.4,52.4,52.4,52.4,0,0
2015-08-31,52.3,52.3,52.3,52.3,0,0
2015-09-30,52,52,52,52,0,0
2015-10-30,52.3,52.3,52.3,52.3,0,0
2015-11-30,52.8,52.8,52.8,52.8,0,0
2015-12-31,53.2,53.2,53.2,53.2,0,0
2016-01-29,52.3,52.3,52.3,52.3,0,0
2016-02-29,51.2,51.2,51.2,51.2,0,0
2016-03-31,51.6,51.6,51.6,51.6,0,0
2016-04-29,51.7,51.7,51.7,51.7,0,0
2016-05-31,51.5,51.5,51.5,51.5,0,0
2016-06-30,52.8,52.8,52.8,52.8,0,0
2016-07-29,52,52,52,52,0,0
2016-08-31,51.7,51.7,51.7,51.7,0,0
2016-09-30,52.6,52.6,52.6,52.6,0,0
2016-10-31,53.5,53.5,53.5,53.5,0,0
2016-11-30,53.7,53.7,53.7,53.7,0,0
2016-12-30,54.9,54.9,54.9,54.9,0,0
2017-01-31,55.2,55.2,55.2,55.2,0,0
2017-02-28,55.4,55.4,55.4,55.4,0,0
2017-03-31,56.2,56.2,56.2,56.2,0,0
2017-04-28,56.7,56.7,56.7,56.7,0,0
2017-05-31,57,57,57,57,0,0
2017-06-30,57.4,57.4,57.4,57.4,0,0
2017-07-31,56.6,56.6,56.6,56.6,0,0
2017-08-31,57.4,57.4,57.4,57.4,0,0
2017-09-29,58.1,58.1,58.1,58.1,0,0
2017-10-31,58.5,58.5,58.5,58.5,0,0
2017-11-30,60.1,60.1,60.1,60.1,0,0
2017-12-29,60.6,60.6,60.6,60.6,0,0
2018-01-31,58.6,58.6,58.6,58.6,0,0
2018-03-30,56.6,56.6,56.6,56.6,0,0
