Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,1.5547,1.5547,1.5547,1.5547,0,0
1995-01-04,1.5578,1.5578,1.5578,1.5578,0,0
1995-01-05,1.5613,1.5613,1.5613,1.5613,0,0
1995-01-06,1.5569,1.5569,1.5569,1.5569,0,0
1995-01-09,1.5448,1.5448,1.5448,1.5448,0,0
1995-01-10,1.5429,1.5429,1.5429,1.5429,0,0
1995-01-11,1.5135,1.5135,1.5135,1.5135,0,0
1995-01-12,1.5231,1.5231,1.5231,1.5231,0,0
1995-01-13,1.5232,1.5232,1.5232,1.5232,0,0
1995-01-16,1.5187,1.5187,1.5187,1.5187,0,0
1995-01-17,1.5266,1.5266,1.5266,1.5266,0,0
1995-01-18,1.5179,1.5179,1.5179,1.5179,0,0
1995-01-19,1.5123,1.5123,1.5123,1.5123,0,0
1995-01-20,1.5264,1.5264,1.5264,1.5264,0,0
1995-01-23,1.4959,1.4959,1.4959,1.4959,0,0
1995-01-24,1.4936,1.4936,1.4936,1.4936,0,0
1995-01-25,1.4901,1.4901,1.4901,1.4901,0,0
1995-01-26,1.4982,1.4982,1.4982,1.4982,0,0
1995-01-27,1.5141,1.5141,1.5141,1.5141,0,0
1995-01-30,1.5063,1.5063,1.5063,1.5063,0,0
1995-01-31,1.5162,1.5162,1.5162,1.5162,0,0
1995-02-01,1.5079,1.5079,1.5079,1.5079,0,0
1995-02-02,1.5342,1.5342,1.5342,1.5342,0,0
1995-02-03,1.5321,1.5321,1.5321,1.5321,0,0
1995-02-06,1.5353,1.5353,1.5353,1.5353,0,0
1995-02-07,1.5484,1.5484,1.5484,1.5484,0,0
1995-02-08,1.5545,1.5545,1.5545,1.5545,0,0
1995-02-09,1.5593,1.5593,1.5593,1.5593,0,0
1995-02-10,1.5533,1.5533,1.5533,1.5533,0,0
1995-02-13,1.5541,1.5541,1.5541,1.5541,0,0
1995-02-14,1.5356,1.5356,1.5356,1.5356,0,0
1995-02-15,1.5383,1.5383,1.5383,1.5383,0,0
1995-02-16,1.5093,1.5093,1.5093,1.5093,0,0
1995-02-17,1.4887,1.4887,1.4887,1.4887,0,0
1995-02-20,1.4908,1.4908,1.4908,1.4908,0,0
1995-02-21,1.4814,1.4814,1.4814,1.4814,0,0
1995-02-22,1.4705,1.4705,1.4705,1.4705,0,0
1995-02-23,1.4759,1.4759,1.4759,1.4759,0,0
1995-02-24,1.4706,1.4706,1.4706,1.4706,0,0
1995-02-27,1.4673,1.4673,1.4673,1.4673,0,0
1995-02-28,1.4521,1.4521,1.4521,1.4521,0,0
1995-03-01,1.4544,1.4544,1.4544,1.4544,0,0
1995-03-02,1.4579,1.4579,1.4579,1.4579,0,0
1995-03-03,1.4432,1.4432,1.4432,1.4432,0,0
1995-03-06,1.4202,1.4202,1.4202,1.4202,0,0
1995-03-07,1.3238,1.3238,1.3238,1.3238,0,0
1995-03-08,1.3163,1.3163,1.3163,1.3163,0,0
1995-03-09,1.2916,1.2916,1.2916,1.2916,0,0
1995-03-10,1.3217,1.3217,1.3217,1.3217,0,0
1995-03-13,1.3413,1.3413,1.3413,1.3413,0,0
1995-03-14,1.3306,1.3306,1.3306,1.3306,0,0
1995-03-15,1.3267,1.3267,1.3267,1.3267,0,0
1995-03-16,1.3042,1.3042,1.3042,1.3042,0,0
1995-03-17,1.2866,1.2866,1.2866,1.2866,0,0
1995-03-20,1.2697,1.2697,1.2697,1.2697,0,0
1995-03-21,1.298,1.298,1.298,1.298,0,0
1995-03-22,1.2805,1.2805,1.2805,1.2805,0,0
1995-03-23,1.2935,1.2935,1.2935,1.2935,0,0
1995-03-24,1.2758,1.2758,1.2758,1.2758,0,0
1995-03-27,1.2801,1.2801,1.2801,1.2801,0,0
1995-03-28,1.2837,1.2837,1.2837,1.2837,0,0
1995-03-29,1.2762,1.2762,1.2762,1.2762,0,0
1995-03-30,1.2577,1.2577,1.2577,1.2577,0,0
1995-03-31,1.2956,1.2956,1.2956,1.2956,0,0
1995-04-03,1.2615,1.2615,1.2615,1.2615,0,0
1995-04-04,1.255,1.255,1.255,1.255,0,0
1995-04-05,1.2591,1.2591,1.2591,1.2591,0,0
1995-04-06,1.2566,1.2566,1.2566,1.2566,0,0
1995-04-07,1.2587,1.2587,1.2587,1.2587,0,0
1995-04-10,1.2585,1.2585,1.2585,1.2585,0,0
1995-04-11,1.2769,1.2769,1.2769,1.2769,0,0
1995-04-12,1.2804,1.2804,1.2804,1.2804,0,0
1995-04-13,1.2709,1.2709,1.2709,1.2709,0,0
1995-04-14,1.2712,1.2712,1.2712,1.2712,0,0
1995-04-18,1.2672,1.2672,1.2672,1.2672,0,0
1995-04-19,1.2311,1.2311,1.2311,1.2311,0,0
1995-04-20,1.2251,1.2251,1.2251,1.2251,0,0
1995-04-21,1.2485,1.2485,1.2485,1.2485,0,0
1995-04-24,1.2554,1.2554,1.2554,1.2554,0,0
1995-04-25,1.2289,1.2289,1.2289,1.2289,0,0
1995-04-26,1.2339,1.2339,1.2339,1.2339,0,0
1995-04-27,1.246,1.246,1.246,1.246,0,0
1995-04-28,1.2397,1.2397,1.2397,1.2397,0,0
1995-05-04,1.2554,1.2554,1.2554,1.2554,0,0
1995-05-05,1.2604,1.2604,1.2604,1.2604,0,0
1995-05-09,1.255,1.255,1.255,1.255,0,0
1995-05-10,1.2657,1.2657,1.2657,1.2657,0,0
1995-05-11,1.2741,1.2741,1.2741,1.2741,0,0
1995-05-12,1.3084,1.3084,1.3084,1.3084,0,0
1995-05-15,1.355,1.355,1.355,1.355,0,0
1995-05-16,1.3588,1.3588,1.3588,1.3588,0,0
1995-05-17,1.3432,1.3432,1.3432,1.3432,0,0
1995-05-18,1.3635,1.3635,1.3635,1.3635,0,0
1995-05-19,1.3477,1.3477,1.3477,1.3477,0,0
