Date,Open,High,Low,Close,Volume,OpenInt
1984-01-09,2.77,2.77,2.77,2.77,0,0
1984-01-16,2.71,2.71,2.71,2.71,0,0
1984-01-23,2.71,2.71,2.71,2.71,0,0
1984-01-30,2.71,2.71,2.71,2.71,0,0
1984-02-06,2.71,2.71,2.71,2.71,0,0
1984-02-13,2.71,2.71,2.71,2.71,0,0
1984-02-20,2.65,2.65,2.65,2.65,0,0
1984-03-01,2.7727,2.7727,2.7727,2.7727,0,0
1984-03-05,2.7182,2.7182,2.7182,2.7182,0,0
1984-03-12,2.45,2.45,2.45,2.45,0,0
1984-03-19,2.45,2.45,2.45,2.45,0,0
1984-03-26,2.6727,2.6727,2.6727,2.6727,0,0
1984-04-02,2.7182,2.7182,2.7182,2.7182,0,0
1984-04-09,2.6727,2.6727,2.6727,2.6727,0,0
1984-04-16,2.6727,2.6727,2.6727,2.6727,0,0
1984-04-24,2.6727,2.6727,2.6727,2.6727,0,0
1984-05-02,2.6182,2.6182,2.6182,2.6182,0,0
1984-05-07,2.6182,2.6182,2.6182,2.6182,0,0
1984-05-14,2.6182,2.6182,2.6182,2.6182,0,0
1984-05-21,2.5636,2.5636,2.5636,2.5636,0,0
1984-05-28,2.5636,2.5636,2.5636,2.5636,0,0
1984-06-04,2.6182,2.6182,2.6182,2.6182,0,0
1984-06-11,2.5636,2.5636,2.5636,2.5636,0,0
1984-06-18,2.5636,2.5636,2.5636,2.5636,0,0
1984-06-25,2.5636,2.5636,2.5636,2.5636,0,0
1984-07-02,2.5636,2.5636,2.5636,2.5636,0,0
1984-07-09,2.5182,2.5182,2.5182,2.5182,0,0
1984-07-16,2.5182,2.5182,2.5182,2.5182,0,0
1984-07-23,2.5182,2.5182,2.5182,2.5182,0,0
1984-07-30,2.4636,2.4636,2.4636,2.4636,0,0
1984-08-06,2.5182,2.5182,2.5182,2.5182,0,0
1984-08-13,2.4091,2.4091,2.4091,2.4091,0,0
1984-08-20,2.4636,2.4636,2.4636,2.4636,0,0
1984-08-27,2.4091,2.4091,2.4091,2.4091,0,0
1984-09-01,2.4,2.4,2.4,2.4,0,0
1984-09-10,2.3083,2.3083,2.3083,2.3083,0,0
1984-09-17,2.5182,2.5182,2.5182,2.5182,0,0
1984-09-24,2.5182,2.5182,2.5182,2.5182,0,0
1984-10-01,2.4636,2.4636,2.4636,2.4636,0,0
1984-10-08,2.4636,2.4636,2.4636,2.4636,0,0
1984-10-15,2.4091,2.4091,2.4091,2.4091,0,0
1984-10-22,2.4091,2.4091,2.4091,2.4091,0,0
1984-10-29,2.4636,2.4636,2.4636,2.4636,0,0
1984-11-05,2.5182,2.5182,2.5182,2.5182,0,0
1984-11-12,2.2583,2.2583,2.2583,2.2583,0,0
1984-11-19,2.1667,2.1667,2.1667,2.1667,0,0
1984-11-26,2.1167,2.1167,2.1167,2.1167,0,0
1984-12-01,2.3636,2.3636,2.3636,2.3636,0,0
1984-12-10,2.3091,2.3091,2.3091,2.3091,0,0
1984-12-17,2.3091,2.3091,2.3091,2.3091,0,0
1984-12-24,2.3091,2.3091,2.3091,2.3091,0,0
1985-01-01,2.3083,2.3083,2.3083,2.3083,0,0
1985-01-07,2.3083,2.3083,2.3083,2.3083,0,0
1985-01-14,2.3083,2.3083,2.3083,2.3083,0,0
1985-01-21,2.3083,2.3083,2.3083,2.3083,0,0
1985-01-28,2.3083,2.3083,2.3083,2.3083,0,0
1985-02-04,2.3083,2.3083,2.3083,2.3083,0,0
1985-02-11,2.35,2.35,2.35,2.35,0,0
1985-02-18,2.35,2.35,2.35,2.35,0,0
1985-02-25,2.35,2.35,2.35,2.35,0,0
1985-03-04,2.3083,2.3083,2.3083,2.3083,0,0
1985-03-11,2.35,2.35,2.35,2.35,0,0
1985-03-18,2.3083,2.3083,2.3083,2.3083,0,0
1985-03-25,2.3083,2.3083,2.3083,2.3083,0,0
1985-03-29,2.3083,2.3083,2.3083,2.3083,0,0
1985-04-01,2.3083,2.3083,2.3083,2.3083,0,0
1985-04-09,2.2583,2.2583,2.2583,2.2583,0,0
1985-04-15,2.3083,2.3083,2.3083,2.3083,0,0
1985-04-22,2.0846,2.0846,2.0846,2.0846,0,0
1985-04-29,2.2083,2.2083,2.2083,2.2083,0,0
1985-05-06,2.2583,2.2583,2.2583,2.2583,0,0
1985-05-13,2.3083,2.3083,2.3083,2.3083,0,0
1985-05-20,2.2583,2.2583,2.2583,2.2583,0,0
1985-05-27,2.2583,2.2583,2.2583,2.2583,0,0
1985-06-01,2.2643,2.2643,2.2643,2.2643,0,0
1985-06-10,2.2214,2.2214,2.2214,2.2214,0,0
1985-06-17,2.2643,2.2643,2.2643,2.2643,0,0
1985-06-24,2.2214,2.2214,2.2214,2.2214,0,0
1985-07-01,2.2214,2.2214,2.2214,2.2214,0,0
1985-07-08,2.2214,2.2214,2.2214,2.2214,0,0
1985-07-15,2.0733,2.0733,2.0733,2.0733,0,0
1985-07-23,2.0333,2.0333,2.0333,2.0333,0,0
1985-07-29,1.9933,1.9933,1.9933,1.9933,0,0
1985-08-05,1.9933,1.9933,1.9933,1.9933,0,0
1985-08-12,1.9933,1.9933,1.9933,1.9933,0,0
1985-08-19,1.9933,1.9933,1.9933,1.9933,0,0
1985-08-26,1.9933,1.9933,1.9933,1.9933,0,0
1985-09-02,1.9933,1.9933,1.9933,1.9933,0,0
1985-09-09,1.96,1.96,1.96,1.96,0,0
1985-09-16,1.9933,1.9933,1.9933,1.9933,0,0
1985-09-23,1.96,1.96,1.96,1.96,0,0
1985-09-30,1.92,1.92,1.92,1.92,0,0
1985-10-07,1.7625,1.7625,1.7625,1.7625,0,0
1985-10-14,1.7625,1.7625,1.7625,1.7625,0,0
1985-10-21,1.7313,1.7313,1.7313,1.7313,0,0
1985-10-28,1.6563,1.6563,1.6563,1.6563,0,0
1985-11-04,1.6563,1.6563,1.6563,1.6563,0,0
1985-11-11,1.6563,1.6563,1.6563,1.6563,0,0
1985-11-18,1.6563,1.6563,1.6563,1.6563,0,0
1985-11-25,1.6563,1.6563,1.6563,1.6563,0,0
1985-12-02,1.625,1.625,1.625,1.625,0,0
1985-12-09,1.625,1.625,1.625,1.625,0,0
1985-12-16,1.625,1.625,1.625,1.625,0,0
1985-12-23,1.625,1.625,1.625,1.625,0,0
1986-01-01,1.625,1.625,1.625,1.625,0,0
1986-01-06,1.625,1.625,1.625,1.625,0,0
1986-01-13,1.625,1.625,1.625,1.625,0,0
1986-01-20,1.625,1.625,1.625,1.625,0,0
1986-01-27,1.625,1.625,1.625,1.625,0,0
1986-02-01,1.5737,1.5737,1.5737,1.5737,0,0
1986-02-10,1.5737,1.5737,1.5737,1.5737,0,0
1986-02-17,1.5737,1.5737,1.5737,1.5737,0,0
1986-02-24,1.5737,1.5737,1.5737,1.5737,0,0
1986-03-01,1.47,1.47,1.47,1.47,0,0
1986-03-03,1.47,1.47,1.47,1.47,0,0
1986-03-10,1.44,1.44,1.44,1.44,0,0
1986-03-17,1.47,1.47,1.47,1.47,0,0
1986-03-18,1.47,1.47,1.47,1.47,0,0
1986-03-24,1.47,1.47,1.47,1.47,0,0
1986-04-01,1.47,1.47,1.47,1.47,0,0
1986-04-07,1.47,1.47,1.47,1.47,0,0
1986-04-09,1.47,1.47,1.47,1.47,0,0
1986-04-14,1.5737,1.5737,1.5737,1.5737,0,0
1986-04-21,1.47,1.47,1.47,1.47,0,0
1986-04-28,1.44,1.44,1.44,1.44,0,0
1986-05-05,1.44,1.44,1.44,1.44,0,0
