Date,Open,High,Low,Close,Volume,OpenInt
1971-01-04,0.8978,0.8978,0.8978,0.8978,0,0
1971-01-05,0.8974,0.8974,0.8974,0.8974,0,0
1971-01-06,0.8968,0.8968,0.8968,0.8968,0,0
1971-01-07,0.8969,0.8969,0.8969,0.8969,0,0
1971-01-08,0.8965,0.8965,0.8965,0.8965,0,0
1971-01-11,0.8958,0.8958,0.8958,0.8958,0,0
1971-01-12,0.8955,0.8955,0.8955,0.8955,0,0
1971-01-13,0.8947,0.8947,0.8947,0.8947,0,0
1971-01-14,0.8929,0.8929,0.8929,0.8929,0,0
1971-01-15,0.8934,0.8934,0.8934,0.8934,0,0
1971-01-18,0.8936,0.8936,0.8936,0.8936,0,0
1971-01-19,0.8925,0.8925,0.8925,0.8925,0,0
1971-01-20,0.8925,0.8925,0.8925,0.8925,0,0
1971-01-21,0.8921,0.8921,0.8921,0.8921,0,0
1971-01-22,0.8917,0.8917,0.8917,0.8917,0,0
1971-01-25,0.89,0.89,0.89,0.89,0,0
1971-01-26,0.8896,0.8896,0.8896,0.8896,0,0
1971-01-27,0.8895,0.8895,0.8895,0.8895,0,0
1971-01-28,0.8892,0.8892,0.8892,0.8892,0,0
1971-01-29,0.8891,0.8891,0.8891,0.8891,0,0
1971-02-01,0.8887,0.8887,0.8887,0.8887,0,0
1971-02-02,0.8888,0.8888,0.8888,0.8888,0,0
1971-02-03,0.8887,0.8887,0.8887,0.8887,0,0
1971-02-04,0.8893,0.8893,0.8893,0.8893,0,0
1971-02-05,0.8901,0.8901,0.8901,0.8901,0,0
1971-02-08,0.8887,0.8887,0.8887,0.8887,0,0
1971-02-09,0.8899,0.8899,0.8899,0.8899,0,0
1971-02-10,0.8896,0.8896,0.8896,0.8896,0,0
1971-02-11,0.8897,0.8897,0.8897,0.8897,0,0
1971-02-16,0.8883,0.8883,0.8883,0.8883,0,0
1971-02-17,0.8883,0.8883,0.8883,0.8883,0,0
1971-02-18,0.8884,0.8884,0.8884,0.8884,0,0
1971-02-19,0.8885,0.8885,0.8885,0.8885,0,0
1971-02-22,0.8884,0.8884,0.8884,0.8884,0,0
1971-02-23,0.8883,0.8883,0.8883,0.8883,0,0
1971-02-24,0.8883,0.8883,0.8883,0.8883,0,0
1971-02-25,0.889,0.889,0.889,0.889,0,0
1971-02-26,0.8896,0.8896,0.8896,0.8896,0,0
1971-03-01,0.8895,0.8895,0.8895,0.8895,0,0
1971-03-02,0.8887,0.8887,0.8887,0.8887,0,0
1971-03-03,0.8883,0.8883,0.8883,0.8883,0,0
1971-03-04,0.8889,0.8889,0.8889,0.8889,0,0
1971-03-05,0.8887,0.8887,0.8887,0.8887,0,0
1971-03-08,0.8884,0.8884,0.8884,0.8884,0,0
1971-03-09,0.8884,0.8884,0.8884,0.8884,0,0
1971-03-10,0.8884,0.8884,0.8884,0.8884,0,0
1971-03-11,0.8886,0.8886,0.8886,0.8886,0,0
1971-03-12,0.8883,0.8883,0.8883,0.8883,0,0
1971-03-15,0.8883,0.8883,0.8883,0.8883,0,0
1971-03-16,0.8887,0.8887,0.8887,0.8887,0,0
1971-03-17,0.8883,0.8883,0.8883,0.8883,0,0
1971-03-18,0.8885,0.8885,0.8885,0.8885,0,0
1971-03-19,0.8885,0.8885,0.8885,0.8885,0,0
1971-03-22,0.8883,0.8883,0.8883,0.8883,0,0
1971-03-23,0.8883,0.8883,0.8883,0.8883,0,0
1971-03-24,0.8883,0.8883,0.8883,0.8883,0,0
1971-03-25,0.8887,0.8887,0.8887,0.8887,0,0
1971-03-26,0.8886,0.8886,0.8886,0.8886,0,0
1971-03-29,0.8883,0.8883,0.8883,0.8883,0,0
1971-03-30,0.8888,0.8888,0.8888,0.8888,0,0
1971-03-31,0.8893,0.8893,0.8893,0.8893,0,0
1971-04-01,0.8901,0.8901,0.8901,0.8901,0,0
1971-04-02,0.8909,0.8909,0.8909,0.8909,0,0
1971-04-05,0.8895,0.8895,0.8895,0.8895,0,0
1971-04-06,0.8885,0.8885,0.8885,0.8885,0,0
1971-04-07,0.8892,0.8892,0.8892,0.8892,0,0
1971-04-08,0.8893,0.8893,0.8893,0.8893,0,0
1971-04-09,0.8893,0.8893,0.8893,0.8893,0,0
1971-04-12,0.8892,0.8892,0.8892,0.8892,0,0
1971-04-13,0.8893,0.8893,0.8893,0.8893,0,0
