Date,Open,High,Low,Close,Volume,OpenInt
1984-01-09,5.0551,5.0551,5.0551,5.0551,0,0
1984-01-16,5.063,5.063,5.063,5.063,0,0
1984-01-23,5.0551,5.0551,5.0551,5.0551,0,0
1984-01-30,5.063,5.063,5.063,5.063,0,0
1984-02-06,5.1024,5.1024,5.1024,5.1024,0,0
1984-02-13,5.1024,5.1024,5.1024,5.1024,0,0
1984-02-20,5.0873,5.0873,5.0873,5.0873,0,0
1984-03-01,5.1844,5.1844,5.1844,5.1844,0,0
1984-03-05,5.1571,5.1571,5.1571,5.1571,0,0
1984-03-12,5.1871,5.1871,5.1871,5.1871,0,0
1984-03-19,5.2174,5.2174,5.2174,5.2174,0,0
1984-03-26,5.1857,5.1857,5.1857,5.1857,0,0
1984-04-02,5.1714,5.1714,5.1714,5.1714,0,0
1984-04-09,5.1286,5.1286,5.1286,5.1286,0,0
1984-04-16,5.1214,5.1214,5.1214,5.1214,0,0
1984-04-24,5.1206,5.1206,5.1206,5.1206,0,0
1984-05-02,5.1135,5.1135,5.1135,5.1135,0,0
1984-05-07,5.0845,5.0845,5.0845,5.0845,0,0
1984-05-14,5.0563,5.0563,5.0563,5.0563,0,0
1984-05-21,5.0563,5.0563,5.0563,5.0563,0,0
1984-05-28,5.0563,5.0563,5.0563,5.0563,0,0
1984-06-04,5.0916,5.0916,5.0916,5.0916,0,0
1984-06-11,5.0497,5.0497,5.0497,5.0497,0,0
1984-06-18,5.0141,5.0141,5.0141,5.0141,0,0
1984-06-25,4.9366,4.9366,4.9366,4.9366,0,0
1984-07-02,4.9511,4.9511,4.9511,4.9511,0,0
1984-07-09,4.8873,4.8873,4.8873,4.8873,0,0
1984-07-16,4.8532,4.8532,4.8532,4.8532,0,0
1984-07-23,3.875,3.875,3.875,3.875,0,0
1984-07-30,3.8819,3.8819,3.8819,3.8819,0,0
1984-08-06,3.9167,3.9167,3.9167,3.9167,0,0
1984-08-13,3.9028,3.9028,3.9028,3.9028,0,0
1984-08-20,3.9306,3.9306,3.9306,3.9306,0,0
1984-08-27,3.9306,3.9306,3.9306,3.9306,0,0
1984-09-01,3.9236,3.9236,3.9236,3.9236,0,0
1984-09-10,3.8544,3.8544,3.8544,3.8544,0,0
1984-09-17,3.8302,3.8302,3.8302,3.8302,0,0
1984-09-24,3.8323,3.8323,3.8323,3.8323,0,0
1984-10-01,3.8137,3.8137,3.8137,3.8137,0,0
1984-10-08,3.8063,3.8063,3.8063,3.8063,0,0
1984-10-15,3.7764,3.7764,3.7764,3.7764,0,0
1984-10-22,3.7901,3.7901,3.7901,3.7901,0,0
1984-10-29,3.8012,3.8012,3.8012,3.8012,0,0
1984-11-05,3.8758,3.8758,3.8758,3.8758,0,0
1984-11-12,3.8616,3.8616,3.8616,3.8616,0,0
1984-11-19,3.8734,3.8734,3.8734,3.8734,0,0
1984-11-26,3.8063,3.8063,3.8063,3.8063,0,0
1984-12-01,3.8137,3.8137,3.8137,3.8137,0,0
1984-12-10,3.795,3.795,3.795,3.795,0,0
1984-12-17,3.7826,3.7826,3.7826,3.7826,0,0
1984-12-24,3.7578,3.7578,3.7578,3.7578,0,0
1985-01-01,3.7614,3.7614,3.7614,3.7614,0,0
1985-01-07,3.6685,3.6685,3.6685,3.6685,0,0
1985-01-14,3.6554,3.6554,3.6554,3.6554,0,0
1985-01-21,3.6629,3.6629,3.6629,3.6629,0,0
1985-01-28,3.6573,3.6573,3.6573,3.6573,0,0
1985-02-04,3.6236,3.6236,3.6236,3.6236,0,0
1985-02-11,3.5643,3.5643,3.5643,3.5643,0,0
1985-02-18,3.5525,3.5525,3.5525,3.5525,0,0
1985-02-25,3.4309,3.4309,3.4309,3.4309,0,0
1985-03-04,3.3757,3.3757,3.3757,3.3757,0,0
1985-03-11,3.6995,3.6995,3.6995,3.6995,0,0
1985-03-18,3.4807,3.4807,3.4807,3.4807,0,0
1985-03-25,3.5444,3.5444,3.5444,3.5444,0,0
1985-03-29,3.6102,3.6102,3.6102,3.6102,0,0
1985-04-01,3.5932,3.5932,3.5932,3.5932,0,0
1985-04-09,3.5057,3.5057,3.5057,3.5057,0,0
1985-04-15,3.5593,3.5593,3.5593,3.5593,0,0
1985-04-22,3.5371,3.5371,3.5371,3.5371,0,0
1985-04-29,3.5314,3.5314,3.5314,3.5314,0,0
1985-05-06,3.5227,3.5227,3.5227,3.5227,0,0
1985-05-13,3.5251,3.5251,3.5251,3.5251,0,0
1985-05-20,3.5143,3.5143,3.5143,3.5143,0,0
1985-05-27,3.5143,3.5143,3.5143,3.5143,0,0
1985-06-01,3.5073,3.5073,3.5073,3.5073,0,0
1985-06-10,3.4877,3.4877,3.4877,3.4877,0,0
1985-06-17,3.5463,3.5463,3.5463,3.5463,0,0
1985-06-24,3.6503,3.6503,3.6503,3.6503,0,0
1985-07-01,3.7745,3.7745,3.7745,3.7745,0,0
1985-07-08,3.6667,3.6667,3.6667,3.6667,0,0
1985-07-15,3.803,3.803,3.803,3.803,0,0
1985-07-23,3.99,3.99,3.99,3.99,0,0
1985-07-29,4.0402,4.0402,4.0402,4.0402,0,0
1985-08-05,4.1212,4.1212,4.1212,4.1212,0,0
1985-08-12,4.2412,4.2412,4.2412,4.2412,0,0
1985-08-19,4.0918,4.0918,4.0918,4.0918,0,0
1985-08-26,4.1582,4.1582,4.1582,4.1582,0,0
1985-09-02,4.1582,4.1582,4.1582,4.1582,0,0
1985-09-09,4.1574,4.1574,4.1574,4.1574,0,0
1985-09-16,4.1156,4.1156,4.1156,4.1156,0,0
1985-09-23,4.215,4.215,4.215,4.215,0,0
1985-09-30,4.2449,4.2449,4.2449,4.2449,0,0
1985-10-07,4.3969,4.3969,4.3969,4.3969,0,0
1985-10-14,4.3938,4.3938,4.3938,4.3938,0,0
1985-10-21,4.5258,4.5258,4.5258,4.5258,0,0
1985-10-28,4.3854,4.3854,4.3854,4.3854,0,0
1985-11-04,4.5521,4.5521,4.5521,4.5521,0,0
1985-11-11,4.5521,4.5521,4.5521,4.5521,0,0
1985-11-18,4.3333,4.3333,4.3333,4.3333,0,0
1985-11-25,4.4896,4.4896,4.4896,4.4896,0,0
1985-12-02,4.4607,4.4607,4.4607,4.4607,0,0
1985-12-09,4.4,4.4,4.4,4.4,0,0
1985-12-16,3.7368,3.7368,3.7368,3.7368,0,0
1985-12-23,3.8947,3.8947,3.8947,3.8947,0,0
1986-01-01,3.8947,3.8947,3.8947,3.8947,0,0
1986-01-06,4.0957,4.0957,4.0957,4.0957,0,0
1986-01-13,3.9309,3.9309,3.9309,3.9309,0,0
