Date,Open,High,Low,Close,Volume,OpenInt
1971-01-04,0.7188,0.7188,0.7188,0.7188,0,0
1971-01-05,0.7185,0.7185,0.7185,0.7185,0,0
1971-01-06,0.718,0.718,0.718,0.718,0,0
1971-01-07,0.7181,0.7181,0.7181,0.7181,0,0
1971-01-08,0.7178,0.7178,0.7178,0.7178,0,0
1971-01-11,0.7172,0.7172,0.7172,0.7172,0,0
1971-01-12,0.717,0.717,0.717,0.717,0,0
1971-01-13,0.7163,0.7163,0.7163,0.7163,0,0
1971-01-14,0.7149,0.7149,0.7149,0.7149,0,0
1971-01-15,0.7153,0.7153,0.7153,0.7153,0,0
1971-01-18,0.7154,0.7154,0.7154,0.7154,0,0
1971-01-19,0.7146,0.7146,0.7146,0.7146,0,0
1971-01-20,0.7146,0.7146,0.7146,0.7146,0,0
1971-01-21,0.7142,0.7142,0.7142,0.7142,0,0
1971-01-22,0.7139,0.7139,0.7139,0.7139,0,0
1971-01-25,0.7126,0.7126,0.7126,0.7126,0,0
1971-01-26,0.7122,0.7122,0.7122,0.7122,0,0
1971-01-27,0.7122,0.7122,0.7122,0.7122,0,0
1971-01-28,0.712,0.712,0.712,0.712,0,0
1971-01-29,0.7118,0.7118,0.7118,0.7118,0,0
1971-02-01,0.7115,0.7115,0.7115,0.7115,0,0
1971-02-02,0.7116,0.7116,0.7116,0.7116,0,0
1971-02-03,0.7115,0.7115,0.7115,0.7115,0,0
1971-02-04,0.712,0.712,0.712,0.712,0,0
1971-02-05,0.7126,0.7126,0.7126,0.7126,0,0
1971-02-08,0.7116,0.7116,0.7116,0.7116,0,0
1971-02-09,0.7125,0.7125,0.7125,0.7125,0,0
1971-02-10,0.7123,0.7123,0.7123,0.7123,0,0
1971-02-11,0.7123,0.7123,0.7123,0.7123,0,0
1971-02-16,0.7113,0.7113,0.7113,0.7113,0,0
1971-02-17,0.7113,0.7113,0.7113,0.7113,0,0
1971-02-18,0.7113,0.7113,0.7113,0.7113,0,0
1971-02-19,0.7113,0.7113,0.7113,0.7113,0,0
1971-02-22,0.7113,0.7113,0.7113,0.7113,0,0
1971-02-23,0.7112,0.7112,0.7112,0.7112,0,0
1971-02-24,0.7112,0.7112,0.7112,0.7112,0,0
1971-02-25,0.7117,0.7117,0.7117,0.7117,0,0
1971-02-26,0.7122,0.7122,0.7122,0.7122,0,0
1971-03-01,0.7122,0.7122,0.7122,0.7122,0,0
1971-03-02,0.7115,0.7115,0.7115,0.7115,0,0
1971-03-03,0.7113,0.7113,0.7113,0.7113,0,0
1971-03-04,0.7117,0.7117,0.7117,0.7117,0,0
1971-03-05,0.7115,0.7115,0.7115,0.7115,0,0
1971-03-08,0.7113,0.7113,0.7113,0.7113,0,0
1971-03-09,0.7113,0.7113,0.7113,0.7113,0,0
1971-03-10,0.7113,0.7113,0.7113,0.7113,0,0
1971-03-11,0.7114,0.7114,0.7114,0.7114,0,0
1971-03-12,0.7112,0.7112,0.7112,0.7112,0,0
1971-03-15,0.7112,0.7112,0.7112,0.7112,0,0
1971-03-16,0.7115,0.7115,0.7115,0.7115,0,0
1971-03-17,0.7112,0.7112,0.7112,0.7112,0,0
1971-03-18,0.7113,0.7113,0.7113,0.7113,0,0
1971-03-19,0.7113,0.7113,0.7113,0.7113,0,0
1971-03-22,0.7112,0.7112,0.7112,0.7112,0,0
1971-03-23,0.7112,0.7112,0.7112,0.7112,0,0
1971-03-24,0.7112,0.7112,0.7112,0.7112,0,0
1971-03-25,0.7115,0.7115,0.7115,0.7115,0,0
1971-03-26,0.7114,0.7114,0.7114,0.7114,0,0
1971-03-29,0.7112,0.7112,0.7112,0.7112,0,0
1971-03-30,0.7116,0.7116,0.7116,0.7116,0,0
1971-03-31,0.712,0.712,0.712,0.712,0,0
1971-04-01,0.7126,0.7126,0.7126,0.7126,0,0
1971-04-02,0.7132,0.7132,0.7132,0.7132,0,0
1971-04-05,0.7122,0.7122,0.7122,0.7122,0,0
1971-04-06,0.7114,0.7114,0.7114,0.7114,0,0
1971-04-07,0.7119,0.7119,0.7119,0.7119,0,0
1971-04-08,0.712,0.712,0.712,0.712,0,0
1971-04-09,0.712,0.712,0.712,0.712,0,0
1971-04-12,0.712,0.712,0.712,0.712,0,0
1971-04-13,0.712,0.712,0.712,0.712,0,0
1971-04-14,0.7116,0.7116,0.7116,0.7116,0,0
1971-04-15,0.7114,0.7114,0.7114,0.7114,0,0
1971-04-16,0.7115,0.7115,0.7115,0.7115,0,0
1971-04-19,0.7113,0.7113,0.7113,0.7113,0,0
1971-04-20,0.7113,0.7113,0.7113,0.7113,0,0
1971-04-21,0.7112,0.7112,0.7112,0.7112,0,0
1971-04-22,0.7114,0.7114,0.7114,0.7114,0,0
1971-04-23,0.7114,0.7114,0.7114,0.7114,0,0
1971-04-26,0.7114,0.7114,0.7114,0.7114,0,0
1971-04-27,0.7113,0.7113,0.7113,0.7113,0,0
1971-04-28,0.7112,0.7112,0.7112,0.7112,0,0
1971-04-29,0.7113,0.7113,0.7113,0.7113,0,0
1971-04-30,0.7113,0.7113,0.7113,0.7113,0,0
1971-05-03,0.7114,0.7114,0.7114,0.7114,0,0
1971-05-04,0.7115,0.7115,0.7115,0.7115,0,0
1971-05-05,0.7112,0.7112,0.7112,0.7112,0,0
1971-05-06,0.7115,0.7115,0.7115,0.7115,0,0
1971-05-07,0.7114,0.7114,0.7114,0.7114,0,0
1971-05-10,0.7118,0.7118,0.7118,0.7118,0,0
1971-05-11,0.7119,0.7119,0.7119,0.7119,0,0
1971-05-12,0.7115,0.7115,0.7115,0.7115,0,0
1971-05-13,0.7115,0.7115,0.7115,0.7115,0,0
1971-05-14,0.7115,0.7115,0.7115,0.7115,0,0
1971-05-17,0.7112,0.7112,0.7112,0.7112,0,0
1971-05-18,0.7113,0.7113,0.7113,0.7113,0,0
1971-05-19,0.7112,0.7112,0.7112,0.7112,0,0
1971-05-20,0.7113,0.7113,0.7113,0.7113,0,0
1971-05-21,0.7112,0.7112,0.7112,0.7112,0,0
1971-05-24,0.7112,0.7112,0.7112,0.7112,0,0
1971-05-25,0.7113,0.7113,0.7113,0.7113,0,0
1971-05-26,0.7112,0.7112,0.7112,0.7112,0,0
1971-05-27,0.7114,0.7114,0.7114,0.7114,0,0
1971-05-28,0.7117,0.7117,0.7117,0.7117,0,0
1971-06-01,0.7121,0.7121,0.7121,0.7121,0,0
1971-06-02,0.7119,0.7119,0.7119,0.7119,0,0
1971-06-03,0.7114,0.7114,0.7114,0.7114,0,0
1971-06-04,0.7113,0.7113,0.7113,0.7113,0,0
1971-06-07,0.7113,0.7113,0.7113,0.7113,0,0
1971-06-08,0.7114,0.7114,0.7114,0.7114,0,0
1971-06-09,0.7112,0.7112,0.7112,0.7112,0,0
1971-06-10,0.7112,0.7112,0.7112,0.7112,0,0
1971-06-11,0.7112,0.7112,0.7112,0.7112,0,0
1971-06-14,0.7115,0.7115,0.7115,0.7115,0,0
1971-06-15,0.7114,0.7114,0.7114,0.7114,0,0
1971-06-16,0.7113,0.7113,0.7113,0.7113,0,0
1971-06-17,0.7114,0.7114,0.7114,0.7114,0,0
1971-06-18,0.7113,0.7113,0.7113,0.7113,0,0
1971-06-21,0.7113,0.7113,0.7113,0.7113,0,0
1971-06-22,0.7113,0.7113,0.7113,0.7113,0,0
1971-06-23,0.7112,0.7112,0.7112,0.7112,0,0
1971-06-24,0.7113,0.7113,0.7113,0.7113,0,0
1971-06-25,0.7113,0.7113,0.7113,0.7113,0,0
1971-06-28,0.7115,0.7115,0.7115,0.7115,0,0
