Date,Open,High,Low,Close,Volume,OpenInt
1984-01-02,1014.2,1014.2,1014.2,1014.2,0,0
1984-01-09,1020.41,1020.41,1020.41,1020.41,0,0
1984-01-16,1033.06,1033.06,1033.06,1033.06,0,0
1984-01-23,1023.54,1023.54,1023.54,1023.54,0,0
1984-01-30,1033.06,1033.06,1033.06,1033.06,0,0
1984-02-06,1030.93,1030.93,1030.93,1030.93,0,0
1984-02-13,1019.37,1019.37,1019.37,1019.37,0,0
1984-02-20,1015.23,1015.23,1015.23,1015.23,0,0
1984-03-01,888.1,888.1,888.1,888.1,0,0
1984-03-05,875.66,875.66,875.66,875.66,0,0
1984-03-12,865.05,865.05,865.05,865.05,0,0
1984-03-19,862.07,862.07,862.07,862.07,0,0
1984-03-26,877.19,877.19,877.19,877.19,0,0
1984-04-02,871.08,871.08,871.08,871.08,0,0
1984-04-09,881.06,881.06,881.06,881.06,0,0
1984-04-16,881.83,881.83,881.83,881.83,0,0
1984-04-24,882.61,882.61,882.61,882.61,0,0
1984-05-02,894.45,894.45,894.45,894.45,0,0
1984-05-07,901.71,901.71,901.71,901.71,0,0
1984-05-14,910.75,910.75,910.75,910.75,0,0
1984-05-21,906.62,906.62,906.62,906.62,0,0
1984-05-28,906.62,906.62,906.62,906.62,0,0
1984-06-04,904.98,904.98,904.98,904.98,0,0
1984-06-11,890.47,890.47,890.47,890.47,0,0
1984-06-18,900.9,900.9,900.9,900.9,0,0
1984-06-25,908.27,908.27,908.27,908.27,0,0
1984-07-02,911.58,911.58,911.58,911.58,0,0
1984-07-09,919.12,919.12,919.12,919.12,0,0
1984-07-16,919.96,919.96,919.96,919.96,0,0
1984-07-23,922.51,922.51,922.51,922.51,0,0
1984-07-30,930.23,930.23,930.23,930.23,0,0
1984-08-06,933.71,933.71,933.71,933.71,0,0
1984-08-13,934.58,934.58,934.58,934.58,0,0
1984-08-20,930.23,930.23,930.23,930.23,0,0
1984-08-27,930.23,930.23,930.23,930.23,0,0
1984-09-01,848.9,848.9,848.9,848.9,0,0
1984-09-10,858.37,858.37,858.37,858.37,0,0
1984-09-17,872.6,872.6,872.6,872.6,0,0
1984-09-24,884.17,884.17,884.17,884.17,0,0
