Date,Open,High,Low,Close,Volume,OpenInt
1984-01-09,1299.64,1299.64,1299.64,1299.64,0,0
1984-01-16,1365.31,1365.31,1365.31,1365.31,0,0
1984-01-23,1328.41,1328.41,1328.41,1328.41,0,0
1984-01-30,1365.31,1365.31,1365.31,1365.31,0,0
1984-02-06,1402.21,1402.21,1402.21,1402.21,0,0
1984-02-13,1402.21,1402.21,1402.21,1402.21,0,0
1984-02-20,1396.23,1396.23,1396.23,1396.23,0,0
1984-03-01,1442.62,1442.62,1442.62,1442.62,0,0
1984-03-05,1471.57,1471.57,1471.57,1471.57,0,0
1984-03-12,1462.59,1462.59,1462.59,1462.59,0,0
1984-03-19,1462.59,1462.59,1462.59,1462.59,0,0
1984-03-26,1428.57,1428.57,1428.57,1428.57,0,0
1984-04-02,1404.68,1404.68,1404.68,1404.68,0,0
1984-04-09,1428.57,1428.57,1428.57,1428.57,0,0
1984-04-16,1428.57,1428.57,1428.57,1428.57,0,0
1984-04-24,1428.57,1428.57,1428.57,1428.57,0,0
1984-05-02,1458.33,1458.33,1458.33,1458.33,0,0
1984-05-07,1458.33,1458.33,1458.33,1458.33,0,0
1984-05-14,1458.33,1458.33,1458.33,1458.33,0,0
1984-05-21,1489.36,1489.36,1489.36,1489.36,0,0
1984-05-28,1489.36,1489.36,1489.36,1489.36,0,0
1984-06-04,1562.5,1562.5,1562.5,1562.5,0,0
1984-06-11,1489.36,1489.36,1489.36,1489.36,0,0
1984-06-18,1489.36,1489.36,1489.36,1489.36,0,0
1984-06-25,1453.9,1453.9,1453.9,1453.9,0,0
1984-07-02,1489.36,1489.36,1489.36,1489.36,0,0
1984-07-09,1407.94,1407.94,1407.94,1407.94,0,0
1984-07-16,1407.94,1407.94,1407.94,1407.94,0,0
1984-07-23,1371.84,1371.84,1371.84,1371.84,0,0
1984-07-30,1476.01,1476.01,1476.01,1476.01,0,0
1984-08-06,1480.14,1480.14,1480.14,1480.14,0,0
1984-08-13,1547.17,1547.17,1547.17,1547.17,0,0
1984-08-20,1476.01,1476.01,1476.01,1476.01,0,0
1984-08-27,1547.17,1547.17,1547.17,1547.17,0,0
1984-09-01,1527.78,1527.78,1527.78,1527.78,0,0
1984-09-10,1552.35,1552.35,1552.35,1552.35,0,0
1984-09-17,1552.35,1552.35,1552.35,1552.35,0,0
1984-09-24,1588.45,1588.45,1588.45,1588.45,0,0
1984-10-01,1623.62,1623.62,1623.62,1623.62,0,0
1984-10-08,1586.72,1586.72,1586.72,1586.72,0,0
1984-10-15,1622.64,1622.64,1622.64,1622.64,0,0
1984-10-22,1622.64,1622.64,1622.64,1622.64,0,0
1984-10-29,1586.72,1586.72,1586.72,1586.72,0,0
1984-11-05,1588.45,1588.45,1588.45,1588.45,0,0
1984-11-12,1586.72,1586.72,1586.72,1586.72,0,0
1984-11-19,1653.85,1653.85,1653.85,1653.85,0,0
1984-11-26,1614.17,1614.17,1614.17,1614.17,0,0
1984-12-01,1615.38,1615.38,1615.38,1615.38,0,0
1984-12-10,1653.54,1653.54,1653.54,1653.54,0,0
1984-12-17,1574.8,1574.8,1574.8,1574.8,0,0
1984-12-24,1574.8,1574.8,1574.8,1574.8,0,0
1985-01-01,1588.45,1588.45,1588.45,1588.45,0,0
1985-01-07,1516.25,1516.25,1516.25,1516.25,0,0
1985-01-14,1516.25,1516.25,1516.25,1516.25,0,0
1985-01-21,1552.35,1552.35,1552.35,1552.35,0,0
1985-01-28,1552.35,1552.35,1552.35,1552.35,0,0
1985-02-04,1516.25,1516.25,1516.25,1516.25,0,0
1985-02-11,1524.82,1524.82,1524.82,1524.82,0,0
1985-02-18,1524.82,1524.82,1524.82,1524.82,0,0
1985-02-25,1418.44,1418.44,1418.44,1418.44,0,0
1985-03-04,1480.14,1480.14,1480.14,1480.14,0,0
1985-03-11,1489.36,1489.36,1489.36,1489.36,0,0
1985-03-18,1552.35,1552.35,1552.35,1552.35,0,0
1985-03-25,1624.55,1624.55,1624.55,1624.55,0,0
1985-03-29,1660.65,1660.65,1660.65,1660.65,0,0
1985-04-01,1624.55,1624.55,1624.55,1624.55,0,0
1985-04-09,1660.52,1660.52,1660.52,1660.52,0,0
1985-04-15,1660.65,1660.65,1660.65,1660.65,0,0
1985-04-22,1660.52,1660.52,1660.52,1660.52,0,0
1985-04-29,1698.11,1698.11,1698.11,1698.11,0,0
1985-05-06,1549.82,1549.82,1549.82,1549.82,0,0
1985-05-13,1624.55,1624.55,1624.55,1624.55,0,0
1985-05-20,1586.72,1586.72,1586.72,1586.72,0,0
1985-05-27,1586.72,1586.72,1586.72,1586.72,0,0
1985-06-01,1577.29,1577.29,1577.29,1577.29,0,0
1985-06-10,1607.72,1607.72,1607.72,1607.72,0,0
1985-06-17,1608.83,1608.83,1608.83,1608.83,0,0
1985-06-24,1607.72,1607.72,1607.72,1607.72,0,0
1985-07-01,1575.56,1575.56,1575.56,1575.56,0,0
1985-07-08,1607.72,1607.72,1607.72,1607.72,0,0
1985-07-15,1607.72,1607.72,1607.72,1607.72,0,0
1985-07-23,1606.56,1606.56,1606.56,1606.56,0,0
1985-07-29,1672.24,1672.24,1672.24,1672.24,0,0
