Date,Open,High,Low,Close,Volume,OpenInt
1984-01-09,0.9853,0.9853,0.9853,0.9853,0,0
1984-01-16,1.0003,1.0003,1.0003,1.0003,0,0
1984-01-23,1.0003,1.0003,1.0003,1.0003,0,0
1984-01-30,0.9798,0.9798,0.9798,0.9798,0,0
1984-02-06,1.0027,1.0027,1.0027,1.0027,0,0
1984-02-13,1.0052,1.0052,1.0052,1.0052,0,0
1984-02-20,0.999,0.999,0.999,0.999,0,0
1984-03-01,1.0354,1.0354,1.0354,1.0354,0,0
1984-03-05,1.0499,1.0499,1.0499,1.0499,0,0
1984-03-12,1.0321,1.0321,1.0321,1.0321,0,0
1984-03-19,1.0189,1.0189,1.0189,1.0189,0,0
1984-03-26,1.0297,1.0297,1.0297,1.0297,0,0
1984-04-02,1.0306,1.0306,1.0306,1.0306,0,0
1984-04-09,1.0186,1.0186,1.0186,1.0186,0,0
1984-04-16,1.0227,1.0227,1.0227,1.0227,0,0
1984-04-24,1.0247,1.0247,1.0247,1.0247,0,0
1984-05-02,1.0156,1.0156,1.0156,1.0156,0,0
1984-05-07,1.026,1.026,1.026,1.026,0,0
1984-05-14,0.9964,0.9964,0.9964,0.9964,0,0
1984-05-21,1.0093,1.0093,1.0093,1.0093,0,0
1984-05-28,1.0103,1.0103,1.0103,1.0103,0,0
1984-06-04,1.0224,1.0224,1.0224,1.0224,0,0
1984-06-11,1.0039,1.0039,1.0039,1.0039,0,0
1984-06-18,0.9955,0.9955,0.9955,0.9955,0,0
1984-06-25,0.9636,0.9636,0.9636,0.9636,0,0
1984-07-02,0.9643,0.9643,0.9643,0.9643,0,0
1984-07-09,0.8878,0.8878,0.8878,0.8878,0,0
1984-07-16,0.9015,0.9015,0.9015,0.9015,0,0
1984-07-23,0.8668,0.8668,0.8668,0.8668,0,0
1984-07-30,0.811,0.811,0.811,0.811,0,0
1984-08-06,0.837,0.837,0.837,0.837,0,0
1984-08-13,0.8144,0.8144,0.8144,0.8144,0,0
1984-08-20,0.8427,0.8427,0.8427,0.8427,0,0
1984-08-27,0.8346,0.8346,0.8346,0.8346,0,0
1984-09-01,0.8323,0.8323,0.8323,0.8323,0,0
1984-09-10,0.7837,0.7837,0.7837,0.7837,0,0
1984-09-17,0.7838,0.7838,0.7838,0.7838,0,0
1984-09-24,0.7924,0.7924,0.7924,0.7924,0,0
1984-10-01,0.7858,0.7858,0.7858,0.7858,0,0
1984-10-08,0.7805,0.7805,0.7805,0.7805,0,0
