Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,0.7579,0.7579,0.7579,0.7579,0,0
1995-01-04,0.7575,0.7575,0.7575,0.7575,0,0
1995-01-05,0.7604,0.7604,0.7604,0.7604,0,0
1995-01-06,0.7627,0.7627,0.7627,0.7627,0,0
1995-01-09,0.7576,0.7576,0.7576,0.7576,0,0
1995-01-10,0.76,0.76,0.76,0.76,0,0
1995-01-11,0.7524,0.7524,0.7524,0.7524,0,0
1995-01-12,0.7573,0.7573,0.7573,0.7573,0,0
1995-01-13,0.7578,0.7578,0.7578,0.7578,0,0
1995-01-16,0.752,0.752,0.752,0.752,0,0
1995-01-17,0.753,0.753,0.753,0.753,0,0
1995-01-18,0.754,0.754,0.754,0.754,0,0
1995-01-19,0.7484,0.7484,0.7484,0.7484,0,0
1995-01-20,0.7515,0.7515,0.7515,0.7515,0,0
1995-01-23,0.7425,0.7425,0.7425,0.7425,0,0
1995-01-24,0.7408,0.7408,0.7408,0.7408,0,0
1995-01-25,0.7343,0.7343,0.7343,0.7343,0,0
1995-01-26,0.7403,0.7403,0.7403,0.7403,0,0
1995-01-27,0.7439,0.7439,0.7439,0.7439,0,0
1995-01-30,0.7435,0.7435,0.7435,0.7435,0,0
1995-01-31,0.7487,0.7487,0.7487,0.7487,0,0
1995-02-01,0.7456,0.7456,0.7456,0.7456,0,0
1995-02-02,0.7541,0.7541,0.7541,0.7541,0,0
1995-02-03,0.7532,0.7532,0.7532,0.7532,0,0
1995-02-06,0.7596,0.7596,0.7596,0.7596,0,0
1995-02-07,0.7672,0.7672,0.7672,0.7672,0,0
1995-02-08,0.7685,0.7685,0.7685,0.7685,0,0
1995-02-09,0.7742,0.7742,0.7742,0.7742,0,0
1995-02-10,0.7718,0.7718,0.7718,0.7718,0,0
1995-02-13,0.7721,0.7721,0.7721,0.7721,0,0
1995-02-14,0.7665,0.7665,0.7665,0.7665,0,0
1995-02-15,0.7696,0.7696,0.7696,0.7696,0,0
1995-02-16,0.7581,0.7581,0.7581,0.7581,0,0
1995-02-17,0.7487,0.7487,0.7487,0.7487,0,0
1995-02-20,0.7536,0.7536,0.7536,0.7536,0,0
1995-02-21,0.75,0.75,0.75,0.75,0,0
1995-02-22,0.7466,0.7466,0.7466,0.7466,0,0
1995-02-23,0.7465,0.7465,0.7465,0.7465,0,0
1995-02-24,0.7372,0.7372,0.7372,0.7372,0,0
1995-02-27,0.7391,0.7391,0.7391,0.7391,0,0
1995-02-28,0.7427,0.7427,0.7427,0.7427,0,0
1995-03-01,0.7436,0.7436,0.7436,0.7436,0,0
1995-03-02,0.742,0.742,0.742,0.742,0,0
1995-03-03,0.7326,0.7326,0.7326,0.7326,0,0
1995-03-06,0.718,0.718,0.718,0.718,0,0
1995-03-07,0.6837,0.6837,0.6837,0.6837,0,0
1995-03-08,0.6934,0.6934,0.6934,0.6934,0,0
1995-03-09,0.6867,0.6867,0.6867,0.6867,0,0
1995-03-10,0.7031,0.7031,0.7031,0.7031,0,0
1995-03-13,0.7112,0.7112,0.7112,0.7112,0,0
1995-03-14,0.7177,0.7177,0.7177,0.7177,0,0
1995-03-15,0.7131,0.7131,0.7131,0.7131,0,0
1995-03-16,0.7019,0.7019,0.7019,0.7019,0,0
1995-03-17,0.6981,0.6981,0.6981,0.6981,0,0
1995-03-20,0.6897,0.6897,0.6897,0.6897,0,0
1995-03-21,0.7016,0.7016,0.7016,0.7016,0,0
1995-03-22,0.697,0.697,0.697,0.697,0,0
1995-03-23,0.6949,0.6949,0.6949,0.6949,0,0
1995-03-24,0.692,0.692,0.692,0.692,0,0
1995-03-27,0.688,0.688,0.688,0.688,0,0
1995-03-28,0.6901,0.6901,0.6901,0.6901,0,0
1995-03-29,0.6892,0.6892,0.6892,0.6892,0,0
1995-03-30,0.6873,0.6873,0.6873,0.6873,0,0
1995-03-31,0.6972,0.6972,0.6972,0.6972,0,0
1995-04-03,0.6852,0.6852,0.6852,0.6852,0,0
1995-04-04,0.6872,0.6872,0.6872,0.6872,0,0
1995-04-05,0.6904,0.6904,0.6904,0.6904,0,0
1995-04-06,0.6925,0.6925,0.6925,0.6925,0,0
1995-04-07,0.6935,0.6935,0.6935,0.6935,0,0
1995-04-10,0.6918,0.6918,0.6918,0.6918,0,0
1995-04-11,0.6947,0.6947,0.6947,0.6947,0,0
1995-04-12,0.6922,0.6922,0.6922,0.6922,0,0
1995-04-13,0.6915,0.6915,0.6915,0.6915,0,0
1995-04-14,0.6889,0.6889,0.6889,0.6889,0,0
1995-04-18,0.6871,0.6871,0.6871,0.6871,0,0
