Date,Open,High,Low,Close,Volume,OpenInt
1984-01-02,9.954,9.954,9.954,9.954,0,0
1984-01-09,10.056,10.056,10.056,10.056,0,0
1984-01-16,10.262,10.262,10.262,10.262,0,0
1984-01-23,10.092,10.092,10.092,10.092,0,0
1984-01-30,10.246,10.246,10.246,10.246,0,0
1984-02-06,10.208,10.208,10.208,10.208,0,0
1984-02-13,10.043,10.043,10.043,10.043,0,0
1984-02-20,9.978,9.978,9.978,9.978,0,0
1984-03-01,9.769,9.769,9.769,9.769,0,0
1984-03-05,9.545,9.545,9.545,9.545,0,0
1984-03-12,9.3754,9.3754,9.3754,9.3754,0,0
1984-03-19,9.3414,9.3414,9.3414,9.3414,0,0
1984-03-26,9.595,9.595,9.595,9.595,0,0
1984-04-02,9.4852,9.4852,9.4852,9.4852,0,0
1984-04-09,9.633,9.633,9.633,9.633,0,0
1984-04-16,9.655,9.655,9.655,9.655,0,0
1984-04-24,9.676,9.676,9.676,9.676,0,0
1984-05-02,9.86,9.86,9.86,9.86,0,0
1984-05-07,9.998,9.998,9.998,9.998,0,0
1984-05-14,10.149,10.149,10.149,10.149,0,0
1984-05-21,10.08,10.08,10.08,10.08,0,0
1984-05-28,10.066,10.066,10.066,10.066,0,0
1984-06-04,10.042,10.042,10.042,10.042,0,0
1984-06-11,9.801,9.801,9.801,9.801,0,0
1984-06-18,9.976,9.976,9.976,9.976,0,0
1984-06-25,10.101,10.101,10.101,10.101,0,0
1984-07-02,10.171,10.171,10.171,10.171,0,0
1984-07-09,10.298,10.298,10.298,10.298,0,0
1984-07-16,10.341,10.341,10.341,10.341,0,0
1984-07-23,10.382,10.382,10.382,10.382,0,0
1984-07-30,10.515,10.515,10.515,10.515,0,0
1984-08-06,10.58,10.58,10.58,10.58,0,0
1984-08-13,10.592,10.592,10.592,10.592,0,0
1984-08-20,10.534,10.534,10.534,10.534,0,0
1984-08-27,10.521,10.521,10.521,10.521,0,0
1984-09-01,10.441,10.441,10.441,10.441,0,0
1984-09-10,10.616,10.616,10.616,10.616,0,0
1984-09-17,10.89,10.89,10.89,10.89,0,0
1984-09-24,11.145,11.145,11.145,11.145,0,0
1984-10-01,11.089,11.089,11.089,11.089,0,0
1984-10-08,11.01,11.01,11.01,11.01,0,0
1984-10-15,11.095,11.095,11.095,11.095,0,0
1984-10-22,11.332,11.332,11.332,11.332,0,0
1984-10-29,11.055,11.055,11.055,11.055,0,0
1984-11-05,11.025,11.025,11.025,11.025,0,0
1984-11-12,10.603,10.603,10.603,10.603,0,0
1984-11-19,10.587,10.587,10.587,10.587,0,0
1984-11-26,10.801,10.801,10.801,10.801,0,0
1984-12-01,10.978,10.978,10.978,10.978,0,0
1984-12-10,11.131,11.131,11.131,11.131,0,0
1984-12-17,11.06,11.06,11.06,11.06,0,0
1984-12-24,11.074,11.074,11.074,11.074,0,0
1985-01-01,11.165,11.165,11.165,11.165,0,0
1985-01-07,11.326,11.326,11.326,11.326,0,0
1985-01-14,11.204,11.204,11.204,11.204,0,0
1985-01-21,11.412,11.412,11.412,11.412,0,0
1985-01-28,11.365,11.365,11.365,11.365,0,0
1985-02-04,11.287,11.287,11.287,11.287,0,0
1985-02-11,11.493,11.493,11.493,11.493,0,0
1985-02-18,11.689,11.689,11.689,11.689,0,0
1985-02-25,11.833,11.833,11.833,11.833,0,0
1985-03-04,11.933,11.933,11.933,11.933,0,0
1985-03-11,12.317,12.317,12.317,12.317,0,0
1985-03-18,11.885,11.885,11.885,11.885,0,0
1985-03-25,11.816,11.816,11.816,11.816,0,0
1985-03-29,11.304,11.304,11.304,11.304,0,0
1985-04-01,11.236,11.236,11.236,11.236,0,0
1985-04-09,11.131,11.131,11.131,11.131,0,0
1985-04-15,11.24,11.24,11.24,11.24,0,0
1985-04-22,10.821,10.821,10.821,10.821,0,0
1985-04-29,10.884,10.884,10.884,10.884,0,0
1985-05-06,11.142,11.142,11.142,11.142,0,0
1985-05-13,11.515,11.515,11.515,11.515,0,0
1985-05-20,11.038,11.038,11.038,11.038,0,0
1985-05-27,10.945,10.945,10.945,10.945,0,0
1985-06-01,11.088,11.088,11.088,11.088,0,0
1985-06-10,10.913,10.913,10.913,10.913,0,0
1985-06-17,11.093,11.093,11.093,11.093,0,0
1985-06-24,10.924,10.924,10.924,10.924,0,0
1985-07-01,10.981,10.981,10.981,10.981,0,0
1985-07-08,10.947,10.947,10.947,10.947,0,0
1985-07-15,10.711,10.711,10.711,10.711,0,0
1985-07-23,10.357,10.357,10.357,10.357,0,0
1985-07-29,10.216,10.216,10.216,10.216,0,0
1985-08-05,10.185,10.185,10.185,10.185,0,0
1985-08-12,10.285,10.285,10.285,10.285,0,0
1985-08-19,10.03,10.03,10.03,10.03,0,0
1985-08-26,10.026,10.026,10.026,10.026,0,0
1985-09-02,10.122,10.122,10.122,10.122,0,0
1985-09-09,10.3,10.3,10.3,10.3,0,0
1985-09-16,10.631,10.631,10.631,10.631,0,0
1985-09-23,10.39,10.39,10.39,10.39,0,0
1985-09-30,9.858,9.858,9.858,9.858,0,0
1985-10-07,9.732,9.732,9.732,9.732,0,0
1985-10-14,9.564,9.564,9.564,9.564,0,0
1985-10-21,9.645,9.645,9.645,9.645,0,0
1985-10-28,9.563,9.563,9.563,9.563,0,0
1985-11-04,9.551,9.551,9.551,9.551,0,0
1985-11-11,9.4592,9.4592,9.4592,9.4592,0,0
1985-11-18,9.493,9.493,9.493,9.493,0,0
1985-11-25,9.4213,9.4213,9.4213,9.4213,0,0
1985-12-02,9.2967,9.2967,9.2967,9.2967,0,0
1985-12-09,9.1555,9.1555,9.1555,9.1555,0,0
1985-12-16,9.2021,9.2021,9.2021,9.2021,0,0
1985-12-23,9.1059,9.1059,9.1059,9.1059,0,0
1986-01-01,9.1357,9.1357,9.1357,9.1357,0,0
1986-01-06,8.9628,8.9628,8.9628,8.9628,0,0
1986-01-13,8.9052,8.9052,8.9052,8.9052,0,0
1986-01-20,9.0976,9.0976,9.0976,9.0976,0,0
1986-01-27,9.0086,9.0086,9.0086,9.0086,0,0
1986-02-01,8.8358,8.8358,8.8358,8.8358,0,0
1986-02-10,8.8589,8.8589,8.8589,8.8589,0,0
1986-02-17,8.7591,8.7591,8.7591,8.7591,0,0
1986-02-24,8.6644,8.6644,8.6644,8.6644,0,0
1986-03-01,8.336,8.336,8.336,8.336,0,0
1986-03-03,8.336,8.336,8.336,8.336,0,0
1986-03-10,8.1576,8.1576,8.1576,8.1576,0,0
1986-03-17,8.4232,8.4232,8.4232,8.4232,0,0
1986-03-18,8.4232,8.4232,8.4232,8.4232,0,0
1986-03-24,8.3023,8.3023,8.3023,8.3023,0,0
1986-04-01,8.516,8.516,8.516,8.516,0,0
1986-04-07,8.6035,8.6035,8.6035,8.6035,0,0
1986-04-09,8.6035,8.6035,8.6035,8.6035,0,0
1986-04-14,8.7051,8.7051,8.7051,8.7051,0,0
1986-04-21,8.5767,8.5767,8.5767,8.5767,0,0
1986-04-28,8.0753,8.0753,8.0753,8.0753,0,0
1986-05-05,8.0511,8.0511,8.0511,8.0511,0,0
1986-05-12,8.134,8.134,8.134,8.134,0,0
1986-05-19,8.0319,8.0319,8.0319,8.0319,0,0
1986-05-26,8.1962,8.1962,8.1962,8.1962,0,0
1986-06-02,8.4634,8.4634,8.4634,8.4634,0,0
1986-06-09,8.4144,8.4144,8.4144,8.4144,0,0
1986-06-16,8.2737,8.2737,8.2737,8.2737,0,0
1986-06-23,8.2384,8.2384,8.2384,8.2384,0,0
1986-06-30,8.2709,8.2709,8.2709,8.2709,0,0
1986-07-07,8.1163,8.1163,8.1163,8.1163,0,0
1986-07-14,8.1135,8.1135,8.1135,8.1135,0,0
1986-07-21,8.104,8.104,8.104,8.104,0,0
1986-07-28,7.9838,7.9838,7.9838,7.9838,0,0
1986-08-04,7.9686,7.9686,7.9686,7.9686,0,0
1986-08-11,7.8639,7.8639,7.8639,7.8639,0,0
1986-08-18,7.7462,7.7462,7.7462,7.7462,0,0
1986-08-25,7.7964,7.7964,7.7964,7.7964,0,0
1986-09-01,7.728,7.728,7.728,7.728,0,0
1986-09-08,7.6686,7.6686,7.6686,7.6686,0,0
1986-09-15,7.8216,7.8216,7.8216,7.8216,0,0
1986-09-22,7.7637,7.7637,7.7637,7.7637,0,0
1986-09-29,7.6728,7.6728,7.6728,7.6728,0,0
1986-10-06,7.6444,7.6444,7.6444,7.6444,0,0
1986-10-13,7.5541,7.5541,7.5541,7.5541,0,0
1986-10-20,7.4656,7.4656,7.4656,7.4656,0,0
1986-10-27,7.4953,7.4953,7.4953,7.4953,0,0
