Date,Open,High,Low,Close,Volume,OpenInt
1984-01-09,3.8284,3.8284,3.8284,3.8284,0,0
1984-01-16,3.8462,3.8462,3.8462,3.8462,0,0
1984-01-23,3.8335,3.8335,3.8335,3.8335,0,0
1984-01-30,3.8335,3.8335,3.8335,3.8335,0,0
1984-02-06,3.8366,3.8366,3.8366,3.8366,0,0
1984-02-13,3.8398,3.8398,3.8398,3.8398,0,0
1984-02-20,3.7954,3.7954,3.7954,3.7954,0,0
1984-03-01,3.7428,3.7428,3.7428,3.7428,0,0
1984-03-05,3.7473,3.7473,3.7473,3.7473,0,0
1984-03-12,3.6641,3.6641,3.6641,3.6641,0,0
1984-03-19,3.6389,3.6389,3.6389,3.6389,0,0
1984-03-26,3.7224,3.7224,3.7224,3.7224,0,0
1984-04-02,3.6909,3.6909,3.6909,3.6909,0,0
1984-04-09,3.6977,3.6977,3.6977,3.6977,0,0
1984-04-16,3.7304,3.7304,3.7304,3.7304,0,0
1984-04-24,3.7616,3.7616,3.7616,3.7616,0,0
1984-05-02,3.7886,3.7886,3.7886,3.7886,0,0
1984-05-07,3.835,3.835,3.835,3.835,0,0
1984-05-14,3.8484,3.8484,3.8484,3.8484,0,0
1984-05-21,3.8321,3.8321,3.8321,3.8321,0,0
1984-05-28,3.8182,3.8182,3.8182,3.8182,0,0
1984-06-04,3.8574,3.8574,3.8574,3.8574,0,0
1984-06-11,3.7771,3.7771,3.7771,3.7771,0,0
1984-06-18,3.8165,3.8165,3.8165,3.8165,0,0
1984-06-25,3.8057,3.8057,3.8057,3.8057,0,0
1984-07-02,3.8501,3.8501,3.8501,3.8501,0,0
1984-07-09,3.8253,3.8253,3.8253,3.8253,0,0
1984-07-16,3.8529,3.8529,3.8529,3.8529,0,0
1984-07-23,3.8615,3.8615,3.8615,3.8615,0,0
1984-07-30,3.8774,3.8774,3.8774,3.8774,0,0
1984-08-06,3.9037,3.9037,3.9037,3.9037,0,0
1984-08-13,3.8992,3.8992,3.8992,3.8992,0,0
1984-08-20,3.9008,3.9008,3.9008,3.9008,0,0
1984-08-27,3.8979,3.8979,3.8979,3.8979,0,0
1984-09-01,3.8758,3.8758,3.8758,3.8758,0,0
1984-09-10,3.8942,3.8942,3.8942,3.8942,0,0
1984-09-17,3.9398,3.9398,3.9398,3.9398,0,0
1984-09-24,4.0193,4.0193,4.0193,4.0193,0,0
1984-10-01,4.0069,4.0069,4.0069,4.0069,0,0
1984-10-08,3.9602,3.9602,3.9602,3.9602,0,0
1984-10-15,4,4,4,4,0,0
1984-10-22,4.0694,4.0694,4.0694,4.0694,0,0
1984-10-29,4.0166,4.0166,4.0166,4.0166,0,0
1984-11-05,4.0373,4.0373,4.0373,4.0373,0,0
1984-11-12,3.9237,3.9237,3.9237,3.9237,0,0
1984-11-19,3.9291,3.9291,3.9291,3.9291,0,0
1984-11-26,3.9615,3.9615,3.9615,3.9615,0,0
1984-12-01,4.0263,4.0263,4.0263,4.0263,0,0
1984-12-10,4.0516,4.0516,4.0516,4.0516,0,0
1984-12-17,4.0377,4.0377,4.0377,4.0377,0,0
1984-12-24,4.0518,4.0518,4.0518,4.0518,0,0
1985-01-01,4.0877,4.0877,4.0877,4.0877,0,0
1985-01-07,4.0936,4.0936,4.0936,4.0936,0,0
1985-01-14,4.0649,4.0649,4.0649,4.0649,0,0
1985-01-21,4.1377,4.1377,4.1377,4.1377,0,0
1985-01-28,4.1257,4.1257,4.1257,4.1257,0,0
1985-02-04,4.0507,4.0507,4.0507,4.0507,0,0
1985-02-11,4.0445,4.0445,4.0445,4.0445,0,0
1985-02-18,4.0948,4.0948,4.0948,4.0948,0,0
1985-02-25,4.0912,4.0912,4.0912,4.0912,0,0
