Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,0.6432,0.6432,0.6432,0.6432,0,0
1995-01-04,0.6419,0.6419,0.6419,0.6419,0,0
1995-01-05,0.6405,0.6405,0.6405,0.6405,0,0
1995-01-06,0.6423,0.6423,0.6423,0.6423,0,0
1995-01-09,0.6473,0.6473,0.6473,0.6473,0,0
1995-01-10,0.6482,0.6482,0.6482,0.6482,0,0
1995-01-11,0.6607,0.6607,0.6607,0.6607,0,0
1995-01-12,0.6566,0.6566,0.6566,0.6566,0,0
1995-01-13,0.6565,0.6565,0.6565,0.6565,0,0
1995-01-16,0.6585,0.6585,0.6585,0.6585,0,0
1995-01-17,0.6551,0.6551,0.6551,0.6551,0,0
1995-01-18,0.6588,0.6588,0.6588,0.6588,0,0
1995-01-19,0.6613,0.6613,0.6613,0.6613,0,0
1995-01-20,0.6551,0.6551,0.6551,0.6551,0,0
1995-01-23,0.6685,0.6685,0.6685,0.6685,0,0
1995-01-24,0.6695,0.6695,0.6695,0.6695,0,0
1995-01-25,0.6711,0.6711,0.6711,0.6711,0,0
1995-01-26,0.6675,0.6675,0.6675,0.6675,0,0
1995-01-27,0.6605,0.6605,0.6605,0.6605,0,0
1995-01-30,0.6639,0.6639,0.6639,0.6639,0,0
1995-01-31,0.6596,0.6596,0.6596,0.6596,0,0
1995-02-01,0.6632,0.6632,0.6632,0.6632,0,0
1995-02-02,0.6518,0.6518,0.6518,0.6518,0,0
1995-02-03,0.6527,0.6527,0.6527,0.6527,0,0
1995-02-06,0.6513,0.6513,0.6513,0.6513,0,0
1995-02-07,0.6458,0.6458,0.6458,0.6458,0,0
1995-02-08,0.6433,0.6433,0.6433,0.6433,0,0
1995-02-09,0.6413,0.6413,0.6413,0.6413,0,0
1995-02-10,0.6438,0.6438,0.6438,0.6438,0,0
1995-02-13,0.6435,0.6435,0.6435,0.6435,0,0
1995-02-14,0.6512,0.6512,0.6512,0.6512,0,0
1995-02-15,0.6501,0.6501,0.6501,0.6501,0,0
1995-02-16,0.6626,0.6626,0.6626,0.6626,0,0
1995-02-17,0.6717,0.6717,0.6717,0.6717,0,0
1995-02-20,0.6708,0.6708,0.6708,0.6708,0,0
1995-02-21,0.675,0.675,0.675,0.675,0,0
1995-02-22,0.68,0.68,0.68,0.68,0,0
1995-02-23,0.6776,0.6776,0.6776,0.6776,0,0
1995-02-24,0.68,0.68,0.68,0.68,0,0
1995-02-27,0.6815,0.6815,0.6815,0.6815,0,0
1995-02-28,0.6887,0.6887,0.6887,0.6887,0,0
1995-03-01,0.6876,0.6876,0.6876,0.6876,0,0
1995-03-02,0.6859,0.6859,0.6859,0.6859,0,0
1995-03-03,0.6929,0.6929,0.6929,0.6929,0,0
1995-03-06,0.7041,0.7041,0.7041,0.7041,0,0
1995-03-07,0.7554,0.7554,0.7554,0.7554,0,0
1995-03-08,0.7597,0.7597,0.7597,0.7597,0,0
1995-03-09,0.7743,0.7743,0.7743,0.7743,0,0
1995-03-10,0.7566,0.7566,0.7566,0.7566,0,0
1995-03-13,0.7455,0.7455,0.7455,0.7455,0,0
1995-03-14,0.7516,0.7516,0.7516,0.7516,0,0
1995-03-15,0.7538,0.7538,0.7538,0.7538,0,0
1995-03-16,0.7667,0.7667,0.7667,0.7667,0,0
1995-03-17,0.7772,0.7772,0.7772,0.7772,0,0
1995-03-20,0.7876,0.7876,0.7876,0.7876,0,0
1995-03-21,0.7704,0.7704,0.7704,0.7704,0,0
1995-03-22,0.781,0.781,0.781,0.781,0,0
1995-03-23,0.7731,0.7731,0.7731,0.7731,0,0
1995-03-24,0.7838,0.7838,0.7838,0.7838,0,0
1995-03-27,0.7812,0.7812,0.7812,0.7812,0,0
1995-03-28,0.779,0.779,0.779,0.779,0,0
1995-03-29,0.7836,0.7836,0.7836,0.7836,0,0
1995-03-30,0.7951,0.7951,0.7951,0.7951,0,0
1995-03-31,0.7719,0.7719,0.7719,0.7719,0,0
1995-04-03,0.7927,0.7927,0.7927,0.7927,0,0
1995-04-04,0.7968,0.7968,0.7968,0.7968,0,0
1995-04-05,0.7942,0.7942,0.7942,0.7942,0,0
1995-04-06,0.7958,0.7958,0.7958,0.7958,0,0
1995-04-07,0.7945,0.7945,0.7945,0.7945,0,0
1995-04-10,0.7946,0.7946,0.7946,0.7946,0,0
1995-04-11,0.7832,0.7832,0.7832,0.7832,0,0
1995-04-12,0.781,0.781,0.781,0.781,0,0
1995-04-13,0.7869,0.7869,0.7869,0.7869,0,0
1995-04-14,0.7867,0.7867,0.7867,0.7867,0,0
1995-04-18,0.7892,0.7892,0.7892,0.7892,0,0
1995-04-19,0.8123,0.8123,0.8123,0.8123,0,0
1995-04-20,0.8163,0.8163,0.8163,0.8163,0,0
1995-04-21,0.801,0.801,0.801,0.801,0,0
1995-04-24,0.7966,0.7966,0.7966,0.7966,0,0
1995-04-25,0.8137,0.8137,0.8137,0.8137,0,0
1995-04-26,0.8105,0.8105,0.8105,0.8105,0,0
1995-04-27,0.8026,0.8026,0.8026,0.8026,0,0
1995-04-28,0.8066,0.8066,0.8066,0.8066,0,0
1995-05-04,0.7966,0.7966,0.7966,0.7966,0,0
1995-05-05,0.7934,0.7934,0.7934,0.7934,0,0
1995-05-09,0.7968,0.7968,0.7968,0.7968,0,0
1995-05-10,0.7901,0.7901,0.7901,0.7901,0,0
1995-05-11,0.7849,0.7849,0.7849,0.7849,0,0
