Date,Open,High,Low,Close,Volume,OpenInt
1971-01-04,4.318,4.318,4.318,4.318,0,0
1971-01-05,4.3117,4.3117,4.3117,4.3117,0,0
1971-01-06,4.3114,4.3114,4.3114,4.3114,0,0
1971-01-07,4.3103,4.3103,4.3103,4.3103,0,0
1971-01-08,4.311,4.311,4.311,4.311,0,0
1971-01-11,4.3104,4.3104,4.3104,4.3104,0,0
1971-01-12,4.3098,4.3098,4.3098,4.3098,0,0
1971-01-13,4.3097,4.3097,4.3097,4.3097,0,0
1971-01-14,4.3094,4.3094,4.3094,4.3094,0,0
1971-01-15,4.3075,4.3075,4.3075,4.3075,0,0
1971-01-18,4.3028,4.3028,4.3028,4.3028,0,0
1971-01-19,4.3007,4.3007,4.3007,4.3007,0,0
1971-01-20,4.3011,4.3011,4.3011,4.3011,0,0
1971-01-21,4.3018,4.3018,4.3018,4.3018,0,0
1971-01-22,4.2998,4.2998,4.2998,4.2998,0,0
1971-01-25,4.3006,4.3006,4.3006,4.3006,0,0
1971-01-26,4.2988,4.2988,4.2988,4.2988,0,0
1971-01-27,4.2973,4.2973,4.2973,4.2973,0,0
1971-01-28,4.2977,4.2977,4.2977,4.2977,0,0
1971-01-29,4.2961,4.2961,4.2961,4.2961,0,0
1971-02-01,4.2966,4.2966,4.2966,4.2966,0,0
1971-02-02,4.2968,4.2968,4.2968,4.2968,0,0
1971-02-03,4.2964,4.2964,4.2964,4.2964,0,0
1971-02-04,4.2964,4.2964,4.2964,4.2964,0,0
1971-02-05,4.2967,4.2967,4.2967,4.2967,0,0
1971-02-08,4.2977,4.2977,4.2977,4.2977,0,0
1971-02-09,4.2967,4.2967,4.2967,4.2967,0,0
1971-02-10,4.2971,4.2971,4.2971,4.2971,0,0
1971-02-11,4.2966,4.2966,4.2966,4.2966,0,0
1971-02-16,4.2967,4.2967,4.2967,4.2967,0,0
1971-02-17,4.2967,4.2967,4.2967,4.2967,0,0
1971-02-18,4.2965,4.2965,4.2965,4.2965,0,0
1971-02-19,4.2965,4.2965,4.2965,4.2965,0,0
1971-02-22,4.2959,4.2959,4.2959,4.2959,0,0
1971-02-23,4.2957,4.2957,4.2957,4.2957,0,0
1971-02-24,4.3013,4.3013,4.3013,4.3013,0,0
1971-02-25,4.3075,4.3075,4.3075,4.3075,0,0
1971-02-26,4.3073,4.3073,4.3073,4.3073,0,0
