Date,Open,High,Low,Close,Volume,OpenInt
1980-01-02,2.0283,2.0283,2.0283,2.0283,0,0
1980-01-03,2.0184,2.0184,2.0184,2.0184,0,0
1980-01-04,2.0203,2.0203,2.0203,2.0203,0,0
1980-01-07,2.0331,2.0331,2.0331,2.0331,0,0
1980-01-08,2.0277,2.0277,2.0277,2.0277,0,0
1980-01-09,2.037,2.037,2.037,2.037,0,0
1980-01-10,2.0298,2.0298,2.0298,2.0298,0,0
1980-01-11,2.0327,2.0327,2.0327,2.0327,0,0
1980-01-14,2.0474,2.0474,2.0474,2.0474,0,0
1980-01-15,2.0472,2.0472,2.0472,2.0472,0,0
1980-01-16,2.0466,2.0466,2.0466,2.0466,0,0
1980-01-17,2.0496,2.0496,2.0496,2.0496,0,0
1980-01-18,2.059,2.059,2.059,2.059,0,0
1980-01-21,2.0579,2.0579,2.0579,2.0579,0,0
1980-01-22,2.0527,2.0527,2.0527,2.0527,0,0
1980-01-23,2.0532,2.0532,2.0532,2.0532,0,0
1980-01-24,2.0507,2.0507,2.0507,2.0507,0,0
1980-01-25,2.0405,2.0405,2.0405,2.0405,0,0
1980-01-28,2.0286,2.0286,2.0286,2.0286,0,0
1980-01-29,2.0355,2.0355,2.0355,2.0355,0,0
1980-01-30,2.0428,2.0428,2.0428,2.0428,0,0
1980-01-31,2.0476,2.0476,2.0476,2.0476,0,0
1980-02-01,2.055,2.055,2.055,2.055,0,0
1980-02-04,2.0682,2.0682,2.0682,2.0682,0,0
1980-02-05,2.0681,2.0681,2.0681,2.0681,0,0
1980-02-06,2.0878,2.0878,2.0878,2.0878,0,0
1980-02-07,2.074,2.074,2.074,2.074,0,0
1980-02-08,2.0725,2.0725,2.0725,2.0725,0,0
1980-02-11,2.0829,2.0829,2.0829,2.0829,0,0
1980-02-12,2.081,2.081,2.081,2.081,0,0
1980-02-13,2.0872,2.0872,2.0872,2.0872,0,0
1980-02-14,2.0895,2.0895,2.0895,2.0895,0,0
1980-02-15,2.0736,2.0736,2.0736,2.0736,0,0
1980-02-18,2.0739,2.0739,2.0739,2.0739,0,0
1980-02-19,2.057,2.057,2.057,2.057,0,0
1980-02-20,2.0678,2.0678,2.0678,2.0678,0,0
1980-02-21,2.0757,2.0757,2.0757,2.0757,0,0
1980-02-22,2.0646,2.0646,2.0646,2.0646,0,0
1980-02-25,2.0685,2.0685,2.0685,2.0685,0,0
1980-02-26,2.0746,2.0746,2.0746,2.0746,0,0
1980-02-27,2.0819,2.0819,2.0819,2.0819,0,0
1980-02-28,2.0791,2.0791,2.0791,2.0791,0,0
1980-02-29,2.069,2.069,2.069,2.069,0,0
1980-03-03,2.0482,2.0482,2.0482,2.0482,0,0
1980-03-04,2.039,2.039,2.039,2.039,0,0
1980-03-05,2.0413,2.0413,2.0413,2.0413,0,0
1980-03-06,2.038,2.038,2.038,2.038,0,0
1980-03-07,2.033,2.033,2.033,2.033,0,0
1980-03-10,2.0252,2.0252,2.0252,2.0252,0,0
1980-03-11,2.035,2.035,2.035,2.035,0,0
1980-03-12,2.0407,2.0407,2.0407,2.0407,0,0
1980-03-13,2.0299,2.0299,2.0299,2.0299,0,0
1980-03-14,2.0229,2.0229,2.0229,2.0229,0,0
1980-03-17,2.0033,2.0033,2.0033,2.0033,0,0
1980-03-18,2.0096,2.0096,2.0096,2.0096,0,0
1980-03-19,2.0184,2.0184,2.0184,2.0184,0,0
1980-03-20,2.0183,2.0183,2.0183,2.0183,0,0
1980-03-21,2.0081,2.0081,2.0081,2.0081,0,0
1980-03-24,2.0122,2.0122,2.0122,2.0122,0,0
1980-03-25,2.0164,2.0164,2.0164,2.0164,0,0
1980-03-26,2.0134,2.0134,2.0134,2.0134,0,0
1980-03-27,2.0045,2.0045,2.0045,2.0045,0,0
1980-03-28,2.0023,2.0023,2.0023,2.0023,0,0
1980-03-31,1.9941,1.9941,1.9941,1.9941,0,0
1980-04-01,1.9923,1.9923,1.9923,1.9923,0,0
1980-04-02,2.009,2.009,2.009,2.009,0,0
1980-04-03,1.9911,1.9911,1.9911,1.9911,0,0
1980-04-04,1.9876,1.9876,1.9876,1.9876,0,0
1980-04-07,1.9924,1.9924,1.9924,1.9924,0,0
1980-04-08,2.0399,2.0399,2.0399,2.0399,0,0
1980-04-09,2.032,2.032,2.032,2.032,0,0
1980-04-10,2.017,2.017,2.017,2.017,0,0
1980-04-11,2.0082,2.0082,2.0082,2.0082,0,0
1980-04-14,2.0183,2.0183,2.0183,2.0183,0,0
1980-04-15,2.0046,2.0046,2.0046,2.0046,0,0
1980-04-16,2.035,2.035,2.035,2.035,0,0
1980-04-17,2.0204,2.0204,2.0204,2.0204,0,0
1980-04-18,2.0221,2.0221,2.0221,2.0221,0,0
1980-04-21,2.0473,2.0473,2.0473,2.0473,0,0
1980-04-22,2.0364,2.0364,2.0364,2.0364,0,0
1980-04-23,2.0683,2.0683,2.0683,2.0683,0,0
1980-04-24,2.0449,2.0449,2.0449,2.0449,0,0
1980-04-25,2.0542,2.0542,2.0542,2.0542,0,0
1980-04-28,2.0625,2.0625,2.0625,2.0625,0,0
1980-04-29,2.0377,2.0377,2.0377,2.0377,0,0
1980-04-30,2.0264,2.0264,2.0264,2.0264,0,0
1980-05-01,2.0279,2.0279,2.0279,2.0279,0,0
1980-05-02,2.0259,2.0259,2.0259,2.0259,0,0
1980-05-05,2.0472,2.0472,2.0472,2.0472,0,0
1980-05-06,2.0409,2.0409,2.0409,2.0409,0,0
1980-05-07,2.0316,2.0316,2.0316,2.0316,0,0
1980-05-08,2.0302,2.0302,2.0302,2.0302,0,0
1980-05-09,2.0177,2.0177,2.0177,2.0177,0,0
1980-05-12,2.0265,2.0265,2.0265,2.0265,0,0
1980-05-13,2.0164,2.0164,2.0164,2.0164,0,0
1980-05-14,2.0334,2.0334,2.0334,2.0334,0,0
1980-05-15,2.0374,2.0374,2.0374,2.0374,0,0
1980-05-16,2.0219,2.0219,2.0219,2.0219,0,0
1980-05-19,2.0229,2.0229,2.0229,2.0229,0,0
1980-05-20,2.0299,2.0299,2.0299,2.0299,0,0
1980-05-21,2.0584,2.0584,2.0584,2.0584,0,0
1980-05-22,2.0478,2.0478,2.0478,2.0478,0,0
1980-05-23,2.0591,2.0591,2.0591,2.0591,0,0
1980-05-26,2.0469,2.0469,2.0469,2.0469,0,0
1980-05-27,2.0615,2.0615,2.0615,2.0615,0,0
1980-05-28,2.0527,2.0527,2.0527,2.0527,0,0
1980-05-29,2.0486,2.0486,2.0486,2.0486,0,0
