Date,Open,High,Low,Close,Volume,OpenInt
2010-06-18,0.49,0.49,0.32,0.33,772332,0
2010-06-21,0.27,0.33,0.27,0.33,94445,0
2010-06-22,0.32,0.33,0.29,0.32,22680,0
2010-06-23,0.3,0.31,0.26,0.27,204221,0
2010-06-24,0.27,0.27,0.23,0.23,76718,0
2010-06-25,0.23,0.23,0.2,0.23,114481,0
2010-06-28,0.23,0.23,0.2,0.23,9195,0
2010-06-29,0.23,0.23,0.2,0.22,36803,0
2010-06-30,0.21,0.22,0.21,0.22,13653,0
2010-07-01,0.22,0.22,0.22,0.22,10,0
2010-07-02,0.22,0.22,0.19,0.22,15400,0
2010-07-05,0.2,0.22,0.18,0.22,12258,0
2010-07-06,0.21,0.21,0.21,0.21,100,0
2010-07-07,0.21,0.21,0.21,0.21,1000,0
2010-07-08,0.19,0.21,0.18,0.21,22819,0
2010-07-09,0.21,0.22,0.21,0.22,14030,0
2010-07-12,0.21,0.21,0.21,0.21,51,0
2010-07-14,0.22,0.23,0.2,0.2,13500,0
2010-07-15,0.19,0.24,0.19,0.23,74223,0
2010-07-16,0.24,0.24,0.23,0.24,4500,0
2010-07-20,0.22,0.24,0.22,0.24,3500,0
2010-07-21,0.22,0.23,0.21,0.23,3715,0
2010-07-23,0.24,0.28,0.24,0.28,77500,0
2010-07-26,0.3,0.33,0.26,0.29,276675,0
2010-07-27,0.27,0.28,0.26,0.28,27973,0
2010-07-28,0.28,0.29,0.25,0.27,40589,0
2010-07-29,0.25,0.29,0.24,0.29,161621,0
2010-07-30,0.28,0.29,0.27,0.29,17260,0
2010-08-02,0.29,0.29,0.24,0.24,229687,0
2010-08-03,0.24,0.24,0.22,0.23,102961,0
2010-08-04,0.23,0.24,0.23,0.24,1001,0
2010-08-05,0.23,0.23,0.23,0.23,3500,0
2010-08-06,0.23,0.23,0.22,0.23,5500,0
2010-08-09,0.23,0.23,0.23,0.23,9953,0
2010-08-10,0.22,0.23,0.22,0.23,7500,0
2010-08-11,0.23,0.25,0.23,0.25,15704,0
2010-08-12,0.25,0.25,0.23,0.24,11812,0
2010-08-13,0.24,0.24,0.21,0.22,76901,0
2010-08-16,0.21,0.22,0.21,0.22,38956,0
2010-08-17,0.23,0.24,0.23,0.23,49956,0
2010-08-18,0.23,0.23,0.23,0.23,10000,0
2010-08-19,0.23,0.27,0.23,0.26,122133,0
2010-08-20,0.26,0.26,0.21,0.25,107000,0
2010-08-23,0.25,0.25,0.23,0.23,42200,0
2010-08-24,0.23,0.23,0.23,0.23,38350,0
2010-08-25,0.23,0.27,0.23,0.26,189060,0
2010-08-26,0.26,0.26,0.23,0.23,175804,0
2010-08-27,0.23,0.23,0.22,0.23,45378,0
2010-08-30,0.23,0.24,0.22,0.23,115135,0
2010-08-31,0.23,0.23,0.22,0.23,38162,0
2010-09-01,0.23,0.24,0.22,0.24,49235,0
