Date,Open,High,Low,Close,Volume,OpenInt
2010-12-28,13.8,13.8,13.8,13.8,61500,0
2010-12-29,16,19.2,15,19.2,43275,0
2010-12-30,25,29.2,20.6,23.4,45124,0
2010-12-31,23.4,29.2,22,29.2,33938,0
2011-01-03,32.6,40.8,32.6,40.8,15716,0
2011-01-04,46.8,48.8,30.4,31.8,36646,0
2011-01-05,33,34.6,27,30.6,18070,0
2011-01-07,30,30,23.8,23.8,15717,0
2011-01-10,23.2,25.4,19.2,23.2,25183,0
2011-01-11,24,25.2,21.6,21.6,15463,0
2011-01-12,22.4,22.4,20.6,21.8,5745,0
2011-01-13,21.8,23.4,20,21.4,11528,0
2011-01-14,21.4,21.4,19.2,19.4,5859,0
2011-01-17,19.6,19.6,16,16.4,10576,0
2011-01-18,16.4,17.6,15.6,16,5728,0
2011-01-19,16,18.2,15.2,18.2,13922,0
2011-01-20,18,21,17.6,19,16378,0
2011-01-21,18.6,18.8,16.6,16.6,9498,0
2011-01-24,16.6,17,14.8,15.8,20313,0
2011-01-25,16,16.2,15.4,15.8,2005,0
2011-01-26,15.8,17.6,15.2,16.6,7257,0
2011-01-27,16.8,17,16,16,1908,0
2011-01-28,16,16.4,15.8,15.8,5618,0
2011-01-31,15.8,16.2,15.2,16.2,1475,0
2011-02-01,15.6,15.6,13.8,14,5762,0
2011-02-02,14.2,16.8,13.6,16.4,15778,0
2011-02-03,16.6,16.6,14.6,14.6,7765,0
2011-02-04,14.6,15.4,14.4,14.6,1800,0
2011-02-07,14.8,16.2,14.8,16,2841,0
2011-02-08,16,16.2,15.4,16.2,1080,0
2011-02-09,16.4,18.8,16.4,17.8,8232,0
2011-02-10,17.6,18,16.8,18,3092,0
2011-02-11,18,18.6,16.8,17.8,657,0
2011-02-14,17.6,17.6,16,16.8,2691,0
2011-02-15,17,17,15.6,17,2986,0
2011-02-16,17,17.4,16.6,16.6,2014,0
2011-02-17,16.4,16.4,16.4,16.4,1659,0
2011-02-18,16.4,16.4,16,16,900,0
2011-02-21,15.4,15.6,15.4,15.6,20,0
2011-02-22,16,16,16,16,1,0
2011-02-23,16.2,16.2,14.6,14.8,1309,0
2011-02-24,14.8,16.2,14.8,16.2,725,0
2011-02-25,16.4,16.4,16.4,16.4,5,0
2011-02-28,16,17.4,15.6,16.6,545,0
2011-03-01,16.6,17.6,16,16.2,1515,0
2011-03-02,16.2,16.2,16,16.2,475,0
2011-03-03,16.2,22.8,16.2,21.4,18508,0
2011-03-04,21.8,21.8,18.4,19.4,5876,0
2011-03-07,19,19,17.2,18.4,5403,0
2011-03-08,17.8,18.4,17.2,18,2347,0
2011-03-09,17.8,18.4,17.4,18,706,0
2011-03-10,18,18.4,17.4,17.4,393,0
2011-03-11,17.2,18,17,17.2,546,0
2011-03-14,17.8,17.8,17.8,17.8,5,0
2011-03-15,17.2,17.2,16.2,16.6,588,0
2011-03-16,16.2,22.6,16,20.8,8289,0
2011-03-17,20.8,21.4,20,20.8,1301,0
2011-03-18,20.2,20.2,19.6,20.2,728,0
2011-03-21,20,23.6,20,23,2106,0
2011-03-22,23.6,26.8,22,26.8,3567,0
2011-03-23,26.6,29.8,24.2,29,3573,0
2011-03-24,29.4,33.6,27.2,31,7691,0
2011-03-25,32.4,32.4,28.2,28.2,1751,0
2011-03-28,26.2,28.4,26.2,27.6,703,0
2011-03-29,27.6,27.6,24.6,26.2,583,0
2011-03-30,26,26.4,23.2,26.4,489,0
2011-03-31,27.4,32.8,27.2,32.8,2594,0
2011-04-01,31.8,32,28.6,30,5236,0
2011-04-04,29.2,41.4,28.4,37,18335,0
2011-04-05,36.4,45.8,34.6,44.8,9248,0
2011-04-06,44.8,48,38.4,45,7468,0
2011-04-07,45.4,45.4,36,36,16055,0
2011-04-08,36.4,37.4,29,30.2,5029,0
2011-04-11,30,30,24,28.8,18985,0
2011-04-12,28.8,29,26.4,28,932,0
2011-04-13,28,31.2,26,29.8,1776,0
2011-04-14,29,36.8,29,35.4,13802,0
2011-04-15,34.6,35.8,32.8,35,1257,0
2011-04-18,34.4,43.8,33.6,43,9878,0
2011-04-19,45.8,65.6,45.6,65.6,13660,0
2011-04-20,69.4,81.8,60.6,80,12239,0
2011-04-21,80.8,107.4,72.6,102.8,6325,0
2011-04-26,103.6,112,95.6,100.2,4482,0
2011-04-27,102,120.2,95.6,109.8,4355,0
2011-04-28,109.8,129.4,100.4,105,3521,0
2011-04-29,107.8,111.2,103,110,1841,0
2011-05-02,110,120,104,120,1285,0
2011-05-04,124.8,179.4,120.4,120.4,5076,0
2011-05-05,122,146,119,130.6,1906,0
2011-05-06,130.2,130.2,103,103,2511,0
2011-05-09,98.6,114.8,79.6,109.2,4059,0
2011-05-10,113.4,113.4,70.4,70.6,2794,0
2011-05-11,75,95.8,70.4,81.2,2831,0
2011-05-12,81,85.8,67,67,1889,0
2011-05-13,65,85.6,61,63.8,3420,0
2011-05-16,63,65.6,50,50,4714,0
2011-05-17,52.8,56.4,50.4,50.6,3653,0
