Date,Open,High,Low,Close,Volume,OpenInt
2011-07-05,2.94,3.68,2.76,3.68,166668,0
2011-07-06,3.68,3.99,3.1,3.15,113662,0
2011-07-07,3.15,3.37,3.05,3.15,20228,0
2011-07-08,3.2,3.2,3.06,3.15,11547,0
2011-07-11,3.08,3.27,3.05,3.05,8419,0
2011-07-12,3.11,3.69,3.02,3.59,52398,0
2011-07-13,3.45,3.51,3.21,3.21,15925,0
2011-07-14,3.4,3.58,3.2,3.58,1238,0
2011-07-15,3.45,3.57,3.3,3.41,2525,0
2011-07-18,3.36,3.36,3.25,3.3,1960,0
2011-07-19,3.47,3.75,3.35,3.75,6006,0
2011-07-20,3.75,3.76,3.6,3.76,1121,0
2011-07-21,3.75,3.75,3.53,3.53,1575,0
2011-07-22,3.55,3.65,3.55,3.57,115,0
2011-07-25,3.57,3.64,3.55,3.62,1724,0
2011-07-26,3.66,3.66,3.53,3.66,730,0
2011-07-27,3.61,3.83,3.57,3.83,13087,0
2011-07-28,3.82,3.97,3.82,3.82,23383,0
2011-07-29,3.81,3.81,3.55,3.56,4610,0
2011-08-01,3.57,3.68,3.51,3.65,5741,0
2011-08-02,3.55,5.28,3.51,5.28,104704,0
2011-08-03,5.3,5.67,4.9,5.57,42963,0
2011-08-04,5.4,5.4,4.8,4.8,24075,0
2011-08-05,4.5,4.8,4.3,4.67,6213,0
2011-08-08,4.35,4.6,4,4.2,5676,0
2011-08-09,4.01,4.2,3.8,4.2,4161,0
2011-08-10,4.35,4.98,4.01,4.88,12597,0
2011-08-11,4.88,5.03,4.88,5.03,500,0
2011-08-12,4.93,4.93,4.93,4.93,165,0
2011-08-16,4.94,4.94,4.02,4.5,15067,0
2011-08-17,4.48,4.79,4.48,4.79,708,0
2011-08-18,4.5,4.5,4.11,4.11,2255,0
2011-08-19,4.06,4.3,4.06,4.3,1180,0
2011-08-22,4.79,4.79,4.79,4.79,22,0
2011-08-23,4.75,4.75,4.75,4.75,22,0
2011-08-24,4.79,4.79,4.4,4.4,181,0
2011-08-25,4.78,5.45,4.75,4.93,32634,0
2011-08-26,4.94,4.94,4.56,4.94,155,0
2011-08-29,4.7,4.7,4.7,4.7,560,0
2011-08-30,4.51,4.51,4.4,4.42,3096,0
2011-08-31,4.45,4.6,4.45,4.6,222,0
2011-09-01,4.45,4.6,4.36,4.37,3596,0
2011-09-02,4.35,4.36,4.31,4.31,614,0
2011-09-05,4.3,4.3,4.2,4.2,536,0
2011-09-06,4.4,4.4,4.21,4.21,50,0
2011-09-07,4.35,4.35,4.35,4.35,40,0
2011-09-08,4.44,4.44,4.35,4.35,388,0
2011-09-09,4.44,4.44,4.15,4.44,262,0
2011-09-12,4.35,4.39,4.11,4.11,165,0
2011-09-13,4.25,4.4,4.25,4.4,600,0
2011-09-14,4.44,4.44,4.3,4.3,270,0
2011-09-15,4.44,4.48,4.3,4.48,706,0
2011-09-16,4.49,4.49,4.49,4.49,20,0
2011-09-19,4.49,4.49,4.45,4.45,116,0
2011-09-20,4.45,4.45,4.35,4.35,1620,0
2011-09-21,4.34,4.34,4.34,4.34,20,0
2011-09-22,4.29,4.47,4.05,4.25,6115,0
2011-09-23,4.25,4.25,4.25,4.25,170,0
2011-09-26,4.35,4.35,4.35,4.35,20,0
2011-09-27,4.35,4.35,4.34,4.34,50,0
2011-09-28,4.11,4.34,4.05,4.34,1475,0
2011-09-29,4.02,4.24,4.02,4.24,635,0
2011-09-30,4.01,4.14,4.01,4.14,1003,0
2011-10-03,3.99,4.33,3.97,4.02,10372,0
2011-10-04,4.02,4.02,3.8,3.8,5260,0
2011-10-05,3.8,3.8,3.8,3.8,8,0
2011-10-06,3.8,3.8,3.05,3.75,3643,0
2011-10-07,3.59,4.05,3.01,4.05,11172,0
2011-10-10,4.06,4.06,4.04,4.04,330,0
2011-10-11,3.95,3.95,3.65,3.65,2360,0
2011-10-12,3.6,3.6,3.6,3.6,550,0
2011-10-13,3.6,3.6,3.6,3.6,50,0
2011-10-14,3.55,3.7,3.15,3.5,2500,0
2011-10-18,3.4,3.4,3.15,3.15,1220,0
2011-10-19,3.15,3.3,3.15,3.3,80,0
2011-10-20,3.16,3.16,3.15,3.15,207,0
2011-10-21,3.15,3.3,3.11,3.3,1780,0
2011-10-24,3.3,3.3,3.3,3.3,6,0
2011-10-25,3.15,3.3,3.15,3.3,4900,0
2011-10-28,3.34,4.08,3.2,4.08,15560,0
2011-10-31,3.51,4.11,3.51,4.11,7709,0
2011-11-02,4,4.01,3.54,3.95,10446,0
2011-11-03,3.95,4.08,3.89,3.99,1548,0
2011-11-04,3.99,3.99,3.88,3.99,439,0
2011-11-07,4.05,4.05,3.85,3.85,1090,0
2011-11-08,3.71,3.71,3.71,3.71,100,0
2011-11-09,3.75,4.08,3.75,4.08,3829,0
2011-11-10,4.08,4.08,3.6,3.61,2985,0
2011-11-14,3.68,3.75,3.61,3.61,1720,0
2011-11-15,3.61,3.61,3.61,3.61,150,0
2011-11-16,3.61,3.61,3.61,3.61,10,0
2011-11-17,3.72,3.85,3.61,3.61,1310,0
2011-11-18,3.65,3.67,3.64,3.64,1440,0
2011-11-21,3.55,3.55,3.5,3.55,1700,0
2011-11-22,3.5,3.5,3.5,3.5,650,0
2011-11-23,3.51,3.6,3.5,3.5,2780,0
2011-11-24,3.45,3.5,3.45,3.5,915,0
2011-11-25,3.47,3.55,3.36,3.5,5255,0
2011-11-28,3.5,3.5,3.5,3.5,10,0
2011-11-29,3.47,3.47,3.47,3.47,120,0
2011-11-30,3.4,3.4,3.35,3.35,696,0
2011-12-01,3.44,3.44,3.44,3.44,100,0
2011-12-02,3.45,3.45,3.4,3.4,200,0
2011-12-05,3.5,3.5,3.5,3.5,715,0
2011-12-06,3.55,3.8,3.55,3.8,60,0
2011-12-07,3.85,4.1,3.8,3.8,4875,0
2011-12-08,4.05,4.05,4.05,4.05,15,0
2011-12-09,4.04,4.04,3.79,3.79,3230,0
2011-12-12,3.7,3.7,3.7,3.7,20,0
2011-12-13,3.7,3.7,3.7,3.7,750,0
2011-12-14,3.66,3.66,3.51,3.55,3580,0
2011-12-15,3.6,3.6,3.6,3.6,10,0
2011-12-16,3.6,3.6,3.6,3.6,10,0
2011-12-19,3.6,3.93,3.56,3.93,5391,0
2011-12-20,3.93,3.99,3.55,3.99,16278,0
2011-12-21,4.01,4.2,3.75,3.95,26761,0
2011-12-22,3.7,3.7,3.51,3.51,5279,0
2011-12-23,3.65,3.7,3.5,3.7,543,0
2011-12-27,3.5,3.5,3.49,3.49,880,0
2011-12-28,3.3,3.3,3.3,3.3,700,0
