Date,Open,High,Low,Close,Volume,OpenInt
2013-11-07,9.4166,11.277,9.4166,10.522,798,0
2013-11-08,9.127,10.952,7.3016,10.952,544,0
2013-11-12,8.776,10.356,8.697,8.697,56,0
2013-11-13,8.697,8.697,7.2051,7.2051,224,0
2013-11-15,7.3543,7.3543,7.3543,7.3543,205,0
2013-11-18,7.8984,7.8984,7.8984,7.8984,11,0
2013-11-19,9.1183,9.1183,9.1183,9.1183,11,0
2013-12-04,7.3104,7.3104,7.3104,7.3104,10,0
2013-12-05,8.6882,8.6882,8.6882,8.6882,6,0
2013-12-10,8.3899,8.3899,8.3899,8.3899,6,0
2013-12-13,7.3104,8.3899,7.3104,8.3899,23,0
2013-12-16,7.5737,7.5737,6.8892,6.8892,1729,0
2013-12-17,6.8892,6.8892,6.8892,6.8892,216,0
2013-12-23,6.8014,6.8892,6.8014,6.8892,1892,0
2013-12-27,6.8892,7.0208,6.8892,7.0208,1310,0
2013-12-30,7.0208,7.0208,7.0208,7.0208,34,0
2014-01-02,6.933,6.933,6.933,6.933,125,0
2014-01-03,6.933,6.933,6.933,6.933,122,0
2014-01-07,6.933,6.933,6.4065,6.933,492,0
2014-01-08,6.933,6.933,6.933,6.933,114,0
2014-01-09,6.933,6.933,6.933,6.933,128,0
2014-01-10,6.933,6.933,6.933,6.933,384,0
2014-01-13,6.933,6.933,6.933,6.933,106,0
2014-01-14,6.9243,6.9243,6.9243,6.9243,85,0
2014-01-16,6.933,6.933,6.933,6.933,13,0
2014-01-17,7.0208,7.0208,6.933,7.0208,365,0
2014-01-20,6.933,7.0208,6.933,7.0208,27,0
2014-01-21,6.933,6.933,6.933,6.933,39,0
2014-01-22,7.0208,7.0208,7.0208,7.0208,345,0
2014-01-23,7.012,7.0208,7.012,7.0208,98,0
2014-01-24,7.012,7.0208,7.012,7.0208,308,0
2014-01-27,7.0208,7.0208,7.0208,7.0208,27,0
2014-01-28,7.0208,7.0208,7.0208,7.0208,196,0
2014-01-29,7.0208,7.0208,7.0208,7.0208,189,0
2014-01-30,7.0208,7.0647,6.8014,6.8014,178,0
2014-01-31,7.0647,7.0647,7.0208,7.0208,182,0
2014-02-03,7.0647,7.0647,7.0647,7.0647,54,0
2014-02-05,6.7663,7.0647,6.7663,7.0647,436,0
2014-02-06,7.0647,7.0647,7.0647,7.0647,80,0
2014-02-07,7.0647,7.0647,7.0647,7.0647,5,0
2014-02-10,7.0647,7.1524,7.0647,7.1524,456,0
2014-02-11,7.1437,7.1524,7.1437,7.1524,342,0
2014-02-12,7.1524,7.1524,7.1437,7.1524,160,0
2014-02-13,7.1524,7.1524,7.1524,7.1524,108,0
2014-02-14,7.1524,7.1524,6.8277,7.1524,605,0
2014-02-17,6.1256,7.1524,6.1256,7.1524,146,0
2014-02-18,7.1524,7.1524,7.1524,7.1524,28,0
2014-02-19,7.1524,7.1524,7.1524,7.1524,2,0
2014-02-20,7.1524,7.1524,7.1524,7.1524,74,0
2014-02-21,7.1524,7.1524,7.1524,7.1524,34,0
2014-02-24,7.1524,7.1524,7.1524,7.1524,114,0
2014-02-25,7.1524,7.1524,7.1524,7.1524,3,0
2014-02-26,7.1524,7.1524,7.1524,7.1524,57,0
2014-02-28,7.1524,7.1524,7.1524,7.1524,60,0
2014-03-03,7.4596,7.4596,7.3543,7.4596,80,0
2014-03-04,7.4596,7.4596,7.4596,7.4596,2,0
2014-03-05,7.4508,7.4508,7.4508,7.4508,46,0
2014-03-07,7.4508,7.4508,6.9418,7.4508,242,0
2014-03-10,7.4596,7.4596,7.4596,7.4596,2,0
2014-03-12,7.4596,7.4596,7.4596,7.4596,34,0
2014-03-14,7.4508,7.4596,7.4508,7.4596,108,0
2014-03-18,7.4596,7.4596,7.4596,7.4596,40,0
2014-03-19,7.4596,7.4596,7.4596,7.4596,3,0
2014-03-20,7.4596,7.4596,7.4596,7.4596,11,0
2014-03-21,7.4596,7.4596,7.4596,7.4596,5,0
2014-03-24,7.4508,7.4596,7.4508,7.4508,3057,0
2014-03-25,7.4596,7.4596,7.012,7.3455,6179,0
2014-03-26,7.3455,7.4596,7.3367,7.4508,7053,0
2014-03-27,7.4508,7.4596,7.4508,7.4508,18972,0
2014-03-28,7.4508,7.8896,7.4508,7.8808,3506,0
2014-03-31,7.8984,7.8984,7.8984,7.8984,68,0
2014-04-01,7.9862,8.0213,7.9862,7.9862,59,0
2014-04-02,7.9862,8.0213,7.9862,8.0213,25,0
2014-04-03,8.03,8.03,7.9862,7.9862,114,0
2014-04-04,7.9862,8.03,7.9862,8.03,57,0
2014-04-07,8.03,8.03,8.03,8.03,57,0
2014-04-09,8.03,8.03,8.0213,8.0213,64,0
2014-04-10,8.0213,8.0213,8.0213,8.0213,68,0
2014-04-11,8.0213,8.03,8.0213,8.03,114,0
2014-04-14,8.0213,8.0213,8.0213,8.0213,2,0
2014-04-16,8.0213,8.0213,8.0213,8.0213,2,0
2014-04-17,8.0213,8.0213,8.0213,8.0213,46,0
2014-04-22,8.0213,8.03,8.0213,8.03,285,0
2014-04-25,8.03,8.03,8.03,8.03,251,0
2014-04-29,8.03,8.03,8.03,8.03,262,0
2014-04-30,8.03,8.03,8.03,8.03,467,0
2014-05-02,8.1529,8.1529,8.1529,8.1529,1,0
2014-05-05,8.1178,8.1178,8.1178,8.1178,1,0
