Date,Open,High,Low,Close,Volume,OpenInt
2015-08-24,0.11208,0.16812,0.11208,0.16812,7602,0
2015-08-26,0.27086,0.31756,0.27086,0.31756,23876,0
2015-08-27,0.33624,0.39228,0.33624,0.39228,4152,0
2015-08-28,0.467,0.5604,0.467,0.5604,8760,0
2015-09-01,0.6631,0.7939,0.6631,0.7939,20591,0
2015-09-02,0.9527,1.1395,0.9527,1.1208,2387,0
2015-09-03,1.345,1.6065,1.345,1.6065,4375,0
2015-09-04,1.924,2.307,1.7839,2.307,13728,0
2015-09-07,2.6152,2.7086,2.0921,2.2416,11641,0
2015-09-08,1.868,1.952,1.4944,1.6345,4440,0
2015-09-09,1.7185,1.7185,1.401,1.401,716,0
2015-09-10,1.2889,1.7279,1.1115,1.3263,9721,0
2015-09-11,1.5878,1.8773,1.5878,1.8773,439,0
2015-09-14,2.2416,2.6899,1.7933,2.6899,3251,0
2015-09-15,2.1575,2.5778,2.0735,2.4284,1761,0
2015-09-16,2.2416,2.5778,2.2416,2.5218,1153,0
2015-09-17,2.363,2.363,1.896,2.0548,1427,0
2015-09-18,1.9987,2.1575,1.9614,2.1575,1106,0
2015-09-21,2.1482,2.1482,2.1482,2.1482,321,0
2015-09-22,2.0735,2.0828,1.8867,1.8867,2602,0
2015-09-23,1.8867,1.8867,1.868,1.868,164,0
2015-09-24,2.0081,2.4097,2.0081,2.4097,11226,0
2015-09-25,2.5031,2.6152,2.3537,2.363,1400,0
2015-09-28,2.363,2.363,2.3163,2.3163,1396,0
2015-09-29,2.4844,2.4844,2.4844,2.4844,237,0
2015-10-01,2.4844,2.7086,2.4844,2.7086,273,0
2015-10-02,2.6152,2.6152,2.1482,2.1482,653,0
2015-10-05,2.1482,2.1482,2.1482,2.1482,87,0
2015-10-06,2.0174,2.2322,1.868,1.868,818,0
2015-10-07,1.868,1.868,1.6158,1.8493,264,0
2015-10-08,1.7372,1.8773,1.7372,1.8773,865,0
2015-10-09,1.8213,1.84,1.7933,1.7933,2021,0
2015-10-13,1.7746,1.7746,1.6999,1.6999,696,0
2015-10-21,1.6999,1.6999,1.5598,1.5598,375,0
2015-10-26,1.5598,1.5598,1.5598,1.5598,54,0
2015-10-27,1.5598,1.5598,1.3356,1.4477,1071,0
2015-10-28,1.4664,1.4664,1.3356,1.401,1799,0
2015-10-29,1.3356,1.3356,1.0834,1.0834,309,0
2015-10-30,1.1021,1.3076,1.0928,1.0928,964,0
2015-11-02,1.1021,1.1208,1.0928,1.1208,391,0
2015-11-03,1.2142,1.4477,1.2142,1.4477,1939,0
2015-11-04,1.5411,1.5411,1.5411,1.5411,206,0
2015-11-05,1.4477,1.4477,1.401,1.4197,2122,0
2015-11-06,1.5224,1.5224,1.3823,1.3823,3658,0
2015-11-09,1.4664,1.7559,1.3543,1.7559,4833,0
2015-11-10,1.7652,1.8773,1.429,1.8213,10153,0
2015-11-12,1.8213,2.0174,1.7933,1.7933,6330,0
2015-11-13,1.9614,2.0174,1.84,2.0174,6870,0
2015-11-16,2.1015,2.5685,2.0921,2.5685,9338,0
2015-11-17,2.7086,3.0635,2.3817,3.0261,4389,0
2015-11-18,2.4284,2.9141,2.4284,2.4284,4839,0
2015-11-19,2.6992,2.7833,2.2416,2.6899,4413,0
2015-11-20,2.3817,2.6619,2.3817,2.6152,4885,0
2015-11-23,2.6152,2.6619,2.6152,2.6619,3266,0
2015-11-24,2.7366,2.8113,2.7366,2.802,1619,0
2015-11-25,2.8113,2.886,2.4844,2.886,9656,0
2015-11-26,2.8954,2.8954,2.5218,2.8954,7779,0
2015-11-27,2.5311,2.886,2.5311,2.886,8238,0
2015-11-30,2.61518,2.8767,2.61518,2.8767,9925,0
2015-12-01,2.69924,2.81132,2.53112,2.81132,10075,0
2015-12-02,2.80198,2.83,2.63386,2.83,9765,0
2015-12-03,2.53,2.95,2.53,2.95,9761,0
2015-12-04,2.9,2.94,2.9,2.94,6932,0
2015-12-07,2.94,2.94,2.75,2.88,2299,0
2015-12-08,2.7,2.71,2.7,2.71,4244,0
2015-12-09,2.71,2.71,2.7,2.71,1948,0
2015-12-10,2.69,2.69,2.45,2.45,6597,0
2015-12-11,2.45,2.45,2.44,2.44,2295,0
2015-12-14,2.6,2.62,2.44,2.44,1980,0
2015-12-15,2.46,2.52,2.44,2.52,3700,0
2015-12-16,2.51,2.52,2.51,2.52,4220,0
2015-12-17,2.5,2.5,2.5,2.5,1268,0
2015-12-18,2.4,2.52,2.4,2.52,2097,0
2015-12-21,2.5,2.5,2.4,2.4,2518,0
2015-12-22,2.4,2.79,2.4,2.79,2420,0
2015-12-23,2.79,2.95,2.79,2.95,708,0
2015-12-28,2.95,3.05,2.95,3.05,2172,0
2015-12-30,3.05,3.05,2.94,2.94,340,0
2016-01-04,2.94,2.94,2.91,2.91,1105,0
2016-01-07,2.93,2.93,2.93,2.93,2,0
2016-01-12,3.05,3.05,2.99,3,1667,0
2016-01-13,2.93,2.93,2.88,2.88,1807,0
2016-01-14,2.88,2.88,2.88,2.88,1060,0
2016-01-15,2.88,2.88,2.86,2.86,1793,0
2016-01-18,2.88,2.88,2.87,2.87,1639,0
2016-01-19,2.88,2.88,2.88,2.88,1598,0
2016-01-20,2.88,2.88,2.88,2.88,1770,0
2016-01-21,2.88,2.88,2.88,2.88,1500,0
2016-01-22,2.87,2.88,2.87,2.87,1510,0
2016-01-25,2.89,2.89,2.89,2.89,1080,0
2016-01-26,2.88,2.88,2.88,2.88,1050,0
2016-01-27,2.88,2.9,2.88,2.9,24253,0
2016-02-02,2.9,2.9,2.9,2.9,5500,0
2016-02-08,2.89,2.89,2.89,2.89,2390,0
2016-02-09,2.9,2.9,2.88,2.88,2950,0
2016-02-10,2.89,2.89,2.89,2.89,3740,0
2016-02-11,2.89,2.89,2.89,2.89,3700,0
2016-02-12,2.89,2.89,2.88,2.88,3333,0
2016-02-15,2.89,2.89,2.89,2.89,4087,0
2016-02-16,2.88,2.88,2.87,2.87,3720,0
2016-02-17,2.88,2.88,2.88,2.88,900,0
2016-02-19,2.89,2.9,2.89,2.9,2550,0
2016-02-23,2.89,2.9,2.89,2.9,3600,0
2016-02-24,2.89,2.89,2.89,2.89,2900,0
2016-02-26,2.89,2.89,2.89,2.89,4300,0
2016-02-29,2.89,2.89,2.89,2.89,2450,0
2016-03-01,2.88,2.9,2.88,2.9,1650,0
2016-03-02,2.89,2.89,2.89,2.89,2450,0
2016-03-03,2.9,2.9,2.88,2.88,6390,0
2016-03-04,2.9,2.9,2.85,2.89,5189,0
2016-03-07,2.91,2.91,2.88,2.88,5354,0
2016-03-08,2.91,2.92,2.91,2.91,7070,0
2016-03-09,2.91,2.93,2.89,2.89,6245,0
2016-03-10,2.9,2.91,2.9,2.91,3050,0
2016-03-11,2.91,3.05,2.9,3.05,28402,0
2016-03-14,3.04,3.15,3.03,3.15,23399,0
2016-03-15,3.12,3.12,3.08,3.11,19987,0
2016-03-16,3.21,3.33,3.21,3.33,19245,0
2016-03-17,3.33,3.4,3.33,3.4,16243,0
2016-03-18,3.4,3.57,3.4,3.57,18330,0
2016-03-21,3.57,3.63,3.57,3.62,10934,0
2016-03-22,3.62,3.66,3.62,3.66,11908,0
2016-03-23,3.65,3.65,3.65,3.65,6581,0
2016-03-24,3.66,4.16,3.66,4.15,10613,0
2016-03-29,3.95,3.95,3.69,3.69,1687,0
2016-03-31,3.54,3.54,3.35,3.35,715,0
2016-04-01,3.22,3.22,3.12,3.12,374,0
2016-04-07,3,3.2,3,3.2,475,0
2016-04-13,3.22,3.22,3.22,3.22,5,0
2016-04-20,3.22,3.38,3.22,3.38,307,0
2016-04-21,3.4,3.4,3.4,3.4,30,0
2016-05-02,3.4,4.08,3.4,4.08,1089,0
2016-05-04,4.09,4.4,4.09,4.4,1033,0
