Date,Open,High,Low,Close,Volume,OpenInt
2016-05-25,5.05,7.57,5.05,7.57,51737,0
2016-05-27,8.88,8.88,7.11,7.98,21353,0
2016-05-30,7.96,11.46,7.12,11.46,10664,0
2016-05-31,13.6,16.3,11.09,16.08,5585,0
2016-06-01,15.8,18.5,13.6,16.25,5165,0
2016-06-02,15.6,15.83,14,15.48,1690,0
2016-06-03,15.3,16,15,15,847,0
2016-06-06,15.1,16.39,12.9,14.35,1777,0
2016-06-07,14.35,15.35,13.9,15.1,1151,0
2016-06-08,15.12,15.24,14,15.13,1130,0
2016-06-09,14.5,15.19,14,15.18,448,0
2016-06-10,14.6,15.49,14.01,15.49,1185,0
2016-06-13,14.85,15.49,14.5,15.48,540,0
2016-06-14,15,15.8,15,15.5,2514,0
2016-06-15,14.61,15,14.42,14.5,2351,0
2016-06-16,14.49,14.8,14.49,14.8,385,0
2016-06-17,13.77,15.19,13.5,15.19,1972,0
2016-06-20,14.6,14.6,13.2,13.2,628,0
2016-06-21,13.19,13.5,11,11.8,1683,0
2016-06-22,11.3,13.56,11.3,12.61,6935,0
2016-06-23,12.2,13.2,9.76,10.44,7103,0
2016-06-24,9.2,11.04,9,9.69,8725,0
2016-06-27,9.5,11.3,8.05,9.05,3328,0
2016-06-28,8.5,8.5,6.8,7.38,37340,0
2016-06-29,7.2,7.37,5.7,5.7,11277,0
2016-06-30,5.7,6.34,5.5,5.7,5250,0
2016-07-01,5.85,5.93,5.5,5.7,22580,0
2016-07-04,5.45,5.78,5.1,5.78,5807,0
2016-07-05,5.17,5.8,5.05,5.8,3985,0
2016-07-06,5.4,5.73,5.01,5.6,3160,0
2016-07-07,5.12,5.59,4.9,5.28,2246,0
2016-07-08,5.31,5.31,5,5.29,1312,0
2016-07-11,5.28,5.33,4.9,5.23,2848,0
2016-07-12,5.29,5.3,5.02,5.26,560,0
2016-07-13,5.01,5.33,5,5.2,494,0
2016-07-14,5.02,6,5.02,6,2307,0
2016-07-15,7.14,7.14,6.1,7.11,1765,0
2016-07-18,7.45,8.2,6.5,7.7,1167,0
2016-07-19,7.69,7.69,6.22,7.19,695,0
2016-07-20,7.6,7.9,6.35,7.2,1816,0
2016-07-21,7.21,7.39,6.5,7,276,0
2016-07-22,7,7.49,6.5,7.48,715,0
2016-07-25,7.47,7.48,7.3,7.3,573,0
2016-07-26,7.1,7.1,5.75,6.29,4347,0
2016-07-27,6,6.34,5.69,6.24,1812,0
2016-07-28,6,6.29,5.02,6.19,464,0
2016-07-29,5.9,6.16,5.05,5.5,3826,0
2016-08-01,5.11,6,4.97,6,2693,0
2016-08-02,5.7,5.99,5.51,5.97,565,0
2016-08-03,5.95,5.97,4.8,5.38,3270,0
2016-08-04,4.9,5.45,4.4,5.1,2932,0
2016-08-05,5.2,5.35,4.16,4.38,4356,0
2016-08-08,4.38,4.8,4.05,4.39,978,0
2016-08-09,4.35,4.45,3.89,4.23,941,0
2016-08-10,4.23,4.45,4.01,4.37,551,0
2016-08-11,4,4.48,3.33,3.33,9179,0
2016-08-12,3.68,4.19,3.5,3.7,3276,0
2016-08-16,3.6,3.7,2.88,3.37,5400,0
2016-08-17,2.95,3.36,2.62,3.23,861,0
2016-08-18,3.23,3.36,2.9,3.23,4128,0
2016-08-19,3.37,3.37,2.8,3.2,2557,0
2016-08-22,3.37,3.95,3.2,3.63,3356,0
2016-08-23,3.54,3.54,3.26,3.5,854,0
2016-08-24,3.4,3.5,3.12,3.3,1319,0
2016-08-25,3.14,3.63,2.91,3.11,21255,0
2016-08-26,3.13,3.31,3.13,3.25,2342,0
2016-08-29,3.16,3.49,3.08,3.43,7113,0
2016-08-30,3.33,3.43,3,3.2,3992,0
2016-08-31,3,3.18,2.8,3,1348,0
2016-09-01,2.81,3.04,2.64,2.89,2117,0
2016-09-02,2.85,3.26,2.85,3.26,1320,0
2016-09-05,2.97,3.25,2.97,3.24,1108,0
2016-09-06,3.12,3.44,3.07,3.44,32241,0
2016-09-07,3.2,3.43,3.2,3.25,1092,0
2016-09-08,3.25,3.38,3.25,3.38,620,0
2016-09-09,3.36,3.37,3.36,3.37,710,0
2016-09-12,3.16,3.37,3.15,3.35,1455,0
2016-09-13,3.11,3.35,3.02,3.29,2535,0
2016-09-14,3.29,3.35,3.29,3.34,645,0
2016-09-15,3.32,3.34,2.82,3.31,1819,0
2016-09-16,3.2,3.31,3.1,3.28,840,0
2016-09-19,3.28,3.29,3.08,3.28,412,0
2016-09-20,3.02,3.31,3.02,3.31,746,0
2016-09-21,3.25,3.46,3.25,3.46,580,0
2016-09-22,3.46,3.89,3.46,3.89,640,0
2016-09-23,3.8,3.87,3.8,3.87,868,0
2016-09-26,3.8,3.85,3.8,3.84,570,0
2016-09-27,3.54,3.88,3.54,3.87,555,0
2016-09-28,3.87,3.89,3.87,3.89,367,0
2016-09-29,3.88,4.47,3.88,4.3,1728,0
2016-09-30,4.3,4.49,4.3,4.49,240,0
2016-10-03,4.38,4.38,4.1,4.37,1014,0
2016-10-04,3.89,4.39,3.55,4.39,1072,0
2016-10-05,4.18,4.39,4.1,4.38,1093,0
2016-10-06,4.1,4.39,4.1,4.39,301,0
2016-10-07,4.35,4.39,4.05,4.13,775,0
2016-10-10,3.85,4.13,3.85,4.13,401,0
2016-10-11,3.85,3.85,3.45,3.67,827,0
2016-10-12,3.6,3.86,3.6,3.86,471,0
2016-10-13,3.87,4.39,3.87,4.13,349,0
2016-10-14,3.9,3.9,3.68,3.68,520,0
2016-10-17,3.7,4.39,3.7,4.22,1009,0
2016-10-18,3.47,4.22,3.47,4.22,467,0
2016-10-19,4.22,4.39,4.22,4.38,279,0
2016-10-20,4.35,4.35,3.87,3.92,862,0
2016-10-21,4.16,4.35,3.87,3.87,1590,0
2016-10-24,3.97,3.97,3.97,3.97,295,0
2016-10-25,3.96,3.96,3.67,3.67,399,0
2016-10-26,3.83,3.83,3.83,3.83,250,0
2016-10-27,3.59,4.22,3.59,3.8,381,0
2016-10-28,4.03,4.03,3.33,3.45,1796,0
2016-10-31,3.5,3.5,3.5,3.5,50,0
2016-11-02,3.54,3.54,3.54,3.54,375,0
2016-11-03,3.31,3.96,3.31,3.47,650,0
2016-11-04,3.4,3.53,3.4,3.52,350,0
2016-11-07,3.5,3.53,3.5,3.53,200,0
2016-11-08,3.5,4.1,3.29,4.1,868,0
2016-11-09,3.53,4.1,3.29,3.51,1593,0
2016-11-10,3.55,4.1,3.5,4.1,3924,0
2016-11-14,4.08,4.11,3.56,4.11,758,0
2016-11-15,3.65,4.05,2.92,2.98,29244,0
2016-11-16,3.2,3.2,2.02,2.02,32283,0
2016-11-17,2.1,2.35,1.68,1.84,36706,0
2016-11-18,1.74,1.95,1.66,1.7,45607,0
2016-11-21,1.67,1.82,1.66,1.74,41561,0
2016-11-22,1.63,1.73,1.29,1.29,65008,0
2016-11-23,1.27,1.48,1.27,1.48,46342,0
2016-11-24,1.4,1.68,1.12,1.18,100421,0
2016-11-25,1.16,1.19,0.95,0.95,79981,0
2016-11-28,1,1.12,0.95,1.07,25661,0
2016-11-29,1,1.05,0.8,0.81,160317,0
2016-11-30,0.82,0.82,0.62,0.69,115023,0
2016-12-01,0.66,0.78,0.66,0.74,57634,0
2016-12-02,0.78,0.84,0.69,0.74,12611,0
2016-12-05,0.74,1.05,0.7,1.05,116504,0
2016-12-06,1.07,1.4,1.07,1.29,85630,0
2016-12-07,1.17,1.3,0.94,1.04,134041,0
2016-12-08,1,1.03,0.78,0.78,97228,0
2016-12-09,0.82,0.92,0.78,0.86,28194,0
2016-12-12,0.86,1.03,0.76,1.03,120013,0
2016-12-13,1.12,1.33,1.06,1.33,129894,0
2016-12-14,1.45,1.69,1.16,1.2,125350,0
2016-12-15,1.2,1.29,0.97,1.11,138674,0
2016-12-16,1.11,1.29,0.99,1.28,66546,0
2016-12-19,1.26,1.31,1.01,1.23,63442,0
2016-12-20,1.16,1.17,0.97,1.01,172147,0
2016-12-21,1.02,1.04,0.96,1.02,38477,0
2016-12-22,1.02,1.04,0.98,1.03,29916,0
2016-12-23,1.03,1.03,0.98,1.01,33795,0
2016-12-27,1,1,0.8,0.8,213659,0
2016-12-28,0.8,0.85,0.77,0.81,146018,0
2016-12-29,0.8,1.02,0.8,1.02,75042,0
2016-12-30,1,1.09,0.89,0.97,83810,0
2017-01-02,0.97,1.07,0.78,0.81,308803,0
2017-01-03,0.82,0.82,0.73,0.8,69964,0
2017-01-04,0.8,0.86,0.76,0.82,72294,0
2017-01-05,0.83,1.18,0.83,1.09,281650,0
2017-01-09,1.09,1.18,0.94,1,120281,0
2017-01-10,0.98,1,0.92,0.95,89871,0
2017-01-11,0.95,1.1,0.95,1.01,124994,0
2017-01-12,1.05,1.06,0.96,1.01,21363,0
2017-01-13,0.95,1.01,0.93,0.93,30073,0
2017-01-16,0.94,0.98,0.88,0.9,69826,0
2017-01-17,0.9,0.9,0.84,0.86,48658,0
2017-01-18,0.86,0.89,0.77,0.81,213320,0
2017-01-19,0.8,0.82,0.77,0.81,85345,0
2017-01-20,0.81,0.82,0.75,0.79,89842,0
2017-01-23,0.78,0.82,0.74,0.8,55523,0
2017-01-24,0.77,0.81,0.77,0.81,17570,0
2017-01-25,0.8,0.92,0.77,0.83,196739,0
2017-01-26,0.83,0.88,0.75,0.81,66425,0
2017-01-27,0.78,0.82,0.76,0.82,36190,0
2017-01-30,0.8,0.88,0.8,0.85,55576,0
2017-01-31,0.86,1.25,0.86,1.23,574589,0
2017-02-01,1.29,1.79,1.27,1.73,510030,0
2017-02-02,1.72,2.47,1.7,2.47,392596,0
2017-02-03,2.85,3.19,2.16,2.28,795783,0
2017-02-06,2.2,2.62,2.2,2.42,184395,0
2017-02-07,2.53,3.5,2.39,3.28,408839,0
2017-02-08,3.51,4,3.3,3.58,401126,0
2017-02-09,3.52,3.66,3,3.49,175404,0
2017-02-10,3.29,3.4,2.32,2.36,362898,0
2017-02-13,2.19,2.85,1.78,2.74,330237,0
2017-02-14,2.86,2.86,2.1,2.25,137554,0
2017-02-15,2.43,2.43,1.96,2.05,81939,0
2017-02-16,1.88,1.93,1.65,1.77,240034,0
2017-02-17,1.8,2.35,1.7,2.31,204897,0
2017-02-20,2.31,2.33,1.91,1.95,146143,0
