Date,Open,High,Low,Close,Volume,OpenInt
2008-04-10,2.03,2.03,1.07,1.56,393744,0
2008-04-11,1.59,1.69,1.46,1.61,49634,0
2008-04-14,1.66,1.66,1.53,1.61,20010,0
2008-04-15,1.55,1.61,1.54,1.61,10281,0
2008-04-16,1.54,1.6,1.44,1.6,12047,0
2008-04-17,1.45,1.56,1.45,1.56,12664,0
2008-04-18,1.52,1.6,1.52,1.6,21033,0
2008-04-21,1.56,1.59,1.52,1.59,4034,0
2008-04-22,1.56,1.58,1.49,1.53,13132,0
2008-04-23,1.49,1.6,1.48,1.6,10962,0
2008-04-24,1.59,1.59,1.59,1.59,1008,0
2008-04-25,1.59,1.59,1.54,1.59,617,0
2008-04-28,1.59,1.61,1.52,1.61,11003,0
2008-04-29,1.61,1.62,1.54,1.62,10960,0
2008-04-30,1.62,1.74,1.61,1.74,14460,0
2008-05-05,1.78,2.06,1.62,2.05,92859,0
2008-05-06,2.06,2.23,1.96,2.07,75753,0
2008-05-07,2.1,2.1,1.89,1.98,48964,0
2008-05-08,1.96,2.03,1.96,1.96,18800,0
2008-05-09,1.96,2,1.96,2,5044,0
2008-05-12,2.03,2.03,1.79,1.92,5784,0
2008-05-14,1.81,1.97,1.7,1.97,11042,0
2008-05-15,1.8,1.86,1.76,1.86,37245,0
2008-05-16,1.92,1.92,1.76,1.89,24029,0
2008-05-19,1.78,1.79,1.78,1.78,3883,0
2008-05-20,1.78,1.83,1.7,1.83,2829,0
2008-05-21,1.71,1.91,1.71,1.85,7026,0
2008-05-23,1.86,1.86,1.86,1.86,1,0
2008-05-27,1.94,1.94,1.94,1.94,112,0
2008-05-28,1.78,1.89,1.78,1.89,560,0
2008-05-30,1.87,1.92,1.87,1.92,5915,0
2008-06-02,1.78,1.89,1.77,1.89,1570,0
2008-06-03,1.87,1.91,1.79,1.91,1255,0
2008-06-04,1.78,1.92,1.78,1.86,7791,0
2008-06-06,1.86,1.86,1.86,1.86,376,0
2008-06-10,1.62,1.82,1.61,1.82,1684,0
2008-06-12,1.78,1.78,1.78,1.78,2241,0
2008-06-13,1.78,1.86,1.78,1.86,2969,0
2008-06-16,1.79,1.86,1.78,1.86,15185,0
2008-06-17,1.84,1.87,1.84,1.87,4619,0
2008-06-18,1.85,2.04,1.85,2.04,15495,0
2008-06-19,1.78,1.87,1.7,1.87,6031,0
2008-06-20,1.78,1.87,1.78,1.87,2240,0
2008-06-23,1.71,1.87,1.7,1.78,7564,0
2008-06-24,1.7,1.86,1.7,1.86,123,0
2008-06-27,1.82,1.82,1.82,1.82,1358,0
2008-07-01,1.7,1.83,1.61,1.82,3588,0
2008-07-02,1.62,1.78,1.62,1.78,239,0
2008-07-04,1.95,1.95,1.95,1.95,1,0
2008-07-08,1.78,1.78,1.78,1.78,627,0
2008-07-09,1.78,1.78,1.78,1.78,13,0
2008-07-15,1.7,1.7,1.7,1.7,190,0
2008-07-17,1.74,1.74,1.74,1.74,22,0
2008-07-22,1.65,1.72,1.65,1.72,39702,0
2008-07-23,1.72,1.72,1.65,1.72,6344,0
2008-07-28,1.57,1.7,1.56,1.7,3625,0
