Date,Open,High,Low,Close,Volume,OpenInt
2016-07-25,1.8,2.3,1.8,2.2,72775,0
2016-07-26,2.3,2.45,2.02,2.13,77446,0
2016-07-27,2.19,2.22,1.76,1.8,21985,0
2016-07-28,1.95,2.2,1.83,2.15,15201,0
2016-07-29,2.04,2.13,1.91,2,2960,0
2016-08-01,1.97,2,1.93,2,2110,0
2016-08-02,2.1,2.13,2.03,2.1,6190,0
2016-08-03,2.1,2.11,2.03,2.03,2477,0
2016-08-04,2.12,2.12,1.97,1.97,480,0
2016-08-05,1.97,1.97,1.97,1.97,270,0
2016-08-08,1.95,1.95,1.8,1.8,3505,0
2016-08-09,1.84,2.04,1.84,2.04,1095,0
2016-08-10,1.93,2.01,1.93,2.01,745,0
2016-08-11,1.9,1.9,1.89,1.89,560,0
2016-08-12,1.9,2,1.85,1.85,2390,0
2016-08-16,1.9,1.92,1.85,1.9,7252,0
2016-08-17,1.89,1.89,1.89,1.89,1425,0
2016-08-18,1.82,2.18,1.82,2,13597,0
2016-08-19,2.11,2.3,2,2.19,16130,0
2016-08-22,2.19,2.19,2,2,2805,0
2016-08-23,2.02,2.02,1.8,1.85,13434,0
2016-08-24,1.8,2,1.8,2,730,0
2016-08-25,1.8,2.1,1.8,1.86,1505,0
2016-08-26,1.91,2.09,1.91,2.09,2442,0
2016-08-29,2.09,2.09,1.83,1.83,2096,0
2016-08-30,2,2,1.8,1.85,7450,0
2016-08-31,1.85,1.85,1.8,1.8,4177,0
2016-09-01,1.82,1.82,1.76,1.76,3678,0
2016-09-02,1.76,1.76,1.6,1.66,5810,0
2016-09-05,1.65,1.7,1.5,1.63,8130,0
2016-09-06,1.7,1.94,1.7,1.88,2382,0
2016-09-07,1.72,1.75,1.71,1.71,1080,0
2016-09-08,1.71,1.98,1.71,1.98,700,0
2016-09-09,1.75,1.9,1.75,1.9,1091,0
2016-09-12,1.75,1.75,1.75,1.75,2079,0
2016-09-13,1.73,1.92,1.73,1.9,6564,0
2016-09-14,1.9,1.9,1.75,1.81,1701,0
2016-09-15,1.95,1.95,1.41,1.42,13176,0
2016-09-16,1.44,1.44,1.16,1.2,16507,0
2016-09-19,1.34,1.44,1.2,1.44,1523,0
2016-09-20,1.44,1.44,1.33,1.33,1948,0
2016-09-21,1.28,1.44,1.18,1.27,12682,0
2016-09-22,1.21,1.21,1.2,1.2,4870,0
2016-09-23,1.18,1.18,1.18,1.18,1000,0
2016-09-26,1.19,1.19,1.19,1.19,130,0
2016-09-28,1.21,1.4,1.21,1.4,860,0
2016-09-29,1.26,1.26,1.2,1.2,4577,0
2016-09-30,1.18,1.18,1.18,1.18,2000,0
2016-10-03,1.18,1.23,1.16,1.23,912,0
2016-10-04,1.25,1.39,1.25,1.26,3119,0
2016-10-05,1.22,1.22,1.2,1.2,2751,0
2016-10-06,1.14,1.21,1.14,1.21,3284,0
2016-10-07,1.35,1.35,1.35,1.35,1,0
2016-10-11,1.2,1.2,1.2,1.2,320,0
2016-10-14,1.31,1.31,1.31,1.31,5,0
2016-10-17,1.33,1.4,1.3,1.3,9247,0
2016-10-18,1.4,1.4,1.4,1.4,8827,0
2016-10-19,1.3,1.34,1.21,1.21,48596,0
2016-10-20,1.26,1.35,1.26,1.3,10550,0
2016-10-21,1.26,1.3,1.19,1.26,15659,0
2016-10-24,1.27,1.27,1.19,1.21,9201,0
2016-10-25,1.25,1.26,1.19,1.26,4845,0
2016-10-26,1.19,1.24,1.15,1.16,28802,0
2016-10-27,1.19,1.2,1.19,1.19,1826,0
2016-10-31,1.19,1.27,1.19,1.27,345,0
2016-11-02,1.27,1.27,1.27,1.27,5000,0
2016-11-03,1.17,1.17,0.99,1,175755,0
2016-11-04,1.09,1.09,0.88,0.93,94911,0
2016-11-07,0.93,0.95,0.8,0.88,105547,0
2016-11-08,0.9,0.95,0.9,0.93,27175,0
2016-11-09,0.9,0.91,0.9,0.91,446,0
2016-11-10,0.93,1.02,0.92,0.98,10596,0
2016-11-14,1.07,1.07,0.9,0.97,10038,0
2016-11-15,0.97,0.97,0.82,0.87,32262,0
2016-11-16,0.87,0.89,0.87,0.89,1194,0
2016-11-17,0.89,0.94,0.85,0.93,8945,0
2016-11-18,0.85,0.92,0.84,0.92,2950,0
2016-11-21,0.91,0.91,0.84,0.9,7691,0
2016-11-22,0.84,0.84,0.8,0.82,12724,0
2016-11-23,0.84,1.15,0.84,0.94,85274,0
2016-11-24,0.96,1.07,0.91,1.07,39833,0
2016-11-25,1.1,1.11,1.04,1.07,85767,0
2016-11-28,1.05,1.07,0.98,1.05,52771,0
2016-11-29,1.05,1.05,1.05,1.05,300,0
2016-11-30,1.04,1.04,0.87,0.87,42992,0
2016-12-01,0.95,0.95,0.87,0.9,18898,0
2016-12-02,0.87,0.99,0.87,0.97,21020,0
2016-12-05,0.94,0.94,0.77,0.82,93972,0
2016-12-06,0.82,0.85,0.8,0.84,14205,0
2016-12-07,0.8,0.85,0.76,0.85,12780,0
2016-12-08,0.78,0.79,0.78,0.79,424,0
2016-12-09,0.82,0.89,0.81,0.83,31082,0
2016-12-12,0.86,0.86,0.8,0.86,1058,0
2016-12-13,0.86,0.88,0.81,0.82,10469,0
2016-12-14,0.87,0.87,0.81,0.83,14500,0
2016-12-15,0.9,0.9,0.8,0.86,23802,0
2016-12-16,0.83,0.85,0.79,0.79,65270,0
2016-12-19,0.79,0.84,0.79,0.84,2505,0
2016-12-20,0.84,0.84,0.84,0.84,10,0
2016-12-21,0.84,0.87,0.84,0.86,11667,0
2016-12-22,0.83,0.85,0.78,0.85,12867,0
2016-12-23,0.8,0.84,0.8,0.84,1025,0
2016-12-27,0.84,0.85,0.79,0.84,31339,0
2016-12-28,0.86,0.86,0.78,0.81,14556,0
2016-12-29,0.79,0.84,0.79,0.84,2315,0
2016-12-30,0.8,0.82,0.76,0.77,27003,0
2017-01-02,0.82,0.82,0.82,0.82,2,0
2017-01-03,0.78,0.82,0.77,0.81,14791,0
2017-01-04,0.81,0.82,0.77,0.79,42721,0
2017-01-05,0.79,0.79,0.75,0.77,11625,0
2017-01-09,0.78,0.82,0.78,0.81,7700,0
2017-01-10,0.8,1.04,0.8,0.93,142469,0
2017-01-11,0.93,1.05,0.93,1.04,143038,0
2017-01-12,1.05,1.24,1,1.1,105012,0
2017-01-13,1.17,1.17,0.96,1.03,52754,0
2017-01-16,1.03,1.12,1.02,1.02,16635,0
2017-01-17,1.05,1.13,1.01,1.06,67740,0
2017-01-18,1.06,1.09,0.97,1,60509,0
2017-01-19,1,1,0.93,0.95,27271,0
2017-01-20,0.92,1.04,0.91,1,24565,0
2017-01-23,1,1.06,0.98,1.04,12418,0
2017-01-24,0.98,1,0.98,1,8414,0
2017-01-25,1.03,1.09,0.98,0.98,78199,0
2017-01-26,1.03,1.04,0.96,1,36805,0
2017-01-27,0.98,0.98,0.9,0.96,62419,0
2017-01-30,0.96,1.27,0.96,1.2,215103,0
2017-01-31,1.2,1.3,1.07,1.26,105419,0
2017-02-01,1.27,1.29,1.13,1.16,62845,0
2017-02-02,1.13,1.16,1.08,1.16,41118,0
2017-02-03,1.1,1.15,1.05,1.13,52202,0
2017-02-06,1.06,1.12,1.06,1.11,2475,0
2017-02-07,1.09,1.09,0.91,0.94,109419,0
2017-02-08,0.94,1.02,0.92,1.02,92703,0
2017-02-09,1.1,1.12,0.94,0.96,83505,0
2017-02-10,0.98,1.04,0.95,0.99,28227,0
2017-02-13,1,1,0.89,0.95,74571,0
2017-02-14,0.93,0.96,0.93,0.95,15535,0
2017-02-15,0.93,1.02,0.93,1.02,14980,0
2017-02-16,1.02,1.02,0.98,1.01,11350,0
2017-02-17,0.96,1.02,0.94,0.99,21607,0
2017-02-20,0.94,0.97,0.92,0.97,20320,0
2017-02-21,0.94,0.95,0.91,0.95,28660,0
2017-02-22,0.94,0.94,0.89,0.94,34785,0
2017-02-23,0.9,0.93,0.88,0.91,21790,0
2017-02-24,0.89,0.94,0.89,0.94,27590,0
2017-02-27,0.94,0.97,0.9,0.95,16849,0
2017-02-28,0.91,0.92,0.88,0.91,19472,0
2017-03-01,0.92,0.95,0.89,0.89,28895,0
2017-03-02,0.91,0.91,0.88,0.91,12573,0
2017-03-03,0.89,0.9,0.88,0.9,5402,0
2017-03-06,0.91,0.91,0.85,0.87,32256,0
2017-03-07,0.84,0.88,0.82,0.85,48881,0
2017-03-08,0.86,0.87,0.84,0.87,4610,0
2017-03-09,0.88,0.9,0.88,0.88,15013,0
2017-03-10,0.88,0.93,0.88,0.93,23737,0
2017-03-13,0.88,0.93,0.88,0.9,976,0
2017-03-14,0.93,0.93,0.88,0.88,1495,0
2017-03-15,0.9,0.9,0.86,0.9,261,0
2017-03-16,0.85,0.89,0.85,0.86,5094,0
2017-03-17,0.86,0.89,0.86,0.89,1025,0
2017-03-20,0.89,0.92,0.87,0.92,6869,0
2017-03-21,0.93,0.99,0.92,0.92,15793,0
2017-03-22,0.94,1.09,0.92,1.06,47220,0
2017-03-23,1.06,1.06,0.95,1.01,12569,0
2017-03-24,0.99,1.03,0.96,1.01,43409,0
2017-03-27,0.98,1,0.97,0.97,1600,0
2017-03-28,0.95,0.99,0.9,0.98,46954,0
2017-03-29,0.99,1.04,0.96,1.04,75005,0
2017-03-30,1.04,1.21,1.04,1.2,213758,0
2017-03-31,1.2,1.23,1.1,1.11,90627,0
2017-04-03,1.11,1.17,1,1.1,57840,0
2017-04-04,1.01,1.1,1,1.1,5045,0
2017-04-05,1.03,1.11,1,1.05,34824,0
2017-04-06,1.1,1.22,1.1,1.15,44484,0
2017-04-07,1.15,1.25,1.05,1.24,86994,0
2017-04-10,1.21,1.28,1.17,1.17,27262,0
2017-04-11,1.17,1.27,1.17,1.23,24712,0
2017-04-12,1.28,1.53,1.23,1.53,80459,0
2017-04-13,1.56,1.56,1.41,1.54,19127,0
2017-04-18,1.5,1.5,1.4,1.4,3779,0
2017-04-19,1.47,1.61,1.47,1.48,47852,0
2017-04-20,1.5,1.73,1.4,1.46,136754,0
2017-04-21,1.52,1.55,1.27,1.44,21744,0
2017-04-24,1.42,1.44,1.04,1.07,130372,0
2017-04-25,1.07,1.16,0.95,0.99,109523,0
2017-04-26,1.07,1.12,1,1.06,25932,0
2017-04-27,1.11,1.15,1.1,1.15,27641,0
2017-04-28,1.15,1.18,1.11,1.11,5413,0
2017-05-02,1.11,1.21,1.07,1.16,10546,0
2017-05-04,1.2,1.21,1.12,1.12,21801,0
2017-05-05,1.13,1.4,1.13,1.34,59933,0
2017-05-08,1.37,1.37,1.24,1.3,26098,0
2017-05-09,1.22,1.3,1.2,1.25,13273,0
2017-05-10,1.17,1.19,1.09,1.1,17473,0
2017-05-11,1.24,1.38,1.13,1.32,59111,0
2017-05-12,1.25,1.28,1.17,1.18,35239,0
2017-05-15,1.16,1.16,1.1,1.1,56434,0
2017-05-16,1.12,1.13,1.09,1.09,4731,0
2017-05-17,1.1,1.14,1.02,1.06,26399,0
2017-05-18,1.02,1.08,1,1.05,13114,0
2017-05-19,1.08,1.08,1,1.05,28769,0
2017-05-22,1.01,1.05,1,1.04,15260,0
2017-05-23,1.05,1.18,1.05,1.1,49065,0
2017-05-24,1.06,1.09,1.02,1.07,18263,0
2017-05-25,1.04,1.08,1,1.05,144236,0
2017-05-26,1.04,1.05,1.01,1.03,46484,0
2017-05-29,1.01,1.03,0.95,1.03,61000,0
2017-05-30,0.99,1.02,0.92,0.95,94400,0
2017-05-31,0.93,0.96,0.84,0.85,139067,0
2017-06-01,0.89,0.94,0.89,0.92,11065,0
2017-06-02,0.92,0.92,0.8,0.89,61908,0
2017-06-05,0.87,0.9,0.86,0.86,20053,0
2017-06-06,0.87,0.95,0.87,0.91,16554,0
2017-06-07,0.97,1,0.9,0.97,14333,0
2017-06-08,0.98,0.98,0.92,0.92,354,0
2017-06-12,0.95,0.95,0.92,0.92,310,0
2017-06-13,0.96,0.96,0.87,0.88,18313,0
2017-06-14,0.88,0.98,0.88,0.94,23438,0
2017-06-16,0.96,0.98,0.88,0.88,40478,0
2017-06-19,0.89,0.95,0.89,0.95,10154,0
2017-06-20,0.96,1.03,0.93,1.02,26112,0
2017-06-21,1,1,0.9,0.92,7670,0
2017-06-22,0.92,0.98,0.92,0.93,8610,0
2017-06-23,0.96,1,0.95,1,22621,0
2017-06-26,1,1.08,1,1.06,39144,0
2017-06-27,1.06,1.15,1,1.05,39180,0
2017-06-28,1,1.01,0.9,0.98,33096,0
2017-06-29,0.95,0.95,0.82,0.86,234973,0
2017-06-30,0.87,0.94,0.84,0.86,28647,0
2017-07-03,0.9,0.93,0.89,0.89,11355,0
2017-07-04,0.86,0.87,0.85,0.86,21910,0
2017-07-05,0.9,0.91,0.87,0.91,10675,0
2017-07-06,0.9,0.9,0.9,0.9,4028,0
2017-07-07,0.86,0.9,0.85,0.9,11388,0
2017-07-10,0.85,0.87,0.81,0.87,10618,0
2017-07-11,0.89,0.99,0.89,0.94,32763,0
2017-07-12,0.95,0.99,0.93,0.98,2649,0
