Date,Open,High,Low,Close,Volume,OpenInt
2011-11-08,8.4,8.4,6.8,6.9,4995,0
2011-11-09,7.14,7.14,6.15,6.6,2628,0
2011-11-10,6.9,6.9,6.6,6.9,221,0
2011-11-14,6.9,6.95,6.8,6.95,16663,0
2011-11-15,5.95,6.75,5.95,6.75,2115,0
2011-11-16,6.75,6.75,5.9,6.45,1500,0
2011-11-17,5.31,5.5,5.3,5.5,1600,0
2011-11-18,5,5,5,5,500,0
2011-11-21,4.6,4.6,4,4.1,2105,0
2011-11-23,4.8,4.8,4.8,4.8,10,0
2011-11-24,4.5,5.1,4.5,5.1,38,0
2011-12-02,4.08,4.08,4.08,4.08,4,0
2011-12-05,4.1,4.1,4.1,4.1,2,0
2011-12-07,4,4,4,4,5,0
2011-12-08,3.21,3.21,3.21,3.21,920,0
2011-12-09,3,3,2.58,2.58,2700,0
2011-12-12,2.08,3.09,2.08,3.09,4150,0
2011-12-13,2.49,2.49,2.49,2.49,500,0
2011-12-14,3.1,3.55,2.46,2.46,1201,0
2011-12-15,2.95,2.95,2.46,2.95,2200,0
2011-12-16,3.5,4.1,2.82,3.69,361,0
2011-12-19,3,3.29,2.97,2.97,2504,0
2011-12-20,3.15,3.49,2.8,3.49,601,0
2011-12-21,3.5,3.5,3.5,3.5,5,0
2011-12-22,3.5,3.89,3.5,3.89,956,0
2011-12-27,3,3,3,3,900,0
2011-12-29,3.48,3.48,3.48,3.48,350,0
2011-12-30,3.3,3.3,3.3,3.3,47,0
2012-01-02,3.2,3.53,2.81,2.81,600,0
2012-01-03,3.37,3.37,2.61,2.61,100,0
2012-01-05,3.13,3.13,3,3.12,1485,0
2012-01-10,3.6,3.6,3.6,3.6,200,0
2012-01-11,3.59,3.7,3.59,3.7,291,0
2012-01-12,3.7,3.7,3.7,3.7,1,0
2012-01-13,3.7,3.7,3.7,3.7,1,0
2012-01-18,3.3,3.3,3.3,3.3,100,0
2012-01-19,3.5,3.6,3.5,3.6,700,0
2012-01-20,3.7,3.7,3.7,3.7,97,0
2012-01-24,3.65,3.91,3.65,3.91,2134,0
2012-01-25,4,4,4,4,1,0
2012-01-26,4.4,4.5,4,4.5,201,0
2012-01-30,5.35,5.35,5.35,5.35,5,0
2012-02-01,6.39,6.39,5.35,5.35,251,0
2012-02-02,4.8,4.8,4.8,4.8,10,0
2012-02-06,5,5,5,5,1,0
2012-02-10,4.95,5.05,4.2,4.53,1365,0
2012-02-13,4.99,5.05,4,4.8,3790,0
2012-02-15,5,5,5,5,100,0
2012-02-24,5,5,5,5,10,0
2012-02-27,4.5,5,4.05,4.05,6025,0
2012-02-28,3.75,4.35,3.75,4.35,2505,0
2012-02-29,4.7,4.7,4.7,4.7,500,0
2012-03-01,4.7,4.75,3.91,4.75,435,0
2012-03-02,4.45,4.75,3.91,4.75,2110,0
2012-03-05,4.9,5,4.73,4.89,1500,0
2012-03-06,4.7,4.8,4.7,4.8,500,0
2012-03-09,4.35,4.35,4.01,4.01,510,0
2012-03-13,3.23,3.23,3.23,3.23,10,0
2012-03-14,3.34,3.6,3.03,3.03,910,0
2012-03-16,3.5,3.5,3.5,3.5,450,0
2012-03-20,3.2,3.3,3,3.3,1750,0
2012-04-02,3.5,3.93,3.5,3.93,380,0
2012-04-03,3.97,4.33,3.97,4.33,500,0
2012-04-04,5,5,5,5,50,0
2012-04-05,5,5.9,5,5.9,450,0
2012-04-11,5.9,6.39,5.9,5.9,110,0
2012-04-13,5.65,5.7,5.65,5.7,500,0
2012-04-23,5,5,4.6,4.6,501,0
2012-04-24,3.71,3.71,3.71,3.71,1,0
2012-05-07,4,4,4,4,50,0
2012-05-11,3.8,3.8,3.8,3.8,574,0
2012-05-14,4.5,4.5,4.5,4.5,20,0
2012-05-16,5,5,5,5,20,0
2012-05-23,5.7,5.7,5.7,5.7,20,0
2012-05-28,4,4,3.7,3.8,502,0
2012-05-29,4.42,4.42,3.8,3.8,100,0
2012-05-31,4.2,4.2,4.2,4.2,20,0
2012-06-01,4.56,4.56,3.65,3.65,21,0
2012-06-04,2.96,4.38,2.96,4.38,9,0
2012-06-05,4.56,4.56,4.56,4.56,20,0
2012-06-20,3.65,5,3.65,5,481,0
2012-07-03,4.8,4.8,4.8,4.8,300,0
2012-07-06,4.8,5,4.8,5,250,0
2012-07-30,4.49,4.49,4.09,4.09,200,0
2012-08-02,4.25,4.3,4.25,4.29,470,0
2012-08-03,4,4.4,4,4.4,305,0
2012-08-06,3.9,3.9,3.9,3.9,200,0
2012-08-07,3.4,3.4,3.4,3.4,25,0
2012-08-08,2.99,2.99,2.99,2.99,100,0
2012-08-13,2.57,3.42,2.57,3.42,70,0
2012-08-17,3.72,3.72,3.72,3.72,20,0
2012-08-21,3.98,4,3,4,9533,0
2012-08-31,4.7,5.1,4.44,4.45,635,0
2012-09-03,4.9,4.9,4.9,4.9,150,0
2012-09-04,4.99,4.99,4.99,4.99,100,0
2012-09-12,4.01,4.01,4.01,4.01,100,0
2012-09-13,3.3,3.3,2.38,2.39,1600,0
2012-09-14,2.39,2.39,2.39,2.39,550,0
2012-09-17,1.99,1.99,1.99,1.99,100,0
2012-09-18,2.38,2.38,2,2,600,0
2012-09-21,2.38,2.38,2,2.38,1800,0
2012-09-24,2.4,2.4,1.92,2.35,12130,0
2012-09-25,2.39,2.4,2.39,2.39,130,0
2012-09-26,2.39,2.4,2.39,2.4,150,0
2012-09-27,2.39,2.8,2.39,2.8,600,0
2012-09-28,2.8,3,2.8,3,71,0
2012-10-01,2.95,3.24,2.95,3.24,301,0
2012-10-02,3.25,3.25,3.25,3.25,50,0
2012-10-03,3.25,3.25,3.25,3.25,25,0
2012-10-04,3.25,3.25,3.25,3.25,26,0
2012-10-05,3.25,3.25,3.25,3.25,28,0
2012-10-08,3.25,3.25,3.25,3.25,10,0
2012-10-09,3.24,3.24,3.24,3.24,10,0
2012-10-10,3.23,3.24,3.23,3.24,32,0
2012-10-11,3.85,4.2,3.85,4.2,307,0
2012-10-12,3.2,3.85,3.14,3.85,1250,0
2012-10-15,3.2,3.79,3.2,3.75,247,0
2012-10-16,3.69,3.69,3.69,3.69,12,0
2012-10-18,3.49,3.49,3.49,3.49,30,0
2012-10-19,3.45,3.45,3.2,3.35,70,0
2012-10-22,3,3,3,3,200,0
2012-10-23,2.7,3.5,2.7,3.5,78,0
2012-10-26,3.23,3.98,3,3.98,232,0
2012-10-30,3.28,3.49,3.2,3.49,220,0
2012-10-31,3.4,3.4,3.4,3.4,150,0
2012-11-02,3.75,3.98,3.49,3.59,391,0
2012-11-06,3.55,3.55,3.3,3.4,310,0
2012-11-08,3.2,3.2,3,3,300,0
2012-11-12,2.7,3,2.51,3,315,0
2012-11-13,2.51,2.51,2.51,2.51,20,0
2012-11-14,2.99,2.99,2.99,2.99,10,0
2012-11-19,2.51,2.99,2.51,2.99,17,0
2012-11-20,2.51,2.95,2.5,2.5,310,0
2012-11-22,2.6,2.6,2.6,2.6,60,0
2012-11-23,2.9,2.9,2.9,2.9,6,0
2012-12-12,2.32,2.75,2.32,2.75,201,0
2012-12-13,2.79,2.79,2.79,2.79,11,0
2012-12-20,2.35,2.79,2.35,2.79,210,0
2012-12-28,2.79,2.89,2.79,2.89,350,0
2013-01-02,2.99,3.12,2.98,2.98,300,0
2013-01-04,2.79,2.79,2.71,2.71,191,0
2013-01-07,2.59,2.59,2.59,2.59,334,0
2013-01-08,2.59,2.65,2.59,2.65,185,0
2013-01-15,2.79,2.8,2.79,2.8,150,0
2013-01-18,2.89,2.89,2.89,2.89,80,0
2013-01-22,2.89,2.91,2.89,2.91,70,0
