Date,Open,High,Low,Close,Volume,OpenInt
2012-04-23,1.2583,1.2858,0.9368,1.0379,102942,0
2012-04-24,1.0379,1.0379,0.7072,0.9184,66132,0
2012-04-25,0.8817,0.9093,0.799,0.8633,23874,0
2012-04-26,0.8725,0.9184,0.799,0.8725,26202,0
2012-04-27,0.845,0.8725,0.8266,0.8266,15902,0
2012-04-30,0.8541,0.8633,0.8541,0.8633,3038,0
2012-05-02,0.8633,0.8633,0.8633,0.8633,1089,0
2012-05-04,0.8541,0.8541,0.8266,0.8541,2394,0
2012-05-07,0.8082,0.8174,0.7531,0.7715,16719,0
2012-05-08,0.7623,0.7623,0.6888,0.698,10358,0
2012-05-09,0.698,0.8174,0.6888,0.7072,8489,0
2012-05-10,0.7072,0.7072,0.698,0.7072,1743,0
2012-05-11,0.698,0.7072,0.6613,0.7072,3084,0
2012-05-14,0.7072,0.845,0.7072,0.8266,16860,0
2012-05-15,0.8174,0.8174,0.7439,0.7807,5194,0
2012-05-16,0.7715,0.8358,0.6429,0.6888,33162,0
2012-05-17,0.6613,0.6888,0.6429,0.6613,6897,0
2012-05-18,0.6429,0.6704,0.6429,0.6704,2167,0
2012-05-21,0.6613,0.6704,0.6613,0.6704,1442,0
2012-05-22,0.6613,0.7439,0.6613,0.7439,9931,0
2012-05-23,0.7072,0.7072,0.698,0.698,6533,0
2012-05-24,0.6704,0.6704,0.6613,0.6613,4355,0
2012-05-25,0.6429,0.6429,0.6429,0.6429,653,0
2012-05-28,0.6704,0.7531,0.6704,0.7072,4927,0
2012-05-29,0.7072,0.7439,0.698,0.7439,4206,0
2012-05-30,0.7072,0.7531,0.7072,0.7531,4595,0
2012-05-31,0.7164,0.7531,0.7072,0.7072,14193,0
2012-06-01,0.7164,0.7164,0.6704,0.6704,11815,0
2012-06-04,0.7072,0.7164,0.6704,0.6704,1208,0
2012-06-05,0.7072,0.7807,0.6521,0.7164,19480,0
2012-06-06,0.6888,0.6888,0.6888,0.6888,1884,0
2012-06-08,0.7256,0.7623,0.7164,0.7623,3397,0
2012-06-11,0.7256,0.7531,0.7256,0.7531,1884,0
2012-06-12,0.7256,0.7347,0.7164,0.7256,6582,0
2012-06-13,0.6888,0.6888,0.5786,0.6154,24542,0
2012-06-14,0.6338,0.6338,0.5695,0.5786,34978,0
2012-06-15,0.597,0.6061,0.597,0.6061,2613,0
2012-06-18,0.597,0.597,0.597,0.597,1307,0
2012-06-19,0.5878,0.5878,0.5695,0.5786,3398,0
2012-06-20,0.6061,0.6888,0.6061,0.6429,8710,0
2012-06-21,0.6338,0.6338,0.6338,0.6338,138883,0
2012-06-22,0.6338,0.6338,0.597,0.597,5008,0
2012-06-25,0.5878,0.5878,0.5511,0.5511,11832,0
2012-06-26,0.5511,0.5511,0.5143,0.5327,12619,0
2012-06-27,0.5236,0.5236,0.5236,0.5236,1525,0
2012-06-28,0.5236,0.5327,0.45925,0.45925,42555,0
2012-06-29,0.47193,0.47193,0.47193,0.47193,1089,0
2012-07-02,0.46839,0.46839,0.46839,0.46839,1513,0
2012-07-03,0.45925,0.45925,0.41333,0.45925,16643,0
2012-07-04,0.45925,0.45925,0.45925,0.45925,1090,0
2012-07-05,0.45001,0.45925,0.40409,0.45925,9625,0
2012-07-06,0.41333,0.41333,0.41333,0.41333,1089,0
2012-07-09,0.41333,0.41333,0.41333,0.41333,144,0
2012-07-10,0.39495,0.39495,0.39495,0.39495,1089,0
2012-07-12,0.41333,0.41333,0.41333,0.41333,1089,0
2012-07-16,0.40409,0.40409,0.40409,0.40409,1307,0
2012-07-18,0.40409,0.40409,0.40409,0.40409,762,0
2012-07-19,0.39495,0.39495,0.39495,0.39495,1089,0
2012-07-20,0.39495,0.39495,0.39495,0.39495,737,0
2012-07-23,0.38571,0.38571,0.38571,0.38571,871,0
2012-07-24,0.39495,0.40409,0.39495,0.40409,2395,0
2012-07-25,0.39495,0.39495,0.39495,0.39495,1198,0
2012-07-26,0.36742,0.36742,0.36742,0.36742,544,0
2012-07-27,0.32141,0.32141,0.30312,0.32141,9363,0
2012-07-30,0.32141,0.32141,0.32141,0.32141,218,0
2012-07-31,0.31462,0.31462,0.31462,0.31462,362,0
2012-08-01,0.31226,0.31226,0.31226,0.31226,544,0
2012-08-02,0.31226,0.31226,0.21129,0.27549,142276,0
2012-08-03,0.31226,0.31226,0.23882,0.23882,19055,0
2012-08-06,0.20205,0.27549,0.20205,0.27549,1269,0
2012-08-08,0.26635,0.33065,0.26635,0.33065,37907,0
2012-08-09,0.33979,0.36742,0.26635,0.28473,32684,0
2012-08-10,0.33065,0.33065,0.27549,0.33065,19761,0
2012-08-13,0.31226,0.31226,0.26635,0.31226,11486,0
2012-08-14,0.30312,0.32141,0.30312,0.32141,10344,0
2012-08-16,0.31226,0.33065,0.31226,0.33065,1089,0
2012-08-17,0.33065,0.39495,0.33065,0.39495,482741,0
2012-08-22,0.6613,0.7899,0.5602,0.5878,1204276,0
2012-08-23,0.597,0.6521,0.5236,0.597,219261,0
2012-08-24,0.6245,0.8541,0.5695,0.8541,296624,0
2012-08-27,0.9919,1.1572,0.7256,0.946,1146111,0
2012-08-28,0.9552,1.0929,0.8266,0.8266,654361,0
2012-08-29,0.7807,0.9,0.6704,0.7072,388600,0
2012-08-30,0.7256,0.7807,0.6521,0.7347,291762,0
2012-08-31,0.7276,0.8554,0.6882,0.7079,270940,0
2012-09-03,0.7164,0.7164,0.6338,0.7164,112070,0
2012-09-04,0.6704,0.8541,0.6613,0.845,608580,0
2012-09-05,0.9276,1.1113,0.9,1.1113,977268,0
2012-09-06,1.2766,1.2766,1.0286,1.1113,696031,0
2012-09-07,1.047,1.1297,1.0286,1.047,156866,0
2012-09-10,1.0379,1.396,1.0286,1.2858,312561,0
2012-09-11,1.2858,1.3777,1.1756,1.2399,229917,0
2012-09-12,1.2766,1.4603,1.2307,1.3317,370419,0
2012-09-13,1.3685,1.5154,1.3042,1.4787,440652,0
2012-09-14,1.497,1.5429,1.2583,1.5429,313599,0
2012-09-17,1.4879,1.7817,1.3042,1.7817,279762,0
2012-09-18,1.7634,1.9563,1.6715,1.8369,102017,0
2012-09-19,1.8369,2.0665,1.7451,1.7451,143688,0
2012-09-20,1.6349,1.9195,1.6349,1.8001,64129,0
2012-09-21,1.8093,1.892,1.6991,1.8277,96922,0
