Date,Open,High,Low,Close,Volume,OpenInt
2008-12-12,1.07,1.07,0.9,0.9,2824,0
2008-12-15,0.89,0.89,0.89,0.89,1116,0
2008-12-18,0.56,0.56,0.49,0.49,22548,0
2008-12-19,0.59,0.59,0.59,0.59,11,0
2008-12-22,0.57,0.57,0.57,0.57,11,0
2008-12-31,0.62,0.62,0.62,0.62,2,0
2009-01-05,0.61,0.61,0.61,0.61,11,0
2009-01-06,0.6,0.61,0.6,0.61,334,0
2009-01-08,0.61,0.61,0.61,0.61,223,0
2009-01-27,0.63,0.63,0.63,0.63,334,0
2009-02-03,0.57,0.57,0.57,0.57,1,0
2009-02-24,0.52,0.52,0.52,0.52,22,0
2009-03-19,0.36,0.36,0.36,0.36,1116,0
2009-03-20,0.36,0.36,0.36,0.36,1635,0
2009-03-25,0.36,0.36,0.36,0.36,11,0
2009-03-26,0.36,0.36,0.36,0.36,1116,0
2009-03-30,0.36,0.36,0.36,0.36,1562,0
2009-04-01,0.36,0.36,0.36,0.36,156,0
2009-04-06,0.36,0.36,0.36,0.36,2,0
2009-04-14,0.35,0.35,0.35,0.35,2,0
2009-04-15,0.35,0.36,0.35,0.36,8372,0
2009-04-16,0.36,0.36,0.36,0.36,12339,0
2009-04-20,0.36,0.36,0.36,0.36,1397,0
2009-04-21,0.36,0.45,0.36,0.45,8637,0
2009-04-22,0.45,0.45,0.45,0.45,558,0
2009-04-27,0.43,0.43,0.43,0.43,55,0
2009-04-29,0.4,0.4,0.4,0.4,1100,0
2009-04-30,0.4,0.4,0.4,0.4,3091,0
2009-05-05,0.4,0.4,0.4,0.4,750,0
2009-05-07,0.4,0.4,0.4,0.4,1000,0
2009-05-18,0.4,0.4,0.4,0.4,1500,0
2009-05-25,0.35,0.35,0.35,0.35,1000,0
2009-05-26,0.36,0.36,0.36,0.36,679,0
2009-06-01,0.4,0.4,0.35,0.35,300,0
2009-06-02,0.39,0.39,0.39,0.39,3000,0
2009-06-04,0.4,0.55,0.39,0.45,13729,0
2009-06-05,0.54,0.54,0.37,0.37,549,0
2009-06-08,0.48,0.48,0.48,0.48,3042,0
2009-06-09,0.73,0.73,0.55,0.72,22291,0
2009-06-10,0.8,0.8,0.6,0.69,15845,0
2009-06-12,0.64,0.72,0.64,0.7,630,0
2009-06-15,0.7,0.74,0.7,0.72,2360,0
2009-06-18,0.58,0.65,0.58,0.65,4413,0
2009-06-19,0.53,0.53,0.53,0.53,956,0
2009-06-22,0.63,0.63,0.63,0.63,138,0
2009-06-23,0.6,0.63,0.59,0.6,5482,0
2009-06-29,0.64,0.64,0.6,0.6,1980,0
2009-07-06,0.65,0.65,0.64,0.64,368,0
2009-07-08,0.47,0.56,0.45,0.47,14100,0
2009-07-09,0.44,0.44,0.44,0.44,2500,0
2009-07-13,0.44,0.5,0.44,0.5,680,0
2009-07-14,0.36,0.45,0.36,0.45,5573,0
2009-07-15,0.32,0.45,0.32,0.45,10862,0
2009-07-16,0.36,0.36,0.36,0.36,5720,0
2009-07-17,0.32,0.42,0.3,0.42,16714,0
2009-07-20,0.4,0.4,0.32,0.32,5802,0
2009-07-22,0.33,0.33,0.33,0.33,13900,0
2009-07-30,0.33,0.33,0.33,0.33,6128,0
2009-08-03,0.39,0.39,0.39,0.39,5,0
2009-08-10,0.37,0.38,0.37,0.38,2000,0
2009-08-11,0.38,0.45,0.38,0.44,10529,0
