Date,Open,High,Low,Close,Volume,OpenInt
2012-06-21,5.9797,5.9797,4.9884,4.9884,2217,0
2012-06-22,4.9884,4.9884,4.4767,4.4767,130,0
2012-06-25,4.4767,4.4767,3.8372,4.4767,1379,0
2012-06-26,4.4767,4.4767,4.4767,4.4767,8,0
2012-06-27,4.4767,4.4767,3.8372,4.4767,2061,0
2012-06-28,4.4767,4.4767,3.7093,3.7093,219,0
2012-06-29,3.8372,4.4512,3.8372,4.4512,641,0
2012-07-02,4.2337,4.2337,4.2337,4.2337,360,0
2012-07-03,4.2337,4.4767,3.6453,3.6453,1967,0
2012-07-04,3.6453,3.6453,3.3895,3.3895,125,0
2012-07-05,3.3895,3.3895,3.1977,3.1977,3620,0
2012-07-10,3.1337,3.5174,2.8715,3.5174,1087,0
2012-07-11,3.332,3.332,3.2616,3.2616,485,0
2012-07-12,3.1337,3.5174,2.8779,3.5174,563,0
2012-07-13,3.3576,3.3576,3.332,3.332,469,0
2012-07-16,3.2297,3.2297,3.1785,3.1785,485,0
2012-07-17,2.814,2.814,2.814,2.814,16,0
2012-07-24,2.8843,2.8843,2.8843,2.8843,547,0
2012-07-26,2.9227,3.4343,2.9227,3.4343,1126,0
2012-07-27,3.4343,3.8372,3.4343,3.8372,227,0
2012-07-30,3.8372,4.6047,3.8372,4.6047,649,0
2012-07-31,4.6047,4.6686,4.6047,4.6686,31,0
2012-08-01,4.6686,5.1163,4.6686,5.1163,391,0
2012-08-02,5.014,5.3721,5.0076,5.1483,407,0
2012-08-03,6.3953,6.3953,6.3953,6.3953,39,0
2012-08-09,6.3953,7.1628,6.3953,7.1628,1024,0
2012-08-10,7.1628,7.5465,7.1564,7.5465,266,0
2012-08-13,7.6744,7.6744,6.9709,7.6744,600,0
2012-08-14,7.6744,7.6744,7.0349,7.6744,461,0
2012-08-16,7.3291,7.3547,7.0988,7.3547,245,0
2012-08-17,7.3483,7.5465,7.2012,7.3547,805,0
2012-08-20,7.3547,7.3547,7.1628,7.3547,510,0
2012-08-21,7.3547,7.3547,7.3547,7.3547,8,0
2012-08-22,7.3547,7.5465,7.3547,7.5465,688,0
2012-08-23,7.5465,7.5465,7.0349,7.5465,1309,0
2012-08-24,7.5465,7.5465,7.4186,7.4186,172,0
2012-08-27,7.3547,7.3547,6.843,7.1628,493,0
2012-08-30,7.0988,7.1628,7.0988,7.1628,9,0
2012-09-03,7.1052,7.1244,7.1052,7.1244,16309,0
2012-09-04,7.0349,7.0349,6.875,7.0349,250,0
2012-09-06,7.0349,7.0349,7.0349,7.0349,8,0
2012-09-07,7.0349,7.0349,6.7791,7.0349,322,0
2012-09-10,6.7599,7.0285,5.6919,7.0285,669,0
2012-09-11,5.6279,5.8837,5.0523,5.0523,726,0
2012-09-12,6.0372,7.0349,5.436,7.0349,8200,0
2012-09-13,6.9709,6.9709,6.3953,6.907,677,0
2012-09-14,6.6512,6.6512,6.3953,6.5233,283,0
2012-09-17,6.3953,6.5233,6.1395,6.5233,283,0
2012-09-19,6.0756,7.0157,6.0756,7.0157,322,0
2012-09-20,7.0157,7.0157,6.0116,7.0157,1116,0
2012-09-21,7.0157,7.0157,6.1331,6.5872,310,0
2012-09-24,6.3953,6.5872,6.1331,6.5872,281,0
2012-09-25,6.1076,6.2355,5.8326,6.2355,650,0
2012-09-26,6.0948,6.0948,5.1163,5.1163,658,0
2012-09-27,5.1163,5.1163,5.1163,5.1163,16,0
2012-09-28,4.9244,5.7558,4.7581,5.7558,1131,0
2012-10-01,5.436,5.436,4.5087,5.1802,2777,0
2012-10-02,5.0523,5.7558,4.7006,5.7558,721,0
2012-10-03,5.7558,5.8198,4.6047,5.1035,7030,0
