Date,Open,High,Low,Close,Volume,OpenInt
2007-11-16,16.99,16.99,10.01,11.08,15189,0
2007-11-19,11.9,14.2,11.9,13.85,6929,0
2007-11-20,14,14,12,13.2,4239,0
2007-11-21,13,13.01,12,12.68,7290,0
2007-11-22,12.15,12.95,12.15,12.95,1256,0
2007-11-23,13.2,13.2,13,13,755,0
2007-11-26,13,13.54,12.9,12.9,900,0
2007-11-27,12.39,12.5,12.39,12.39,798,0
2007-11-28,12.39,12.39,12.3,12.3,17477,0
2007-11-29,12.6,12.6,12.35,12.35,450,0
2007-11-30,12.75,12.75,11.7,11.7,1058,0
2007-12-03,11.39,11.5,11.2,11.4,2611,0
2007-12-04,11.3,12.9,11.3,11.91,904,0
2007-12-05,12,12,11.91,11.91,1200,0
2007-12-06,12.3,12.35,12.2,12.2,4619,0
2007-12-07,12.39,12.45,12.39,12.42,5099,0
2007-12-10,12.45,12.5,12.25,12.25,11800,0
2007-12-11,12.45,12.45,12,12,343,0
2007-12-12,12.2,12.25,12.2,12.25,20416,0
2007-12-13,12.3,12.3,12.3,12.3,99,0
2007-12-14,12,12.85,10,12.85,3575,0
2007-12-17,13,13,12.05,12.88,21901,0
2007-12-18,13,13,12.02,12.93,5884,0
2007-12-19,13,19.4,13,17.79,57977,0
2007-12-20,17.2,17.2,15.02,16.25,10436,0
2007-12-21,16.6,18.1,15.95,16.99,7155,0
2007-12-27,16.5,16.9,16.3,16.7,3463,0
2007-12-28,17.7,17.7,16.56,17.4,1133,0
2008-01-02,17.5,17.5,17,17.48,18042,0
2008-01-03,16.67,16.67,16.11,16.55,983,0
2008-01-04,16.16,16.16,15.29,15.89,3336,0
2008-01-07,15.89,15.89,14.49,14.49,1490,0
2008-01-08,14.29,14.48,13.39,14,3043,0
2008-01-09,13.24,13.9,13.05,13.05,2233,0
2008-01-10,13.05,13.05,12.69,12.69,1174,0
2008-01-11,13,13.2,12.5,12.6,1326,0
2008-01-14,12.9,13.2,12.9,13.2,1459,0
2008-01-15,13.2,13.2,13.2,13.2,1010,0
2008-01-17,12.8,13.2,12.8,13.2,316,0
2008-01-18,12.8,14.9,12.8,14.2,6605,0
2008-01-21,14,14.6,14,14.6,787,0
2008-01-22,13.9,14.45,13.9,14.15,1314,0
2008-01-23,14.15,14.2,14.15,14.15,1400,0
2008-01-24,14,15.2,14,15,5412,0
2008-01-25,15,15,14.2,14.2,1245,0
2008-01-28,14.2,14.2,13.91,14,1005,0
2008-01-29,14.1,14.5,14,14,2230,0
2008-01-30,14,14,14,14,500,0
2008-01-31,14.25,14.29,14.2,14.2,999,0
2008-02-01,14.19,14.19,13.05,13.7,768,0
2008-02-04,13.5,13.7,13.5,13.7,400,0
2008-02-05,13.5,13.5,13.5,13.5,300,0
2008-02-06,13.5,13.5,13.5,13.5,61,0
2008-02-07,13.15,13.3,13.15,13.3,111,0
2008-02-08,13.35,13.7,13.35,13.7,64,0
2008-02-11,13.5,13.75,13.5,13.75,338,0
2008-02-13,13.3,13.38,12.41,13.38,2113,0
2008-02-14,13.2,13.39,13.2,13.2,1660,0
2008-02-15,13.2,13.2,13.2,13.2,80,0
2008-02-18,13.21,13.21,13.2,13.2,280,0
2008-02-19,13,13.39,13,13.39,2240,0
2008-02-20,13,13,13,13,200,0
2008-02-21,13,13,13,13,115,0
2008-02-22,13,13,12.51,12.51,584,0
2008-02-25,13.1,13.4,12.41,12.41,1087,0
2008-02-26,12.41,12.9,12.41,12.9,554,0
2008-02-28,12.41,12.41,12.11,12.12,541,0
2008-03-03,12.49,12.6,12.49,12.6,485,0
2008-03-04,12.15,12.15,12.1,12.1,300,0
2008-03-05,12.3,12.3,12.3,12.3,205,0
2008-03-06,12.3,12.3,12.3,12.3,180,0
2008-03-07,12.8,12.8,12.8,12.8,981,0
2008-03-10,12.3,12.3,12.3,12.3,245,0
2008-03-11,12.29,12.29,12,12,400,0
2008-03-12,12.29,12.3,12.29,12.3,278,0
2008-03-18,12.05,12.05,12.05,12.05,60,0
2008-03-19,12.04,12.04,12.04,12.04,200,0
2008-03-25,12.3,12.43,11.72,12.43,1505,0
2008-03-26,12.43,12.44,12.43,12.44,158,0
2008-03-28,11.87,11.87,11.29,11.85,644,0
2008-03-31,11.53,11.53,10.4,10.6,2542,0
2008-04-01,10.8,10.8,10.8,10.8,250,0
2008-04-02,11,11,11,11,100,0
2008-04-03,10.7,10.7,9.8,10,477,0
2008-04-04,10,10,9.95,9.95,161,0
2008-04-08,9.95,9.95,9.95,9.95,1,0
2008-04-09,9.95,9.95,9.95,9.95,150,0
2008-04-10,10.2,11.2,10.2,10.71,878,0
2008-04-11,11,11.6,11,11.6,700,0
2008-04-14,11.7,11.8,11,11.8,1446,0
2008-04-15,11.9,12.7,11.9,12.7,845,0
2008-04-16,12.2,12.6,12.2,12.6,800,0
2008-04-17,12.5,12.75,12.3,12.3,1052,0
2008-04-18,12.2,12.2,11.62,11.62,467,0
2008-04-21,11.51,11.51,11.5,11.5,430,0
2008-04-23,10.96,10.96,10.96,10.96,80,0
2008-04-24,10.77,10.77,10.77,10.77,169,0
2008-04-25,10.76,11.13,10.76,11,381,0
2008-04-28,11,11,11,11,250,0
2008-05-05,11.21,12.9,11.21,12.1,1280,0
2008-05-06,11.62,11.62,11.62,11.62,10,0
