Date,Open,High,Low,Close,Volume,OpenInt
2011-10-24,0.52,0.52,0.35,0.36,432852,0
2011-10-25,0.36,0.4,0.32,0.35,114869,0
2011-10-26,0.32,0.32,0.29,0.31,68162,0
2011-10-27,0.31,0.32,0.31,0.31,15298,0
2011-10-28,0.32,0.32,0.31,0.31,16134,0
2011-10-31,0.3,0.32,0.3,0.32,10384,0
2011-11-02,0.31,0.32,0.3,0.32,9956,0
2011-11-03,0.32,0.32,0.32,0.32,1000,0
2011-11-04,0.3,0.31,0.3,0.31,5000,0
2011-11-07,0.28,0.3,0.28,0.3,7730,0
2011-11-08,0.29,0.31,0.29,0.31,2090,0
2011-11-09,0.3,0.3,0.3,0.3,2000,0
2011-11-10,0.28,0.29,0.28,0.29,4057,0
2011-11-14,0.29,0.29,0.29,0.29,3090,0
2011-11-15,0.29,0.29,0.28,0.28,7413,0
2011-11-16,0.26,0.3,0.26,0.3,19000,0
2011-11-17,0.3,0.3,0.3,0.3,5625,0
2011-11-18,0.31,0.31,0.31,0.31,10,0
2011-11-21,0.29,0.29,0.29,0.29,5210,0
2011-11-22,0.33,0.33,0.3,0.3,110,0
2011-11-24,0.28,0.28,0.28,0.28,8868,0
2011-11-25,0.28,0.28,0.28,0.28,100,0
2011-11-29,0.21,0.27,0.21,0.27,1510,0
2011-11-30,0.25,0.26,0.25,0.26,4984,0
2011-12-01,0.25,0.26,0.22,0.26,1705,0
2011-12-02,0.25,0.25,0.25,0.25,6500,0
2011-12-05,0.26,0.26,0.21,0.26,11715,0
2011-12-07,0.26,0.26,0.26,0.26,10,0
2011-12-09,0.24,0.26,0.24,0.26,1981,0
2011-12-12,0.26,0.26,0.26,0.26,10,0
2011-12-15,0.26,0.26,0.26,0.26,10,0
2011-12-16,0.26,0.26,0.26,0.26,3870,0
2011-12-19,0.27,0.27,0.27,0.27,10,0
2011-12-27,0.26,0.26,0.24,0.24,9296,0
2011-12-30,0.24,0.24,0.24,0.24,100,0
2012-01-02,0.28,0.28,0.28,0.28,10,0
2012-01-04,0.25,0.25,0.25,0.25,1500,0
2012-01-05,0.24,0.24,0.24,0.24,1500,0
2012-01-09,0.25,0.25,0.25,0.25,10,0
2012-01-10,0.2,0.2,0.2,0.2,400,0
2012-01-11,0.24,0.24,0.2,0.23,2830,0
2012-01-12,0.25,0.25,0.24,0.25,14390,0
2012-01-13,0.25,0.25,0.25,0.25,122,0
2012-01-17,0.25,0.25,0.25,0.25,10,0
2012-01-18,0.25,0.25,0.25,0.25,7676,0
2012-01-19,0.25,0.25,0.25,0.25,100,0
2012-01-20,0.25,0.25,0.25,0.25,100,0
2012-01-23,0.25,0.25,0.25,0.25,10,0
2012-01-27,0.25,0.25,0.25,0.25,1000,0
2012-01-30,0.26,0.26,0.25,0.25,810,0
2012-02-01,0.26,0.26,0.26,0.26,100,0
2012-02-02,0.26,0.26,0.24,0.24,350,0
2012-02-06,0.25,0.29,0.25,0.29,37260,0
2012-02-07,0.27,0.27,0.27,0.27,1000,0
2012-02-10,0.29,0.29,0.29,0.29,100,0
2012-02-14,0.29,0.29,0.29,0.29,500,0
2012-02-21,0.28,0.28,0.28,0.28,100,0
2012-02-23,0.28,0.28,0.28,0.28,100,0
2012-02-24,0.28,0.28,0.28,0.28,100,0
2012-02-27,0.29,0.29,0.29,0.29,100,0
2012-02-28,0.28,0.28,0.28,0.28,150,0
2012-03-02,0.27,0.27,0.25,0.25,24150,0
