Date,Open,High,Low,Close,Volume,OpenInt
2008-12-18,7.2355,7.2355,6.3453,6.3453,12355,0
2008-12-19,6.3358,6.904,6.3263,6.904,13146,0
2008-12-22,6.904,6.904,6.5821,6.6578,11895,0
2008-12-23,6.62,6.62,6.62,6.62,217,0
2008-12-29,6.6294,6.7809,6.6294,6.7715,3952,0
2008-12-30,6.7809,6.8852,6.6294,6.7715,7853,0
2008-12-31,6.8661,6.904,6.8094,6.8094,4910,0
2009-01-05,7.4818,7.4818,6.6578,6.8188,2481,0
2009-01-06,6.6673,7.245,6.6294,7.245,14008,0
2009-01-07,7.1029,7.5764,6.9136,6.9136,45995,0
2009-01-08,6.6767,6.7809,6.6578,6.7809,4312,0
2009-01-12,6.7336,7.2166,6.7336,6.8094,1942,0
2009-01-13,6.6483,7.1882,6.6483,7.1882,3462,0
2009-01-14,7.1882,7.3776,6.8661,7.2829,17641,0
2009-01-15,7.0082,7.0082,7.0082,7.0082,684,0
2009-01-16,6.8378,7.1787,6.8378,6.9136,1265,0
2009-01-19,7.3302,7.3302,7.3302,7.3302,1,0
2009-01-20,6.8188,7.0461,6.6862,7.0461,928,0
2009-01-21,7.0555,7.0555,6.7715,6.7715,317,0
2009-01-22,6.724,6.9136,6.724,6.9136,383,0
2009-01-23,7.0366,7.0366,6.6388,7.0082,372,0
2009-01-26,7.0366,7.0366,6.5158,6.6104,3362,0
2009-01-27,6.6104,6.6104,6.4684,6.5725,1207,0
2009-01-28,6.6104,6.6104,6.6104,6.6104,10,0
2009-01-29,6.5346,6.5346,6.5346,6.5346,1116,0
2009-01-30,6.4589,6.4589,6.3832,6.44,2039,0
2009-02-02,6.5346,6.5346,5.5971,5.957,7448,0
2009-02-03,5.9664,5.9664,5.6823,5.6823,1090,0
2009-02-04,5.6823,5.6823,5.3982,5.5119,2845,0
2009-02-05,5.1141,5.5876,4.8299,5.4361,14900,0
2009-02-06,5.4361,6.5252,5.4361,5.8055,4011,0
2009-02-09,5.4929,5.8434,5.4929,5.8434,4023,0
2009-02-10,5.9855,6.1843,5.6823,6.1843,11077,0
2009-02-11,6.3263,6.5252,6.1558,6.1937,7768,0
2009-02-12,6.3453,6.3453,6.3453,6.3453,340,0
2009-02-13,6.3453,6.4116,6.3453,6.4116,462,0
2009-02-16,6.2506,6.3453,5.6823,5.6823,3485,0
2009-02-17,5.4929,5.4929,5.1331,5.1331,5502,0
2009-02-18,5.0099,5.0099,4.9057,5.0004,4991,0
2009-02-19,5.1235,5.1235,5.1047,5.1047,985,0
2009-02-20,5.1047,5.1047,5.1047,5.1047,10,0
2009-02-23,4.8774,5.0857,4.8774,5.0857,1362,0
2009-02-24,5.1047,5.5876,4.6027,5.5876,17403,0
2009-02-25,5.4361,6.0612,5.4361,5.6823,3045,0
2009-02-26,5.7297,5.957,5.7297,5.957,7656,0
2009-02-27,5.6823,5.8717,5.6823,5.8717,1455,0
2009-03-02,5.7486,5.7486,5.7202,5.7202,668,0
2009-03-03,5.4929,5.6065,5.3887,5.474,13125,0
2009-03-04,5.3414,5.6729,5.3414,5.6729,919,0
2009-03-05,5.7108,5.9192,5.5876,5.9192,2171,0
2009-03-06,5.7771,5.9192,5.3982,5.9192,14577,0
2009-03-09,5.5876,5.5876,5.5876,5.5876,1,0
2009-03-10,5.5971,5.5971,5.5971,5.5971,401,0
2009-03-11,5.5971,5.6823,5.5971,5.6823,6,0
2009-03-12,5.5971,5.6823,5.5971,5.6823,654,0
2009-03-13,5.5876,6.4305,5.5876,6.4305,6439,0
2009-03-16,5.7959,6.2032,5.7959,6.0612,2163,0
2009-03-17,6.4305,6.4305,6.2506,6.2506,400,0
2009-03-18,6.4305,6.4305,6.3642,6.3926,1078,0
2009-03-19,6.3737,6.5346,6.3737,6.5346,106,0
2009-03-20,6.6104,6.6104,6.6104,6.6104,31,0
2009-03-23,6.6767,7.0082,6.5821,7.0082,1433,0
2009-03-24,7.0366,7.0745,7.0082,7.0082,923,0
2009-03-25,7.1029,7.1029,6.9608,6.9608,352,0
2009-03-26,7.2923,7.2923,7.2923,7.2923,2,0
2009-03-27,7.2923,7.2923,7.1976,7.1976,55,0
2009-03-30,7.1976,7.1976,7.1976,7.1976,2,0
2009-03-31,7.1976,7.1976,7.1976,7.1976,2,0
2009-04-01,7.1976,7.1976,6.8188,6.8188,2,0
2009-04-02,6.9136,7.2923,6.9136,7.2923,383,0
2009-04-03,7.1976,7.2923,6.9136,7.2923,2420,0
2009-04-06,7.2923,7.4627,7.2923,7.3208,3975,0
2009-04-07,7.387,7.4818,7.3681,7.387,3616,0
2009-04-08,7.387,7.4818,7.3302,7.4818,6514,0
2009-04-09,7.529,7.8605,7.4818,7.8605,9982,0
2009-04-14,7.8605,7.8605,7.529,7.529,3955,0
2009-04-15,7.4818,7.5669,7.4818,7.5669,3838,0
2009-04-16,7.4155,7.8605,7.4155,7.8511,6744,0
2009-04-17,7.6617,7.8605,7.6617,7.8605,311,0
2009-04-20,7.8132,7.8132,7.387,7.4344,2687,0
2009-04-21,7.4439,7.6711,7.4439,7.4818,706,0
2009-04-22,7.4818,8.0973,7.4818,8.0973,7449,0
2009-04-23,8.1447,8.6277,8.1447,8.5804,8396,0
2009-04-24,8.7034,8.8834,8.5804,8.855,5464,0
2009-04-27,8.9023,8.9023,8.1447,8.5708,2681,0
2009-04-28,8.9402,11.734,8.9402,10.89,33783,0
2009-04-29,12.199,12.199,10.89,11.335,46220,0
2009-04-30,11.355,11.355,10.89,11.176,15690,0
2009-05-04,11.355,11.355,10.986,11.176,9043,0
2009-05-05,11.374,11.544,11.365,11.365,4252,0
2009-05-06,11.365,11.365,11.318,11.318,3647,0
2009-05-07,11.327,11.327,10.89,11.176,8939,0
2009-05-08,10.9,11.061,10.9,11.025,8143,0
2009-05-11,11.166,11.46,11.166,11.46,20263,0
2009-05-12,11.46,11.724,11.365,11.365,2775,0
2009-05-13,11.365,11.365,10.844,10.844,6496,0
2009-05-14,10.797,10.797,10.797,10.797,105,0
2009-05-15,10.9,10.9,10.511,10.511,3794,0
2009-05-18,10.749,11.166,10.749,10.89,1770,0
2009-05-19,11.176,11.213,11.176,11.176,1584,0
2009-05-20,11.365,11.365,11.335,11.365,8708,0
2009-05-21,11.081,11.45,10.9,11.44,28510,0
2009-05-22,11.44,11.46,11.223,11.46,9467,0
2009-05-25,11.592,11.592,11.365,11.46,2886,0
2009-05-26,11.233,11.554,11.233,11.544,38347,0
2009-05-27,11.573,11.573,11.384,11.384,1978,0
2009-05-28,11.365,11.394,11.365,11.394,17442,0
2009-05-29,11.478,11.507,11.411,11.507,1551,0
2009-06-01,11.507,12.123,11.46,11.839,8223,0
2009-06-02,12.094,12.179,11.839,11.839,4456,0
2009-06-03,11.876,12.141,11.876,11.895,2550,0
2009-06-04,11.981,12.169,11.932,12.169,1470,0
2009-06-05,12.235,12.274,12.217,12.217,2442,0
2009-06-08,12.217,12.311,12.123,12.311,1739,0
2009-06-09,12.311,13.211,12.311,13.211,4254,0
2009-06-10,13.259,13.732,13.259,13.714,4540,0
