Date,Open,High,Low,Close,Volume,OpenInt
2007-04-12,19.049,19.177,16.003,16.355,2397583,0
2007-04-13,16.997,17.542,16.355,16.387,564263,0
2007-04-16,16.643,16.643,16.066,16.195,152601,0
2007-04-17,16.195,16.195,15.682,15.778,119277,0
2007-04-18,15.65,15.65,14.785,15.106,205666,0
2007-04-19,14.752,15.201,14.592,15.073,65686,0
2007-04-20,15.041,15.362,14.72,14.752,67409,0
2007-04-23,15.008,15.008,13.887,14.015,124584,0
2007-04-24,13.951,14.047,13.373,13.822,79336,0
2007-04-25,13.951,14.336,13.758,14.271,34636,0
2007-04-26,14.271,15.362,14.271,15.136,118728,0
2007-04-27,15.394,15.682,14.785,15.136,47972,0
2007-04-30,15.169,15.362,14.848,15.008,23652,0
2007-05-02,15.073,15.265,14.944,15.265,16466,0
2007-05-04,15.265,15.265,15.008,15.169,13980,0
2007-05-07,15.233,15.233,14.785,14.944,21065,0
2007-05-08,14.815,14.944,14.366,14.431,33967,0
2007-05-09,14.431,14.687,14.366,14.687,22829,0
2007-05-10,14.752,14.752,14.366,14.366,20894,0
2007-05-11,14.079,14.271,13.789,14.238,26711,0
2007-05-14,14.464,14.913,14.207,14.752,46405,0
2007-05-15,14.785,14.785,14.464,14.592,25119,0
2007-05-16,14.559,14.559,14.271,14.431,33380,0
2007-05-17,14.431,14.464,14.047,14.11,30848,0
2007-05-18,13.982,14.11,13.789,14.11,23798,0
2007-05-21,14.336,14.336,13.887,13.951,30009,0
2007-05-22,14.11,14.11,13.822,14.047,21027,0
2007-05-23,14.11,15.008,14.11,14.592,72027,0
2007-05-24,14.72,14.913,14.11,14.752,45101,0
2007-05-25,14.431,15.106,14.399,15.041,63357,0
2007-05-28,15.874,16.355,15.714,15.907,111373,0
2007-05-29,15.971,16.836,15.65,16.58,224859,0
2007-05-30,16.515,17.158,16.035,16.355,109110,0
2007-05-31,16.515,16.997,16.452,16.612,57247,0
2007-06-01,16.676,16.676,15.778,16.035,32740,0
2007-06-04,15.939,16.003,15.554,15.618,38553,0
2007-06-05,15.618,15.874,15.136,15.297,26469,0
