Date,Open,High,Low,Close,Volume,OpenInt
2007-04-16,13.4,15,12.8,13.11,403618,0
2007-04-17,13.49,13.49,12.59,12.92,56565,0
2007-04-18,12.76,12.89,12.12,12.65,36705,0
2007-04-19,12.06,12.88,12.05,12.88,25854,0
2007-04-20,12.87,13.05,12.39,13.05,22746,0
2007-04-23,12.32,13.32,12.21,13.3,32112,0
2007-04-24,13.4,13.5,13,13,3955,0
2007-04-25,13,13.1,12.6,12.99,5541,0
2007-04-26,12.99,13.95,12.85,13.6,10446,0
2007-04-27,13.2,13.5,13.1,13.49,42425,0
2007-04-30,13,14.1,13,14.1,10912,0
2007-05-02,14,14.37,13.69,14.37,12980,0
2007-05-04,15.03,15.4,14,14.69,10469,0
2007-05-07,14.5,14.5,14.11,14.39,2481,0
2007-05-08,14.4,14.4,13.1,13.97,9450,0
2007-05-09,13.5,14,13.5,14,3710,0
2007-05-10,15,15.4,14,14.39,1083,0
2007-05-11,13.3,14.63,13.3,13.8,4909,0
2007-05-14,14.09,14.09,13.6,13.8,1173,0
2007-05-15,14,14,13.7,13.95,6767,0
2007-05-16,13.99,13.99,13.02,13.9,5725,0
2007-05-17,13.16,13.9,13.16,13.9,5677,0
2007-05-18,13.9,13.9,13.8,13.89,1765,0
2007-05-21,13.51,13.8,13.25,13.3,11962,0
2007-05-22,13.16,13.21,13.1,13.15,2869,0
2007-05-23,13.39,13.39,13.1,13.1,1580,0
2007-05-24,13,13.38,13,13.37,2342,0
2007-05-25,13.4,13.4,13,13.33,544,0
2007-05-28,13.43,13.43,13.32,13.32,710,0
2007-05-29,13.02,13.33,12.8,13.1,1515,0
2007-05-30,13.27,13.27,12.71,12.8,1909,0
2007-05-31,12.6,13.14,12.6,13.14,11506,0
2007-06-01,12.61,13.09,12.61,12.8,2150,0
2007-06-04,12.8,12.8,12.65,12.66,1367,0
2007-06-05,12.66,12.99,12.57,12.8,836,0
2007-06-06,12.8,12.8,12,12.8,2995,0
2007-06-08,12.6,13.47,12.6,13.47,8503,0
2007-06-11,13.26,13.54,13.2,13.2,3560,0
2007-06-12,13.2,13.46,13.2,13.2,4455,0
2007-06-14,13.25,13.25,13,13.01,2597,0
2007-06-15,13.19,13.2,12.86,13.19,3498,0
2007-06-18,13.2,13.35,12.8,13.01,9359,0
2007-06-19,13.02,13.4,12.75,13.4,9234,0
2007-06-20,13.5,14,13.45,13.92,7433,0
2007-06-21,13.9,13.9,13.2,13.79,3891,0
2007-06-22,13.3,13.49,13.17,13.17,4964,0
2007-06-25,13.74,13.74,13.11,13.47,5497,0
2007-06-26,13.5,13.5,13.5,13.5,102,0
2007-06-27,13.48,13.5,13.48,13.5,102,0
2007-06-28,12.9,13.43,12.9,13.43,4164,0
2007-06-29,12.89,12.9,12.89,12.89,214,0
2007-07-02,12.61,12.73,12.6,12.6,2086,0
2007-07-03,12.73,12.85,12.35,12.85,8311,0
