Date,Open,High,Low,Close,Volume,OpenInt
2010-10-11,4.7019,5.0383,4.5258,4.5258,48194,0
2010-10-12,4.4457,4.4857,4.3656,4.4055,12489,0
2010-10-13,4.4457,4.4457,4.2454,4.3815,7895,0
2010-10-14,4.3656,4.3656,4.2212,4.2854,1765,0
2010-10-15,4.1652,4.3656,4.1253,4.3656,9688,0
2010-10-18,4.5658,4.5658,4.4055,4.4055,4667,0
2010-10-19,4.4857,4.4857,4.3656,4.4857,1043,0
2010-10-20,4.4777,4.4777,4.3255,4.4777,2092,0
2010-10-21,4.4777,4.4777,4.2534,4.2534,4417,0
2010-10-22,4.2454,4.4055,3.9249,4.4055,13834,0
2010-10-25,4.2454,4.3015,4.2454,4.3015,937,0
2010-10-26,4.3656,4.3656,4.3656,4.3656,2,0
2010-10-27,4.0532,4.3174,4.0532,4.3174,5437,0
2010-10-28,4.3495,4.3495,4.2454,4.3255,374,0
2010-10-29,4.3174,4.3896,4.3174,4.3896,2489,0
2010-11-02,4.3896,4.3976,4.3896,4.3976,1945,0
2010-11-03,4.3896,4.4055,4.3896,4.4055,160,0
2010-11-04,4.4055,4.4055,4.3255,4.3255,863,0
2010-11-05,4.3815,4.3815,4.3255,4.3255,772,0
2010-11-08,4.3815,4.3815,4.2775,4.3255,32,0
2010-11-09,4.3255,4.3255,4.2694,4.2694,744,0
2010-11-10,4.3174,4.3174,4.3174,4.3174,2,0
2010-11-12,4.2775,4.2775,4.2775,4.2775,2,0
2010-11-15,4.1332,4.2775,4.1332,4.2775,251,0
2010-11-16,4.2775,4.2775,4.1332,4.1332,124,0
2010-11-17,4.2775,4.2775,4.2775,4.2775,2,0
2010-11-18,4.2775,4.3174,4.1253,4.3174,1618,0
2010-11-19,4.3174,4.3174,4.2134,4.2134,214,0
2010-11-22,4.3174,4.3174,4.0532,4.2134,614,0
2010-11-23,4.3174,4.3174,4.2134,4.2134,122,0
2010-11-24,4.3174,4.3174,4.1652,4.1652,1934,0
2010-11-25,4.1573,4.1573,4.1573,4.1573,189,0
2010-11-26,4.1573,4.1573,3.957,4.0851,1437,0
2010-11-29,4.0851,4.0851,3.965,3.965,265,0
2010-11-30,4.0851,4.0851,3.9249,3.9249,1251,0
2010-12-01,4.0851,4.0851,3.9249,3.9249,2963,0
2010-12-02,4.0851,4.1092,4.0051,4.1092,940,0
2010-12-03,4.2694,4.3174,4.1413,4.1413,2415,0
2010-12-06,4.3255,4.3255,4.3174,4.3174,388,0
2010-12-07,4.3174,4.3174,4.1733,4.1733,313,0
2010-12-08,4.1652,4.1652,4.1652,4.1652,1250,0
2010-12-09,4.3174,4.3174,4.2053,4.2053,120,0
2010-12-10,4.0851,4.0851,4.0851,4.0851,386,0
2010-12-13,4.3094,4.3094,4.2053,4.2053,120,0
2010-12-14,4.3094,4.3094,4.3094,4.3094,2,0
2010-12-15,4.2454,4.2454,4.2454,4.2454,153,0
2010-12-16,4.3094,4.3094,4.3094,4.3094,1,0
2010-12-17,4.3094,4.3094,4.1973,4.2134,544,0
2010-12-20,4.2854,4.2854,4.2854,4.2854,4,0
2010-12-21,4.2454,4.2454,4.0851,4.0851,159,0
2010-12-22,4.0851,4.1493,4.0851,4.1493,1665,0
2010-12-23,4.1493,4.1493,4.0532,4.0532,458616,0
2010-12-27,4.0612,4.0612,4.0051,4.0051,297,0
2010-12-28,4.1493,4.1493,4.0051,4.0051,341,0
2010-12-29,4.2854,4.2854,4.2854,4.2854,2,0
