Date,Open,High,Low,Close,Volume,OpenInt
1994-07-28,10,10,10,10,150160,0
1994-08-01,11,11,11,11,0,0
1994-08-02,12.1,12.1,12.1,12.1,139810,0
1994-08-03,13.3,13.3,13.3,13.3,233838,0
1994-08-04,14.6,14.6,14.6,14.6,149812,0
1994-08-08,15.6,15.6,15.6,15.6,194660,0
1994-08-09,14.5,14.5,14.5,14.5,78352,0
1994-08-10,14.6,14.6,14.6,14.6,122979,0
1994-08-11,14.2,14.2,14.2,14.2,64479,0
1994-08-16,14.5,14.5,14.5,14.5,99600,0
1994-08-17,14.5,14.5,14.5,14.5,73569,0
1994-08-18,14.4,14.4,14.4,14.4,25361,0
1994-08-22,14,14,14,14,42929,0
1994-08-23,13,13,13,13,34981,0
1994-08-24,13.1,13.1,13.1,13.1,42321,0
1994-08-25,13.4,13.4,13.4,13.4,59981,0
1994-08-29,13.5,13.5,13.5,13.5,74981,0
1994-08-30,13.85,13.85,13.85,13.85,49632,0
1994-08-31,13.05,13.05,13.05,13.05,29571,0
1994-09-01,12.65,12.65,12.65,12.65,32621,0
1994-09-05,11.4,11.4,11.4,11.4,33890,0
1994-09-06,10.3,10.3,10.3,10.3,0,0
1994-09-07,9.3,9.3,9.3,9.3,65392,0
1994-09-08,10.2,10.2,10.2,10.2,40681,0
1994-09-12,11.2,11.2,11.2,11.2,155281,0
1994-09-13,10.1,10.1,10.1,10.1,37421,0
1994-09-14,10.7,10.7,10.7,10.7,29150,0
1994-09-15,9.65,9.65,9.65,9.65,16062,0
1994-09-19,9.45,9.45,9.45,9.45,70878,0
1994-09-20,8.55,8.55,8.55,8.55,41292,0
1994-09-21,8,8,8,8,113475,0
1994-09-22,7.6,7.6,7.6,7.6,53579,0
1994-09-26,8,8,8,8,152988,0
1994-09-27,7.2,7.2,7.2,7.2,61104,0
1994-09-28,7.4,7.4,7.4,7.4,39736,0
1994-09-29,7.3,7.3,7.3,7.3,70425,0
1994-10-03,7.8,7.8,7.8,7.8,93821,0
1994-10-04,8,8,8,8,90163,0
1994-10-05,8.5,8.5,8.5,8.5,80265,0
1994-10-06,8.85,8.85,8.85,8.85,80768,0
1994-10-07,8.8,8.8,8.8,8.8,114972,0
1994-10-10,7.95,7.95,7.95,7.95,17975,0
1994-10-11,7.35,7.35,7.35,7.35,32537,0
1994-10-12,7.7,7.7,7.7,7.7,31013,0
1994-10-13,7.3,7.3,7.3,7.3,12863,0
1994-10-14,7.35,7.35,7.35,7.35,19048,0
1994-10-17,7.25,7.25,7.25,7.25,21959,0
1994-10-18,7.55,7.55,7.55,7.55,45139,0
1994-10-19,7.5,7.5,7.5,7.5,16813,0
1994-10-20,7.4,7.4,7.4,7.4,24277,0
1994-10-21,7.25,7.25,7.25,7.25,6441,0
1994-10-24,6.55,6.55,6.55,6.55,17679,0
1994-10-25,6,6,6,6,51742,0
1994-10-26,5.85,5.85,5.85,5.85,27838,0
1994-10-27,5.45,5.45,5.45,5.45,38119,0
1994-10-28,5.3,5.3,5.3,5.3,43915,0
1994-11-02,5.35,5.35,5.35,5.35,44196,0
1994-11-03,5.8,5.8,5.8,5.8,90552,0
1994-11-04,5.25,5.25,5.25,5.25,61048,0
1994-11-07,5.3,5.3,5.3,5.3,33113,0
1994-11-08,5.3,5.3,5.3,5.3,54811,0
1994-11-09,5.2,5.2,5.2,5.2,31558,0
1994-11-10,5,5,5,5,15290,0
1994-11-14,4.7,4.7,4.7,4.7,11936,0
1994-11-15,4.25,4.25,4.25,4.25,16059,0
1994-11-16,3.9,3.9,3.9,3.9,59128,0
1994-11-17,4.25,4.25,4.25,4.25,59118,0
1994-11-18,3.95,3.95,3.95,3.95,35848,0
1994-11-21,3.7,3.7,3.7,3.7,46622,0
1994-11-22,3.55,3.55,3.55,3.55,31606,0
1994-11-23,3.7,3.7,3.7,3.7,21716,0
1994-11-24,3.75,3.75,3.75,3.75,30893,0
1994-11-25,3.9,3.9,3.9,3.9,36692,0
1994-11-28,4.15,4.15,4.15,4.15,55518,0
1994-11-29,4.55,4.55,4.55,4.55,46912,0
1994-11-30,5,5,5,5,38580,0
1994-12-01,5.5,5.5,5.5,5.5,58309,0
1994-12-02,6.05,6.05,6.05,6.05,132207,0
1994-12-05,6,6,6,6,74700,0
1994-12-06,5.75,5.75,5.75,5.75,46461,0
1994-12-07,5.2,5.2,5.2,5.2,47846,0
1994-12-08,4.7,4.7,4.7,4.7,0,0
1994-12-09,4.25,4.25,4.25,4.25,159082,0
1994-12-12,4.65,4.65,4.65,4.65,281172,0
1994-12-13,4.5,4.5,4.5,4.5,78144,0
1994-12-14,4.6,4.6,4.6,4.6,39380,0
1994-12-15,4.5,4.5,4.5,4.5,36822,0
1994-12-16,4.8,4.8,4.8,4.8,73573,0
1994-12-19,5.25,5.25,5.25,5.25,87962,0
1994-12-20,4.8,4.8,4.8,4.8,48604,0
1994-12-21,5,5,5,5,51110,0
1994-12-22,5.1,5.1,5.1,5.1,68990,0
1994-12-23,5.2,5.2,5.2,5.2,50692,0
1994-12-27,5.2,5.2,5.2,5.2,22087,0
1994-12-28,5,5,5,5,23470,0
1994-12-29,5,5,5,5,26060,0
1995-01-02,5.3,5.3,5.3,5.3,32925,0
1995-01-03,5.7,5.7,5.7,5.7,76842,0
1995-01-04,5.5,5.5,5.5,5.5,76000,0
1995-01-05,5.55,5.55,5.55,5.55,43063,0
1995-01-06,5.25,5.25,5.25,5.25,47905,0
1995-01-09,5.4,5.4,5.4,5.4,67593,0
1995-01-10,5.2,5.2,5.2,5.2,30288,0
1995-01-11,5.1,5.1,5.1,5.1,46176,0
1995-01-12,5.25,5.25,5.25,5.25,39714,0
1995-01-13,5.45,5.45,5.45,5.45,45229,0
1995-01-16,5.45,5.45,5.45,5.45,50183,0
1995-01-17,5.25,5.25,5.25,5.25,27714,0
1995-01-18,5.15,5.15,5.15,5.15,28932,0
1995-01-19,5.25,5.25,5.25,5.25,17810,0
1995-01-20,5,5,5,5,28200,0
1995-01-23,4.75,4.75,4.75,4.75,22526,0
1995-01-24,4.7,4.7,4.7,4.7,42447,0
1995-01-25,4.7,4.7,4.7,4.7,27234,0
1995-01-26,4.5,4.5,4.5,4.5,23000,0
1995-01-27,4.25,4.25,4.25,4.25,30588,0
1995-01-30,4.35,4.35,4.35,4.35,22414,0
1995-01-31,4,4,4,4,24000,0
1995-02-01,4.4,4.4,4.4,4.4,28977,0
1995-02-02,4.15,4.15,4.15,4.15,28072,0
1995-02-03,3.95,3.95,3.95,3.95,40886,0
1995-02-06,4.3,4.3,4.3,4.3,0,0
1995-02-07,4.7,4.7,4.7,4.7,50745,0
1995-02-08,4.65,4.65,4.65,4.65,63441,0
1995-02-09,4.85,4.85,4.85,4.85,62268,0
1995-02-10,4.5,4.5,4.5,4.5,15444,0
1995-02-13,4.45,4.45,4.45,4.45,31236,0
1995-02-14,4.65,4.65,4.65,4.65,71935,0
1995-02-15,4.65,4.65,4.65,4.65,30000,0
1995-02-16,4.65,4.65,4.65,4.65,34516,0
1995-02-17,4.65,4.65,4.65,4.65,35914,0
1995-02-20,4.45,4.45,4.45,4.45,21124,0
1995-02-21,4.05,4.05,4.05,4.05,96173,0
1995-02-22,4.1,4.1,4.1,4.1,23293,0
1995-02-23,4.2,4.2,4.2,4.2,57143,0
1995-02-24,4.6,4.6,4.6,4.6,95217,0
1995-02-27,4.45,4.45,4.45,4.45,43708,0
1995-02-28,4.25,4.25,4.25,4.25,16706,0
1995-03-01,4.3,4.3,4.3,4.3,18372,0
1995-03-02,4.4,4.4,4.4,4.4,24091,0
1995-03-03,4.55,4.55,4.55,4.55,69011,0
1995-03-06,4.6,4.6,4.6,4.6,15000,0
1995-03-07,4.55,4.55,4.55,4.55,11319,0
1995-03-08,4.55,4.55,4.55,4.55,9341,0
1995-03-09,4.55,4.55,4.55,4.55,26264,0
1995-03-10,4.4,4.4,4.4,4.4,18409,0
1995-03-13,4.4,4.4,4.4,4.4,12614,0
1995-03-14,4.3,4.3,4.3,4.3,20814,0
1995-03-15,4.2,4.2,4.2,4.2,23214,0
