Date,Open,High,Low,Close,Volume,OpenInt
2011-05-27,62.5,63.6,60.65,61.25,581978,0
2011-05-30,61.35,61.35,60.55,60.9,74852,0
2011-05-31,60.85,61,60.6,60.7,60048,0
2011-06-01,60.6,60.6,60.05,60.15,42566,0
2011-06-02,60,60.15,59.9,60.15,67107,0
2011-06-03,60.1,60.45,60,60.45,36239,0
2011-06-06,60.45,60.45,60,60,52013,0
2011-06-07,60,60.2,60,60.2,15324,0
2011-06-08,60.1,60.2,60,60.2,51429,0
2011-06-09,60,60.15,59.95,60,110286,0
2011-06-10,60,60,59.9,59.95,140854,0
2011-06-13,60,60,59.9,60,102035,0
2011-06-14,60,60,59.8,59.95,38276,0
2011-06-15,59.55,59.85,59.5,59.65,30301,0
2011-06-16,59.65,59.65,59.15,59.2,54420,0
2011-06-17,59.1,59.2,58.85,59.05,54277,0
2011-06-20,58.4,59.5,58.4,59.5,59019,0
2011-06-21,59.05,59.4,59,59.1,27833,0
2011-06-22,58.6,59.1,58.6,59,20281,0
2011-06-24,58.35,59.1,58.3,59,20158,0
2011-06-27,58.55,58.6,58.3,58.4,19596,0
2011-06-28,58.1,58.55,58,58.5,22135,0
2011-06-29,58.4,59.1,58.4,58.7,8880,0
2011-06-30,59,59.1,58.65,59.1,6154,0
2011-07-01,59,59.1,58.6,59.05,18115,0
2011-07-04,58.8,59,58.65,59,6536,0
2011-07-05,58.6,59.3,58.6,59.1,42263,0
2011-07-06,58.65,58.9,58.6,58.65,8256,0
2011-07-07,58.6,58.65,58.25,58.45,23946,0
2011-07-08,58.45,58.5,58.25,58.45,12322,0
2011-07-11,58.15,58.4,58.1,58.3,7055,0
2011-07-12,58,58,57.4,57.8,31291,0
2011-07-13,57.4,58,57.35,58,14255,0
2011-07-14,57.35,57.9,57.35,57.75,4706,0
2011-07-15,57.4,57.55,57.35,57.5,6035,0
2011-07-18,57.25,57.45,56.95,57.2,12406,0
2011-07-19,56.6,57,56.15,56.75,10313,0
2011-07-20,56.15,56.9,56.15,56.9,8252,0
2011-07-21,56.8,56.8,56.3,56.5,25558,0
2011-07-22,56.2,56.9,56.1,56.85,6044,0
2011-07-25,56.85,57.35,56.5,57.35,8507,0
2011-07-26,57.3,57.3,56.65,57,3912,0
2011-07-27,56.8,56.8,56.2,56.8,4072,0
2011-07-28,56.05,56.15,55.55,56,5358,0
2011-07-29,55.55,56,55.55,55.6,5110,0
2011-08-01,55.6,56.4,55.5,55.8,6881,0
2011-08-02,55.5,55.7,55,55.05,4778,0
2011-08-03,54.95,54.95,52.25,53.4,12061,0
2011-08-04,52.55,53,51,51.7,18042,0
2011-08-05,49.9,50.95,48.55,50.5,34525,0
2011-08-08,47.9,49,47.25,48.11,44571,0
2011-08-09,46.1,48,42.5,44.82,32821,0
2011-08-10,45,47.9,44.85,46,27767,0
2011-08-11,46,47.1,44.56,46.9,14699,0
2011-08-12,47.5,49,47.03,48.5,6240,0
2011-08-16,49.3,49.49,48.92,49.48,3864,0
2011-08-17,49.1,49.51,48.11,49.5,4350,0
2011-08-18,49,49,47,47.21,11023,0
2011-08-19,45.7,47.2,45.1,47.18,3936,0
2011-08-22,45.5,48.45,45.5,47.88,2619,0
2011-08-23,48,49,47.25,48.6,3743,0
2011-08-24,48.6,48.6,47.4,48.5,1605,0
2011-08-25,47.55,48.68,47.51,47.83,3112,0
2011-08-26,47.5,48,47.01,47.99,1637,0
2011-08-29,47.99,48.49,47.92,48.49,3305,0
2011-08-30,48.5,48.98,47.7,47.84,3591,0
2011-08-31,47.62,48.8,47.56,48.2,4238,0
2011-09-01,48,48.85,47.6,48.49,4323,0
2011-09-02,48.38,48.38,46.5,47.95,2688,0
2011-09-05,46.35,46.8,45.55,45.56,1922,0
2011-09-06,45.12,46.95,45,46.93,3205,0
2011-09-07,46.8,47,45.6,47,6981,0
2011-09-08,46.02,46.47,45.91,46.42,12784,0
2011-09-09,46,46.33,45.01,45.75,71803,0
2011-09-12,45.46,45.46,42.5,44.5,5857,0
2011-09-13,43.71,44.44,43,43.8,4344,0
2011-09-14,43.16,43.7,42.56,43,4374,0
2011-09-15,42.95,44,42.5,43.79,5552,0
2011-09-16,43.82,44,43.5,43.52,2701,0
2011-09-19,43.5,43.5,40.6,42,9498,0
2011-09-20,41.98,42.89,41.28,42.89,3907,0
2011-09-21,42.15,42.5,42.15,42.25,5022,0
2011-09-22,41.99,41.99,40.5,41.2,6238,0
2011-09-23,40.56,40.56,39.07,39.84,6746,0
2011-09-26,39.1,39.84,38.21,39.5,6173,0
2011-09-27,39.61,40.29,39.5,40,3697,0
2011-09-28,40,40,39.12,39.79,1521,0
2011-09-29,39.5,40,39.02,39.89,2563,0
2011-09-30,39.5,39.89,39.5,39.89,2047,0
2011-10-03,39.41,39.45,38.8,39.45,2861,0
2011-10-04,39,39,38,38.47,33799,0
2011-10-05,38.15,38.5,38.05,38.3,2060,0
2011-10-06,38.3,39.1,38.3,38.99,3146,0
2011-10-07,39.5,40.29,39,40.29,4505,0
2011-10-10,40.29,45.99,40.29,45.5,14485,0
2011-10-11,45,46.99,43.61,46.5,9192,0
2011-10-12,45.99,48.44,45,47.1,8725,0
2011-10-13,45.9,46.8,45.9,46.21,2930,0
2011-10-14,46.05,46.21,45.75,46.1,1831,0
2011-10-17,46,46.11,45.15,46,3223,0
2011-10-18,43.51,46,43.5,45.01,2385,0
2011-10-19,44.15,45.01,44.15,44.75,175093,0
2011-10-20,44.5,44.5,43.72,43.75,1013,0
2011-10-21,43,44.74,43,43.8,1430,0
2011-10-24,44.2,44.75,43.55,44.6,1967,0
2011-10-25,44.5,44.5,43.85,44.05,1589,0
2011-10-26,43.8,44.05,43.25,43.5,2016,0
2011-10-27,43.56,44.7,43.56,44.7,3099,0
2011-10-28,44.89,44.89,44.02,44.7,1691,0
2011-10-31,44.1,44.8,43.65,44.75,1907,0
2011-11-02,42.5,44,42,44,6559,0
2011-11-03,42.8,43.8,42.8,43.7,17159,0
2011-11-04,44.01,44.2,43.11,43.12,2708,0
2011-11-07,43.01,43.15,42.8,42.8,1860,0
2011-11-08,42.8,43,42.56,42.9,1936,0
2011-11-09,42.7,42.7,41.8,42,2750,0
2011-11-10,41.1,42.2,41,42,3171,0
2011-11-14,42.1,42.9,41.61,41.7,2744,0
2011-11-15,41.7,41.7,41,41.5,3377,0
2011-11-16,41.02,41.9,41.02,41.7,2558,0
2011-11-17,41.11,41.69,41.11,41.65,1631,0
2011-11-18,41.3,42,41.3,42,1886,0
2011-11-21,42,42,40.8,41.22,2809,0
2011-11-22,40.9,41.2,40.5,40.7,3111,0
2011-11-23,40.5,40.5,40.04,40.2,2749,0
2011-11-24,40.01,40.78,40.01,40.41,3597,0
2011-11-25,40.22,43,40.2,42.5,6217,0
2011-11-28,41.59,44.13,41.59,44.1,6071,0
2011-11-29,44.08,44.2,43.21,44,4458,0
2011-11-30,44,45.76,43.3,45.76,34597,0
2011-12-01,44.5,46.74,44.5,46.05,18551,0
2011-12-02,45.1,48.5,45.1,47.5,10856,0
2011-12-05,47.3,47.49,46.71,47.1,5708,0
2011-12-06,46.6,47.05,46.48,46.5,10928,0
2011-12-07,46,46.5,46,46.5,4215,0
2011-12-08,46.05,46.6,46.05,46.15,4776,0
2011-12-09,45.45,46.6,45.45,46.1,8584,0
2011-12-12,46,46.2,45.65,46.2,11742,0
2011-12-13,45.8,46.99,45.35,46,6079,0
2011-12-14,45.42,46.09,45.42,45.94,6618,0
2011-12-15,46,46.07,45.62,46.05,9748,0
2011-12-16,45.85,46.03,45.85,46,3401,0
2011-12-19,45.6,46.2,45.6,46.01,8642,0
2011-12-20,45.95,47.99,45.95,47.4,23553,0
2011-12-21,47.5,47.5,46.65,47.12,4152,0
2011-12-22,47.09,47.09,46.8,46.8,6958,0
2011-12-23,46.8,47.23,46.8,46.8,7753,0
2011-12-27,46.8,47.1,46.65,46.65,14208,0
2011-12-28,46.65,47.1,46.63,46.98,4288,0
2011-12-29,46.63,47,46.63,46.9,3122,0
2011-12-30,47,47.1,46.75,46.8,5507,0
2012-01-02,46.7,47,46.56,46.9,5131,0
2012-01-03,46.7,47,46.32,47,1797,0
2012-01-04,46.42,46.9,46.42,46.9,2814,0
2012-01-05,46.66,47,46.66,46.9,3628,0
2012-01-09,46.63,47,46.63,47,3540,0
2012-01-10,46.99,47.19,46.71,47.15,73522,0
2012-01-11,46.74,47.02,46.74,46.92,21963,0
2012-01-12,46.92,47.15,46.9,47.15,3465,0
2012-01-13,47,47.15,46.9,46.9,1532,0
2012-01-16,46.35,46.9,46.35,46.44,1803,0
2012-01-17,46.44,46.79,46.4,46.6,2743,0
2012-01-18,46.5,46.9,46.5,46.6,5124,0
2012-01-19,46.6,47,46.6,46.72,3858,0
2012-01-20,46.6,46.7,46.6,46.7,2969,0
2012-01-23,46.6,46.75,46.6,46.6,1445,0
2012-01-24,46.38,46.45,46.01,46.02,915,0
2012-01-25,46.02,46.02,45.62,45.8,1155,0
2012-01-26,45.57,46.6,45.57,46.37,2871,0
2012-01-27,46.14,47.15,46,46.73,2506,0
2012-01-30,46.11,46.5,46.11,46.41,1315,0
2012-01-31,46.34,47.15,46.34,46.7,3058,0
2012-02-01,46.65,47.2,46.65,47.2,4108,0
2012-02-02,47.02,47.44,47.02,47.3,2103,0
2012-02-03,47.15,47.29,47.07,47.15,2504,0
2012-02-06,47,49.5,47,49.5,8314,0
2012-02-07,50,50,49.13,50,8661,0
2012-02-08,50.1,50.2,49.56,50.2,3257,0
2012-02-09,50.4,50.5,50,50.5,6437,0
2012-02-10,49.6,50,48,49.4,4180,0
2012-02-13,49,49.88,48.6,48.6,2757,0
2012-02-14,48.5,48.51,48,48,2202,0
2012-02-15,48.1,48.2,47.76,47.77,1573,0
2012-02-16,47.8,47.8,47.5,47.56,1157,0
2012-02-17,47.61,49,47.56,48.1,3928,0
2012-02-20,47.9,48.64,47.81,48.49,3969,0
2012-02-21,48.5,49,48.5,48.85,2770,0
2012-02-22,48.9,50.05,48.9,49.5,6499,0
2012-02-23,49.5,49.9,49.45,49.45,1729,0
2012-02-24,49.02,49.2,48.92,49,3451,0
2012-02-27,49.15,49.15,48.2,48.26,3065,0
2012-02-28,48.49,48.49,47.95,48.49,2808,0
2012-02-29,48.01,50.2,48,50,8076,0
2012-03-01,49.2,49.2,48.3,48.52,990,0
2012-03-02,48.36,49.68,48.12,49.65,1340,0
2012-03-05,49,49,48.25,48.45,1906,0
2012-03-06,48.45,48.5,45,46.25,5396,0
2012-03-07,47,47.8,47,47.73,2023,0
2012-03-08,47.73,48.62,47.7,48,1243,0
2012-03-09,47.95,48.1,47.62,47.63,1222,0
2012-03-12,47.7,48,46.4,47,1465,0
2012-03-13,47,47.15,47,47,1147,0
2012-03-14,47.1,47.45,47.1,47.2,1065,0
2012-03-15,47.3,47.3,46.8,47.2,872,0
2012-03-16,47.01,47.01,46.61,47,1355,0
2012-03-19,47,47,46.52,46.99,788,0
2012-03-20,46.5,46.53,46.21,46.4,1138,0
2012-03-21,46.12,47,46.02,46.03,1723,0
2012-03-22,46,46,45.1,45.25,1509,0
2012-03-23,45.26,45.6,45.12,45.6,1662,0
2012-03-26,45.3,45.52,44.8,45.52,1252,0
2012-03-27,45.2,48,45.05,47.45,2214,0
2012-03-28,45.66,47,45.66,45.72,2165,0
2012-03-29,45.62,45.7,45.11,45.3,718,0
2012-03-30,45.3,45.5,45,45.3,1428,0
2012-04-02,45.5,45.5,44.8,45,2194,0
2012-04-03,44.81,45.49,44.81,45.47,66690,0
2012-04-04,45.46,47,45.46,46.02,58432,0
2012-04-05,46.01,49.2,45.12,47.9,24174,0
2012-04-10,47.8,47.87,46.2,46.26,1054,0
2012-04-11,46.98,46.98,46.07,46.96,1177,0
2012-04-12,71.35,71.4,71.2,71.35,602755,0
2012-04-13,71.3,71.35,71.25,71.25,218912,0
2012-04-16,71.1,71.15,71.1,71.1,62439,0
2012-04-17,71.1,71.15,71.1,71.1,41363,0
2012-04-18,71.15,71.2,71.15,71.2,34001,0
2012-04-19,71.15,71.2,71.15,71.15,28802,0
2012-04-20,71.15,71.2,71.15,71.15,21582,0
2012-04-23,71.15,71.2,71.15,71.15,24222,0
2012-04-24,71.15,71.15,71.15,71.15,25527,0
2012-04-25,71.15,71.2,71.15,71.15,22802,0
2012-04-26,71.2,71.2,71.15,71.2,19416,0
2012-04-27,71.15,71.2,71.15,71.2,16271,0
2012-04-30,71.2,71.3,71.2,71.25,13783,0
2012-05-02,71.25,71.7,71.25,71.7,12775,0
2012-05-04,71.8,71.8,71.65,71.75,13424,0
2012-05-07,71.65,71.75,71.55,71.65,23232,0
2012-05-08,71.65,71.8,71.65,71.75,80299,0
2012-05-09,71.75,71.8,71.75,71.8,23407,0
2012-05-10,71.8,71.85,71.55,71.65,194049,0
2012-05-11,71.65,71.75,71.65,71.75,9545,0
2012-05-14,71.7,71.75,71.7,71.7,14420,0
2012-05-15,71.7,71.85,71.7,71.85,26632,0
2012-05-16,71.7,71.9,71.7,71.85,170199,0
2012-05-17,71.7,71.9,71.7,71.85,78747,0
2012-05-18,71.85,71.85,71.75,71.75,17819,0
2012-05-21,71.75,71.8,71.75,71.75,12616,0
2012-05-22,71.8,71.9,71.75,71.8,42028,0
2012-05-23,71.8,71.8,68.5,70.1,211560,0
2012-05-24,70,70.35,70,70.35,7886,0
2012-05-25,70.45,70.65,70.45,70.45,14526,0
2012-05-28,70.45,70.5,70.4,70.5,8937,0
2012-05-29,70.5,71.2,70.5,71,22613,0
2012-05-30,70.85,71,70.85,71,10775,0
2012-05-31,71,71.15,71,71,71468,0
2012-06-01,71,71,71,71,3441,0
2012-06-04,71,71.1,71,71,3572,0
2012-06-05,71,71.1,71,71.1,5707,0
2012-06-06,71,71.05,71,71,3297,0
2012-06-08,71,71.25,71,71.25,5171,0
2012-06-11,71,71.25,71,71.25,6520,0
2012-06-12,71.05,71.25,71.05,71.25,3102,0
2012-06-13,71.15,71.2,71.1,71.2,2789,0
2012-06-14,71.1,71.2,71.1,71.2,2990,0
2012-06-15,71.2,71.2,71.15,71.2,3686,0
2012-06-18,71.1,71.7,71,71.7,32993,0
2012-06-19,71.2,72,71.2,71.6,48046,0
2012-06-20,71.2,71.75,71.2,71.6,2764,0
2012-06-21,71.3,71.8,71.3,71.4,6727,0
2012-06-22,71.3,71.4,71.25,71.4,1966,0
2012-06-25,71.35,71.4,71.35,71.35,2462,0
2012-06-26,71.3,71.5,71.3,71.5,4072,0
2012-06-27,71.4,71.7,71.3,71.7,2997,0
2012-06-28,71.35,71.55,71.35,71.55,1937,0
2012-06-29,71.35,71.95,71.35,71.45,15868,0
2012-07-02,71.35,71.5,71.35,71.45,1992,0
2012-07-03,71.4,71.55,71.4,71.55,1713,0
2012-07-04,71.4,71.55,71.4,71.55,1987,0
2012-07-05,71.55,71.6,71.5,71.55,2110,0
2012-07-06,71.5,71.55,71.4,71.5,2682,0
2012-07-09,71.5,71.6,71.5,71.6,2585,0
2012-07-10,71.55,71.6,71.55,71.55,3749,0
2012-07-11,71.55,71.6,71.55,71.55,2458,0
2012-07-12,71.55,71.55,71.55,71.55,3720,0
2012-07-13,71.55,71.8,71.55,71.8,8199,0
2012-07-16,71.5,71.6,71.5,71.55,2983,0
2012-07-17,71.55,71.6,71,71.05,15165,0
2012-07-18,71.05,71.3,71.05,71.25,1685,0
2012-07-19,71.25,71.25,71.25,71.25,5711,0
2012-07-20,71.25,71.35,71.25,71.35,5917,0
2012-07-23,71.05,71.2,71.05,71.15,2805,0
2012-07-24,71.15,71.15,66,68.85,9868,0
2012-07-25,68.8,69.9,67.3,69.4,6317,0
2012-07-26,67,69,66.4,66.65,3587,0
2012-07-27,66.05,70,66.05,69.05,6134,0
2012-07-30,69,69.1,67.1,68.25,7378,0
2012-07-31,68.2,70.5,68.2,70.35,5405,0
2012-08-01,70.1,72,70.1,70.3,5224,0
2012-08-02,70.35,71,70.15,71,2535,0
2012-08-03,71,71.3,71,71,5909,0
2012-08-06,71,71.15,71,71.1,2133,0
2012-08-07,71,71,71,71,3427,0
2012-08-08,71,71.2,70.2,71,4047,0
2012-08-09,71,71,70.5,70.8,2908,0
2012-08-10,70.8,71,70.8,70.9,1956,0
2012-08-13,70.8,71,70.8,71,1958,0
2012-08-14,71,71.2,71,71.2,2332,0
2012-08-16,71.15,71.3,71.05,71.3,2164,0
2012-08-17,71.2,71.35,71.2,71.3,2436,0
2012-08-20,71.3,71.3,71.25,71.3,1203,0
2012-08-21,71.3,71.35,71.3,71.35,2173,0
2012-08-22,71.35,71.4,71.35,71.4,2981,0
2012-08-23,71.35,71.4,71.35,71.4,2107,0
2012-08-24,71.4,71.5,71.4,71.45,1813,0
2012-08-27,71.45,71.55,71.35,71.55,3722,0
2012-08-28,71.55,71.55,71.35,71.55,1701,0
2012-08-29,71.65,71.65,71.35,71.55,1478,0
2012-08-30,71.5,71.5,71.25,71.4,2437,0
2012-08-31,71.4,71.55,71.4,71.5,1639,0
2012-09-03,71.55,71.55,71.55,71.55,1577,0
2012-09-04,71.55,71.55,71.55,71.55,1657,0
2012-09-05,71.55,71.6,71.55,71.6,1732,0
2012-09-06,71.55,71.6,71.55,71.6,2131,0
2012-09-07,71.6,71.65,71.6,71.65,1686,0
2012-09-10,71.65,71.7,71.65,71.65,1311,0
2012-09-11,71.65,71.7,71.65,71.65,1478,0
2012-09-12,71.65,71.7,71.6,71.7,1236,0
2012-09-13,71.7,71.75,71.7,71.75,1666,0
2012-09-14,71.75,71.8,71.75,71.8,1293,0
2012-09-17,71.75,72,71.7,71.7,3097,0
2012-09-18,71.75,71.8,70.1,71.6,1142,0
2012-09-19,71.7,71.75,71.7,71.75,1520,0
2012-09-20,71.75,71.75,71.5,71.75,1029,0
2012-09-21,71.75,71.9,71.75,71.9,1260,0
2012-09-24,71.75,71.75,71.6,71.75,1245,0
2012-09-25,71.75,71.85,71.75,71.8,1454,0
2012-09-26,71.75,71.85,71.75,71.8,1065,0
2012-09-27,71.8,71.8,71.15,71.8,2201,0
2012-09-28,71.8,71.85,71.8,71.85,1077,0
2012-10-01,71.75,71.85,71.75,71.85,1238,0
2012-10-02,71.75,71.9,71.75,71.9,1040,0
2012-10-03,71.85,71.9,71.85,71.85,783,0
2012-10-04,71.85,71.9,71.85,71.9,2119,0
2012-10-05,71.9,71.9,71.2,71.6,550,0
2012-10-08,71.2,71.6,71.2,71.6,770,0
2012-10-09,71.6,71.85,71.6,71.7,1281,0
2012-10-10,71.7,71.8,71.5,71.5,884,0
2012-10-11,71.5,71.9,71.5,71.7,1037,0
2012-10-12,71.75,71.95,71.75,71.9,919,0
2012-10-15,71.75,71.9,71.75,71.9,1347,0
2012-10-16,71.9,71.95,71.9,71.95,2558,0
2012-10-17,71.95,71.95,71.9,71.9,972,0
2012-10-18,71.9,71.9,71.85,71.85,688,0
2012-10-19,71.4,71.95,70.75,71.7,1703,0
2012-10-22,71.7,71.7,71.5,71.7,1396,0
2012-10-23,72,72,71.7,71.7,565,0
2012-10-24,71.7,72,71.7,71.9,1745,0
2012-10-25,72,72.1,71.9,72,1219,0
2012-10-26,72,72,72,72,911,0
2012-10-29,72,72,71.05,72,1272,0
2012-10-30,72,72,71.8,72,990,0
2012-10-31,71.8,72,71.8,72,822,0
2012-11-02,72,72,71.9,72,298,0
2012-11-05,71.9,72,71.1,71.6,883,0
2012-11-06,71.7,72.5,71.6,71.85,1446,0
2012-11-07,71.8,72.05,71.5,72,1030,0
2012-11-08,72,72.1,72,72.1,3021,0
2012-11-09,71.6,72,71.6,72,554,0
2012-11-12,71.8,71.8,71.6,71.6,577,0
2012-11-13,71.6,71.6,71.3,71.4,431,0
2012-11-14,71.4,71.4,70.4,70.4,510,0
2012-11-15,70.15,70.4,67.2,70,243,0
2012-11-16,69.5,69.5,67.2,67.2,374,0
2012-11-19,67.25,67.5,65,65.3,724,0
2012-11-20,65,66.9,63.05,65.5,824,0
2012-11-21,65.5,65.5,64.3,64.9,467,0
2012-11-22,64.35,64.35,60.3,63.1,835,0
2012-11-23,62.15,62.5,60.6,61.3,817,0
2012-11-26,60.2,61.05,59,60.9,1158,0
2012-11-27,59.05,60.85,59,60.65,914,0
2012-11-28,59.1,60.65,59.1,60.65,502,0
2012-11-29,60,64,60,61.2,1459,0
2012-11-30,60.65,63,60.55,63,879,0
2012-12-03,61.6,63,61.6,62.85,559,0
2012-12-04,61.05,62.85,61.05,62,1130,0
2012-12-05,61.25,62,61.25,61.9,910,0
2012-12-06,61.8,61.8,60.1,60.45,1094,0
2012-12-07,60.45,61,60,60,538,0
2012-12-10,59.25,60.95,58.4,59.95,821,0
2012-12-11,59,59,58,58,2268,0
2012-12-12,57.65,57.9,55.4,57,2098,0
2012-12-13,57,58.4,57,58,1321,0
2012-12-14,57.7,58,57.5,58,479,0
2012-12-17,57.3,57.9,57.25,57.25,671,0
2012-12-18,57.2,58,55.8,56.25,1092,0
2012-12-19,56.2,56.2,55.05,55.6,821,0
2012-12-20,55.6,55.6,55,55.1,870,0
2012-12-21,54.5,55,54.1,54.2,367,0
2012-12-27,53,55,52.1,53.6,1134,0
2012-12-28,53.6,54.85,53.2,54.85,665,0
2013-01-02,54.7,57,54.2,56,841,0
2013-01-03,55.6,56.85,55.6,55.6,217,0
2013-01-04,55.6,55.6,55.1,55.1,105,0
2013-01-07,55.1,55.95,55,55.95,211,0
2013-01-08,55.05,56.75,55.05,55.95,348,0
2013-01-09,55,55.5,55,55.5,315,0
2013-01-10,55,55.4,54,55.4,754,0
2013-01-11,55.35,56.45,55.35,55.45,671,0
2013-01-14,54.5,59.9,54.5,59.55,2173,0
2013-01-15,59.55,59.55,57.2,57.45,123,0
2013-01-16,57.05,57.5,57.05,57.35,177,0
2013-01-17,57.3,59,57.3,57.4,431,0
2013-01-18,58,59,58,58.1,590,0
2013-01-21,58,58,57.15,58,255,0
2013-01-22,57.65,58.9,57.5,58.45,416,0
2013-01-23,58.45,58.45,57.35,57.4,339,0
2013-01-24,57.35,58,57,58,910,0
2013-01-25,58,58,55.55,57.1,383,0
2013-01-28,56.15,56.5,55.85,56.1,278,0
2013-01-29,55.85,57.35,55.85,56.2,365,0
2013-01-30,56.1,57,56.1,57,35,0
2013-01-31,56.95,56.95,55.3,56.9,153,0
2013-02-01,55.3,56.9,55.3,55.45,160,0
2013-02-04,55.45,56.95,55,55.4,757,0
2013-02-05,55.4,55.95,55,55.95,234,0
2013-02-06,55.15,55.9,55.15,55.9,185,0
2013-02-07,55.2,55.9,55.1,55.2,265,0
2013-02-08,55,55.9,55,55.3,507,0
2013-02-11,55.25,55.65,55.25,55.5,312,0
2013-02-12,55.45,55.85,55.1,55.1,308,0
2013-02-13,55,55,55,55,610,0
2013-02-14,55,55.5,54.5,55,301,0
2013-02-15,55,55,54.5,54.5,198,0
2013-02-18,54.5,55,54.5,55,67,0
2013-02-19,54.85,55.6,54.5,54.5,337,0
2013-02-20,54.5,56,53.5,55.5,1186,0
2013-02-21,54,54.95,54,54.95,301,0
2013-02-22,54,54.95,53.9,53.9,184,0
2013-02-25,53.25,54,53.1,54,180,0
2013-02-26,54,54.85,53.8,54.85,254,0
2013-02-27,53.8,55.4,53.5,55.35,277,0
2013-02-28,54.5,55.6,54.2,55.35,104,0
2013-03-01,54.4,55,54.4,54.4,151,0
2013-03-04,54.4,54.9,54,54.8,507,0
2013-03-05,54,54.1,54,54.1,100,0
2013-03-06,54.1,54.1,54.1,54.1,169,0
2013-03-07,54.7,55,54.4,54.95,461,0
2013-03-08,54.55,54.95,54.35,54.95,160,0
2013-03-11,54.4,54.4,54.15,54.15,246,0
2013-03-12,54.2,54.95,54,54.9,220,0
2013-03-13,54.3,54.9,54.3,54.9,105,0
2013-03-14,54.9,55,54.1,54.1,211,0
2013-03-15,54.1,55,54.1,54.2,168,0
2013-03-18,54.2,54.25,54.2,54.25,269,0
2013-03-19,54,54.15,54,54,300,0
2013-03-20,53.2,53.5,53.2,53.5,228,0
2013-03-21,53.5,53.5,53,53,404,0
2013-03-22,51.55,52.8,51.4,51.45,1205,0
2013-03-25,51.5,51.95,49.1,49.1,1040,0
2013-03-26,49.15,50,48.5,50,460,0
2013-03-27,49,49.2,49,49.15,129,0
2013-03-28,48.6,49.15,48.6,49.15,63,0
2013-04-02,49,49,48.5,48.5,117,0
2013-04-03,49.15,49.15,48.5,48.5,242,0
2013-04-04,48.15,48.15,48.05,48.15,470,0
2013-04-05,48,48,47.5,48,1367,0
2013-04-08,47.3,49.8,47.05,49.75,945,0
2013-04-09,47.5,49.4,47.5,49.4,96,0
2013-04-10,49.8,49.8,48.01,49.4,75,0
2013-04-11,48.6,49.5,48,49.45,461,0
2013-04-12,49.45,49.5,48.3,49,178,0
2013-04-15,48.01,48.88,48.01,48.88,39,0
2013-04-17,47.65,49,47.65,48.5,188,0
2013-04-18,47.65,48.8,46.95,46.95,360,0
2013-04-19,47,47.9,46.75,47.85,653,0
2013-04-22,47.05,47.5,46.01,46.5,666,0
2013-04-23,46.01,48,46.01,46.86,727,0
2013-04-24,46.53,47.95,46.51,47.9,710,0
2013-04-25,47.5,47.5,46.21,46.6,229,0
2013-04-26,46.22,46.6,46.22,46.6,172,0
2013-04-29,46.6,47.75,46,47,1416,0
2013-04-30,46.1,47.65,46.1,47.65,248,0
2013-05-02,46.15,47.85,46.15,47.85,74,0
2013-05-06,46.51,47.7,46.5,47.7,180,0
2013-05-07,47,47.7,46.16,47.4,467,0
2013-05-08,47.35,47.69,46.51,47.69,735,0
2013-05-09,47.5,48.8,47.5,48.5,858,0
2013-05-10,48.5,50,48.5,49.55,1104,0
2013-05-13,49.55,49.84,48.85,49.84,351,0
2013-05-14,49,50,49,50,848,0
