Date,Open,High,Low,Close,Volume,OpenInt
1998-02-17,2.0448,2.1945,2.0448,2.1945,1704,0
1998-02-18,2.3439,2.3439,2.1945,2.1945,1895,0
1998-02-19,2.394,2.5935,2.394,2.5935,7018,0
1998-02-20,2.793,2.9925,2.6931,2.9925,10727,0
1998-02-23,3.192,3.591,3.192,3.591,26066,0
1998-02-24,3.6906,3.6906,3.4911,3.4911,5514,0
1998-02-25,3.591,3.591,3.2916,3.2916,3780,0
1998-02-26,3.2616,3.3015,3.2616,3.2916,9995,0
1998-02-27,2.9925,3.2916,2.9925,3.2916,2005,0
1998-03-02,2.9925,3.3915,2.9925,3.3915,3208,0
1998-03-06,2.793,2.793,2.793,2.793,1003,0
1998-03-09,2.793,2.793,2.5434,2.6433,8121,0
1998-03-10,2.793,2.793,2.793,2.793,3008,0
1998-03-11,2.4936,2.4936,2.4936,2.4936,1003,0
1998-03-12,2.2941,2.5434,2.2941,2.394,2737,0
1998-03-16,2.4936,2.4936,2.394,2.4936,2206,0
1998-03-17,2.5035,2.5035,2.5035,2.5035,802,0
1998-03-18,2.4537,2.4537,2.1444,2.1546,8742,0
1998-03-20,2.3439,2.3439,2.334,2.3439,4181,0
1998-03-23,2.3439,2.3439,2.2941,2.2941,4371,0
1998-03-24,2.2941,2.3439,2.2941,2.3241,7319,0
1998-03-25,2.2941,2.2941,2.2941,2.2941,1003,0
1998-03-26,2.2941,2.2941,2.2542,2.2542,1464,0
1998-03-27,2.2941,2.2941,2.2941,2.2941,3008,0
1998-03-30,2.2941,2.2941,2.2941,2.2941,501,0
1998-04-01,2.1645,2.2743,2.1645,2.2743,2406,0
1998-04-02,2.1444,2.1444,2.1444,2.1444,301,0
1998-04-06,2.1945,2.1945,2.1546,2.1546,1574,0
1998-04-07,2.1444,2.1945,2.1444,2.1945,2687,0
1998-04-08,2.1945,2.1945,2.1945,2.1945,1003,0
1998-04-09,2.1744,2.1744,2.1744,2.1744,1003,0
1998-04-14,2.1645,2.1744,2.1645,2.1744,1684,0
1998-04-15,2.1645,2.1945,2.1645,2.1945,4411,0
1998-04-16,2.1444,2.1945,2.1444,2.1945,1754,0
1998-04-17,2.1945,2.1945,2.1843,2.1843,2005,0
1998-04-20,2.1945,2.1945,2.1945,2.1945,501,0
1998-04-21,2.1945,2.1945,2.1945,2.1945,1404,0
1998-04-23,2.1945,2.1945,2.1945,2.1945,1003,0
1998-04-27,2.0946,2.1147,2.0946,2.0946,2506,0
1998-04-28,2.0448,2.0448,2.0448,2.0448,612,0
1998-04-30,2.0946,2.0946,2.0946,2.0946,150,0
1998-05-04,2.0049,2.0049,2.0049,2.0049,1003,0
1998-05-08,1.995,1.995,1.995,1.995,501,0
1998-05-11,1.995,1.995,1.9452,1.9452,3008,0
1998-05-12,1.9452,1.9452,1.9152,1.9152,2005,0
1998-05-13,1.995,1.995,1.995,1.995,1003,0
1998-05-14,1.995,1.995,1.995,1.995,702,0
1998-05-19,1.9152,1.9152,1.9152,1.9152,1504,0
1998-05-20,1.9152,1.9152,1.8951,1.8951,1704,0
1998-05-22,1.9053,1.9053,1.9053,1.9053,1003,0
1998-05-25,1.8951,1.8951,1.8852,1.8852,1805,0
1998-05-26,1.8852,1.8852,1.7955,1.7955,3770,0
1998-05-27,1.7955,1.7955,1.7955,1.7955,100,0
1998-06-01,1.7955,1.7955,1.6956,1.6956,3629,0
1998-06-05,1.596,1.596,1.596,1.596,1644,0
1998-06-10,1.6956,1.6956,1.596,1.596,4311,0
1998-06-15,1.6956,1.6956,1.6956,1.6956,1003,0
1998-06-16,1.8453,1.8453,1.5759,1.5759,4912,0
1998-06-24,1.596,1.596,1.5861,1.5861,2005,0
1998-06-25,1.5162,1.5162,1.5162,1.5162,1003,0
1998-06-29,1.4961,1.4961,1.4763,1.4763,3479,0
1998-06-30,1.4763,1.4961,1.3965,1.4961,3509,0
1998-07-01,1.3965,1.3965,1.3965,1.3965,1053,0
1998-07-20,1.4463,1.4463,1.4463,1.4463,1003,0
1998-07-21,1.3965,1.3965,1.3965,1.3965,1003,0
1998-07-22,1.3965,1.3965,1.3965,1.3965,1203,0
1998-08-07,1.3965,1.3965,1.3965,1.3965,1003,0
1998-08-10,1.3965,1.3965,1.3965,1.3965,1003,0
1998-08-11,1.3965,1.3965,1.3965,1.3965,501,0
1998-08-13,1.3467,1.3467,1.2966,1.2966,2005,0
1998-08-14,1.197,1.197,1.1769,1.1769,2005,0
1998-08-27,0.9975,0.9975,0.9975,0.9975,2005,0
1998-08-28,0.798,0.798,0.6981,0.6981,3008,0
