Date,Open,High,Low,Close,Volume,OpenInt
2010-12-06,30.919,32.72,30.117,32.105,117717,0
2010-12-07,32.096,32.72,31.65,32.541,20695,0
2010-12-08,32.978,32.978,32.149,32.773,51299,0
2010-12-09,32.943,34.316,32.943,34.316,28591,0
2010-12-10,34.316,34.761,34.316,34.717,18595,0
2010-12-13,34.725,34.77,33.879,34.44,9766,0
2010-12-14,34.44,34.682,34.44,34.459,3371,0
2010-12-15,34.503,34.503,33.879,33.968,45561,0
2010-12-16,34.218,34.459,34.218,34.378,29252,0
2010-12-17,34.325,35.216,34.325,35.127,21091,0
2010-12-20,35.127,36.562,35.127,36.553,20328,0
2010-12-21,36.125,39.621,36.125,38.782,8065,0
2010-12-22,39.317,41.546,39.317,40.61,15494,0
2010-12-23,41.644,42.794,41.644,41.893,15501,0
2010-12-27,43.507,44.578,43.24,43.685,18660,0
2010-12-28,44.578,44.578,40.12,43.222,5096,0
2010-12-29,41.992,41.992,38.693,41.02,23924,0
2010-12-30,40.923,40.923,40.12,40.797,10546,0
2010-12-31,39.852,40.655,39.362,39.977,8384,0
2011-01-03,40.03,40.12,39.228,39.665,3094,0
2011-01-04,39.407,41.698,39.407,41.698,10887,0
2011-01-05,40.878,40.878,39.683,40.253,3247,0
2011-01-07,40.12,40.655,38.515,39.941,8302,0
2011-01-10,40.289,40.289,38.791,39.228,8983,0
2011-01-11,39.228,42.349,39.228,40.566,5433,0
2011-01-12,41.457,41.858,38.827,38.96,24081,0
2011-01-13,39.63,40.12,38.782,39.05,15082,0
2011-01-14,39.228,39.844,39.05,39.63,16599,0
2011-01-17,39.273,39.362,37.712,39.121,6386,0
2011-01-18,39.495,40.699,39.121,40.165,12123,0
2011-01-19,40.165,40.566,39.718,40.521,1683,0
2011-01-20,40.129,40.521,38.515,38.559,4886,0
2011-01-21,39.219,40.03,37.712,39.317,3955,0
2011-01-24,38.033,38.426,37.178,37.534,17360,0
2011-01-25,37.267,37.624,36.643,37.329,3081,0
2011-01-26,37.427,37.427,35.662,36.999,3872,0
2011-01-27,37.347,38.069,37.347,37.891,33952,0
2011-01-28,37.525,37.525,37.044,37.445,1384,0
2011-01-31,36.553,36.553,36.108,36.251,703,0
2011-02-01,35.707,35.707,34.235,35.697,21278,0
2011-02-02,35.046,37.178,34.111,37.178,9236,0
2011-02-03,37.178,37.178,37.16,37.16,224,0
2011-02-04,36.125,36.331,35.751,35.974,10768,0
2011-02-07,36.018,36.553,36.018,36.553,1462,0
2011-02-08,36.643,36.99,36.063,36.553,53679,0
2011-02-09,36.714,36.999,36.286,36.553,27875,0
2011-02-10,36.553,36.553,36.108,36.108,2365,0
2011-02-11,35.983,36.108,35.983,36.108,234,0
