Date,Open,High,Low,Close,Volume,OpenInt
1998-11-18,7.9015,8.0894,7.7192,7.7192,11251873,0
1998-11-19,7.6722,7.6722,7.2966,7.5314,7454952,0
1998-11-20,7.6722,7.8547,7.6722,7.8547,5655510,0
1998-11-23,7.9486,8.1364,7.9486,7.9956,5496934,0
1998-11-24,7.9956,7.9956,7.6722,7.7192,3432619,0
1998-11-25,7.7192,7.8077,7.6252,7.7608,1835326,0
1998-11-26,7.7608,7.7608,7.6252,7.6722,1053320,0
1998-11-27,7.6252,7.6252,7.5314,7.5314,1521727,0
1998-11-30,7.4374,7.5314,7.4374,7.4374,2138107,0
1998-12-01,7.2966,7.2966,7.2027,7.2497,2234890,0
1998-12-02,7.2497,7.3905,7.2497,7.3436,1292842,0
1998-12-03,7.2966,7.6252,7.2966,7.5314,1177090,0
1998-12-04,7.4843,7.8077,7.4843,7.8077,1753607,0
1998-12-07,7.8547,7.8547,7.6252,7.7192,1154430,0
1998-12-08,7.7192,7.8077,7.7192,7.7608,1622438,0
1998-12-09,7.7608,7.7608,7.7192,7.7608,1467531,0
1998-12-10,7.8547,7.8547,7.7608,7.7608,2153918,0
1998-12-11,7.7192,7.8077,7.6252,7.7608,1708397,0
1998-12-14,7.7192,7.8547,7.7192,7.8077,1105942,0
1998-12-15,7.8077,7.8547,7.7608,7.7608,756208,0
1998-12-16,7.8547,7.9956,7.8547,7.9486,2002537,0
1998-12-17,7.8547,7.9015,7.8077,7.8077,561393,0
1998-12-18,7.8547,7.9015,7.8547,7.9015,1222029,0
1998-12-21,7.8547,7.9956,7.8547,7.9486,859851,0
1998-12-22,7.9956,8.0894,7.9956,8.0423,2200046,0
1998-12-23,8.1364,8.3239,8.1364,8.2768,1589509,0
1998-12-28,8.2768,8.3712,8.1832,8.2768,711189,0
1998-12-29,8.2305,8.2305,8.0894,8.1364,1616694,0
1998-12-30,8.1364,8.2305,8.1364,8.1364,663620,0
1998-12-31,8.1364,8.1832,8.1364,8.1832,333297,0
1999-01-04,8.2768,8.6996,8.2768,8.6996,1602131,0
1999-01-05,8.6528,8.7474,8.6528,8.6996,1781997,0
1999-01-06,8.8401,9.4452,8.8401,9.4452,2045298,0
1999-01-07,9.681,9.681,9.2114,9.4452,2581162,0
1999-01-08,9.915,10.614,9.775,10.526,2896932,0
1999-01-11,10.291,10.291,9.821,10.056,2246508,0
1999-01-12,10.102,10.385,10.056,10.15,2970469,0
1999-01-13,9.821,9.821,8.9338,9.1636,2394920,0
1999-01-14,9.0284,9.492,9.0284,9.1216,3462672,0
1999-01-15,8.8401,9.3049,8.7933,9.2572,3527498,0
1999-01-18,9.681,10.66,9.681,10.526,2238327,0
1999-01-19,10.526,10.943,10.291,10.755,3438079,0
1999-01-20,11.036,11.505,11.036,11.27,3232910,0
1999-01-21,12.111,12.252,11.6,11.788,6076014,0
1999-01-22,11.224,11.459,10.99,10.99,2833022,0
1999-01-25,10.755,11.553,10.755,11.413,1806006,0
1999-01-26,11.834,12.392,11.788,11.971,2551610,0
1999-01-27,12.157,12.157,11.834,12.017,2277703,0
1999-01-28,11.834,12.345,11.834,12.297,1975968,0
1999-01-29,12.533,12.815,12.533,12.768,2808237,0
1999-02-01,12.862,12.862,12.533,12.674,2196683,0
1999-02-02,12.44,12.627,12.297,12.345,1138802,0
1999-02-03,12.345,12.485,12.205,12.392,944414,0
1999-02-04,12.627,12.627,12.392,12.392,1038610,0
1999-02-05,12.157,12.205,11.971,12.064,772380,0
1999-02-08,12.017,12.44,11.881,12.297,454781,0
1999-02-09,12.157,12.157,11.834,11.834,455706,0
1999-02-10,11.553,11.74,11.459,11.6,1008831,0
1999-02-11,11.693,11.788,11.647,11.693,741791,0
1999-02-12,12.157,12.157,11.647,11.693,634064,0
1999-02-15,11.6,11.74,11.6,11.647,480022,0
1999-02-16,11.647,12.017,11.647,12.017,1383190,0
1999-02-17,11.788,11.834,11.6,11.647,604573,0
1999-02-18,11.6,11.6,11.413,11.413,493036,0
1999-02-19,11.224,11.224,10.526,10.614,2218217,0
1999-02-22,10.707,10.707,10.291,10.478,1130668,0
1999-02-23,10.755,10.755,10.15,10.15,1245833,0
1999-02-24,10.243,10.243,9.868,10.056,1481350,0
1999-02-25,9.915,10.15,9.587,9.727,1392037,0
1999-02-26,9.727,9.868,9.633,9.775,1715683,0
1999-03-01,10.291,10.291,9.821,9.915,852911,0
1999-03-02,10.15,10.385,10.102,10.338,792679,0
1999-03-03,10.243,10.338,10.15,10.15,334054,0
1999-03-04,10.15,10.15,9.962,10.056,303359,0
1999-03-05,10.291,10.614,10.291,10.567,781514,0
1999-03-08,10.614,10.99,10.614,10.849,918486,0
1999-03-09,11.178,11.505,10.99,11.036,1176642,0
1999-03-10,11.083,11.083,10.849,10.849,385443,0
1999-03-11,10.943,11.036,10.755,10.802,553075,0
1999-03-12,11.083,11.083,10.849,10.943,542168,0
1999-03-15,10.943,11.036,10.526,10.567,723620,0
1999-03-16,10.755,10.755,10.478,10.526,612431,0
1999-03-17,10.526,10.849,10.526,10.755,723161,0
1999-03-18,10.755,10.755,10.567,10.614,390301,0
