Date,Open,High,Low,Close,Volume,OpenInt
1997-06-12,1.1,1.1,1.1,1.1,484797,0
1997-06-13,1.13,1.13,1.13,1.13,1483553,0
1997-06-16,1.11,1.11,1.11,1.11,943071,0
1997-06-17,1,1,1,1,792170,0
1997-06-18,0.98,0.98,0.98,0.98,879616,0
1997-06-19,0.94,0.94,0.94,0.94,1209493,0
1997-06-20,0.96,0.96,0.96,0.96,1022479,0
1997-06-23,0.94,0.94,0.94,0.94,617975,0
1997-06-24,0.92,0.92,0.92,0.92,1410679,0
1997-06-25,0.92,0.92,0.92,0.92,504320,0
1997-06-26,0.89,0.89,0.89,0.89,1003908,0
1997-06-27,0.9,0.9,0.9,0.9,134777,0
1997-06-30,0.92,0.92,0.92,0.92,205566,0
1997-07-01,0.9,0.9,0.9,0.9,357248,0
1997-07-02,0.87,0.87,0.87,0.87,175919,0
1997-07-03,0.87,0.88,0.87,0.88,1024079,0
1997-07-04,0.87,0.87,0.87,0.87,96378,0
1997-07-07,0.86,0.86,0.85,0.85,382257,0
1997-07-08,0.84,0.85,0.84,0.85,177976,0
1997-07-09,0.86,0.86,0.86,0.86,335420,0
1997-07-10,0.86,0.86,0.84,0.84,108178,0
1997-07-11,0.84,0.84,0.79,0.79,179757,0
1997-07-14,0.76,0.76,0.72,0.73,146958,0
1997-07-15,0.68,0.73,0.68,0.72,1114619,0
1997-07-16,0.7,0.72,0.7,0.72,304687,0
1997-07-17,0.7,0.71,0.7,0.71,169357,0
1997-07-18,0.69,0.69,0.68,0.69,211251,0
1997-07-21,0.68,0.68,0.68,0.68,486435,0
1997-07-22,0.69,0.7,0.68,0.69,384904,0
1997-07-23,0.7,0.71,0.7,0.7,318715,0
1997-07-24,0.71,0.71,0.71,0.71,342848,0
1997-07-25,0.71,0.71,0.7,0.7,507835,0
1997-07-28,0.72,0.76,0.72,0.73,377009,0
1997-07-29,0.73,0.77,0.73,0.76,217004,0
1997-07-30,0.77,0.79,0.77,0.79,372066,0
1997-07-31,0.79,0.8,0.79,0.79,1157018,0
1997-08-01,0.79,0.81,0.79,0.79,719153,0
1997-08-04,0.81,0.81,0.8,0.8,678173,0
1997-08-05,0.81,0.83,0.81,0.83,272955,0
1997-08-06,0.82,0.82,0.8,0.8,215013,0
1997-08-07,0.83,0.88,0.83,0.88,834626,0
1997-08-08,0.88,0.9,0.88,0.89,716534,0
1997-08-11,0.9,0.9,0.89,0.89,1262873,0
1997-08-12,0.89,0.92,0.89,0.92,1094810,0
1997-08-13,0.9,0.9,0.9,0.9,1189341,0
1997-08-14,0.89,0.89,0.88,0.89,712687,0
1997-08-18,0.88,0.88,0.85,0.88,944424,0
1997-08-19,0.88,0.9,0.88,0.9,447265,0
1997-08-20,0.88,0.89,0.88,0.88,176757,0
1997-08-21,0.87,0.87,0.85,0.85,771752,0
1997-08-22,0.86,0.86,0.85,0.86,307001,0
1997-08-25,0.86,0.86,0.85,0.85,565300,0
1997-08-26,0.85,0.85,0.85,0.85,104473,0
1997-08-27,0.85,0.85,0.85,0.85,239613,0
1997-08-28,0.85,0.85,0.85,0.85,149691,0
1997-08-29,0.86,0.86,0.84,0.84,709534,0
1997-09-01,0.84,0.84,0.83,0.83,133330,0
1997-09-02,0.84,0.85,0.84,0.84,146472,0
1997-09-03,0.85,0.86,0.85,0.86,173624,0
1997-09-04,0.85,0.86,0.85,0.86,232841,0
1997-09-05,0.86,0.89,0.86,0.89,217375,0
1997-09-08,0.89,0.89,0.88,0.89,849455,0
1997-09-09,0.89,0.91,0.89,0.91,338582,0
1997-09-10,0.91,0.92,0.91,0.92,545415,0
1997-09-11,0.91,0.93,0.9,0.91,614327,0
1997-09-12,0.93,0.93,0.91,0.91,837417,0
1997-09-15,0.93,0.93,0.93,0.93,882082,0
1997-09-16,0.93,0.93,0.9,0.9,774523,0
1997-09-17,0.94,0.94,0.89,0.9,640469,0
1997-09-18,0.9,0.91,0.9,0.91,338639,0
1997-09-19,0.9,0.92,0.9,0.92,1247950,0
1997-09-22,0.92,0.94,0.91,0.94,369219,0
1997-09-23,0.94,0.96,0.92,0.96,1006003,0
1997-09-24,0.94,0.96,0.94,0.94,716715,0
1997-09-25,0.94,0.94,0.92,0.93,601013,0
1997-09-26,0.9,0.93,0.9,0.93,485816,0
1997-09-29,0.88,0.9,0.88,0.9,477416,0
1997-09-30,0.87,0.89,0.87,0.89,666345,0
1997-10-01,0.87,0.88,0.87,0.88,898206,0
1997-10-02,0.87,0.88,0.87,0.88,240584,0
1997-10-03,0.86,0.86,0.85,0.86,692630,0
1997-10-06,0.86,0.86,0.86,0.86,707391,0
1997-10-07,0.86,0.87,0.86,0.86,296583,0
1997-10-08,0.87,0.88,0.87,0.88,468016,0
1997-10-09,0.88,0.88,0.85,0.88,538919,0
1997-10-10,0.87,0.88,0.87,0.88,2006283,0
1997-10-13,0.88,0.88,0.88,0.88,454188,0
1997-10-14,0.89,0.9,0.89,0.9,358753,0
1997-10-15,0.9,0.9,0.9,0.9,435084,0
1997-10-16,0.91,0.91,0.9,0.91,333867,0
1997-10-17,0.91,0.92,0.91,0.92,544586,0
1997-10-20,0.91,0.91,0.9,0.9,806532,0
1997-10-21,0.91,0.92,0.91,0.92,418180,0
1997-10-22,0.93,0.93,0.93,0.93,245422,0
1997-10-23,0.91,0.91,0.88,0.88,579671,0
1997-10-24,0.89,0.91,0.89,0.9,704287,0
1997-10-27,0.87,0.87,0.83,0.83,1782527,0
1997-10-28,0.78,0.78,0.71,0.71,14285,0
1997-10-29,0.8,0.83,0.8,0.82,192957,0
1997-10-30,0.77,0.77,0.77,0.77,1828354,0
1997-10-31,0.75,0.78,0.75,0.78,1082887,0
1997-11-03,0.79,0.8,0.79,0.8,426522,0
1997-11-04,0.8,0.8,0.8,0.8,445217,0
1997-11-05,0.81,0.83,0.81,0.81,442893,0
1997-11-06,0.8,0.8,0.79,0.8,139844,0
1997-11-07,0.8,0.8,0.8,0.8,649317,0
1997-11-12,0.8,0.8,0.78,0.78,98007,0
1997-11-13,0.73,0.75,0.73,0.75,301563,0
1997-11-14,0.77,0.77,0.76,0.76,139996,0
1997-11-17,0.78,0.78,0.76,0.76,518082,0
1997-11-18,0.77,0.77,0.74,0.74,123044,0
1997-11-19,0.73,0.73,0.73,0.73,476835,0
1997-11-20,0.78,0.78,0.75,0.75,291230,0
1997-11-21,0.75,0.76,0.75,0.76,421894,0
1997-11-24,0.75,0.75,0.72,0.72,245412,0
1997-11-25,0.75,0.75,0.74,0.75,739972,0
1997-11-26,0.74,0.74,0.73,0.73,176252,0
1997-11-27,0.73,0.73,0.72,0.72,98988,0
1997-11-28,0.72,0.72,0.72,0.72,63931,0
1997-12-01,0.73,0.76,0.73,0.76,76036,0
1997-12-02,0.76,0.76,0.75,0.75,112159,0
1997-12-03,0.73,0.75,0.73,0.75,284212,0
1997-12-04,0.75,0.76,0.75,0.76,274126,0
1997-12-05,0.76,0.76,0.75,0.75,775247,0
1997-12-08,0.75,0.75,0.74,0.74,659793,0
1997-12-09,0.73,0.74,0.73,0.73,62817,0
1997-12-10,0.72,0.79,0.72,0.73,260679,0
1997-12-11,0.7,0.75,0.69,0.69,117073,0
1997-12-12,0.7,0.71,0.7,0.71,91235,0
1997-12-15,0.7,0.71,0.7,0.71,127120,0
1997-12-16,0.69,0.69,0.69,0.69,207471,0
1997-12-17,0.7,0.7,0.68,0.68,141806,0
1997-12-18,0.69,0.69,0.69,0.69,292126,0
