Date,Open,High,Low,Close,Volume,OpenInt
2007-06-04,87.902,87.902,73.883,75.778,1918824,0
2007-06-05,76.914,76.914,72.983,73.457,272016,0
2007-06-06,74.215,74.215,71.326,71.989,149727,0
2007-06-08,71.042,71.421,70.473,70.852,91750,0
2007-06-11,71.421,74.831,71.042,73.362,97400,0
2007-06-12,73.883,73.883,69.147,71.989,90935,0
2007-06-13,71.799,71.799,70.189,71.231,20646,0
2007-06-14,71.942,71.942,70.237,70.568,53468,0
2007-06-15,70.284,70.284,69.242,70,42767,0
2007-06-18,70.094,70.379,68.2,69.147,106245,0
2007-06-19,69.147,70.615,69.005,70.473,67497,0
2007-06-20,70.852,71.894,70.094,70.094,32362,0
2007-06-21,70.852,70.852,68.816,69.431,29063,0
2007-06-22,69.147,69.147,67.632,67.726,47659,0
2007-06-25,68.2,68.2,65.832,67.442,73599,0
2007-06-26,68.2,68.2,65.548,66.258,24863,0
2007-06-27,66.211,66.211,63.937,64.411,70479,0
2007-06-28,64.127,64.411,61.096,61.901,64586,0
2007-06-29,61.096,61.522,57.781,61.522,124603,0
2007-07-02,60.717,60.717,58.207,58.728,36756,0
2007-07-03,57.781,61.759,57.496,61.001,95559,0
2007-07-04,61.096,63.937,61.096,62.896,56233,0
2007-07-05,62.99,64.411,61.569,62.327,32424,0
2007-07-06,62.517,62.517,61.569,62.28,40008,0
2007-07-09,62.896,62.896,60.622,60.859,33343,0
2007-07-10,59.77,60.622,59.201,59.675,30393,0
2007-07-11,59.675,59.675,57.781,58.491,33742,0
2007-07-12,58.538,58.822,57.449,57.781,21180,0
2007-07-13,58.538,59.675,57.496,58.538,15560,0
2007-07-16,57.781,58.349,54.56,56.644,72792,0
2007-07-17,55.791,56.739,53.992,56.644,25029,0
2007-07-18,56.644,57.307,55.507,55.886,20909,0
2007-07-19,55.602,56.17,55.412,55.507,15263,0
2007-07-20,55.649,55.697,53.897,53.897,49972,0
2007-07-23,53.044,53.471,50.818,52.192,47930,0
2007-07-24,51.292,52.097,50.203,50.203,71088,0
2007-07-25,48.403,51.15,46.887,51.15,123083,0
2007-07-26,52.002,52.287,47.74,48.308,35141,0
2007-07-27,45.94,48.308,44.519,47.408,75955,0
2007-07-30,47.361,47.551,45.94,46.603,36491,0
2007-07-31,46.793,50.345,46.698,49.729,74501,0
2007-08-01,48.308,48.308,46.887,48.119,32928,0
2007-08-02,51.15,52.002,50.25,51.15,68589,0
2007-08-03,51.15,53.85,50.676,52.002,58172,0
2007-08-06,51.103,54.939,50.203,53.992,48775,0
2007-08-07,55.791,56.786,53.044,53.613,113200,0
2007-08-08,53.423,53.518,51.15,53.139,60363,0
2007-08-09,53.613,53.613,52.902,53.518,62930,0
2007-08-10,49.256,51.15,49.256,51.15,53008,0
2007-08-13,51.15,51.813,50.155,51.245,47275,0
2007-08-14,51.813,52.097,50.676,51.482,76594,0
2007-08-16,49.256,49.445,45.76,47.361,107965,0
2007-08-17,45.467,52.097,45.467,51.15,71313,0
2007-08-20,53.992,53.992,52.097,52.097,52673,0
2007-08-21,52.097,52.808,50.297,51.15,35913,0
2007-08-22,52.05,53.139,51.434,53.044,39836,0
2007-08-23,54.749,54.749,53.044,54.134,29537,0
2007-08-24,53.897,53.897,52.571,53.423,47119,0
2007-08-27,53.802,53.85,51.908,52.381,19704,0
2007-08-28,52.381,52.381,50.771,50.866,8518,0
2007-08-29,48.877,50.487,48.687,50.487,35448,0
2007-08-30,50.582,51.624,48.829,49.634,14839,0
2007-08-31,49.256,50.392,49.066,49.777,23481,0
2007-09-03,50.534,51.103,50.203,50.203,12263,0
2007-09-04,50.676,50.676,50.203,50.297,9927,0
2007-09-05,50.203,50.297,48.308,48.308,29061,0
2007-09-06,48.782,50.013,48.308,49.729,48030,0
2007-09-07,49.729,49.729,47.551,47.835,19030,0
2007-09-10,46.698,47.835,46.689,47.039,13866,0
2007-09-11,47.408,47.408,44.519,46.404,258255,0
2007-09-12,47.285,47.285,45.571,46.177,21607,0
2007-09-13,46.224,47.323,45.609,47.323,13326,0
2007-09-14,47.304,47.304,45.618,46.414,8831,0
2007-09-17,46.044,46.423,46.035,46.234,46221,0
2007-09-18,46.234,46.414,45.609,46.234,7624,0
2007-09-19,47.835,47.835,46.793,47.172,46043,0
2007-09-20,47.352,47.551,46.035,46.054,40089,0
2007-09-21,46.13,47.456,45.94,47.361,36508,0
2007-09-24,47.361,48.308,46.414,47.361,11042,0
2007-09-25,46.556,47.314,46.414,46.423,5275,0
2007-09-26,46.461,48.261,46.461,47.361,15899,0
2007-09-27,47.835,48.308,47.361,47.503,20197,0
2007-09-28,47.551,47.551,46.783,46.783,8713,0
2007-10-01,46.783,46.887,44.728,45.751,13274,0
2007-10-02,45.997,46.319,45.277,45.561,14208,0
2007-10-03,45.486,45.486,44.519,45.088,21695,0
2007-10-04,44.993,45.467,44.576,45.059,26553,0
2007-10-05,45.088,45.836,45.088,45.277,64099,0
2007-10-08,45.467,45.751,45.23,45.344,14172,0
2007-10-09,45.467,45.836,45.126,45.182,17363,0
2007-10-10,45.656,45.827,45.182,45.277,39427,0
2007-10-11,45.381,45.599,45.192,45.239,15416,0
2007-10-12,45.448,47.835,45.164,47.077,65938,0
2007-10-15,47.361,47.835,46.603,47.361,25477,0
2007-10-16,46.887,47.124,46.509,46.509,22165,0
2007-10-17,46.518,46.878,45.855,45.95,10621,0
2007-10-18,46.035,46.319,44.519,44.643,30410,0
2007-10-19,44.643,44.643,43.572,44.519,28251,0
2007-10-22,43.667,44.519,42.436,44.519,54503,0
2007-10-23,44.519,45.372,43.733,44.605,25728,0
2007-10-24,44.519,44.605,43.582,44.207,17299,0
2007-10-25,43.582,44.321,43.582,43.809,15596,0
2007-10-26,44.33,44.519,43.477,43.809,51621,0
2007-10-29,44.046,44.425,43.582,43.629,12762,0
2007-10-30,43.62,43.62,43.099,43.572,16000,0
2007-10-31,43.572,43.657,43.165,43.383,14767,0
2007-11-02,43.099,43.099,42.672,42.862,8360,0
2007-11-05,42.72,43.572,41.687,41.687,15401,0
2007-11-06,40.873,41.488,37.036,39.404,50191,0
2007-11-07,39.67,39.67,35.71,36.942,121867,0
2007-11-08,36.089,37.273,35.994,36.478,70598,0
2007-11-09,37.131,38.353,35.994,36.07,35235,0
2007-11-12,35.9,35.994,35.142,35.616,65383,0
2007-11-13,35.805,35.805,34.1,35.426,98334,0
2007-11-14,35.549,36.733,35.237,35.303,55795,0
2007-11-15,35.407,35.407,34.109,34.469,51817,0
2007-11-16,34.119,34.943,33.153,34.555,47810,0
2007-11-19,35.047,35.047,33.92,34.185,37051,0
2007-11-20,34.1,34.858,33.768,34.829,55901,0
2007-11-21,35.047,35.227,34.289,35.142,57169,0
2007-11-22,35,35.994,34.81,35.966,55189,0
2007-11-23,36.326,36.847,35.985,36.525,34099,0
2007-11-26,37.321,37.321,35.616,36.051,13778,0
2007-11-27,36.155,36.269,35.047,35.663,320223,0
2007-11-28,35.663,36.373,35.616,36.25,18319,0
2007-11-29,37.415,37.86,36.951,37.131,63448,0
2007-11-30,37.453,39.499,37.453,38.647,58515,0
2007-12-03,38.467,39.12,37.955,38.836,34944,0
2007-12-04,38.846,38.969,38.751,38.817,49048,0
2007-12-05,38.874,40.295,38.078,39.84,44389,0
2007-12-06,39.973,40.541,39.461,39.84,19116,0
