Date,Open,High,Low,Close,Volume,OpenInt
1996-07-24,7.5039,7.5039,7.5039,7.5039,48506,0
1996-07-25,8.2528,8.2528,8.2528,8.2528,150579,0
1996-07-26,9.0739,9.0739,9.0739,9.0739,379464,0
1996-07-29,9.548,9.548,9.548,9.548,200401,0
1996-07-30,8.8724,8.8724,8.8724,8.8724,82650,0
1996-07-31,8.7353,8.7353,8.7353,8.7353,144006,0
1996-08-01,8.1881,8.1881,8.1881,8.1881,137485,0
1996-08-02,8.0512,8.0512,8.0512,8.0512,75652,0
1996-08-05,8.2528,8.2528,8.2528,8.2528,49969,0
1996-08-06,8.4616,8.4616,8.4616,8.4616,51363,0
1996-08-07,8.3248,8.3248,8.3248,8.3248,98883,0
1996-08-08,8.1881,8.1881,8.1881,8.1881,35851,0
1996-08-09,8.2528,8.2528,8.2528,8.2528,58994,0
1996-08-12,8.2528,8.2528,8.2528,8.2528,13263,0
1996-08-13,7.9144,7.9144,7.9144,7.9144,33736,0
1996-08-14,8.1159,8.1159,8.1159,8.1159,37262,0
1996-08-16,7.8422,7.8422,7.8422,7.8422,23963,0
1996-08-19,8.1881,8.1881,8.1881,8.1881,59184,0
1996-08-20,8.0512,8.0512,8.0512,8.0512,83106,0
1996-08-21,7.9792,7.9792,7.9792,7.9792,78864,0
1996-08-22,8.1881,8.1881,8.1881,8.1881,130155,0
1996-08-23,8.1881,8.1881,8.1881,8.1881,219689,0
1996-08-26,8.2528,8.2528,8.2528,8.2528,123263,0
1996-08-27,8.1159,8.1159,8.1159,8.1159,62514,0
1996-08-28,8.1881,8.1881,8.1881,8.1881,40611,0
1996-08-29,7.9792,7.9792,7.9792,7.9792,33698,0
1996-08-30,8.1159,8.1159,8.1159,8.1159,44900,0
1996-09-02,8.0512,8.0512,8.0512,8.0512,52485,0
1996-09-03,7.9144,7.9144,7.9144,7.9144,57558,0
1996-09-04,7.7775,7.7775,7.7775,7.7775,70590,0
1996-09-05,7.7055,7.7055,7.7055,7.7055,60965,0
1996-09-06,7.7775,7.7775,7.7775,7.7775,43459,0
1996-09-09,8.0512,8.0512,8.0512,8.0512,58136,0
1996-09-10,8.1159,8.1159,8.1159,8.1159,98604,0
1996-09-11,8.1159,8.1159,8.1159,8.1159,97680,0
1996-09-12,8.1159,8.1159,8.1159,8.1159,213407,0
1996-09-13,8.5265,8.5265,8.5265,8.5265,140309,0
1996-09-16,9.3475,9.3475,9.3475,9.3475,190560,0
1996-09-17,9.3475,9.3475,9.3475,9.3475,197887,0
1996-09-18,9.2107,9.2107,9.2107,9.2107,133119,0
1996-09-19,9.4836,9.4836,9.4836,9.4836,204476,0
1996-09-20,9.4836,9.4836,9.4836,9.4836,140203,0
1996-09-23,9.822,9.822,9.822,9.822,182008,0
1996-09-24,10.097,10.097,10.097,10.097,165300,0
1996-09-25,9.896,9.896,9.896,9.896,357966,0
1996-09-26,10.168,10.168,10.168,10.168,115348,0
1996-09-27,10.918,10.918,10.918,10.918,282816,0
1996-09-30,10.918,10.918,10.918,10.918,184331,0
1996-10-01,11.256,11.256,11.256,11.256,219388,0
1996-10-02,11.256,11.256,11.256,11.256,124193,0
1996-10-03,11.055,11.055,11.055,11.055,97359,0
1996-10-04,10.918,10.918,10.918,10.918,68483,0
1996-10-07,11.055,11.055,11.055,11.055,189789,0
1996-10-08,11.055,11.055,11.055,11.055,329313,0
1996-10-09,10.845,10.845,10.845,10.845,121369,0
1996-10-10,10.572,10.572,10.572,10.572,65771,0
1996-10-11,10.299,10.299,10.299,10.299,139449,0
1996-10-14,10.507,10.507,10.507,10.507,118979,0
1996-10-15,10.845,10.845,10.845,10.845,141790,0
1996-10-16,10.572,10.572,10.572,10.572,127243,0
1996-10-17,10.572,10.572,10.572,10.572,59152,0
1996-10-18,10.572,10.572,10.572,10.572,55702,0
1996-10-21,10.434,10.434,10.434,10.434,81674,0
1996-10-22,10.233,10.233,10.233,10.233,127672,0
1996-10-23,10.031,10.031,10.031,10.031,102957,0
1996-10-24,9.822,9.822,9.822,9.822,106986,0
1996-10-25,9.548,9.548,9.548,9.548,86378,0
1996-10-28,9.2107,9.2107,9.2107,9.2107,124540,0
1996-10-29,8.9369,8.9369,8.9369,8.9369,90971,0
1996-10-30,9.2753,9.2753,9.2753,9.2753,124972,0
1996-10-31,9.2753,9.2753,9.2753,9.2753,116943,0
1996-11-04,9.2107,9.2107,9.2107,9.2107,72910,0
1996-11-05,9.0739,9.0739,9.0739,9.0739,50695,0
1996-11-06,9.3475,9.3475,9.3475,9.3475,82384,0
1996-11-07,9.2753,9.2753,9.2753,9.2753,100235,0
1996-11-08,9.2753,9.2753,9.2753,9.2753,89456,0
1996-11-12,9.2753,9.2753,9.2753,9.2753,26893,0
1996-11-13,9.0739,9.0739,9.0739,9.0739,63043,0
1996-11-14,8.7353,8.7353,8.7353,8.7353,113659,0
1996-11-15,9.1384,9.1384,9.1384,9.1384,82699,0
1996-11-18,9.1384,9.1384,9.1384,9.1384,107420,0
1996-11-19,9.4836,9.4836,9.4836,9.4836,162718,0
1996-11-20,9.2753,9.2753,9.2753,9.2753,72912,0
1996-11-21,9.1384,9.1384,9.1384,9.1384,67930,0
1996-11-22,9.1384,9.1384,9.1384,9.1384,69516,0
1996-11-25,9.3475,9.3475,9.3475,9.3475,87627,0
1996-11-26,9.2107,9.2107,9.2107,9.2107,79967,0
1996-11-27,9.0023,9.0023,9.0023,9.0023,46639,0
1996-11-28,8.7353,8.7353,8.7353,8.7353,83597,0
1996-11-29,8.7353,8.7353,8.7353,8.7353,53423,0
1996-12-02,8.5265,8.5265,8.5265,8.5265,55113,0
1996-12-03,8.1881,8.1881,8.1881,8.1881,140962,0
1996-12-04,8.1881,8.1881,8.1881,8.1881,47518,0
1996-12-05,8.3896,8.3896,8.3896,8.3896,98795,0
1996-12-06,8.1881,8.1881,8.1881,8.1881,64618,0
1996-12-09,7.576,7.576,7.576,7.576,107892,0
1996-12-10,7.576,7.576,7.576,7.576,149948,0
1996-12-11,7.7775,7.7775,7.7775,7.7775,102415,0
1996-12-12,8.1159,8.1159,8.1159,8.1159,120962,0
1996-12-13,8.1159,8.1159,8.1159,8.1159,281281,0
1996-12-16,8.2528,8.2528,8.2528,8.2528,107636,0
1996-12-17,8.1881,8.1881,8.1881,8.1881,57229,0
1996-12-18,8.1159,8.1159,8.1159,8.1159,70150,0
1996-12-19,8.1159,8.1159,8.1159,8.1159,77234,0
1996-12-20,8.3248,8.3248,8.3248,8.3248,86269,0
1996-12-23,8.4616,8.4616,8.4616,8.4616,93625,0
1996-12-24,8.3248,8.3248,8.3248,8.3248,110898,0
1996-12-30,8.3248,8.3248,8.3248,8.3248,64219,0
1996-12-31,8.4616,8.4616,8.4616,8.4616,35639,0
1997-01-02,8.5985,8.5985,8.5985,8.5985,27978,0
1997-01-03,9.0023,9.0023,9.0023,9.0023,123038,0
1997-01-06,8.8724,8.8724,8.8724,8.8724,109994,0
1997-01-07,9.1384,9.1384,9.1384,9.1384,120548,0
1997-01-08,9.62,9.62,9.62,9.62,133639,0
1997-01-09,9.686,9.686,9.686,9.686,72982,0
1997-01-10,9.686,9.686,9.686,9.686,70245,0
1997-01-13,9.548,9.548,9.548,9.548,72247,0
1997-01-14,9.3475,9.3475,9.3475,9.3475,63500,0
1997-01-15,9.0739,9.0739,9.0739,9.0739,35984,0
1997-01-16,9.2107,9.2107,9.2107,9.2107,98048,0
1997-01-17,8.9369,8.9369,8.9369,8.9369,143731,0
1997-01-20,8.9369,8.9369,8.9369,8.9369,116653,0
1997-01-21,8.6633,8.6633,8.6633,8.6633,126209,0
1997-01-22,8.8006,8.8006,8.8006,8.8006,122720,0
1997-01-23,8.8006,8.8006,8.8006,8.8006,137551,0
1997-01-24,8.8006,8.8006,8.8006,8.8006,151755,0
1997-01-27,8.6633,8.6633,8.6633,8.6633,144679,0
1997-01-28,8.5985,8.5985,8.5985,8.5985,99408,0
1997-01-29,8.2528,8.2528,8.2528,8.2528,93221,0
1997-01-30,8.3896,8.3896,8.3896,8.3896,196278,0
1997-01-31,8.3248,8.3248,8.3248,8.3248,47580,0
1997-02-03,8.5265,8.5265,8.5265,8.5265,61857,0
1997-02-04,8.7353,8.7353,8.7353,8.7353,79533,0
1997-02-05,9.0023,9.0023,9.0023,9.0023,130593,0
1997-02-06,9.3475,9.3475,9.3475,9.3475,95279,0
1997-02-07,10.233,10.233,10.233,10.233,342028,0
1997-02-10,10.233,10.233,10.233,10.233,383462,0
1997-02-11,10.233,10.233,10.233,10.233,182008,0
1997-02-12,10.572,10.572,10.572,10.572,152023,0
1997-02-13,10.572,10.572,10.572,10.572,175755,0
1997-02-14,10.918,10.918,10.918,10.918,179150,0
1997-02-17,10.507,10.507,10.507,10.507,124500,0
1997-02-18,10.572,10.572,10.572,10.572,191599,0
1997-02-19,10.644,10.644,10.644,10.644,133803,0
1997-02-20,10.708,10.708,10.708,10.708,73571,0
1997-02-21,10.918,10.918,10.918,10.918,121572,0
1997-02-24,10.983,10.983,10.983,10.983,59450,0
1997-02-25,11.594,11.594,11.594,11.594,122569,0
1997-02-26,12.277,12.277,12.277,12.277,82209,0
1997-02-27,11.529,11.529,11.529,11.529,277466,0
1997-02-28,11.191,11.191,11.191,11.191,60376,0
1997-03-03,11.256,11.256,11.256,11.256,87018,0
1997-03-04,11.118,11.118,11.118,11.118,53283,0
1997-03-05,11.328,11.328,11.328,11.328,138018,0
1997-03-06,11.393,11.393,11.393,11.393,125035,0
1997-03-07,11.594,11.594,11.594,11.594,262599,0
1997-03-10,11.529,11.529,11.529,11.529,250494,0
1997-03-11,11.94,11.94,11.94,11.94,102525,0
1997-03-12,12.076,12.076,12.076,12.076,324471,0
1997-03-13,11.94,11.94,11.94,11.94,191774,0
1997-03-14,11.458,11.458,11.458,11.458,153474,0
1997-03-17,11.458,11.458,11.458,11.458,34858,0
1997-03-18,11.594,11.594,11.594,11.594,91400,0
1997-03-19,11.256,11.256,11.256,11.256,115534,0
1997-03-20,10.918,10.918,10.918,10.918,178190,0
1997-03-21,10.781,10.781,10.781,10.781,35810,0
1997-03-24,11.055,11.055,11.055,11.055,31214,0
1997-03-25,11.256,11.256,11.256,11.256,95546,0
1997-03-26,11.594,11.594,11.594,11.594,158267,0
1997-03-27,11.731,11.731,11.731,11.731,188726,0
1997-04-01,11.594,11.594,11.594,11.594,111578,0
1997-04-02,11.256,11.256,11.256,11.256,69025,0
1997-04-03,10.918,10.918,10.918,10.918,201321,0
1997-04-04,10.918,10.918,10.918,10.918,103618,0
1997-04-07,11.118,11.118,11.118,11.118,167131,0
