Date,Open,High,Low,Close,Volume,OpenInt
2005-01-20,100,100,100,100,0,0
2005-01-21,100,100,100,100,0,0
2005-01-24,100,100,100,100,0,0
2005-01-25,100,100,100,100,0,0
2005-01-26,100,100,100,100,0,0
2005-01-27,100,100,100,100,0,0
2005-01-28,100,100,100,100,0,0
2005-01-31,100,100,100,100,0,0
2005-02-01,100,100,100,100,0,0
2005-02-02,100,100,100,100,0,0
2005-02-03,100,100,100,100,0,0
2005-02-04,100,100,100,100,0,0
2005-02-07,100,100,100,100,0,0
2005-02-08,100,100,100,100,0,0
2005-02-09,100,100,100,100,0,0
2005-02-10,100.3,100.3,100.3,100.3,0,0
2005-02-11,100.32,100.32,100.32,100.32,0,0
2005-02-14,100.32,100.32,100.32,100.32,0,0
2005-02-15,100.34,100.34,100.34,100.34,0,0
2005-02-16,100.35,100.35,100.35,100.35,0,0
2005-02-17,100.35,100.35,100.35,100.35,0,0
2005-02-18,100.35,100.35,100.35,100.35,0,0
2005-02-21,100.56,100.56,100.56,100.56,0,0
2005-02-22,100.53,100.53,100.53,100.53,0,0
2005-02-23,100.46,100.46,100.46,100.46,0,0
2005-02-24,100.25,100.25,100.25,100.25,0,0
2005-02-25,100.52,100.52,100.52,100.52,0,0
2005-02-28,101.31,101.31,101.31,101.31,0,0
2005-03-01,101.61,101.61,101.61,101.61,0,0
2005-03-02,100.95,100.95,100.95,100.95,0,0
2005-03-03,100.43,100.43,100.43,100.43,0,0
2005-03-04,99.81,99.81,99.81,99.81,0,0
2005-03-07,100.12,100.12,100.12,100.12,0,0
2005-03-08,100.34,100.34,100.34,100.34,0,0
2005-03-09,100.3,100.3,100.3,100.3,0,0
2005-03-10,100.69,100.69,100.69,100.69,0,0
2005-03-11,100.42,100.42,100.42,100.42,0,0
2005-03-14,99.9,99.9,99.9,99.9,0,0
2005-03-15,99.33,99.33,99.33,99.33,0,0
2005-03-16,99.23,99.23,99.23,99.23,0,0
2005-03-17,98.32,98.32,98.32,98.32,0,0
2005-03-18,97.76,97.76,97.76,97.76,0,0
2005-03-21,97.67,97.67,97.67,97.67,0,0
2005-03-22,97.73,97.73,97.73,97.73,0,0
2005-03-23,97.16,97.16,97.16,97.16,0,0
2005-03-24,97.33,97.33,97.33,97.33,0,0
2005-03-29,98,98,98,98,0,0
2005-03-30,97.6,97.6,97.6,97.6,0,0
2005-03-31,97.83,97.83,97.83,97.83,0,0
2005-04-01,98.24,98.24,98.24,98.24,0,0
2005-04-04,98.9,98.9,98.9,98.9,0,0
2005-04-05,98.6,98.6,98.6,98.6,0,0
2005-04-06,98.82,98.82,98.82,98.82,0,0
2005-04-07,99.1,99.1,99.1,99.1,0,0
2005-04-11,99.2,99.2,99.2,99.2,0,0
2005-04-12,98.8,98.8,98.8,98.8,0,0
2005-04-13,98.95,98.95,98.95,98.95,0,0
2005-04-14,98.95,98.95,98.95,98.95,0,0
2005-04-15,98.55,98.55,98.55,98.55,0,0
2005-04-18,98.11,98.11,98.11,98.11,0,0
2005-04-19,97.46,97.46,97.46,97.46,0,0
2005-04-20,97.1,97.1,97.1,97.1,0,0
2005-04-21,97.08,97.08,97.08,97.08,0,0
2005-04-22,96.74,96.74,96.74,96.74,0,0
2005-04-25,97.28,97.28,97.28,97.28,0,0
2005-04-26,97.39,97.39,97.39,97.39,0,0
2005-04-27,97.09,97.09,97.09,97.09,0,0
2005-04-28,96.31,96.31,96.31,96.31,0,0
2005-04-29,95.87,95.87,95.87,95.87,0,0
2005-05-02,95.73,95.73,95.73,95.73,0,0
2005-05-04,95.76,95.76,95.76,95.76,0,0
2005-05-05,95.94,95.94,95.94,95.94,0,0
2005-05-06,96,96,96,96,0,0
2005-05-09,95.77,95.77,95.77,95.77,0,0
2005-05-10,96.09,96.09,96.09,96.09,0,0
2005-05-11,95.73,95.73,95.73,95.73,0,0
2005-05-12,95.44,95.44,95.44,95.44,0,0
2005-05-13,95.97,95.97,95.97,95.97,0,0
2005-05-16,95.87,95.87,95.87,95.87,0,0
2005-05-17,95.59,95.59,95.59,95.59,0,0
2005-05-18,95.42,95.42,95.42,95.42,0,0
2005-05-19,95.76,95.76,95.76,95.76,0,0
2005-05-20,96.42,96.42,96.42,96.42,0,0
2005-05-23,96.71,96.71,96.71,96.71,0,0
2005-05-24,96.75,96.75,96.75,96.75,0,0
2005-05-25,96.64,96.64,96.64,96.64,0,0
2005-05-27,96.69,96.69,96.69,96.69,0,0
2005-05-30,97.25,97.25,97.25,97.25,0,0
2005-05-31,97.67,97.67,97.67,97.67,0,0
2005-06-01,97.65,97.65,97.65,97.65,0,0
2005-06-02,97.49,97.49,97.49,97.49,0,0
2005-06-03,97.64,97.64,97.64,97.64,0,0
2005-06-06,98.01,98.01,98.01,98.01,0,0
2005-06-07,98.55,98.55,98.55,98.55,0,0
2005-06-08,98.91,98.91,98.91,98.91,0,0
2005-06-09,99.14,99.14,99.14,99.14,0,0
2005-06-10,99.07,99.07,99.07,99.07,0,0
2005-06-13,99.56,99.56,99.56,99.56,0,0
2005-06-14,99.69,99.69,99.69,99.69,0,0
2005-06-15,99.63,99.63,99.63,99.63,0,0
2005-06-16,99.45,99.45,99.45,99.45,0,0
2005-06-17,100.04,100.04,100.04,100.04,0,0
2005-06-20,100.18,100.18,100.18,100.18,0,0
2005-06-21,100.51,100.51,100.51,100.51,0,0
2005-06-22,100.44,100.44,100.44,100.44,0,0
2005-06-23,100.92,100.92,100.92,100.92,0,0
2005-06-24,101.14,101.14,101.14,101.14,0,0
2005-06-27,100.72,100.72,100.72,100.72,0,0
2005-06-28,100.11,100.11,100.11,100.11,0,0
2005-06-29,100.37,100.37,100.37,100.37,0,0
2005-06-30,100.66,100.66,100.66,100.66,0,0
2005-07-01,100.65,100.65,100.65,100.65,0,0
2005-07-04,101.07,101.07,101.07,101.07,0,0
2005-07-05,101.9,101.9,101.9,101.9,0,0
2005-07-06,102.23,102.23,102.23,102.23,0,0
2005-07-07,102.04,102.04,102.04,102.04,0,0
2005-07-08,101.45,101.45,101.45,101.45,0,0
2005-07-11,102.05,102.05,102.05,102.05,0,0
2005-07-12,102.41,102.41,102.41,102.41,0,0
2005-07-13,102.63,102.63,102.63,102.63,0,0
2005-07-14,103.41,103.41,103.41,103.41,0,0
2005-07-15,103.72,103.72,103.72,103.72,0,0
2005-07-18,103.7,103.7,103.7,103.7,0,0
2005-07-19,103.47,103.47,103.47,103.47,0,0
2005-07-20,102.9,102.9,102.9,102.9,0,0
2005-07-21,103.57,103.57,103.57,103.57,0,0
2005-07-22,103.46,103.46,103.46,103.46,0,0
2005-07-25,102.86,102.86,102.86,102.86,0,0
2005-07-26,103.11,103.11,103.11,103.11,0,0
2005-07-27,103.85,103.85,103.85,103.85,0,0
2005-07-28,104.11,104.11,104.11,104.11,0,0
2005-07-29,104.81,104.81,104.81,104.81,0,0
2005-08-01,105.65,105.65,105.65,105.65,0,0
2005-08-02,105.88,105.88,105.88,105.88,0,0
2005-08-03,107.02,107.02,107.02,107.02,0,0
2005-08-04,106.89,106.89,106.89,106.89,0,0
2005-08-05,106.22,106.22,106.22,106.22,0,0
2005-08-08,107.11,107.11,107.11,107.11,0,0
2005-08-09,107.23,107.23,107.23,107.23,0,0
2005-08-10,107.62,107.62,107.62,107.62,0,0
2005-08-11,107.88,107.88,107.88,107.88,0,0
2005-08-12,107.23,107.23,107.23,107.23,0,0
2005-08-16,106.58,106.58,106.58,106.58,0,0
2005-08-17,107.01,107.01,107.01,107.01,0,0
2005-08-18,106.88,106.88,106.88,106.88,0,0
2005-08-19,106.07,106.07,106.07,106.07,0,0
2005-08-22,105.77,105.77,105.77,105.77,0,0
2005-08-23,106.44,106.44,106.44,106.44,0,0
2005-08-24,106.14,106.14,106.14,106.14,0,0
2005-08-25,106.55,106.55,106.55,106.55,0,0
2005-08-26,105.99,105.99,105.99,105.99,0,0
2005-08-29,106.4,106.4,106.4,106.4,0,0
2005-08-30,107.14,107.14,107.14,107.14,0,0
2005-08-31,108.28,108.28,108.28,108.28,0,0
2005-09-01,108.45,108.45,108.45,108.45,0,0
2005-09-02,109.4,109.4,109.4,109.4,0,0
2005-09-05,109.82,109.82,109.82,109.82,0,0
2005-09-06,109.69,109.69,109.69,109.69,0,0
2005-09-07,109.37,109.37,109.37,109.37,0,0
2005-09-08,109.58,109.58,109.58,109.58,0,0
2005-09-09,109.44,109.44,109.44,109.44,0,0
2005-09-12,110.23,110.23,110.23,110.23,0,0
2005-09-13,110.71,110.71,110.71,110.71,0,0
2005-09-14,111.58,111.58,111.58,111.58,0,0
