Date,Open,High,Low,Close,Volume,OpenInt
2016-07-18,9.74,9.74,9.74,9.74,100000,0
2016-07-19,9.66,9.66,9.65,9.65,798,0
2016-07-25,9.8,9.8,9.8,9.8,300,0
2016-08-10,9.757,9.8,9.757,9.8,7973,0
2016-08-11,9.8,9.8,9.8,9.8,2200,0
2016-08-16,9.7923,9.7923,9.7923,9.7923,1100,0
2016-08-17,9.82,9.82,9.82,9.82,2800,0
2016-08-23,9.82,9.82,9.82,9.82,700,0
2016-08-26,9.7,9.7,9.7,9.7,210,0
2016-08-31,9.82,9.82,9.82,9.82,100,0
2016-09-01,9.8133,9.82,9.8133,9.82,1400,0
2016-09-06,9.75,9.75,9.75,9.75,100,0
2016-09-09,9.82,10,9.82,10,1317,0
2016-09-20,9.85,9.85,9.85,9.85,2900,0
2016-09-21,9.82,9.82,9.82,9.82,316,0
2016-09-26,9.8,9.8,9.8,9.8,210,0
2016-09-29,9.82,9.91,9.82,9.88,8962,0
2016-10-03,9.64,9.64,9.64,9.64,166,0
2016-10-04,9.82,9.83,9.82,9.83,1620,0
2016-10-05,9.79,9.79,9.75,9.75,404,0
2016-10-06,9.78,9.78,9.46,9.46,318,0
2016-10-07,9.78,9.79,9.78,9.79,420,0
2016-10-14,9.8,9.8,9.8,9.8,948,0
2016-10-17,9.81,9.81,9.8,9.8,622,0
2016-10-18,9.8,9.8,9.8,9.8,488,0
2016-10-19,9.8,9.8,9.8,9.8,482,0
2016-10-20,9.8,9.8,9.8,9.8,224,0
2016-10-31,9.9,9.9,9.9,9.9,500,0
2016-11-15,9.9,9.9001,9.88,9.9,3473,0
2016-11-16,9.8,9.86,9.8,9.86,65968,0
2016-11-17,9.9,9.94,9.9,9.93,3500,0
2016-11-18,9.85,9.85,9.85,9.85,200,0
2016-11-22,9.8,9.8,9.8,9.8,150,0
2016-11-25,9.8,9.8,9.8,9.8,688,0
2016-11-28,9.8,9.8,9.8,9.8,470,0
2016-12-02,9.8,9.8,9.8,9.8,422,0
2016-12-21,9.8501,9.8501,9.85,9.85,800,0
2016-12-22,9.85,9.85,9.85,9.85,759,0
2016-12-30,9.95,9.95,9.86,9.94,384,0
2017-01-06,9.948,10.5,9.9,9.9,29932,0
2017-01-10,9.91,9.91,9.91,9.91,574500,0
2017-01-12,10.05,10.1001,10.01,10.04,387056,0
2017-01-13,10.05,10.08,10.05,10.08,10700,0
2017-01-17,10.0501,10.08,10.01,10.01,3894,0
2017-01-18,10.01,10.01,9.96,9.96,2435,0
2017-01-19,10,10.03,10,10.03,2800,0
2017-01-20,10.09,10.1,9.8548,10.1,5891,0
2017-01-23,10.08,10.1,10.05,10.1,115761,0
2017-01-24,10.1,10.1,10,10.05,897,0
2017-01-26,9.87,10.1,9.87,10.0999,13778,0
2017-01-27,10.1,10.1,10.1,10.1,100,0
2017-01-30,10.05,10.09,9.84,10.09,698,0
2017-02-09,10.1,10.1,10.1,10.1,2031,0
2017-02-13,10.01,10.1,10.01,10.1,266,0
2017-02-14,10.01,10.1,10.01,10.1,4241,0
2017-02-15,10.01,10.01,10.01,10.01,112,0
2017-02-22,10.01,10.01,10.01,10.01,119,0
2017-02-23,10.01,10.01,9.91,9.95,16738,0
2017-02-24,9.9101,10.05,9.9101,9.94,5700,0
2017-03-02,9.97,9.97,9.96,9.96,292,0
2017-03-03,9.9109,9.9109,9.9109,9.9109,100,0
2017-03-06,10.095,10.095,10.095,10.095,100,0
2017-03-07,9.98,10,9.98,10,5542,0
2017-03-08,9.9812,10,9.98,10,1884,0
2017-03-16,10.0868,10.0868,10.0868,10.0868,1084,0
2017-03-23,10.08,10.08,10.08,10.08,999,0
2017-03-24,10,10.07,10,10.02,3646,0
2017-03-27,10.02,10.02,9.98,9.98,11020,0
2017-03-28,10.04,10.04,10,10,600,0
2017-03-29,10,10,10,10,501,0
2017-03-30,10.03,10.03,10.03,10.03,2500,0
2017-03-31,10.02,10.02,9.97,10,8200,0
2017-04-03,10.0499,10.0499,10.0499,10.0499,100,0
2017-04-05,9.98,10,9.95,10,250500,0
2017-04-10,9.95,9.95,9.95,9.95,5100,0
2017-04-11,9.95,9.95,9.95,9.95,100,0
2017-04-12,9.96,9.96,9.94,9.94,800,0
2017-04-17,9.95,9.95,9.95,9.95,100,0
2017-04-18,9.95,9.95,9.95,9.95,1800,0
2017-04-27,9.9751,9.9751,9.9751,9.9751,250,0
2017-05-02,9.95,9.95,9.95,9.95,29600,0
2017-05-11,9.94,9.95,9.94,9.95,473,0
2017-05-18,9.96,9.96,9.9301,9.945,990,0
2017-05-23,9.93,9.93,9.93,9.93,5000,0
2017-06-15,9.94,9.94,9.94,9.94,8090,0
2017-06-16,9.98,9.98,9.98,9.98,202,0
2017-06-19,9.96,9.96,9.96,9.96,500,0
2017-06-20,9.95,9.95,9.95,9.95,100,0
2017-06-22,9.95,9.9542,9.95,9.9542,700,0
2017-06-23,9.96,9.96,9.95,9.95,5660,0
2017-06-27,9.96,9.96,9.95,9.95,300,0
