Date,Open,High,Low,Close,Volume,OpenInt
2017-06-07,12.2,14.47,11.9275,14.38,1822255,0
2017-06-08,14.35,14.5,12.89,12.9,438245,0
2017-06-09,13.3,13.3695,12.32,12.34,210192,0
2017-06-12,12.44,12.94,11.61,12.56,127873,0
2017-06-13,12.97,14.38,12.71,14.03,233723,0
2017-06-14,14.28,15.21,14.26,14.48,227526,0
2017-06-15,14.3,14.78,13.68,13.74,108351,0
2017-06-16,13.82,13.97,13.1,13.74,82378,0
2017-06-19,13.82,14.86,13.5,14.45,130246,0
2017-06-20,14.6,14.7,13.51,14.02,94260,0
2017-06-21,14.15,15.36,13.77,15.05,190849,0
2017-06-22,15.14,15.14,14.13,14.46,75050,0
2017-06-23,14.43,14.89,13.901,14.4,94992,0
2017-06-26,14.4,14.9,14,14.4,91662,0
2017-06-27,14.41,14.41,13.65,13.85,64551,0
2017-06-28,13.84,14.07,12.49,12.77,144134,0
2017-06-29,12.8,13.09,12.55,12.77,77832,0
2017-06-30,12.79,13.1898,12.72,12.79,55985,0
2017-07-03,13.1,13.91,13.0669,13.16,85240,0
2017-07-05,13.39,13.4,12.5,12.82,66588,0
2017-07-06,12.76,12.88,12.5,12.86,25769,0
2017-07-07,12.84,13.25,12.71,12.94,51492,0
2017-07-10,13.14,13.56,12.74,12.92,85164,0
2017-07-11,12.91,13.36,12.91,13.18,32749,0
2017-07-12,13.18,13.3,12.75,13.05,62624,0
2017-07-13,13.04,14.49,13,14.3,167648,0
2017-07-14,14.41,14.79,13.99,14,116609,0
2017-07-17,14.06,14.07,13.19,13.53,74384,0
2017-07-18,13.38,13.6625,12.8,13.2,61443,0
2017-07-19,13.2,13.31,12.98,13.04,29712,0
2017-07-20,13.02,13.2,12.83,13.03,53727,0
2017-07-21,13.02,13.37,12.625,12.8,47679,0
2017-07-24,12.78,12.8735,12.57,12.64,42874,0
2017-07-25,12.63,12.655,12.11,12.36,71623,0
2017-07-26,12.35,12.4,12.03,12.35,36325,0
2017-07-27,12.36,12.44,12.01,12.01,30414,0
2017-07-28,12.12,12.874,11.76,12,56047,0
2017-07-31,11.96,12.447,11.95,11.965,19693,0
2017-08-01,12.04,12.05,10.25,10.6,220550,0
2017-08-02,10.6,10.8865,9.33,10.01,90022,0
2017-08-03,9.99,10.721,9.99,10.53,34443,0
2017-08-04,11.037,11.3938,10.77,11.18,85020,0
2017-08-07,11.17,11.1701,10.75,11.08,22070,0
2017-08-08,11.11,11.11,10.51,10.75,72238,0
2017-08-09,12,12,11.0932,11.37,273572,0
2017-08-10,11.4,11.5,11,11.08,86238,0
2017-08-11,11.13,11.5789,11,11.5,63627,0
2017-08-14,11.67,12.26,11.6501,12.17,134240,0
2017-08-15,12.2,12.7,11.76,12.49,76973,0
2017-08-16,12.5,12.7774,11.88,12.11,81735,0
2017-08-17,12.02,12.3411,11.5,11.73,30988,0
2017-08-18,11.68,12.0972,11.2901,11.59,23024,0
2017-08-21,11.6,12.249,11.47,12.12,27896,0
2017-08-22,12.15,12.29,11.6924,11.77,26817,0
2017-08-23,11.65,11.92,11.5,11.7,17765,0
2017-08-24,12,12.14,11.75,12,35164,0
2017-08-25,12.1,12.1499,11.81,12,20780,0
2017-08-28,12.19,12.9,12.1201,12.49,60072,0
2017-08-29,12.28,12.5699,11.7,12.11,72454,0
2017-08-30,12.08,12.099,11.51,11.85,39789,0
2017-08-31,11.85,11.8578,11.36,11.5,32558,0
2017-09-01,11.5,11.75,11.4001,11.48,8075,0
2017-09-05,11.42,11.84,11.17,11.31,31397,0
2017-09-06,11.35,11.35,10.67,10.94,88641,0
2017-09-07,10.9,11.15,10.9,11.14,34694,0
