Date,Open,High,Low,Close,Volume,OpenInt
2017-09-22,12.1,12.7,9.97,10,7476413,0
2017-09-25,10.42,10.99,10.09,10.75,1830534,0
2017-09-26,10.8,10.99,10.07,10.32,958495,0
2017-09-27,10.3,10.36,9.33,9.37,1522238,0
2017-09-28,9.38,9.4175,7.81,8.64,1811218,0
2017-09-29,8.67,8.99,8.67,8.9,656159,0
2017-10-02,8.96,9.3664,8.92,9.02,643606,0
2017-10-03,9.03,9.25,9.02,9.12,138727,0
2017-10-04,9.17,9.44,9.1622,9.32,188966,0
2017-10-05,9.58,9.58,9.2,9.3,154604,0
2017-10-06,9.22,9.39,8.9,8.91,359986,0
2017-10-09,9.01,9.23,8.51,8.95,335981,0
2017-10-10,8.71,8.91,7.96,8,655450,0
2017-10-11,7.97,8.05,6.61,6.78,2160916,0
2017-10-12,6.81,7.42,6.8,6.97,1209827,0
2017-10-13,6.99,8.17,6.99,8.16,975207,0
2017-10-16,7.9,8.64,7.86,8.3,367706,0
2017-10-17,8.4,8.495,7.75,7.75,558984,0
2017-10-18,7.9218,8.05,7.76,7.78,198853,0
2017-10-19,7.75,7.7927,7.35,7.37,271388,0
2017-10-20,7.37,8.12,7.37,7.9,299535,0
2017-10-23,8,8.3,7.8954,8,238650,0
2017-10-24,8.03,8.16,7.72,7.74,111870,0
2017-10-25,7.69,7.7336,7.035,7.18,451710,0
2017-10-26,7.21,7.28,6.9,7.08,165760,0
2017-10-27,7.03,7.5093,7,7.1,363667,0
2017-10-30,7.087,7.73,6.78,7.06,1287531,0
2017-10-31,7.18,7.2599,7.02,7.24,107565,0
2017-11-01,7.13,7.33,7.02,7.19,155840,0
2017-11-02,7.42,8.2,7.3542,8.01,866679,0
2017-11-03,8.15,8.25,7.75,7.995,217394,0
2017-11-06,8,8.17,7.96,8.04,169619,0
2017-11-07,8.32,8.32,8,8.1,177291,0
2017-11-08,8.11,8.225,7.86,8,489184,0
2017-11-09,8.01,8.12,7.73,8.06,224728,0
2017-11-10,8.09,8.09,7.95,8.02,102537,0
2017-11-13,8,8.96,7.9,8.9,829506,0
2017-11-14,8.9,9.18,8.4,8.61,202677,0
2017-11-15,8.56,9.07,8.25,8.99,356111,0
2017-11-16,8.99,8.99,8.1,8.22,482870,0
2017-11-17,8.36,8.36,8.02,8.26,167492,0
2017-11-20,8.25,8.8,8.25,8.44,195032,0
2017-11-21,8.18,8.5,8.18,8.2,170553,0
2017-11-22,8.23,8.36,8.2,8.34,95607,0
2017-11-24,8.4,8.49,8.2,8.23,120621,0
