Date,Open,High,Low,Close,Volume,OpenInt
2017-07-27,19.05,21.2049,18.5,19.25,2438916,0
2017-07-28,19.19,19.9,18.75,19.65,303910,0
2017-07-31,19.69,20.7,19.1333,20.46,224608,0
2017-08-01,20.84,20.89,20.1028,20.69,76665,0
2017-08-02,20.98,20.98,19.75,19.87,128060,0
2017-08-03,20,20.18,19.04,19.56,120656,0
2017-08-04,19.04,19.25,18.7601,18.86,63675,0
2017-08-07,19.44,19.71,18.76,19.41,97685,0
2017-08-08,18.96,20.099,18.76,18.98,46925,0
2017-08-09,18.76,20.25,18.76,20.1,60849,0
2017-08-10,20.03,20.06,19.45,20,119740,0
2017-08-11,20.16,20.46,19.28,19.76,68425,0
2017-08-14,19.88,20.265,19.389,20.26,26245,0
2017-08-15,20.02,20.02,19.095,19.81,23661,0
2017-08-16,20,20,18.72,19.4,28894,0
2017-08-17,18.95,19.935,18.56,19.05,12096,0
2017-08-18,19.25,19.659,18.979,19.38,76768,0
2017-08-21,19.46,21.5,19.45,20.5,103204,0
2017-08-22,23,24.6,21.3,22.5,135177,0
2017-08-23,23.02,26.45,22.2,24,231611,0
2017-08-24,24.33,25.3741,23.048,23.48,110111,0
2017-08-25,23.87,24.4637,23,24.1,45863,0
2017-08-28,24,24.36,23.12,23.72,61035,0
2017-08-29,23.5,25.35,23.5,25.21,62742,0
2017-08-30,25.11,26.65,25,26.3,95019,0
2017-08-31,26.23,29.25,25.001,25.02,201179,0
2017-09-01,25.02,25.74,23.56,24.55,94512,0
2017-09-05,24.43,26.68,23.811,24.25,235451,0
2017-09-06,24.1,25.999,23.04,24.3,121464,0
2017-09-07,23.77,25,23.44,24.07,63470,0
2017-09-08,24.175,24.34,23.22,23.91,61668,0
2017-09-11,24.15,24.92,23.35,23.98,56149,0
2017-09-12,23.81,24,23.05,23.68,60259,0
2017-09-13,23.95,24.26,23.52,23.85,52831,0
2017-09-14,24.3405,24.42,23.1,23.45,113664,0
2017-09-15,23.81,24.01,22.99,23.02,605849,0
2017-09-18,23.02,23.88,21.51,22.23,98778,0
2017-09-19,22.41,23.7217,22.16,23.22,51352,0
2017-09-20,23.3,23.3,22.63,23,28359,0
2017-09-21,23,23,21.59,21.75,82677,0
2017-09-22,21.64,22.26,21.64,21.96,13306,0
2017-09-25,22.011,22.7673,21.72,21.88,18993,0
2017-09-26,21.77,21.89,21.121,21.35,21515,0
2017-09-27,21.37,21.37,20.84,21.09,36771,0
2017-09-28,20.92,22.17,20.77,22.1,73853,0
2017-09-29,22.27,23.24,22.1671,22.25,46285,0
2017-10-02,22,24.635,21.66,24.32,126703,0
2017-10-03,24.67,26,23.47,24.95,107432,0
2017-10-04,24.92,25.735,24.5,25.02,77742,0
2017-10-05,24.26,24.673,23.6503,23.96,33369,0
2017-10-06,23.9,24.26,22.73,23.45,24909,0
2017-10-09,23.43,23.58,22.94,23.05,14708,0
2017-10-10,23.43,23.53,22.74,23.11,57201,0
2017-10-11,23.18,23.56,22.65,23,24031,0
2017-10-12,23.12,23.32,22.57,22.65,24095,0
2017-10-13,23,23.03,22.41,22.62,15694,0
2017-10-16,22.57,22.93,21.85,22.12,44535,0
2017-10-17,21.56,22.11,21.16,21.35,11483,0
2017-10-18,21.57,22.845,20.975,21.55,20999,0
2017-10-19,21.36,21.58,20.76,20.86,24528,0
2017-10-20,21.08,22.8,20.25,20.33,28181,0
2017-10-23,20.39,21.77,20.39,21.29,17650,0
2017-10-24,21.51,22.24,20.46,20.66,37205,0
2017-10-25,20.87,22.89,19.955,20.28,49645,0
2017-10-26,20.56,20.76,19.2,19.37,44577,0
2017-10-27,20.29,20.29,18.21,18.22,20746,0
2017-10-30,18.1,19.16,15.22,18.94,45841,0
2017-10-31,19.5,20.75,19.5,19.6,30701,0
2017-11-01,19.81,20.58,17.9503,19.91,41546,0
2017-11-02,20,21.98,20,21.43,89583,0
2017-11-03,21.11,21.74,20.86,21.4,137854,0
2017-11-06,21,21.98,21,21.59,54589,0
2017-11-07,21.14,21.3698,20.12,20.2,15691,0
2017-11-08,20.09,21.08,20,20.2,28558,0
2017-11-09,20.13,20.9,19.75,19.86,40600,0
2017-11-10,20.2,20.2499,19.88,20.09,10526,0
2017-11-13,20.08,20.6,19.5,19.5,15212,0
2017-11-14,19.4,19.905,18.18,18.76,25841,0
2017-11-15,18.55,19.05,18.24,18.47,17002,0
2017-11-16,18.64,19.35,18.19,18.43,17446,0
2017-11-17,18.32,19.45,18.1708,19.03,14910,0
2017-11-20,19.05,19.45,18.9,19.09,37539,0
2017-11-21,19.37,19.37,18.95,19.03,24572,0
2017-11-22,19.03,19.8,18.86,19.16,35244,0
2017-11-24,19.29,19.29,19.04,19.21,3680,0
2017-11-27,19.34,20.51,19.29,19.85,23938,0
2017-11-28,20.01,21,20.01,20.47,40368,0
2017-11-29,20.57,20.87,19.68,20.18,29688,0
2017-11-30,20.18,20.8,19.7,20.16,48812,0
2017-12-01,20.15,20.43,19.74,20.16,75687,0
2017-12-04,20.43,21.48,20.35,20.85,33328,0
2017-12-05,20.86,20.9699,20.36,20.53,16300,0
2017-12-06,20.48,20.95,20.05,20.22,11255,0
2017-12-07,20.17,20.65,19.64,19.77,14992,0
2017-12-08,19.76,20.42,19.5591,20.05,19852,0
2017-12-11,20.06,22.95,20,22.74,87966,0
2017-12-12,22.75,24.06,22.39,23.75,87783,0
2017-12-13,23.66,25.2,21.04,24.63,89268,0
2017-12-14,24.57,25.61,23.325,25.31,87104,0
2017-12-15,25.26,25.71,24.0201,24.3,418340,0
2017-12-18,24.34,25.12,23.93,24.86,49063,0
2017-12-19,25.07,25.29,24.59,25,30525,0
2017-12-20,25,25.25,23.9342,24.85,18823,0
2017-12-21,24.58,24.64,21.81,22.99,41228,0
2017-12-22,22.83,22.83,20.72,20.79,27655,0
2017-12-26,23.88,23.88,18.71,18.91,71118,0
2017-12-27,19.09,19.735,18.95,19.12,38966,0
2017-12-28,19.15,19.652,18.25,18.51,43418,0
2017-12-29,18.7,18.98,18,18.15,43374,0
2018-01-02,18.32,18.46,16.1101,16.58,106571,0
2018-01-03,16.64,16.78,16.5,16.56,35831,0
2018-01-04,17.0899,17.0899,16.07,16.2,79798,0
2018-01-05,16.5,17.91,16,17.43,46028,0
2018-01-08,17.41,18.39,16.75,17.05,21908,0
2018-01-09,17.08,17.59,16.55,17.28,38851,0
2018-01-10,17.25,18.57,17.1,18.08,23378,0
2018-01-11,18.18,18.996,17.79,17.93,19843,0
2018-01-12,17.95,18.35,17.52,18.06,16802,0
2018-01-16,18.39,18.66,18.11,18.53,30296,0
2018-01-17,18.65,18.85,18.41,18.81,18567,0
2018-01-18,18.797,18.87,18.49,18.87,13039,0
2018-01-19,18.85,19.74,18.51,18.98,36683,0
2018-01-22,18.88,19.47,18.51,19.47,15823,0
2018-01-23,19.05,19.05,18.05,18.24,62997,0
2018-01-24,18.23,18.23,17.4324,17.95,141370,0
2018-01-25,18,18,17.655,18,145667,0
2018-01-26,18.27,18.5,17.61,17.92,266149,0
2018-01-29,17.77,18.43,17.59,17.91,183770,0
2018-01-30,17.79,17.8,17.5,17.63,39773,0
2018-01-31,17.68,17.79,17.21,17.6,30423,0
2018-02-01,17.42,17.72,17.155,17.57,108241,0
2018-02-02,17.98,17.98,16.21,16.61,81816,0
2018-02-05,16.15,16.59,15.17,15.48,51510,0
2018-02-06,15.1,15.9,15.1,15.79,48239,0
2018-02-07,15.73,17.22,15.73,16.29,15386,0
2018-02-08,16.28,16.28,15.5,15.72,23244,0
2018-02-09,14.4,16.01,14.4,14.4,64839,0
2018-02-12,14.51,15.57,14.51,15.1,42993,0
2018-02-13,15.2,15.37,14.3,14.78,93949,0
2018-02-14,14.78,14.795,13.98,14.31,39272,0
2018-02-15,14.47,15.9194,14.41,15.62,41764,0
2018-02-16,15.51,15.8982,14.97,15.03,19534,0
2018-02-20,14.84,16.317,14.84,14.84,28225,0
2018-02-21,14.66,15.5,14.345,14.52,20393,0
2018-02-22,14.67,16.15,14.32,15.94,82462,0
2018-02-23,16.11,16.21,15.51,15.98,65928,0
2018-02-26,16.07,16.28,15.41,16.21,29125,0
2018-02-27,16,16.25,15.4,15.84,44602,0
2018-02-28,15.98,16,15.67,15.68,35852,0
2018-03-01,15.43,16,15.35,15.95,62341,0
2018-03-02,15.84,17.23,15.84,17.23,73957,0
2018-03-05,17.15,18.45,16.99,17.85,190452,0
2018-03-06,17.92,19.37,17.39,18.88,207483,0
2018-03-07,18.6,20,17.8427,19.9,118287,0
2018-03-08,19.9,20.34,19.11,19.84,228120,0
2018-03-09,20,20.445,18.96,19.9,158599,0
2018-03-12,19.88,20.99,18.24,18.96,134622,0
2018-03-13,18.8,19.25,18.3,18.87,120305,0
2018-03-14,19.77,19.77,18.36,18.77,81351,0
