Date,Open,High,Low,Close,Volume,OpenInt
2017-08-11,5.5,5.85,4.16,4.85,3619517,0
2017-08-14,4.9,4.9,4.28,4.35,158710,0
2017-08-15,4.22,4.6,4.2,4.52,292741,0
2017-08-16,4.47,4.69,4.3852,4.41,155329,0
2017-08-17,4.36,4.55,4.2,4.21,94871,0
2017-08-18,4.21,4.3,3.92,4.02,118415,0
2017-08-21,4,4.34,3.87,4.34,50519,0
2017-08-22,4.34,4.4,3.97,4.08,61001,0
2017-08-23,4.25,4.25,3.9353,3.99,46287,0
2017-08-24,3.93,4.2892,3.93,4.09,37019,0
2017-08-25,4.14,4.148,4.01,4.01,11835,0
2017-08-28,4.02,4.07,3.47,3.785,136385,0
2017-08-29,3.53,3.79,3.5,3.65,123237,0
2017-08-30,3.49,3.67,3.35,3.47,127677,0
2017-08-31,3.38,3.47,3.29,3.3,101700,0
2017-09-01,3.3,3.8,3.3,3.8,174495,0
2017-09-05,3.91,4.15,3.72,4.12,310569,0
2017-09-06,4.19,4.5,3.7008,4.29,181419,0
2017-09-07,4.32,4.32,3.92,4.04,92815,0
2017-09-08,3.95,4.19,3.85,3.945,32604,0
2017-09-11,3.98,4.12,3.87,4.03,28610,0
2017-09-12,4.03,4.1,3.87,3.98,44750,0
2017-09-13,4.12,4.12,3.831,4.04,26976,0
2017-09-14,4.01,4.14,3.92,4.09,46350,0
2017-09-15,4.14,4.14,3.75,3.82,120999,0
2017-09-18,3.82,4.0469,3.72,3.78,68367,0
2017-09-19,3.81,3.9386,3.59,3.75,110541,0
2017-09-20,3.72,4.09,3.65,4.04,98698,0
2017-09-21,4.2,4.2,3.8577,4,162040,0
2017-09-22,3.89,3.97,3.33,3.53,114352,0
2017-09-25,3.51,3.6225,3.4,3.42,32538,0
2017-09-26,3.44,3.46,3.151,3.16,109032,0
2017-09-27,3.16,3.31,2.78,2.88,116823,0
2017-09-28,2.91,3.0118,2.7101,2.83,167694,0
2017-09-29,2.85,2.99,2.65,2.77,78672,0
2017-10-02,2.95,2.95,2.71,2.71,109616,0
2017-10-03,2.73,2.83,2.71,2.75,37711,0
2017-10-04,2.78,2.83,2.62,2.69,74521,0
2017-10-05,2.66,2.7697,2.62,2.64,58457,0
2017-10-06,2.67,2.83,2.65,2.78,71785,0
2017-10-09,2.8,2.94,2.78,2.8,93750,0
2017-10-10,2.85,2.94,2.85,2.85,33898,0
2017-10-11,2.88,2.9999,2.88,2.98,14039,0
2017-10-12,3,3.07,2.9101,3.02,39635,0
2017-10-13,2.92,3.07,2.85,2.87,60949,0
2017-10-16,2.87,3.03,2.85,2.96,29126,0
2017-10-17,2.99,2.99,2.9,2.9,48783,0
2017-10-18,2.97,2.97,2.86,2.86,5997,0
2017-10-19,2.95,2.989,2.85,2.85,30249,0
2017-10-20,2.8535,2.9,2.7235,2.74,59052,0
2017-10-23,2.74,2.84,2.66,2.68,70189,0
2017-10-24,2.725,2.8,2.62,2.65,202472,0
2017-10-25,2.67,2.69,2.49,2.51,136791,0
2017-10-26,2.48,2.55,2.42,2.45,49203,0
2017-10-27,2.4522,2.6,2.41,2.48,37896,0
2017-10-30,2.5,2.63,2.5,2.63,14319,0
2017-10-31,2.6,2.665,2.53,2.53,22738,0
2017-11-01,2.55,2.7539,2.5215,2.65,28683,0
2017-11-02,2.64,2.77,2.602,2.77,40627,0
2017-11-03,2.81,3.03,2.7801,2.85,126172,0
2017-11-06,2.88,2.999,2.88,2.9,20877,0
2017-11-07,2.95,2.95,2.88,2.88,21309,0
2017-11-08,2.88,2.9303,2.76,2.81,18869,0
2017-11-09,2.8,2.9067,2.75,2.83,10586,0
2017-11-10,2.8,2.9492,2.731,2.8,12521,0
2017-11-13,2.84,2.9,2.71,2.89,43518,0
2017-11-14,3.04,3.04,2.85,2.85,74079,0
2017-11-15,2.86,2.86,2.5,2.5,119826,0
2017-11-16,2.55,2.639,2.35,2.62,45572,0
2017-11-17,2.6,2.7074,2.48,2.59,46222,0
2017-11-20,2.75,2.75,2.42,2.61,28735,0
2017-11-21,2.61,2.61,2.4331,2.48,17499,0
2017-11-22,2.45,2.6,2.45,2.55,39878,0
2017-11-24,2.6,2.6,2.47,2.5,7792,0
2017-11-27,2.47,2.51,2.47,2.49,29861,0
2017-11-28,2.44,2.52,2.44,2.44,20430,0
2017-11-29,2.43,2.49,2.4,2.44,41542,0
2017-11-30,2.44,2.52,2.43,2.43,6615,0
2017-12-01,2.43,2.56,2.41,2.55,24073,0
2017-12-04,2.56,2.5999,2.5092,2.59,16362,0
2017-12-05,2.5778,2.5799,2.42,2.47,30289,0
2017-12-06,2.5059,2.5059,2.41,2.41,2146,0
2017-12-07,2.4,2.49,2.35,2.35,13321,0
2017-12-08,2.46,2.46,2.26,2.28,24259,0
2017-12-11,2.29,2.3409,2.28,2.29,9869,0
2017-12-12,2.2801,2.36,2.25,2.25,48108,0
