Date,Open,High,Low,Close,Volume,OpenInt
2017-09-20,24.25,30,23.8,27.93,5029142,0
2017-09-21,28.18,32.64,28,31.11,1322409,0
2017-09-22,31.19,31.19,27.1,27.73,759244,0
2017-09-25,27.61,27.8549,26.62,27.01,364965,0
2017-09-26,27.21,28.8,26.73,27.55,394482,0
2017-09-27,28.09,28.98,27.41,27.62,351787,0
2017-09-28,26.75,27.2,26.75,27.03,229998,0
2017-09-29,27.15,27.1501,26.1,27,374039,0
2017-10-02,26.93,26.93,26.2,26.41,149397,0
2017-10-03,27.05,27.85,26.22,26.97,156145,0
2017-10-04,27.09,27.4,26.875,27.1,157704,0
2017-10-05,27.16,27.2,26.37,26.89,112341,0
2017-10-06,26.63,28.95,26.63,28.45,138746,0
2017-10-09,28.39,30.85,28.21,30.77,249149,0
2017-10-10,30.86,32.85,30.45,32.62,350326,0
2017-10-11,33.7,34.83,32.539,34.09,320978,0
2017-10-12,35.5,35.74,31.5601,32.63,312132,0
2017-10-13,33.5875,33.5875,30.85,32.19,119666,0
2017-10-16,31.57,32.4584,30.49,31.99,177833,0
2017-10-17,31.85,32.4191,30.611,30.84,141484,0
2017-10-18,30.62,31.12,28.6,28.64,271140,0
2017-10-19,28.56,28.56,27,27.59,275115,0
2017-10-20,27.7,28.47,27.7,28.24,203382,0
2017-10-23,28.42,28.719,26.11,26.46,193160,0
2017-10-24,26.43,27.34,26.43,26.98,295601,0
2017-10-25,27.02,27.2,26.33,27.07,157440,0
2017-10-26,27.13,27.13,26.6242,27.09,119379,0
2017-10-27,26.87,27.275,26.511,26.87,240190,0
2017-10-30,26.84,27.3699,26.78,27.09,249998,0
2017-10-31,27.28,27.48,26.82,27.01,92027,0
2017-11-01,27.13,28.52,27.11,27.99,77354,0
2017-11-02,27.78,30.16,27.0884,29.07,150019,0
2017-11-03,29.18,29.42,27.6,28,120058,0
2017-11-06,27.99,28.0451,27.84,27.91,43172,0
2017-11-07,28.41,28.41,26.77,27,73265,0
2017-11-08,27.28,27.72,26.81,27.03,108314,0
2017-11-09,27.52,27.52,27,27.03,82507,0
2017-11-10,26.96,28.43,26.96,27.78,20502,0
2017-11-13,28.02,28.02,27.15,27.39,39234,0
2017-11-14,27.31,28,26.5,26.85,80650,0
2017-11-15,26.65,27.615,26.16,26.2,183797,0
2017-11-16,26.4,27.13,24.39,24.62,140337,0
2017-11-17,24.65,26,24.65,25,76523,0
2017-11-20,25.07,25.9999,24.4,24.66,37208,0
2017-11-21,24.81,27.825,24.5852,25.68,162460,0
2017-11-22,25.7,27.2399,25.7,26.84,85160,0
2017-11-24,27.01,27.0286,26.5,26.8,17744,0
2017-11-27,27,27.1899,25.8,26.72,87024,0
2017-11-28,26.49,26.6699,25.1,25.8815,76200,0
2017-11-29,25.53,26.5,25.001,25.4,77194,0
2017-11-30,25.41,26.29,25.2,26.11,42251,0
2017-12-01,26.04,26.48,25,25.92,53040,0
2017-12-04,25.95,27.11,25.75,27.11,44075,0
2017-12-05,27.2,27.2,25.33,25.73,60063,0
2017-12-06,25.54,26.43,25.54,25.74,42949,0
2017-12-07,25.83,26.34,25.4,25.55,73205,0
2017-12-08,25.37,26.38,25.12,25.49,94895,0
2017-12-11,25.05,26.1,25.05,25.285,55616,0
2017-12-12,25.25,26,25.02,25.63,41661,0
2017-12-13,26,26,25.26,25.45,39254,0
2017-12-14,25.5,25.684,25.06,25.21,23083,0
2017-12-15,25.17,26,24.75,24.95,92997,0
2017-12-18,25.08,25.7488,23.51,23.89,152752,0
2017-12-19,23.95,24.17,23.2201,23.4775,37364,0
2017-12-20,23.6,24.9419,22.3,22.86,100807,0
2017-12-21,23.1,23.1,21.5,21.82,194307,0
2017-12-22,21.99,21.99,20.67,21.44,132034,0
2017-12-26,21.27,22.3699,21.17,21.5,76069,0
2017-12-27,21.46,22.915,21.27,21.88,106690,0
2017-12-28,22.04,22.28,21.27,21.36,105014,0
2017-12-29,21.49,22.4949,20.8,21.23,119170,0
2018-01-02,21.1,22.63,20.91,22.26,72331,0
2018-01-03,22.29,22.97,22.05,22.35,79111,0
2018-01-04,22.72,23.39,21.5,22.1,57964,0
2018-01-05,22.26,22.93,22.185,22.81,48282,0
2018-01-08,23,23.4999,22.51,22.98,92621,0
2018-01-09,23.24,23.88,23,23.63,76883,0
2018-01-10,23.65,23.7,22.34,22.53,58470,0
2018-01-11,22.79,23.46,22.51,23.11,29612,0
2018-01-12,23.23,23.66,22.91,23.37,65027,0
2018-01-16,24,24,23.04,23.44,84278,0
2018-01-17,23.28,23.86,22.23,22.62,69588,0
2018-01-18,22.55,23.51,22.55,23.5,27639,0
2018-01-19,23.035,23.41,22.52,22.64,36445,0
2018-01-22,22.85,23.7843,22.85,23.74,45572,0
2018-01-23,23.58,23.85,23.37,23.68,38713,0
2018-01-24,23.83,24.2,22.83,24.12,55073,0
2018-01-25,24.8,24.8,23.81,24.4,18303,0
2018-01-26,24.8,24.8,23.8,24.58,71085,0
2018-01-29,25.99,25.99,24.63,24.96,62998,0
2018-01-30,25.17,25.42,24.52,24.85,34588,0
2018-01-31,25.16,26.97,24.85,26.96,376848,0
2018-02-01,27.34,27.34,25.5,26.39,52739,0
2018-02-02,26.3,27.045,25.21,25.98,48488,0
2018-02-05,25.83,25.83,24.6,25.35,55276,0
2018-02-06,25.19,25.19,22.8,23.05,142570,0
2018-02-07,23,23,22.21,22.5,66440,0
2018-02-08,22.5,22.9,20.05,20.05,118064,0
2018-02-09,20.21,21.16,19.8,20.25,117861,0
2018-02-12,20.3,21.4868,20.3,20.8,128362,0
2018-02-13,20.75,22.11,20.2,22,181979,0
2018-02-14,23.6,24.8,22.03,24.23,211167,0
2018-02-15,24.25,24.25,23.45,23.9,96934,0
2018-02-16,23.72,23.99,23.12,23.63,58852,0
2018-02-20,23.65,24.44,23.5,24.25,103974,0
2018-02-21,24.44,24.44,23.83,23.99,115027,0
2018-02-22,24.16,24.35,22.6,23,113866,0
2018-02-23,22.98,23.09,22.06,23,50315,0
2018-02-26,23.2,23.21,22.33,23.05,56166,0
2018-02-27,23.21,23.21,22.32,22.54,34820,0
2018-02-28,22.46,22.46,21.16,22.15,93718,0
2018-03-01,21.54,21.97,21.01,21.9,17550,0
